,Date,Open,High,Low,Close,Adj Close,Volume
404,2019-06-14,149.0,149.55,147.55,148.65,148.65,5397.0
403,2019-06-13,148.1,150.0,146.85,149.5,149.5,19864.0
402,2019-06-12,150.8,150.8,147.6,149.45,149.45,16984.0
401,2019-06-11,147.0,152.1,147.0,148.1,148.1,143862.0
400,2019-06-10,151.0,151.35,147.1,147.6,147.6,23362.0
399,2019-06-07,151.05,152.9,149.0,149.65,149.65,21980.0
398,2019-06-06,153.65,156.75,151.15,151.8,151.8,45112.0
397,2019-06-04,154.0,155.35,152.8,154.75,154.75,26875.0
396,2019-06-03,152.25,156.9,152.25,154.95,154.95,422154.0
395,2019-05-31,154.05,157.15,153.95,156.3,156.3,76799.0
394,2019-05-30,153.05,155.2,153.0,154.75,154.75,13388.0
393,2019-05-29,160.0,160.0,152.5,153.35,153.35,169891.0
392,2019-05-28,154.95,160.95,152.45,158.6,158.6,249388.0
391,2019-05-27,150.0,154.0,150.0,153.0,153.0,123008.0
390,2019-05-24,146.4,150.95,146.4,149.5,149.5,87207.0
389,2019-05-23,150.0,150.0,143.65,145.95,145.95,1277918.0
388,2019-05-22,149.1,149.1,141.2,144.2,144.2,93060.0
387,2019-05-21,149.0,150.0,145.7,147.15,147.15,28751.0
386,2019-05-20,151.0,154.55,147.0,147.75,147.75,76648.0
385,2019-05-17,157.0,157.0,141.1,145.7,145.7,224502.0
384,2019-05-16,157.0,157.0,154.05,154.65,154.65,21567.0
383,2019-05-15,155.0,156.75,154.65,155.55,155.55,126502.0
382,2019-05-14,153.05,156.85,153.05,156.0,156.0,330202.0
381,2019-05-13,154.8,155.75,153.1,155.1,155.1,29579.0
380,2019-05-10,154.05,157.1,153.25,155.4,155.4,174470.0
379,2019-05-09,154.5,155.65,153.5,154.05,154.05,50223.0
378,2019-05-08,155.05,157.45,154.15,155.25,155.25,83209.0
377,2019-05-07,159.45,160.0,155.4,156.6,156.6,449830.0
376,2019-05-06,161.85,161.85,158.05,158.45,158.45,58946.0
375,2019-05-03,159.45,160.9,158.25,159.85,159.85,219337.0
374,2019-05-02,161.0,161.0,159.0,159.45,159.45,63503.0
373,2019-04-30,160.0,161.75,158.0,159.1,159.1,246906.0
372,2019-04-26,158.05,161.35,158.05,159.65,159.65,106748.0
371,2019-04-25,158.95,159.85,158.0,158.1,158.1,198618.0
370,2019-04-24,159.5,160.0,157.95,159.3,159.3,70665.0
369,2019-04-23,157.6,160.0,157.6,159.75,159.75,27486.0
368,2019-04-22,159.95,161.95,157.5,157.85,157.85,37363.0
367,2019-04-18,158.0,161.45,157.05,159.1,159.1,73197.0
366,2019-04-16,155.6,159.65,155.5,157.45,157.45,82160.0
365,2019-04-15,157.0,157.0,155.0,155.6,155.6,385048.0
364,2019-04-12,157.5,157.5,155.0,155.25,155.25,101516.0
363,2019-04-11,156.3,158.0,155.0,155.85,155.85,147711.0
362,2019-04-10,157.75,158.4,155.1,157.1,157.1,347312.0
361,2019-04-09,161.8,163.0,157.6,158.5,158.5,450148.0
360,2019-04-08,163.3,165.25,161.5,162.55,162.55,893972.0
359,2019-04-05,163.45,164.4,162.8,163.25,163.25,96592.0
358,2019-04-04,160.8,166.25,160.8,162.65,162.65,3529891.0
357,2019-04-03,162.45,167.9,160.45,161.9,161.9,3483885.0
356,2019-04-02,163.9,167.35,161.1,161.75,161.75,436706.0
355,2019-04-01,165.0,166.8,161.2,161.7,161.7,96796.0
354,2019-03-28,160.8,165.5,159.3,163.1,163.1,308084.0
353,2019-03-27,161.35,161.5,158.0,158.8,158.8,209301.0
352,2019-03-26,160.8,161.3,159.6,160.0,160.0,186538.0
351,2019-03-25,161.15,162.05,159.1,159.95,159.95,516276.0
350,2019-03-22,161.2,163.35,159.5,160.75,160.75,461900.0
349,2019-03-20,161.0,167.1,160.6,161.8,161.8,168353.0
348,2019-03-19,161.65,162.95,160.4,161.7,161.7,112386.0
347,2019-03-18,161.1,165.0,158.4,162.05,162.05,691506.0
346,2019-03-15,162.85,166.0,162.0,163.25,163.25,138915.0
345,2019-03-14,164.85,166.0,163.5,165.05,165.05,1331899.0
344,2019-03-13,162.0,169.8,162.0,164.85,164.85,1676323.0
343,2019-03-12,162.0,164.0,160.05,161.4,161.4,1474271.0
342,2019-03-11,159.5,161.0,157.6,160.8,160.8,35056.0
341,2019-03-08,160.05,160.05,157.1,157.65,157.65,16697.0
340,2019-03-07,160.1,161.35,157.8,160.7,160.7,82619.0
339,2019-03-06,162.6,162.6,157.0,157.75,157.75,25214.0
338,2019-03-05,156.6,159.95,156.6,159.25,159.25,59975.0
337,2019-03-01,155.0,158.95,154.45,158.0,158.0,95786.0
336,2019-02-28,154.5,158.5,150.0,153.2,153.2,423259.0
335,2019-02-27,157.0,157.8,150.35,152.85,152.85,56186.0
334,2019-02-26,157.0,157.7,156.15,156.4,156.4,18680.0
333,2019-02-25,159.9,159.9,156.75,157.3,157.3,112907.0
332,2019-02-22,160.35,160.9,158.25,158.8,158.8,62825.0
331,2019-02-21,162.0,162.85,159.0,160.15,160.15,118893.0
330,2019-02-20,164.0,166.9,160.85,163.25,163.25,90600.0
329,2019-02-19,158.55,165.1,158.55,164.85,164.85,1052819.0
328,2019-02-18,162.5,162.5,157.9,160.6,160.6,47723.0
327,2019-02-15,159.2,162.0,156.35,161.75,161.75,49014.0
326,2019-02-14,160.0,162.0,156.1,161.6,161.6,86434.0
325,2019-02-12,163.1,168.45,162.85,167.85,167.85,126253.0
324,2019-02-11,166.95,168.95,164.0,164.95,164.95,655014.0
323,2019-02-08,165.1,167.25,163.15,166.0,166.0,58452.0
322,2019-02-07,162.0,169.95,162.0,165.05,165.05,47355.0
321,2019-02-06,161.55,164.05,161.55,163.55,163.55,154672.0
320,2019-02-05,162.8,165.45,161.15,161.85,161.85,46722.0
319,2019-02-04,159.5,163.05,159.3,161.25,161.25,29149.0
