,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,148.3,148.3,146.0,146.2,146.2,447675.0
4223,2019-06-13,148.8,149.7,145.9,147.15,147.15,907904.0
4222,2019-06-12,149.55,153.9,147.8,148.8,148.8,304267.0
4221,2019-06-11,146.1,151.0,146.0,149.75,149.25,534736.0
4220,2019-06-10,149.15,149.7,146.2,146.55,146.0607,732815.0
4219,2019-06-07,151.6,151.6,146.25,149.4,148.9012,414015.0
4218,2019-06-06,152.8,154.75,149.75,150.05,149.549,840723.0
4217,2019-06-04,154.9,157.1,151.65,152.8,152.2898,600737.0
4216,2019-06-03,158.0,158.4,154.0,155.1,154.5822,410171.0
4215,2019-05-31,151.6,158.3,151.0,157.15,156.6253,2366324.0
4214,2019-05-30,149.7,152.5,148.0,151.6,151.0938,961682.0
4213,2019-05-29,153.45,153.75,149.0,149.55,149.0507,342529.0
4212,2019-05-28,153.5,154.5,150.55,153.0,152.4892,1048207.0
4211,2019-05-27,154.0,154.95,152.35,152.8,152.2898,1389215.0
4210,2019-05-24,148.25,152.0,148.25,151.5,150.9942,914379.0
4209,2019-05-23,152.3,152.3,147.0,148.4,147.9045,753761.0
4208,2019-05-22,147.4,149.0,147.0,148.35,147.8547,280359.0
4207,2019-05-21,149.35,150.3,148.3,149.0,148.5025,579671.0
4206,2019-05-20,145.0,150.95,144.5,149.35,148.8513,1826752.0
4205,2019-05-17,141.0,151.5,140.1,143.05,142.5724,2000551.0
4204,2019-05-16,142.55,143.85,140.9,141.95,141.476,776199.0
4203,2019-05-15,144.7,144.7,141.5,143.75,143.27,264083.0
4202,2019-05-14,143.55,145.0,142.2,143.85,143.3697,200402.0
4201,2019-05-13,146.8,146.9,141.4,143.3,142.8215,693887.0
4200,2019-05-10,148.0,148.9,146.0,146.6,146.1105,210574.0
4199,2019-05-09,147.2,149.0,145.55,147.75,147.2567,463510.0
4198,2019-05-08,150.25,151.0,146.2,147.2,146.7085,559878.0
4197,2019-05-07,153.3,153.3,150.25,150.75,150.2467,755573.0
4196,2019-05-06,151.8,153.35,150.15,152.7,152.1902,404501.0
4195,2019-05-03,154.0,155.75,151.25,153.05,152.539,1310434.0
4194,2019-05-02,157.0,161.0,152.1,153.0,152.4892,3533693.0
4193,2019-04-30,152.7,154.9,150.5,154.35,153.8347,1034624.0
4192,2019-04-26,152.5,153.35,151.5,152.35,151.8413,518040.0
4191,2019-04-25,154.65,154.75,152.15,152.4,151.8911,618990.0
4190,2019-04-24,151.1,154.1,151.1,152.4,151.8911,640909.0
4189,2019-04-23,154.75,154.75,150.8,151.55,151.044,541423.0
4188,2019-04-22,156.0,156.0,152.85,153.95,153.436,927415.0
4187,2019-04-18,154.8,155.8,150.35,153.35,152.838,1180720.0
4186,2019-04-16,154.95,155.05,151.65,154.05,153.5356,1628761.0
4185,2019-04-15,151.5,154.8,151.0,153.3,152.7881,1045496.0
4184,2019-04-12,152.95,152.95,150.6,151.2,150.6952,655373.0
4183,2019-04-11,152.9,153.45,150.9,151.85,151.343,632103.0
4182,2019-04-10,155.0,155.9,152.35,152.75,152.24,858943.0
4181,2019-04-09,157.85,157.85,150.25,152.25,151.7417,934628.0
4180,2019-04-08,156.8,158.4,155.1,157.6,157.0738,1107138.0
4179,2019-04-05,154.2,156.85,153.3,155.65,155.1303,961105.0
4178,2019-04-04,154.55,155.8,152.15,153.85,153.3363,1256209.0
4177,2019-04-03,159.0,160.9,154.2,154.85,154.333,2649736.0
4176,2019-04-02,156.6,159.4,154.35,157.55,157.024,2400549.0
4175,2019-04-01,156.3,158.4,153.5,154.85,154.333,1537789.0
4174,2019-03-28,151.25,152.5,149.5,151.95,151.4427,4098905.0
4173,2019-03-27,150.2,153.0,148.9,151.25,150.745,1353282.0
4172,2019-03-26,147.4,151.0,147.0,150.75,150.2467,1405209.0
4171,2019-03-25,147.0,149.55,146.05,148.25,147.755,3043153.0
4170,2019-03-22,147.95,150.0,147.75,148.15,147.6553,2521588.0
4169,2019-03-20,149.3,150.4,147.25,147.95,147.456,1097242.0
