,Date,Open,High,Low,Close,Adj Close,Volume
3033,2019-06-14,257.2,267.0,257.2,264.15,264.15,1607437.0
3032,2019-06-13,264.3,266.8,253.2,260.05,260.05,1716436.0
3031,2019-06-12,268.5,270.45,264.75,267.3,267.3,1053470.0
3030,2019-06-11,265.5,270.7,260.1,269.7,269.7,1597117.0
3029,2019-06-10,270.0,272.35,261.65,263.05,263.05,1140597.0
3028,2019-06-07,268.1,270.9,263.2,266.6,266.6,1518444.0
3027,2019-06-06,274.9,278.4,265.55,266.9,266.9,3120836.0
3026,2019-06-04,284.1,292.7,271.35,273.3,273.3,6330574.0
3025,2019-06-03,274.5,289.6,272.1,287.7,287.7,1999934.0
3024,2019-05-31,284.2,285.1,272.1,276.45,276.45,2165377.0
3023,2019-05-30,275.2,284.7,273.6,282.3,282.3,2528780.0
3022,2019-05-29,273.0,277.5,271.0,275.8,275.8,1295696.0
3021,2019-05-28,271.0,276.65,267.05,275.3,275.3,1607907.0
3020,2019-05-27,267.05,274.25,264.3,270.8,270.8,1704582.0
3019,2019-05-24,254.85,267.45,253.1,265.4,265.4,1972803.0
3018,2019-05-23,255.0,268.85,250.05,253.3,253.3,3968959.0
3017,2019-05-22,249.4,249.85,242.8,247.75,247.75,1089167.0
3016,2019-05-21,255.95,256.5,244.2,247.2,247.2,1432219.0
3015,2019-05-20,248.95,256.85,239.85,254.4,254.4,1874423.0
3014,2019-05-17,231.45,236.6,230.5,235.65,235.65,1151504.0
3013,2019-05-16,232.6,233.95,226.65,231.95,231.95,1317989.0
3012,2019-05-15,229.9,237.9,229.2,230.35,230.35,2803644.0
3011,2019-05-14,229.0,238.8,224.35,232.95,232.95,6333604.0
3010,2019-05-13,243.0,243.9,226.1,228.25,228.25,1894224.0
3009,2019-05-10,240.35,246.7,237.4,243.65,243.65,2103360.0
3008,2019-05-09,239.5,241.95,236.5,238.25,238.25,1041308.0
3007,2019-05-08,240.0,243.8,237.55,239.05,239.05,1440094.0
3006,2019-05-07,249.5,250.0,240.35,241.35,241.35,1084805.0
3005,2019-05-06,251.4,253.1,245.35,246.9,246.9,1185811.0
3004,2019-05-03,253.95,258.7,251.25,253.9,253.9,1354459.0
3003,2019-05-02,251.0,258.9,248.0,252.85,252.85,1492586.0
3002,2019-04-30,255.1,255.5,243.0,252.3,252.3,1841125.0
3001,2019-04-26,256.4,256.4,247.6,254.05,254.05,1717524.0
3000,2019-04-25,258.5,258.7,252.1,253.5,253.5,1117046.0
2999,2019-04-24,253.0,258.4,250.0,257.45,257.45,1306435.0
2998,2019-04-23,258.8,261.0,251.2,252.85,252.85,1914361.0
2997,2019-04-22,263.8,263.9,255.0,256.35,256.35,987674.0
2996,2019-04-18,270.25,271.5,262.65,265.3,265.3,1618580.0
2995,2019-04-16,273.5,273.9,267.1,269.1,269.1,1037571.0
2994,2019-04-15,274.85,277.0,270.2,271.75,271.75,1034129.0
2993,2019-04-12,270.9,276.0,266.75,274.85,274.85,1406051.0
2992,2019-04-11,273.2,273.5,266.6,269.65,269.65,1317137.0
2991,2019-04-10,270.0,277.5,270.0,271.55,271.55,2406904.0
2990,2019-04-09,271.0,273.55,262.85,271.45,271.45,2801658.0
2989,2019-04-08,275.4,283.75,267.45,269.35,269.35,3052077.0
2988,2019-04-05,276.15,277.95,270.4,273.45,273.45,1667069.0
2987,2019-04-04,274.4,282.45,271.7,274.45,274.45,1992897.0
2986,2019-04-03,282.0,285.8,272.5,274.45,274.45,1685493.0
2985,2019-04-02,284.0,287.45,275.95,281.4,281.4,2300513.0
2984,2019-04-01,282.0,288.0,281.0,283.3,283.3,1640272.0
2983,2019-03-28,263.9,284.7,261.4,277.35,277.35,2864042.0
2982,2019-03-27,263.3,267.75,261.25,264.1,264.1,1732561.0
2981,2019-03-26,253.0,262.8,253.0,261.8,261.8,1505255.0
2980,2019-03-25,260.95,261.8,252.0,252.7,252.7,1595625.0
2979,2019-03-22,269.1,273.35,263.0,264.6,264.6,1529450.0
2978,2019-03-20,273.3,273.95,268.35,269.85,269.85,1293861.0
2977,2019-03-19,268.6,275.65,267.65,272.75,272.75,2910075.0
2976,2019-03-18,267.0,269.5,263.7,268.6,268.6,1492100.0
2975,2019-03-15,267.8,272.5,265.6,267.2,267.2,1345326.0
2974,2019-03-14,267.0,270.85,264.5,267.1,267.1,1364801.0
2973,2019-03-13,266.85,270.45,263.15,268.3,268.3,1962714.0
2972,2019-03-12,271.0,275.55,266.0,269.05,269.05,5653519.0
2971,2019-03-11,252.0,265.0,251.65,262.4,262.4,3214565.0
2970,2019-03-08,249.0,255.0,245.15,253.3,253.3,2124915.0
2969,2019-03-07,253.9,253.9,247.7,249.8,249.8,2515167.0
2968,2019-03-06,237.1,258.25,237.1,255.1,255.1,6391707.0
2967,2019-03-05,230.0,239.25,229.0,237.1,237.1,2046078.0
2966,2019-03-01,223.3,233.8,222.0,229.5,229.5,2306295.0
2965,2019-02-28,225.0,229.4,219.5,224.6,224.6,2717778.0
2964,2019-02-27,221.0,226.5,218.0,220.85,220.85,1792474.0
2963,2019-02-26,216.0,222.3,210.0,220.8,220.8,1814034.0
2962,2019-02-25,220.85,222.45,216.75,218.3,218.3,1180012.0
2961,2019-02-22,219.7,222.2,216.2,220.85,220.85,1325538.0
2960,2019-02-21,223.2,224.75,218.85,220.25,220.25,1961072.0
2959,2019-02-20,215.9,223.0,215.1,221.35,221.35,2458984.0
2958,2019-02-19,210.05,219.5,208.6,214.65,214.65,3531642.0
2957,2019-02-18,212.85,216.3,207.4,209.0,209.0,1558054.0
2956,2019-02-15,232.0,232.65,211.2,212.85,212.85,2381306.0
2955,2019-02-14,219.1,240.0,215.35,231.25,231.25,2755081.0
2954,2019-02-12,205.85,206.9,200.0,203.45,203.45,1676121.0
2953,2019-02-11,213.65,213.8,204.5,206.35,206.35,1252062.0
2952,2019-02-08,218.7,218.7,211.75,213.2,213.2,1900652.0
2951,2019-02-07,218.0,220.65,213.55,218.75,218.75,1623329.0
2950,2019-02-06,214.9,217.0,207.15,215.8,215.8,1757922.0
