,Date,Open,High,Low,Close,Adj Close,Volume
261,2019-06-14,360.0,364.7,357.45,363.55,363.55,20943.0
260,2019-06-13,360.0,365.0,356.05,360.5,360.5,23754.0
259,2019-06-12,361.7,367.1,356.0,364.3,364.3,13041.0
258,2019-06-11,373.25,374.0,358.1,361.7,361.7,21224.0
257,2019-06-10,379.0,382.45,370.6,374.4,374.4,13126.0
256,2019-06-07,381.45,387.4,364.0,375.1,375.1,42779.0
255,2019-06-06,399.9,399.9,381.0,383.25,383.25,26055.0
254,2019-06-04,391.05,401.2,390.0,395.65,395.65,16136.0
253,2019-06-03,391.1,396.0,381.55,392.85,392.85,22705.0
252,2019-05-31,391.5,400.9,391.15,393.65,393.65,16410.0
251,2019-05-30,391.0,396.45,389.55,393.05,393.05,14476.0
250,2019-05-29,403.0,404.95,390.1,392.8,392.8,32555.0
249,2019-05-28,400.0,409.0,386.15,398.45,398.45,73493.0
248,2019-05-27,383.8,409.0,378.55,398.7,398.7,93283.0
247,2019-05-24,363.95,399.0,362.1,380.75,380.75,108420.0
246,2019-05-23,358.95,366.9,348.05,359.95,359.95,451465.0
245,2019-05-22,363.2,365.0,348.0,349.7,349.7,55698.0
244,2019-05-21,372.0,374.0,355.0,357.8,357.8,161821.0
243,2019-05-20,358.0,380.0,348.5,372.15,372.15,62386.0
242,2019-05-17,337.15,351.0,332.85,345.9,345.9,31761.0
241,2019-05-16,351.05,353.2,333.05,337.0,337.0,21877.0
240,2019-05-15,346.0,355.0,341.6,350.2,350.2,18409.0
239,2019-05-14,341.95,363.15,328.45,344.95,344.95,82158.0
238,2019-05-13,362.05,363.6,340.0,342.65,342.65,47483.0
237,2019-05-10,364.5,365.65,356.0,363.6,363.6,11526.0
236,2019-05-09,362.05,363.5,355.1,359.95,359.95,12912.0
235,2019-05-08,372.05,376.35,363.1,365.05,365.05,86385.0
234,2019-05-07,381.35,388.0,373.0,377.0,377.0,49897.0
233,2019-05-06,381.1,389.65,378.3,382.25,382.25,27546.0
232,2019-05-03,396.0,398.0,387.5,389.35,389.35,111398.0
231,2019-05-02,399.95,400.0,388.6,390.35,390.35,30510.0
230,2019-04-30,395.0,404.0,376.95,398.55,398.55,87631.0
229,2019-04-26,404.15,405.85,395.0,398.6,398.6,23166.0
228,2019-04-25,401.8,407.0,398.05,403.35,403.35,19271.0
227,2019-04-24,403.95,406.65,399.05,401.8,401.8,21690.0
226,2019-04-23,398.3,408.0,396.4,400.15,400.15,20171.0
225,2019-04-22,409.9,428.9,398.6,400.75,400.75,47587.0
224,2019-04-18,417.75,417.85,401.05,407.1,407.1,77337.0
223,2019-04-16,425.0,425.0,412.35,414.5,414.5,91253.0
222,2019-04-15,400.95,424.0,400.95,411.35,411.35,60674.0
221,2019-04-12,404.0,410.65,398.8,400.85,400.85,46644.0
220,2019-04-11,405.0,411.45,400.0,404.5,404.5,27896.0
219,2019-04-10,403.0,409.4,396.25,404.75,404.75,43033.0
218,2019-04-09,417.8,417.8,398.35,403.2,403.2,46490.0
217,2019-04-08,421.0,429.5,410.0,415.1,415.1,94240.0
216,2019-04-05,391.65,434.0,391.4,425.25,425.25,185716.0
215,2019-04-04,407.0,407.1,385.0,391.7,391.7,88390.0
214,2019-04-03,408.75,417.95,397.05,401.0,401.0,75509.0
213,2019-04-02,419.5,421.95,398.0,405.35,405.35,76360.0
212,2019-04-01,424.4,442.7,412.2,416.15,416.15,239895.0
211,2019-03-28,369.85,385.0,366.2,381.45,381.45,94943.0
210,2019-03-27,352.05,368.1,352.05,365.65,365.65,76156.0
209,2019-03-26,347.1,356.6,347.1,354.2,354.2,39942.0
208,2019-03-25,352.5,355.0,343.2,344.75,344.75,26230.0
207,2019-03-22,346.1,363.0,346.1,350.9,350.9,105349.0
206,2019-03-20,351.0,355.0,348.05,349.5,349.5,249680.0
205,2019-03-19,344.85,352.5,342.05,350.05,350.05,30151.0
204,2019-03-18,344.2,348.0,340.0,345.0,345.0,15464.0
203,2019-03-15,343.05,349.0,340.0,345.05,345.05,119442.0
202,2019-03-14,351.25,354.0,342.0,343.5,343.5,18157.0
201,2019-03-13,350.6,355.05,348.5,353.15,353.15,28842.0
200,2019-03-12,358.0,358.6,350.2,352.2,352.2,33006.0
199,2019-03-11,359.9,359.9,350.05,354.95,354.95,43866.0
198,2019-03-08,354.15,358.3,347.0,350.75,350.75,37260.0
197,2019-03-07,346.5,362.5,346.3,355.2,355.2,44487.0
196,2019-03-06,345.35,350.75,341.6,347.6,347.6,48734.0
195,2019-03-05,341.0,350.0,341.0,344.05,344.05,190116.0
194,2019-03-01,338.05,346.0,338.05,342.8,342.8,184268.0
193,2019-02-28,335.1,346.6,335.05,342.6,342.6,51250.0
192,2019-02-27,350.0,350.0,324.5,338.35,338.35,22887.0
191,2019-02-26,337.3,355.0,336.0,346.45,346.45,23308.0
190,2019-02-25,341.0,343.0,339.95,341.05,341.05,11927.0
189,2019-02-22,335.55,341.9,333.1,340.3,340.3,9713.0
188,2019-02-21,323.7,349.7,319.0,339.7,339.7,53109.0
187,2019-02-20,320.5,326.8,319.0,320.55,320.55,11167.0
186,2019-02-19,322.0,323.95,320.1,322.3,322.3,6767.0
185,2019-02-18,325.6,329.15,320.0,322.2,322.2,7013.0
184,2019-02-15,330.0,331.05,320.5,325.6,325.6,18548.0
183,2019-02-14,326.4,329.35,325.05,327.35,327.35,21509.0
182,2019-02-12,323.65,325.0,317.3,319.4,319.4,4571.0
181,2019-02-11,330.0,330.0,317.3,318.9,318.9,8640.0
180,2019-02-08,333.15,334.95,320.0,327.3,327.3,5392.0
179,2019-02-07,328.9,336.6,325.0,334.7,334.7,11867.0
178,2019-02-06,311.8,339.0,302.0,325.25,325.25,30312.0
177,2019-02-05,324.0,324.0,310.0,313.1,313.1,11434.0
176,2019-02-04,318.95,325.0,312.15,321.5,321.5,36437.0
175,2019-02-01,317.35,319.95,308.85,310.65,310.65,6041.0
174,2019-01-31,322.95,322.95,315.0,316.3,316.3,7588.0
173,2019-01-30,320.35,321.5,315.0,317.45,317.45,7182.0
172,2019-01-29,328.0,328.0,318.0,318.9,318.9,7501.0
171,2019-01-28,338.7,338.75,324.05,325.75,325.75,7435.0
170,2019-01-25,331.75,338.0,330.0,332.45,332.45,10006.0
169,2019-01-24,333.0,333.0,326.5,328.75,328.75,8371.0
168,2019-01-23,329.0,344.7,325.1,328.3,328.3,30927.0
167,2019-01-22,346.95,346.95,323.95,328.35,328.35,13204.0
166,2019-01-21,355.0,355.0,335.35,338.7,338.7,21013.0
165,2019-01-18,346.95,349.15,346.8,347.0,347.0,9970.0
164,2019-01-17,350.5,351.8,345.3,349.8,349.8,7860.0
163,2019-01-16,349.15,351.9,347.1,348.95,348.95,4696.0
162,2019-01-15,352.25,354.9,347.0,350.7,350.7,17886.0
161,2019-01-14,352.7,360.0,348.9,355.5,355.5,41759.0
160,2019-01-11,358.95,358.95,350.6,354.6,354.6,13062.0
159,2019-01-10,353.85,357.4,347.9,356.1,356.1,17991.0
158,2019-01-09,349.0,356.8,342.2,353.3,353.3,30838.0
157,2019-01-08,338.05,349.0,338.0,346.45,346.45,41394.0
156,2019-01-07,336.05,344.0,336.05,340.05,340.05,70136.0
155,2019-01-04,342.4,342.4,332.0,335.95,335.95,11702.0
154,2019-01-03,345.9,348.0,335.0,342.4,342.4,115669.0
153,2019-01-02,350.0,365.0,340.0,343.3,343.3,50884.0
152,2019-01-01,350.85,350.85,341.0,346.8,346.8,3619.0
151,2018-12-31,352.8,353.75,344.2,346.7,346.7,45152.0
150,2018-12-28,350.0,351.95,341.55,349.95,349.95,23772.0
149,2018-12-27,342.7,359.0,330.2,347.45,347.45,68637.0
148,2018-12-26,314.4,354.9,307.0,341.0,341.0,344943.0
147,2018-12-24,341.0,342.0,307.1,309.45,309.45,172826.0
146,2018-12-21,342.05,344.95,336.15,338.7,338.7,80706.0
145,2018-12-20,334.95,347.9,332.0,340.55,340.55,70657.0
144,2018-12-19,322.0,338.0,320.6,334.3,334.3,48712.0
143,2018-12-18,323.0,325.55,319.0,321.45,321.45,155699.0
142,2018-12-17,327.15,335.05,318.15,321.95,321.95,117299.0
141,2018-12-14,333.0,333.0,326.45,328.4,328.4,5337.0
140,2018-12-13,329.25,334.05,328.0,333.0,333.0,13176.0
139,2018-12-12,320.05,330.0,320.05,328.95,328.95,6861.0
138,2018-12-11,314.1,320.5,310.05,318.9,318.9,10176.0
137,2018-12-10,320.0,322.7,314.0,316.05,316.05,5997.0
136,2018-12-07,332.0,332.8,317.65,320.55,320.55,42584.0
135,2018-12-06,337.0,337.0,325.0,326.65,326.65,13676.0
134,2018-12-05,335.0,340.75,328.0,329.7,329.7,23202.0
133,2018-12-04,340.95,340.95,336.9,338.3,338.3,14506.0
132,2018-12-03,343.05,351.0,338.05,340.95,340.95,25051.0
131,2018-11-30,350.0,357.7,340.15,343.2,343.2,33924.0
130,2018-11-29,350.0,358.95,342.15,349.9,349.9,151814.0
