,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,743.85,745.5,738.25,740.45,740.45,5556348.0
4873,2019-06-13,740.0,747.2,740.0,742.65,742.65,4808547.0
4872,2019-06-12,756.95,756.95,745.0,753.8,743.3,8738342.0
4871,2019-06-11,755.0,759.0,750.5,754.9,744.3847,5733127.0
4870,2019-06-10,740.1,754.1,740.1,753.5,743.0041,4435148.0
4869,2019-06-07,735.85,743.95,735.85,739.1,728.8047,3218358.0
4868,2019-06-06,736.5,744.65,733.65,735.6,725.3535,7563925.0
4867,2019-06-04,737.25,739.45,733.15,735.3,725.0577,11733702.0
4866,2019-06-03,729.8,750.9,729.0,744.65,734.2775,7744761.0
4865,2019-05-31,736.5,742.95,733.2,737.75,727.4736,8290306.0
4864,2019-05-30,727.0,737.25,722.55,733.55,723.332,15089296.0
4863,2019-05-29,725.5,733.65,723.65,727.8,717.6622,10293077.0
4862,2019-05-28,712.0,733.45,709.8,728.1,717.9579,23860490.0
4861,2019-05-27,707.4,713.8,705.5,708.1,698.2366,10247544.0
4860,2019-05-24,703.8,711.75,700.45,709.2,699.3213,7016424.0
4859,2019-05-23,715.0,716.7,697.45,701.05,691.2848,7233736.0
4858,2019-05-22,710.0,718.25,707.0,709.75,699.8636,5795713.0
4857,2019-05-21,722.65,722.65,707.7,709.3,699.4199,8645535.0
4856,2019-05-20,719.7,726.4,706.0,722.4,712.3374,11213708.0
4855,2019-05-17,733.15,735.8,720.1,723.9,713.8165,8155948.0
4854,2019-05-16,720.0,737.0,719.1,733.1,722.8883,6468556.0
4853,2019-05-15,714.9,725.2,712.6,716.1,706.1251,6668929.0
4852,2019-05-14,716.5,717.75,703.6,713.85,703.9064,10513001.0
4851,2019-05-13,716.55,726.45,712.1,719.7,709.675,6808993.0
4850,2019-05-10,720.8,726.0,715.0,716.85,706.8647,8352335.0
4849,2019-05-09,719.15,730.3,715.8,721.05,711.0062,7396525.0
4848,2019-05-08,721.0,726.0,716.5,719.35,709.3298,6247642.0
4847,2019-05-07,720.4,727.9,718.7,724.55,714.4574,5747436.0
4846,2019-05-06,715.0,721.8,710.65,718.4,708.3931,8858265.0
4845,2019-05-03,722.9,731.0,718.2,723.6,713.5206,6348116.0
4844,2019-05-02,747.0,748.4,729.5,730.8,720.6204,6351352.0
4843,2019-04-30,738.0,753.8,738.0,751.35,740.8841,9920046.0
4842,2019-04-26,731.0,739.8,729.0,738.0,727.7201,6895168.0
4841,2019-04-25,736.45,737.65,727.05,728.55,718.4017,8005235.0
4840,2019-04-24,728.2,737.9,724.0,736.45,726.1917,8285120.0
4839,2019-04-23,723.9,730.0,718.4,728.2,718.0566,5516668.0
4838,2019-04-22,717.05,725.75,715.0,721.05,711.0062,6455426.0
4837,2019-04-18,722.5,722.5,712.75,717.05,707.0619,13801105.0
4836,2019-04-16,727.9,727.9,714.1,724.1,714.0137,12524411.0
4835,2019-04-15,724.7,731.35,712.6,727.5,717.3663,31574803.0
4834,2019-04-12,743.1,751.55,740.6,747.75,737.3343,7043212.0
4833,2019-04-11,751.75,751.75,740.05,742.7,732.3546,8200995.0
4832,2019-04-10,764.0,766.7,751.3,752.7,742.2153,7031088.0
4831,2019-04-09,770.0,773.0,758.2,760.6,750.0052,6730692.0
4830,2019-04-08,763.05,770.0,755.4,767.25,756.5626,4919911.0
4829,2019-04-05,750.9,760.95,748.0,759.3,748.7234,6276040.0
4828,2019-04-04,751.4,753.8,745.1,747.9,737.4822,7688525.0
4827,2019-04-03,756.0,758.5,746.8,753.3,742.8069,6897127.0
4826,2019-04-02,759.0,765.8,754.6,759.4,748.822,7283600.0
4825,2019-04-01,742.0,760.0,742.0,755.1,744.5818,6584982.0
4824,2019-03-28,730.0,745.0,730.0,737.8,727.5228,9277241.0
4823,2019-03-27,0.0,0.0,0.0,0.0,0.0,0.0
4822,2019-03-26,0.0,0.0,0.0,0.0,0.0,0.0
