,Date,Open,High,Low,Close,Adj Close,Volume
1105,2019-06-14,265.0,278.0,265.0,274.75,274.75,590385.0
1104,2019-06-13,265.65,268.0,263.1,264.9,264.9,332180.0
1103,2019-06-12,265.0,266.0,263.3,265.05,265.05,298097.0
1102,2019-06-11,266.9,268.5,262.55,264.95,264.95,209076.0
1101,2019-06-10,263.45,269.0,263.45,266.1,266.1,155591.0
1100,2019-06-07,263.05,269.65,262.25,265.55,265.55,221074.0
1099,2019-06-06,270.1,274.85,264.05,264.8,264.8,396070.0
1098,2019-06-04,261.95,272.75,260.0,270.1,270.1,599836.0
1097,2019-06-03,254.65,270.8,254.15,261.0,261.0,556220.0
1096,2019-05-31,250.5,259.9,250.5,257.0,257.0,371311.0
1095,2019-05-30,250.35,253.45,248.15,250.25,250.25,168725.0
1094,2019-05-29,252.0,254.25,248.0,250.35,250.35,129480.0
1093,2019-05-28,247.8,253.9,244.55,251.85,251.85,274827.0
1092,2019-05-27,250.8,259.15,244.4,246.5,246.5,260681.0
1091,2019-05-24,241.9,254.0,241.7,251.0,251.0,619445.0
1090,2019-05-23,232.1,249.45,229.9,239.05,239.05,680247.0
1089,2019-05-22,228.6,231.9,228.05,230.05,230.05,263713.0
1088,2019-05-21,229.0,234.25,225.8,230.15,230.15,195068.0
1087,2019-05-20,228.6,238.3,227.9,229.9,229.9,304967.0
1086,2019-05-17,221.45,226.0,220.6,225.3,225.3,152460.0
1085,2019-05-16,224.55,224.95,218.1,221.65,221.65,124078.0
1084,2019-05-15,223.95,226.3,223.25,224.55,224.55,194557.0
1083,2019-05-14,221.05,226.8,220.3,225.05,225.05,290106.0
1082,2019-05-13,224.35,226.5,220.25,222.3,222.3,540584.0
1081,2019-05-10,224.0,228.8,224.0,225.0,225.0,171579.0
1080,2019-05-09,223.0,226.3,223.0,225.05,225.05,169927.0
1079,2019-05-08,223.25,226.0,222.75,224.85,224.85,253404.0
1078,2019-05-07,223.9,226.95,223.0,224.5,224.5,519701.0
1077,2019-05-06,214.0,223.9,210.05,221.95,221.95,433361.0
1076,2019-05-03,224.0,228.9,215.7,216.95,216.95,393232.0
1075,2019-05-02,226.3,233.9,223.2,229.25,229.25,1121137.0
1074,2019-04-30,224.2,229.6,222.3,227.3,227.3,225629.0
1073,2019-04-26,224.0,225.7,223.0,224.8,224.8,57911.0
1072,2019-04-25,223.25,225.55,222.0,224.25,224.25,112416.0
1071,2019-04-24,223.0,226.6,221.5,223.95,223.95,139788.0
