,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,160.1,161.55,158.7,159.8,159.8,4456643.0
4873,2019-06-13,163.2,163.5,158.05,160.7,160.7,7869891.0
4872,2019-06-12,163.0,163.4,161.1,162.55,162.55,4710283.0
4871,2019-06-11,161.1,162.95,159.3,162.5,162.5,5443668.0
4870,2019-06-10,163.4,163.5,159.15,160.65,160.65,6905925.0
4869,2019-06-07,163.0,164.75,161.65,163.8,163.8,6316945.0
4868,2019-06-06,167.3,168.75,161.75,163.55,163.55,10111320.0
4867,2019-06-04,170.0,170.0,164.7,165.35,165.35,9515155.0
4866,2019-06-03,167.8,170.75,167.05,169.7,169.7,18448513.0
4865,2019-05-31,164.0,168.8,162.95,165.55,165.55,21171057.0
4864,2019-05-30,160.5,163.4,159.4,161.95,161.95,21433409.0
4863,2019-05-29,164.6,164.9,159.4,160.35,160.35,8732638.0
4862,2019-05-28,162.0,164.0,160.1,163.45,163.45,16148042.0
4861,2019-05-27,156.0,162.85,155.4,162.2,162.2,12472892.0
4860,2019-05-24,159.0,159.85,154.3,156.8,156.8,16976732.0
4859,2019-05-23,158.5,160.2,153.4,154.2,154.2,14440150.0
4858,2019-05-22,155.0,156.75,152.25,155.45,155.45,8699597.0
4857,2019-05-21,158.0,159.25,152.4,153.5,153.5,8646559.0
4856,2019-05-20,155.0,158.85,151.1,157.65,157.65,12544327.0
4855,2019-05-17,150.0,152.65,146.85,149.6,149.6,22762517.0
4854,2019-05-16,144.3,152.3,143.0,151.15,151.15,11507435.0
4853,2019-05-15,145.0,147.15,143.8,145.75,145.75,12492965.0
4852,2019-05-14,142.6,144.85,141.5,143.6,143.6,9252786.0
4851,2019-05-13,146.2,147.85,142.0,142.6,142.6,9712869.0
4850,2019-05-10,149.9,150.25,147.05,147.6,147.6,7220841.0
4849,2019-05-09,152.2,152.95,150.0,150.6,150.6,4834865.0
4848,2019-05-08,154.0,155.2,151.7,152.2,152.2,5788594.0
4847,2019-05-07,156.7,156.7,152.2,153.45,153.45,8413311.0
4846,2019-05-06,157.5,158.4,155.15,156.7,156.7,7947973.0
4845,2019-05-03,159.95,160.0,155.7,156.15,156.15,6920322.0
4844,2019-05-02,159.0,160.3,156.2,158.1,158.1,11858590.0
4843,2019-04-30,155.0,159.0,153.65,158.05,158.05,14156261.0
4842,2019-04-26,153.9,157.1,151.5,152.85,152.85,11983996.0
4841,2019-04-25,153.6,155.45,151.85,152.7,152.7,28773110.0
4840,2019-04-24,151.0,154.15,150.45,153.8,153.8,11867517.0
4839,2019-04-23,149.4,150.9,146.85,149.4,149.4,8417128.0
4838,2019-04-22,152.5,152.75,148.85,149.75,149.75,12552321.0
4837,2019-04-18,157.45,157.45,154.15,156.1,156.1,9175855.0
4836,2019-04-16,155.6,158.5,153.75,155.7,155.7,11692744.0
4835,2019-04-15,156.8,158.0,153.3,154.0,154.0,9738383.0
4834,2019-04-12,158.85,159.7,155.05,155.35,155.35,14343500.0
4833,2019-04-11,156.6,161.8,156.15,157.95,157.95,15119968.0
4832,2019-04-10,154.75,158.35,153.45,156.6,156.6,8883968.0
4831,2019-04-09,149.0,156.0,148.8,155.4,155.4,15095801.0
4830,2019-04-08,157.4,157.4,151.7,152.05,152.05,12708062.0
4829,2019-04-05,155.75,159.0,155.4,158.45,158.45,8951614.0
4828,2019-04-04,154.5,156.1,153.35,155.2,155.2,9365107.0
4827,2019-04-03,158.0,159.65,153.0,153.45,153.45,10570399.0
4826,2019-04-02,158.0,159.9,157.05,158.15,158.15,10903166.0
4825,2019-04-01,163.1,163.8,156.8,158.7,158.7,20174629.0
4824,2019-03-28,162.0,164.1,160.35,161.3,161.3,29432533.0
4823,2019-03-27,162.0,163.7,160.4,161.45,161.45,10666251.0
4822,2019-03-26,165.1,169.75,160.5,161.8,160.3,26397138.0
4821,2019-03-25,157.0,165.9,155.0,164.35,162.8264,23685632.0
4820,2019-03-22,158.8,161.25,155.1,157.05,155.594,31011781.0
4819,2019-03-20,162.75,162.75,155.7,159.0,157.526,36067181.0
4818,2019-03-19,166.0,166.0,161.75,162.7,161.1917,30403832.0
4817,2019-03-18,159.95,166.2,157.85,162.8,161.2907,41482126.0
4816,2019-03-15,152.7,159.2,150.7,157.35,155.8913,29634224.0
4815,2019-03-14,149.5,152.15,149.15,151.1,149.6992,11582969.0
4814,2019-03-13,152.0,152.7,146.85,148.75,147.371,20116619.0
4813,2019-03-12,155.0,156.45,153.0,154.1,152.6714,11740554.0
4812,2019-03-11,150.0,155.35,149.35,153.7,152.2751,12346239.0
4811,2019-03-08,150.0,150.9,144.7,148.7,147.3214,16049350.0
4810,2019-03-07,155.45,157.2,149.15,150.2,148.8075,11340915.0
4809,2019-03-06,155.0,157.25,153.5,154.9,153.464,11217264.0
4808,2019-03-05,146.8,154.25,146.7,153.65,152.2255,13842965.0
4807,2019-03-01,144.9,148.95,143.25,148.05,146.6775,8671002.0
4806,2019-02-28,142.5,146.8,141.55,144.6,143.2595,66681103.0
4805,2019-02-27,143.0,144.25,139.05,140.9,139.5938,11495038.0
4804,2019-02-26,137.0,143.25,136.65,142.25,140.9312,18210608.0
4803,2019-02-25,137.9,139.5,134.55,138.6,137.3151,17046470.0
4802,2019-02-22,131.75,138.0,131.7,137.2,135.9281,24995422.0
4801,2019-02-21,129.0,131.45,128.3,131.1,129.8846,5912967.0
4800,2019-02-20,126.5,130.7,125.9,129.3,128.1013,7962818.0
4799,2019-02-19,125.0,128.15,125.0,125.6,124.4356,6131943.0
4798,2019-02-18,125.85,126.75,124.2,124.95,123.7916,5920366.0
4797,2019-02-15,126.95,127.0,120.95,125.45,124.287,16601313.0
4796,2019-02-14,129.5,129.65,123.55,124.65,123.4944,24830679.0
4795,2019-02-12,137.0,137.9,133.9,134.75,133.5008,9587846.0
4794,2019-02-11,133.9,137.55,130.6,135.85,134.5906,11300239.0
4793,2019-02-08,138.15,138.2,133.1,133.8,132.5596,3582567.0
4792,2019-02-07,137.85,138.55,136.65,138.05,136.7702,3429101.0
4791,2019-02-06,133.5,138.25,133.5,137.85,136.572,4483438.0
4790,2019-02-05,135.95,136.2,133.3,133.75,132.51,3435563.0
4789,2019-02-04,136.5,138.25,135.1,135.9,134.6401,4992704.0
4788,2019-02-01,137.35,138.5,136.15,137.2,135.9281,5092724.0
4787,2019-01-31,133.0,138.3,132.25,136.85,135.5813,32332758.0
4786,2019-01-30,137.15,138.0,132.65,134.55,133.3026,16613250.0
4785,2019-01-29,138.0,139.55,136.5,137.35,136.0767,8366609.0
4784,2019-01-28,137.2,138.35,136.4,138.05,136.7702,5570306.0
4783,2019-01-25,136.8,138.8,136.8,137.75,136.473,6255229.0
4782,2019-01-24,136.25,138.2,136.1,136.8,135.5318,6161313.0
4781,2019-01-23,136.5,136.8,135.1,136.1,134.8383,5367900.0
4780,2019-01-22,135.95,137.3,135.35,135.95,134.6896,7120979.0
4779,2019-01-21,137.0,137.8,135.45,135.65,134.3924,5191531.0
4778,2019-01-18,137.5,138.7,137.15,137.85,136.572,7023754.0
4777,2019-01-17,136.0,138.3,135.3,137.65,136.3739,11644105.0
4776,2019-01-16,135.0,136.0,134.15,135.8,134.541,6605251.0
4775,2019-01-15,132.6,134.75,132.55,134.55,133.3026,6386411.0
4774,2019-01-14,133.0,133.15,131.0,132.3,131.0735,8986002.0
4773,2019-01-11,130.5,131.55,130.35,131.2,129.9837,7589370.0
4772,2019-01-10,131.1,131.8,129.45,129.9,128.6957,10687270.0
4771,2019-01-09,133.75,134.3,131.6,132.0,130.7763,8349450.0
4770,2019-01-08,133.6,134.2,132.7,134.0,132.7577,6870682.0
4769,2019-01-07,134.5,134.75,132.5,133.45,132.2128,10623470.0
4768,2019-01-04,132.65,134.95,132.5,133.95,132.7082,7277203.0
4767,2019-01-03,137.2,137.2,132.15,132.65,131.4202,13059163.0
4766,2019-01-02,137.3,138.2,134.1,137.25,135.9776,11509773.0
4765,2019-01-01,137.2,138.0,136.3,137.7,136.4234,4059229.0
4764,2018-12-31,138.6,139.0,136.55,137.05,135.7794,7360454.0
4763,2018-12-28,134.6,138.7,134.2,138.2,136.9188,16519862.0
4762,2018-12-27,134.6,135.2,131.0,133.9,132.6586,46704031.0
4761,2018-12-26,136.3,137.2,134.3,134.65,133.4017,18564231.0
4760,2018-12-24,140.5,140.9,134.3,135.05,133.798,14877792.0
4759,2018-12-21,141.8,142.8,139.1,139.75,138.4544,34680959.0
4758,2018-12-20,145.55,148.25,144.9,147.85,139.7919,21555488.0
4757,2018-12-19,147.0,147.75,145.55,145.95,137.9955,18132865.0
4756,2018-12-18,143.7,145.0,143.0,144.75,136.8609,20050465.0
4755,2018-12-17,142.6,143.1,141.3,142.9,135.1117,18481348.0
4754,2018-12-14,141.15,142.5,140.1,141.25,133.5516,39439207.0
4753,2018-12-13,138.45,138.9,136.35,137.4,129.9114,17570018.0
4752,2018-12-12,132.0,136.9,131.65,136.1,128.6823,18708955.0
4751,2018-12-11,134.0,134.0,129.55,131.95,124.7585,21799139.0
4750,2018-12-10,129.5,135.7,127.5,134.35,127.0277,50610060.0
4749,2018-12-07,132.75,133.6,128.7,129.75,122.6784,13748101.0
4748,2018-12-06,133.0,133.25,129.65,130.75,123.6239,9198267.0
4747,2018-12-05,135.45,138.2,132.55,134.3,126.9804,10988473.0
4746,2018-12-04,132.5,136.25,132.2,135.65,128.2568,9410020.0
4745,2018-12-03,133.7,134.3,132.4,132.8,125.5622,11101159.0
4744,2018-11-30,135.5,135.9,132.4,134.6,127.2641,30122132.0
4743,2018-11-29,136.5,136.5,132.1,134.85,127.5004,25538361.0
4742,2018-11-28,137.3,138.25,133.45,134.05,126.744,20450770.0
4741,2018-11-27,136.45,139.65,135.25,138.45,130.9042,18224941.0
4740,2018-11-26,142.5,143.0,136.05,136.95,129.486,19288794.0
4739,2018-11-22,141.95,142.3,138.0,138.25,130.7151,8924144.0
4738,2018-11-21,145.4,148.5,141.1,141.6,133.8826,17200761.0
4737,2018-11-20,143.8,144.9,138.0,139.05,131.4715,10075993.0
4736,2018-11-19,144.0,144.65,140.0,142.55,134.7808,7056119.0
4735,2018-11-16,144.6,145.7,141.25,143.35,135.5372,8661035.0
4734,2018-11-15,146.0,148.7,142.75,146.65,138.6573,7801533.0
4733,2018-11-14,146.0,155.5,144.2,145.4,137.4754,28107114.0
4732,2018-11-13,137.05,142.3,137.0,141.4,133.6934,14884569.0
4731,2018-11-12,141.6,141.6,134.25,135.05,127.6895,10438326.0
4730,2018-11-09,140.5,142.7,140.4,141.65,133.9298,8628411.0
4729,2018-11-07,139.0,139.4,138.35,138.95,131.377,1173971.0
4728,2018-11-06,141.0,141.45,136.5,137.35,129.8642,10164542.0
4727,2018-11-05,146.5,146.5,139.4,140.3,132.6534,13295509.0
4726,2018-11-02,146.2,151.4,145.2,148.25,140.1701,16785626.0
4725,2018-11-01,139.75,142.95,139.0,141.85,134.1189,13189131.0
4724,2018-10-31,137.0,138.95,135.05,138.45,130.9042,6364735.0
4723,2018-10-30,140.0,140.5,135.65,136.3,128.8714,6910360.0
4722,2018-10-29,137.75,141.85,135.8,141.45,133.7407,5438158.0
4721,2018-10-26,139.25,139.9,135.1,137.65,130.1478,9714145.0
4720,2018-10-25,136.15,141.55,135.3,140.1,132.4643,20846952.0
4719,2018-10-24,134.0,139.25,132.9,137.55,130.0533,17261345.0
4718,2018-10-23,128.0,131.3,125.0,130.0,122.9148,10590075.0
4717,2018-10-22,134.7,134.8,129.1,129.75,122.6784,7167556.0
4716,2018-10-19,134.9,134.9,131.7,133.15,125.8931,10476750.0
4715,2018-10-17,136.0,136.5,131.75,132.3,125.0894,6507467.0
4714,2018-10-16,135.55,136.95,133.3,135.45,128.0677,8759088.0
4713,2018-10-15,135.0,135.8,129.6,135.05,127.6895,9010926.0
4712,2018-10-12,135.35,136.75,133.15,133.9,126.6022,14166649.0
4711,2018-10-11,122.9,133.95,120.5,131.0,123.8603,27978739.0
4710,2018-10-10,123.0,128.2,122.05,124.0,117.2418,10735967.0
4709,2018-10-09,125.95,126.7,120.3,122.65,115.9654,11260171.0
4708,2018-10-08,122.0,125.7,117.6,124.85,118.0454,30726195.0
4707,2018-10-05,126.3,126.3,105.25,118.05,111.6161,80885401.0
4706,2018-10-04,157.9,158.35,126.75,140.3,132.6534,15592520.0
4705,2018-10-03,151.5,159.1,151.1,158.4,149.7669,8151662.0
4704,2018-10-01,153.0,155.0,150.0,153.95,145.5594,6344801.0
4703,2018-09-28,153.0,154.7,151.35,153.35,144.9922,4977135.0
4702,2018-09-27,154.75,155.0,152.0,152.65,144.3303,9068384.0
4701,2018-09-26,156.0,156.2,152.3,154.45,146.0322,4795841.0
4700,2018-09-25,152.4,155.85,151.0,154.15,145.7485,6688716.0
4699,2018-09-24,157.65,160.2,154.0,154.95,146.5049,7021959.0
4698,2018-09-21,155.9,159.3,154.5,158.15,149.5305,19078869.0
4697,2018-09-19,152.6,155.3,151.55,153.55,145.1812,5819078.0
4696,2018-09-18,157.4,157.7,152.0,152.6,144.283,5269201.0
4695,2018-09-17,154.1,158.85,153.1,156.55,148.0177,11622274.0
4694,2018-09-14,151.5,156.0,151.05,155.25,146.7886,8910097.0
4693,2018-09-12,149.7,149.7,145.55,149.1,140.9738,9516781.0
4692,2018-09-11,151.1,152.85,150.15,150.7,142.4866,7963226.0
4691,2018-09-10,153.0,153.0,150.4,151.05,142.8175,6619280.0
4690,2018-09-07,154.3,154.4,152.5,153.4,145.0394,6117229.0
4689,2018-09-06,153.95,154.4,151.6,153.6,145.2285,5735872.0
4688,2018-09-05,152.0,153.5,150.0,152.8,144.4721,6771082.0
4687,2018-09-04,154.9,154.9,152.1,152.45,144.1412,4350544.0
4686,2018-09-03,157.0,157.0,154.6,155.0,146.5522,4167775.0
4685,2018-08-31,154.15,156.3,153.05,155.55,147.0722,5240824.0
4684,2018-08-30,155.7,155.95,153.9,154.25,145.8431,6850784.0
4683,2018-08-29,156.1,156.95,155.3,156.5,147.9705,3540359.0
4682,2018-08-28,156.5,157.4,154.65,155.55,147.0722,4438707.0
4681,2018-08-27,155.0,156.8,154.65,156.1,147.5923,4403507.0
4680,2018-08-24,153.65,155.4,151.5,154.25,145.8431,8881220.0
4679,2018-08-23,157.5,157.6,151.8,153.4,145.0394,11472744.0
4678,2018-08-21,158.25,159.8,157.5,157.7,149.1051,5851590.0
4677,2018-08-20,159.5,160.35,158.1,158.65,150.0033,6048047.0
4676,2018-08-17,159.0,160.0,158.65,159.55,148.9632,3422494.0
4675,2018-08-16,161.6,162.0,158.15,158.5,147.9829,7751572.0
4674,2018-08-14,161.7,162.3,159.0,160.7,150.0369,6120922.0
4673,2018-08-13,168.0,168.0,160.0,160.65,149.9902,10569341.0
4672,2018-08-10,166.05,168.8,163.3,166.35,155.312,6391554.0
4671,2018-08-09,168.55,169.2,164.8,165.4,154.425,5341459.0
4670,2018-08-08,166.65,168.0,165.4,165.9,154.8919,2793529.0
