,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,937.8,944.0,931.0,937.7,937.7,82719.0
4873,2019-06-13,919.0,962.55,919.0,934.4,934.4,241355.0
4872,2019-06-12,924.6,926.8,917.0,918.9,918.9,55521.0
4871,2019-06-11,927.65,940.0,918.35,924.7,924.7,189534.0
4870,2019-06-10,944.4,945.95,917.0,928.1,928.1,131945.0
4869,2019-06-07,924.0,946.9,924.0,938.55,938.55,95743.0
4868,2019-06-06,930.5,939.15,921.05,924.6,924.6,146119.0
4867,2019-06-04,929.9,938.95,929.9,933.6,933.6,96294.0
4866,2019-06-03,944.9,949.85,920.85,925.0,925.0,91732.0
4865,2019-05-31,935.5,950.95,930.35,938.15,938.15,379637.0
4864,2019-05-30,935.9,949.95,927.4,933.8,933.8,87953.0
4863,2019-05-29,939.9,952.95,921.0,928.6,928.6,455877.0
4862,2019-05-28,928.0,950.0,907.0,931.6,931.6,120042.0
4861,2019-05-27,941.2,944.25,920.1,926.5,926.5,76399.0
4860,2019-05-24,920.0,941.4,918.05,933.65,933.65,116996.0
4859,2019-05-23,935.0,936.85,905.0,914.5,914.5,217816.0
4858,2019-05-22,924.95,932.0,911.55,924.45,924.45,300508.0
4857,2019-05-21,939.85,940.4,915.0,919.35,919.35,80339.0
4856,2019-05-20,930.0,946.0,918.75,932.3,932.3,89701.0
4855,2019-05-17,917.4,949.0,910.5,919.35,919.35,73463.0
4854,2019-05-16,920.0,927.9,903.65,910.05,910.05,61912.0
4853,2019-05-15,921.0,960.0,912.7,917.5,917.5,124381.0
4852,2019-05-14,920.2,938.15,897.0,926.05,926.05,225770.0
4851,2019-05-13,977.9,977.9,915.55,929.5,929.5,127575.0
4850,2019-05-10,976.1,984.95,960.0,973.15,973.15,49662.0
4849,2019-05-09,957.0,981.6,943.0,968.35,968.35,67628.0
4848,2019-05-08,947.7,960.0,940.6,950.05,950.05,84590.0
4847,2019-05-07,963.0,977.0,946.5,955.35,955.35,90555.0
4846,2019-05-06,969.1,969.9,950.05,954.5,954.5,57195.0
4845,2019-05-03,979.05,982.4,967.45,977.0,977.0,60249.0
4844,2019-05-02,955.0,984.0,954.5,973.0,973.0,114044.0
4843,2019-04-30,960.4,960.45,944.0,952.5,952.5,255343.0
4842,2019-04-26,978.7,985.4,961.1,968.2,968.2,166002.0
4841,2019-04-25,977.0,987.6,975.7,979.0,979.0,142908.0
4840,2019-04-24,984.0,988.15,960.0,965.3,965.3,116415.0
4839,2019-04-23,969.8,1033.1,965.4,975.45,975.45,678273.0
4838,2019-04-22,965.0,970.0,945.6,963.75,963.75,73074.0
4837,2019-04-18,946.0,984.9,945.5,964.05,964.05,250525.0
4836,2019-04-16,947.7,955.0,926.0,946.3,946.3,159431.0
4835,2019-04-15,952.0,960.0,940.0,942.85,942.85,135662.0
4834,2019-04-12,949.8,953.9,939.85,951.8,951.8,53909.0
4833,2019-04-11,945.7,953.7,939.05,946.3,946.3,55527.0
4832,2019-04-10,936.0,959.25,931.75,945.15,945.15,90431.0
4831,2019-04-09,944.3,944.3,917.35,936.15,936.15,235974.0
4830,2019-04-08,950.0,959.9,913.55,937.45,937.45,245184.0
4829,2019-04-05,966.75,976.55,951.1,956.8,956.8,61734.0
4828,2019-04-04,963.0,975.0,951.1,962.45,962.45,89817.0
4827,2019-04-03,947.0,1008.6,947.0,963.3,963.3,424650.0
4826,2019-04-02,975.0,979.7,948.1,952.75,952.75,93337.0
4825,2019-04-01,987.4,1000.0,965.5,972.75,972.75,98334.0
4824,2019-03-28,925.0,967.5,913.2,959.55,959.55,107479.0
4823,2019-03-27,924.95,935.0,917.0,925.65,925.65,137578.0
4822,2019-03-26,921.0,932.0,915.05,924.95,924.95,284198.0
4821,2019-03-25,925.7,925.7,910.05,916.85,916.85,102501.0
4820,2019-03-22,936.7,937.35,925.0,928.1,928.1,79180.0
4819,2019-03-20,917.7,949.0,912.05,938.4,938.4,273666.0
4818,2019-03-19,893.5,929.45,893.5,919.2,919.2,251283.0
4817,2019-03-18,892.7,898.0,878.75,885.9,885.9,93782.0
4816,2019-03-15,907.7,914.8,875.55,885.55,885.55,183627.0
4815,2019-03-14,919.0,920.8,895.0,899.45,899.45,108577.0
4814,2019-03-13,930.0,931.0,909.15,917.55,917.55,142721.0
4813,2019-03-12,934.85,941.75,918.6,928.2,928.2,227185.0
4812,2019-03-11,890.0,941.8,887.5,929.05,929.05,843189.0
4811,2019-03-08,873.0,917.4,864.0,887.05,887.05,485914.0
4810,2019-03-07,872.0,880.3,861.95,870.45,870.45,230404.0
4809,2019-03-06,877.1,887.7,865.35,872.8,872.8,258075.0
4808,2019-03-05,854.0,888.45,851.55,875.35,875.35,411490.0
4807,2019-03-01,809.1,862.9,809.1,851.55,851.55,679847.0
4806,2019-02-28,804.0,814.6,799.65,809.8,809.8,161969.0
4805,2019-02-27,805.05,812.0,784.0,803.4,803.4,164738.0
4804,2019-02-26,795.0,810.0,784.0,800.35,800.35,45780.0
4803,2019-02-25,793.6,819.8,793.0,796.1,796.1,245429.0
4802,2019-02-22,800.2,806.0,789.0,792.85,792.85,161042.0
4801,2019-02-21,795.0,810.0,792.55,800.2,800.2,340746.0
4800,2019-02-20,809.7,815.0,793.0,799.05,799.05,154199.0
4799,2019-02-19,807.85,815.45,786.4,804.85,804.85,161743.0
4798,2019-02-18,788.0,828.85,776.05,808.25,808.25,390989.0
4797,2019-02-15,757.0,779.85,750.0,775.35,775.35,74544.0
4796,2019-02-14,752.95,763.15,742.45,756.85,756.85,630390.0
4795,2019-02-12,730.65,751.5,727.0,741.05,741.05,396881.0
4794,2019-02-11,727.2,748.75,722.1,730.65,730.65,192668.0
4793,2019-02-08,739.15,740.0,730.25,732.75,732.75,19032.0
4792,2019-02-07,750.3,762.8,736.0,744.7,744.7,202393.0
4791,2019-02-06,744.0,758.95,729.95,750.3,750.3,918904.0
4790,2019-02-05,743.15,747.5,717.0,723.0,723.0,122513.0
4789,2019-02-04,759.5,764.4,735.0,740.9,740.9,76224.0
4788,2019-02-01,766.1,779.2,751.55,760.6,760.6,55003.0
4787,2019-01-31,780.65,783.8,761.05,769.45,769.45,259955.0
4786,2019-01-30,776.0,784.8,772.3,781.75,781.75,47528.0
4785,2019-01-29,775.05,782.2,775.05,779.6,779.6,56459.0
4784,2019-01-28,770.05,791.1,770.05,779.9,779.9,105990.0
4783,2019-01-25,786.7,787.6,777.4,779.95,779.95,92588.0
4782,2019-01-24,778.35,790.0,775.15,784.35,784.35,87845.0
4781,2019-01-23,775.0,785.0,770.9,781.75,781.75,28985.0
4780,2019-01-22,776.1,777.4,761.1,772.85,772.85,101789.0
4779,2019-01-21,772.0,785.0,771.0,779.75,779.75,45881.0
4778,2019-01-18,785.6,786.55,763.9,771.0,771.0,45673.0
4777,2019-01-17,798.0,798.0,775.6,787.95,787.95,174576.0
4776,2019-01-16,786.0,789.5,780.1,788.8,788.8,38234.0
4775,2019-01-15,785.05,789.9,776.0,783.4,783.4,31116.0
4774,2019-01-14,781.0,789.75,775.3,785.15,785.15,38326.0
4773,2019-01-11,782.0,793.0,778.05,780.5,780.5,107209.0
4772,2019-01-10,779.5,794.0,775.0,782.1,782.1,89333.0
4771,2019-01-09,784.9,787.35,775.0,777.05,777.05,44510.0
4770,2019-01-08,786.0,794.0,772.5,775.0,775.0,201896.0
4769,2019-01-07,799.0,799.0,776.0,784.1,784.1,370121.0
4768,2019-01-04,788.0,792.55,775.7,787.0,787.0,194488.0
4767,2019-01-03,805.0,815.95,782.1,787.65,787.65,61047.0
4766,2019-01-02,802.6,819.0,798.25,799.85,799.85,60411.0
4765,2019-01-01,800.05,819.0,793.15,816.35,816.35,63581.0
4764,2018-12-31,782.05,806.0,780.0,802.1,802.1,79435.0
4763,2018-12-28,789.7,800.0,777.0,781.2,781.2,58223.0
4762,2018-12-27,790.0,790.0,780.1,783.8,783.8,39004.0
4761,2018-12-26,788.6,798.0,783.0,790.3,790.3,39108.0
4760,2018-12-24,796.5,819.6,788.1,801.85,801.85,118967.0
4759,2018-12-21,785.0,809.55,785.0,805.1,805.1,79875.0
4758,2018-12-20,791.0,807.7,779.7,783.45,783.45,84896.0
4757,2018-12-19,778.0,811.05,778.0,806.3,806.3,93445.0
4756,2018-12-18,802.0,802.95,774.0,778.55,778.55,149781.0
4755,2018-12-17,791.0,803.0,783.05,799.85,799.85,108719.0
4754,2018-12-14,805.0,805.0,781.0,790.7,790.7,70135.0
4753,2018-12-13,788.0,826.45,778.0,802.95,802.95,527944.0
4752,2018-12-12,783.2,791.5,783.2,789.05,789.05,186534.0
4751,2018-12-11,793.85,805.7,778.05,782.85,782.85,199002.0
4750,2018-12-10,777.0,799.7,770.4,797.75,797.75,133638.0
4749,2018-12-07,781.25,786.7,773.1,781.7,781.7,80110.0
4748,2018-12-06,795.0,795.7,765.5,778.4,778.4,169338.0
4747,2018-12-05,784.3,801.95,784.3,795.8,795.8,93560.0
4746,2018-12-04,803.9,805.0,792.85,797.95,797.95,84809.0
4745,2018-12-03,800.0,810.0,792.0,804.5,804.5,441189.0
4744,2018-11-30,781.95,805.0,774.0,796.45,796.45,196017.0
4743,2018-11-29,785.1,810.0,775.0,787.25,787.25,106227.0
4742,2018-11-28,799.9,799.9,780.05,789.55,789.55,57179.0
4741,2018-11-27,789.95,794.8,776.5,789.15,789.15,199976.0
4740,2018-11-26,795.0,816.2,775.0,788.15,788.15,282533.0
4739,2018-11-22,762.55,795.1,752.0,789.25,789.25,190433.0
4738,2018-11-21,744.8,763.8,743.6,761.4,761.4,99451.0
4737,2018-11-20,764.8,766.0,740.3,745.15,745.15,147354.0
4736,2018-11-19,770.0,774.05,752.0,762.4,762.4,99468.0
4735,2018-11-16,754.75,762.0,741.35,758.9,758.9,558857.0
4734,2018-11-15,749.95,774.0,745.25,753.1,753.1,778963.0
4733,2018-11-14,722.95,759.0,704.45,745.9,745.9,624195.0
4732,2018-11-13,708.5,735.05,704.0,722.95,722.95,104405.0
4731,2018-11-12,705.0,715.0,695.0,711.05,711.05,39640.0
4730,2018-11-09,689.9,715.0,681.2,704.2,704.2,65828.0
4729,2018-11-07,694.0,694.05,685.0,687.05,687.05,6509.0
4728,2018-11-06,702.0,702.0,681.05,685.65,685.65,24135.0
4727,2018-11-05,705.0,705.0,677.0,698.55,698.55,91406.0
4726,2018-11-02,704.9,714.5,692.95,704.65,704.65,253977.0
4725,2018-11-01,679.65,707.9,675.5,696.65,696.65,441905.0
4724,2018-10-31,660.5,689.0,659.25,681.85,681.85,137913.0
4723,2018-10-30,643.0,687.0,634.0,659.6,659.6,611633.0
4722,2018-10-29,655.0,674.65,639.0,646.3,646.3,236379.0
4721,2018-10-26,637.0,656.65,631.0,653.75,653.75,69446.0
4720,2018-10-25,649.0,660.0,631.3,643.8,643.8,60125.0
4719,2018-10-24,665.45,678.8,640.0,652.95,652.95,89022.0
4718,2018-10-23,669.7,670.1,655.95,665.6,665.6,112799.0
4717,2018-10-22,678.0,678.0,648.0,660.2,660.2,49035.0
4716,2018-10-19,660.15,676.85,657.8,668.35,668.35,34028.0
4715,2018-10-17,689.35,692.1,669.05,671.85,671.85,32770.0
4714,2018-10-16,680.0,695.05,675.1,685.9,685.9,65092.0
4713,2018-10-15,661.7,684.6,651.65,678.25,678.25,87981.0
4712,2018-10-12,629.35,665.8,628.0,661.7,661.7,51339.0
4711,2018-10-11,618.8,649.7,601.0,629.35,629.35,178244.0
4710,2018-10-10,625.0,636.7,599.95,622.55,622.55,233461.0
4709,2018-10-09,615.0,640.0,615.0,626.7,626.7,102926.0
4708,2018-10-08,640.0,644.0,602.0,615.55,615.55,179039.0
4707,2018-10-05,642.0,659.9,630.15,643.8,643.8,51285.0
4706,2018-10-04,656.85,659.1,632.6,641.85,641.85,64847.0
4705,2018-10-03,672.5,675.0,650.0,655.1,655.1,50041.0
4704,2018-10-01,678.5,684.0,650.1,668.4,668.4,137832.0
4703,2018-09-28,687.0,701.2,654.0,679.45,679.45,191178.0
4702,2018-09-27,701.75,701.75,681.95,689.7,689.7,52332.0
4701,2018-09-26,701.0,703.0,680.45,698.25,698.25,741194.0
4700,2018-09-25,714.5,720.05,680.05,704.95,704.95,132721.0
4699,2018-09-24,712.15,747.0,700.25,718.85,718.85,175044.0
4698,2018-09-21,750.0,756.9,705.0,713.15,713.15,141276.0
4697,2018-09-19,770.95,770.95,742.35,750.25,750.25,185398.0
