,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,280.5,280.5,277.15,278.05,278.05,7908038.0
4873,2019-06-13,278.9,281.35,278.55,280.6,280.6,7198564.0
4872,2019-06-12,281.4,281.4,278.25,279.95,279.95,8247867.0
4871,2019-06-11,280.9,281.4,279.2,279.85,279.85,8461371.0
4870,2019-06-10,278.3,280.55,276.9,279.4,279.4,8615348.0
4869,2019-06-07,276.8,276.8,274.2,275.25,275.25,7699206.0
4868,2019-06-06,280.4,280.4,275.3,275.75,275.75,10660963.0
4867,2019-06-04,279.25,282.15,278.8,279.25,279.25,13850737.0
4866,2019-06-03,281.4,281.5,275.3,278.55,278.55,19569620.0
4865,2019-05-31,289.35,291.5,277.45,278.55,278.55,26281811.0
4864,2019-05-30,289.0,291.05,288.3,288.65,288.65,8656311.0
4863,2019-05-29,288.8,291.7,287.6,288.1,288.1,7255516.0
4862,2019-05-28,291.8,292.0,288.1,288.9,288.9,15598601.0
4861,2019-05-27,291.25,293.55,289.05,290.85,290.85,9024193.0
4860,2019-05-24,291.5,291.65,287.3,290.45,290.45,10879657.0
4859,2019-05-23,305.0,305.6,287.0,288.2,288.2,31380501.0
4858,2019-05-22,302.15,302.8,296.8,299.75,299.75,13737694.0
4857,2019-05-21,307.0,310.0,305.3,305.9,300.15,10518883.0
4856,2019-05-20,306.85,307.55,302.1,307.0,301.2293,11013451.0
4855,2019-05-17,295.1,302.35,295.1,301.4,295.7346,11194900.0
4854,2019-05-16,297.0,297.0,293.25,294.75,289.2096,7354375.0
4853,2019-05-15,297.55,299.3,292.0,297.05,291.4663,17894032.0
4852,2019-05-14,291.0,298.25,288.85,294.35,288.8171,21145245.0
4851,2019-05-13,295.1,303.5,287.7,289.3,283.862,35880558.0
4850,2019-05-10,300.0,300.45,296.9,297.75,292.1532,6904657.0
4849,2019-05-09,299.4,301.3,296.35,299.85,294.2137,10223616.0
4848,2019-05-08,300.0,303.4,298.65,300.65,294.9987,7876031.0
4847,2019-05-07,308.25,309.5,300.85,301.9,296.2252,8655321.0
4846,2019-05-06,304.0,307.5,300.75,307.0,301.2293,6737627.0
4845,2019-05-03,304.25,307.45,303.3,304.25,298.531,5885895.0
4844,2019-05-02,301.1,306.5,300.6,305.0,299.2669,7493271.0
4843,2019-04-30,304.55,307.55,299.5,301.35,295.6855,11163210.0
4842,2019-04-26,304.6,306.4,302.55,304.55,298.8254,4654775.0
4841,2019-04-25,307.25,309.8,302.0,304.15,298.4329,23240675.0
4840,2019-04-24,303.4,307.2,298.5,306.45,300.6897,11447878.0
4839,2019-04-23,302.15,304.8,301.55,303.4,297.697,7496038.0
4838,2019-04-22,303.85,305.5,301.05,301.8,296.127,6672456.0
4837,2019-04-18,308.25,308.25,303.55,304.4,298.6782,8838122.0
4836,2019-04-16,306.8,309.95,306.15,307.2,301.4256,9746168.0
4835,2019-04-15,307.9,310.0,304.35,305.5,299.7575,12612414.0
4834,2019-04-12,296.65,307.4,295.6,305.75,300.0028,21818291.0
4833,2019-04-11,294.55,297.45,293.0,296.4,290.8286,10764968.0
4832,2019-04-10,296.05,296.55,293.5,294.7,289.1606,5334642.0
4831,2019-04-09,292.5,296.7,292.25,296.3,290.7304,6175672.0
4830,2019-04-08,294.65,295.0,291.7,292.75,287.2472,5288853.0
4829,2019-04-05,295.05,296.4,292.65,294.55,289.0133,7806991.0
4828,2019-04-04,296.0,297.3,293.75,294.8,289.2586,6965053.0
4827,2019-04-03,298.0,299.0,295.15,296.15,290.5833,9064767.0
4826,2019-04-02,297.4,300.0,294.65,297.9,292.3004,9849417.0
4825,2019-04-01,297.0,299.2,296.55,297.25,291.6626,6203276.0
4824,2019-03-28,294.1,302.0,293.0,300.0,294.3609,17752380.0
4823,2019-03-27,294.0,296.7,291.6,293.1,287.5906,8432517.0
4822,2019-03-26,295.0,296.35,291.05,293.4,287.8849,10763629.0
4821,2019-03-25,297.0,297.0,293.2,295.05,289.5039,8015871.0
4820,2019-03-22,300.0,300.0,296.55,298.2,292.5948,8067384.0
4819,2019-03-20,300.0,301.95,296.6,298.9,293.2816,15619922.0
4818,2019-03-19,294.6,300.0,293.35,299.45,293.8213,15756420.0
4817,2019-03-18,292.0,294.2,291.3,293.55,288.0321,9166882.0
4816,2019-03-15,295.95,296.55,289.35,290.8,285.3338,21395473.0
4815,2019-03-14,295.4,296.0,290.45,295.5,289.9455,10113962.0
4814,2019-03-13,295.0,297.0,294.15,294.9,289.3567,11070294.0
4813,2019-03-12,294.0,295.65,293.15,294.5,288.9643,14142103.0
4812,2019-03-11,293.0,294.9,291.1,292.95,287.4435,14720968.0
4811,2019-03-08,290.3,293.0,288.4,292.0,286.5113,12681454.0
4810,2019-03-07,286.7,291.0,285.85,290.1,284.647,14287507.0
4809,2019-03-06,285.0,289.2,284.75,285.75,280.3788,20045621.0
4808,2019-03-05,280.0,284.0,276.05,282.55,277.2389,13580306.0
4807,2019-03-01,276.45,279.0,276.25,278.2,272.9707,8830848.0
4806,2019-02-28,277.3,277.3,274.25,276.05,270.8611,43208896.0
4805,2019-02-27,276.0,278.9,273.9,275.1,269.929,13128412.0
4804,2019-02-26,274.95,277.0,274.05,275.5,270.3214,11779606.0
4803,2019-02-25,274.5,277.15,273.0,276.7,271.4989,30047503.0
4802,2019-02-22,275.6,275.95,273.1,274.3,269.144,8763445.0
4801,2019-02-21,275.9,276.75,274.2,275.05,269.8799,6995026.0
4800,2019-02-20,277.25,277.5,274.25,275.85,270.6649,5977880.0
4799,2019-02-19,274.0,279.2,274.0,275.9,270.7139,34451117.0
4798,2019-02-18,278.8,282.45,273.9,274.7,269.5365,40666405.0
4797,2019-02-15,279.0,280.95,275.4,280.1,274.835,37552143.0
4796,2019-02-14,277.0,280.2,277.0,277.9,272.6763,9993785.0
4795,2019-02-12,277.05,280.5,274.6,275.3,270.1252,7341352.0
4794,2019-02-11,275.8,278.2,268.45,277.1,271.8914,9952322.0
4793,2019-02-08,279.5,281.2,274.6,275.5,270.3214,4405887.0
4792,2019-02-07,277.9,281.0,277.0,280.3,275.0312,5947966.0
4791,2019-02-06,275.0,278.4,274.55,277.7,272.4801,8097580.0
4790,2019-02-05,277.35,277.8,272.5,274.15,268.9968,9827060.0
4789,2019-02-04,281.9,281.9,276.05,277.1,271.8914,6056619.0
4788,2019-02-01,280.65,285.2,279.1,280.85,275.5709,18353829.0
4787,2019-01-31,276.5,279.6,273.6,278.65,273.4122,15346406.0
4786,2019-01-30,280.1,280.2,274.2,275.5,270.3214,10449713.0
4785,2019-01-29,275.3,279.0,274.75,278.45,273.216,6998389.0
4784,2019-01-28,278.9,279.45,274.2,274.75,269.5855,8992136.0
4783,2019-01-25,280.0,282.7,278.5,279.2,273.9519,8897906.0
4782,2019-01-24,279.3,283.35,277.85,278.9,273.6575,28026449.0
4781,2019-01-23,291.5,294.4,275.0,277.3,272.0876,40188183.0
4780,2019-01-22,289.85,291.0,285.15,289.75,284.3036,10329563.0
4779,2019-01-21,292.85,293.2,288.7,289.9,284.4507,8203333.0
4778,2019-01-18,293.25,295.1,290.65,291.45,285.9716,10994807.0
4777,2019-01-17,294.1,295.6,290.15,293.95,288.4247,10601100.0
4776,2019-01-16,296.0,296.55,291.7,294.05,288.5227,7784035.0
4775,2019-01-15,295.25,297.4,294.0,296.55,290.9757,7213165.0
4774,2019-01-14,294.5,294.8,290.0,294.3,288.768,6400147.0
4773,2019-01-11,291.9,296.0,291.5,295.35,289.7983,16773035.0
4772,2019-01-10,290.75,293.7,288.9,289.6,284.1564,10288580.0
4771,2019-01-09,285.6,291.7,284.6,290.4,284.9413,12182118.0
4770,2019-01-08,282.0,285.5,281.35,284.25,278.907,7480522.0
4769,2019-01-07,284.3,285.25,281.0,281.65,276.3558,9757529.0
4768,2019-01-04,279.15,282.95,279.15,280.95,275.669,7805148.0
4767,2019-01-03,280.6,282.45,277.75,278.85,273.6085,6114946.0
4766,2019-01-02,282.25,283.25,277.55,280.6,275.3256,9934187.0
4765,2019-01-01,282.2,283.55,279.8,282.7,277.3861,2490548.0
4764,2018-12-31,282.8,283.85,281.1,281.65,276.3558,5452405.0
4763,2018-12-28,279.15,284.0,279.15,282.25,276.9445,13194286.0
4762,2018-12-27,279.0,281.65,277.3,280.75,275.4727,11441104.0
4761,2018-12-26,276.35,278.8,274.8,276.65,271.4498,8494118.0
4760,2018-12-24,278.85,280.7,275.25,276.0,270.812,8540575.0
4759,2018-12-21,283.0,284.0,276.05,276.75,271.5479,6816618.0
4758,2018-12-20,281.0,284.4,281.0,282.65,277.337,4964496.0
4757,2018-12-19,279.0,284.0,278.5,283.45,278.122,13133469.0
4756,2018-12-18,279.05,280.6,277.0,278.15,272.9216,8832786.0
4755,2018-12-17,277.0,281.4,275.9,279.85,274.5897,12232198.0
4754,2018-12-14,274.35,277.25,273.9,275.75,270.5667,8594764.0
4753,2018-12-13,279.0,279.4,273.5,275.3,270.1252,15821425.0
4752,2018-12-12,275.7,277.7,272.6,276.05,270.8611,10084682.0
4751,2018-12-11,268.4,276.05,268.2,274.7,269.5365,10238800.0
4750,2018-12-10,272.0,272.3,269.15,270.45,265.3664,6683094.0
4749,2018-12-07,274.95,276.2,273.3,274.05,268.8987,8103784.0
4748,2018-12-06,274.5,274.9,271.5,273.05,267.9175,9682118.0
4747,2018-12-05,281.0,281.8,274.2,275.35,270.1743,11453283.0
4746,2018-12-04,281.0,283.3,280.95,281.85,276.5521,6305882.0
4745,2018-12-03,287.25,289.5,282.55,282.95,277.6314,8565591.0
4744,2018-11-30,289.5,290.0,284.8,285.8,280.4278,8639876.0
4743,2018-11-29,283.65,289.3,283.45,287.55,282.1449,13657479.0
4742,2018-11-28,285.4,287.95,280.8,282.2,276.8955,8856761.0
4741,2018-11-27,286.1,286.45,282.8,284.85,279.4957,6881741.0
4740,2018-11-26,281.25,286.35,280.7,285.65,280.2806,8948042.0
4739,2018-11-22,282.0,284.5,279.6,280.5,275.2274,6680354.0
4738,2018-11-21,284.5,284.8,280.0,281.75,276.4539,5650063.0
4737,2018-11-20,285.0,286.65,281.8,283.85,278.5145,7796633.0
4736,2018-11-19,277.35,285.0,276.5,284.5,279.1523,16720100.0
4735,2018-11-16,275.8,278.3,275.25,276.55,271.3517,12635521.0
4734,2018-11-15,276.85,279.25,273.5,274.5,269.3402,12153864.0
4733,2018-11-14,278.1,278.4,274.65,276.45,271.2536,6915975.0
4732,2018-11-13,273.95,277.9,273.15,276.85,271.6461,6699751.0
4731,2018-11-12,277.8,278.2,273.25,273.85,268.7025,7047500.0
4730,2018-11-09,279.0,279.7,275.9,277.25,272.0385,15034793.0
4729,2018-11-07,281.0,281.0,278.8,280.05,274.7859,957139.0
4728,2018-11-06,281.1,281.85,276.1,277.3,272.0876,9766345.0
4727,2018-11-05,285.25,285.25,278.4,279.6,274.3444,7381232.0
