,Date,Open,High,Low,Close,Adj Close,Volume
3285,2019-06-14,110.5,111.0,108.1,109.2,109.2,24365.0
3284,2019-06-13,110.75,112.0,110.0,110.6,110.6,42906.0
3283,2019-06-12,111.15,111.7,110.15,110.85,110.85,31211.0
3282,2019-06-11,112.5,114.0,110.55,111.35,111.35,47882.0
3281,2019-06-10,115.2,116.6,112.4,112.8,112.8,41521.0
3280,2019-06-07,112.8,115.25,110.85,114.3,114.3,62724.0
3279,2019-06-06,111.75,114.7,110.5,112.65,112.65,35060.0
3278,2019-06-04,114.9,114.9,111.7,111.95,111.95,26504.0
3277,2019-06-03,115.05,115.2,112.5,114.0,114.0,1373591.0
3276,2019-05-31,115.65,118.8,114.0,114.9,114.9,106921.0
3275,2019-05-30,112.0,119.7,111.0,115.1,115.1,1546946.0
3274,2019-05-29,110.0,111.9,110.0,110.95,110.95,46669.0
3273,2019-05-28,110.9,112.0,109.25,110.0,110.0,57982.0
3272,2019-05-27,108.0,112.9,108.0,110.05,110.05,67987.0
3271,2019-05-24,108.95,109.75,106.65,107.6,107.6,31302.0
3270,2019-05-23,112.4,112.4,107.15,107.6,107.6,32498.0
3269,2019-05-22,110.6,112.5,108.3,111.55,111.55,29798.0
3268,2019-05-21,112.3,112.45,109.0,110.6,110.6,36824.0
3267,2019-05-20,113.0,113.0,108.0,111.15,111.15,51235.0
3266,2019-05-17,104.4,109.2,103.4,108.4,108.4,30627.0
3265,2019-05-16,106.65,107.5,104.05,105.0,105.0,21653.0
3264,2019-05-15,108.0,108.6,106.4,106.65,106.65,16975.0
3263,2019-05-14,109.0,110.35,107.6,107.9,107.9,29896.0
3262,2019-05-13,111.0,111.0,109.4,109.9,109.9,36745.0
3261,2019-05-10,112.85,112.85,109.75,110.2,110.2,18021.0
3260,2019-05-09,109.0,113.9,108.85,112.65,112.65,31382.0
3259,2019-05-08,110.05,110.9,108.35,109.1,109.1,26464.0
3258,2019-05-07,111.6,111.6,110.05,110.85,110.85,45211.0
3257,2019-05-06,110.0,112.9,110.0,111.7,111.7,35113.0
3256,2019-05-03,112.15,112.9,111.2,112.05,112.05,39175.0
3255,2019-05-02,113.35,113.5,110.2,112.05,112.05,63730.0
3254,2019-04-30,112.55,115.95,111.95,113.3,113.3,56335.0
3253,2019-04-26,111.4,113.0,110.5,112.4,112.4,53487.0
3252,2019-04-25,116.25,116.3,111.1,112.4,112.4,42322.0
3251,2019-04-24,116.65,117.0,114.9,115.3,115.3,285196.0
3250,2019-04-23,120.5,121.2,116.1,116.6,116.6,833545.0
3249,2019-04-22,117.95,124.7,115.05,118.95,118.95,446378.0
3248,2019-04-18,119.85,119.85,117.3,117.95,117.95,707722.0
3247,2019-04-16,117.7,119.75,117.1,118.1,118.1,567031.0
3246,2019-04-15,119.15,119.7,117.6,118.35,118.35,28906.0
3245,2019-04-12,119.55,122.0,119.15,119.65,119.65,100319.0
3244,2019-04-11,118.6,123.0,117.85,119.65,119.65,121929.0
3243,2019-04-10,119.3,119.9,117.9,118.9,118.9,28777.0
3242,2019-04-09,122.0,122.0,118.05,118.7,118.7,42273.0
3241,2019-04-08,121.95,123.35,120.1,122.25,122.25,49735.0
3240,2019-04-05,118.2,122.6,118.2,121.9,121.9,58942.0
3239,2019-04-04,119.35,120.45,118.1,119.25,119.25,24258.0
3238,2019-04-03,119.55,121.8,118.75,119.5,119.5,33761.0
3237,2019-04-02,122.65,123.1,119.55,119.95,119.95,44190.0
3236,2019-04-01,125.0,125.5,121.55,122.7,122.7,115431.0
3235,2019-03-28,117.0,120.65,116.3,119.3,119.3,314675.0
3234,2019-03-27,115.75,118.1,112.75,117.45,117.45,131192.0
3233,2019-03-26,113.0,116.3,111.55,114.8,114.8,208922.0
3232,2019-03-25,108.55,113.35,108.55,112.9,112.9,119513.0
3231,2019-03-22,112.0,113.25,110.25,111.35,111.35,106514.0
3230,2019-03-20,113.25,113.25,110.15,111.0,111.0,45224.0
