,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,370.05,384.0,370.05,376.05,376.05,51685.0
4223,2019-06-13,373.4,375.0,369.55,372.4,372.4,35499.0
4222,2019-06-12,379.0,379.0,369.5,372.0,372.0,26835.0
4221,2019-06-11,374.9,381.6,368.0,379.3,379.3,64506.0
4220,2019-06-10,374.4,381.65,368.15,370.45,370.45,27494.0
4219,2019-06-07,382.3,384.75,372.0,372.6,372.6,26491.0
4218,2019-06-06,384.05,385.0,375.0,379.7,379.7,18620.0
4217,2019-06-04,374.9,389.9,370.05,384.05,384.05,76549.0
4216,2019-06-03,379.95,379.95,370.05,375.95,375.95,26568.0
4215,2019-05-31,375.5,376.8,368.7,375.0,375.0,54052.0
4214,2019-05-30,373.0,379.6,368.0,371.15,371.15,24604.0
4213,2019-05-29,385.0,386.9,371.0,372.75,372.75,55819.0
4212,2019-05-28,382.3,407.0,375.1,385.25,385.25,239005.0
4211,2019-05-27,376.0,380.9,371.3,375.4,375.4,53635.0
4210,2019-05-24,375.0,379.0,367.65,376.3,376.3,109522.0
4209,2019-05-23,370.0,372.4,357.0,370.0,370.0,136219.0
4208,2019-05-22,359.85,378.0,350.0,364.9,364.9,786949.0
4207,2019-05-21,340.0,354.0,337.45,345.25,345.25,125849.0
4206,2019-05-20,339.0,343.0,335.0,340.25,340.25,74835.0
4205,2019-05-17,329.95,337.6,329.0,335.05,335.05,99794.0
4204,2019-05-16,330.6,332.4,322.9,330.95,330.95,12155.0
4203,2019-05-15,325.9,333.0,320.25,329.4,329.4,49303.0
4202,2019-05-14,313.15,327.0,311.95,325.9,325.9,40420.0
4201,2019-05-13,323.1,324.55,313.0,318.0,318.0,32584.0
4200,2019-05-10,325.5,326.35,321.2,324.75,324.75,14732.0
4199,2019-05-09,323.1,330.0,319.35,327.0,327.0,23747.0
4198,2019-05-08,326.5,328.3,320.0,325.7,325.7,71446.0
4197,2019-05-07,343.2,343.2,325.75,330.2,330.2,17200.0
4196,2019-05-06,345.1,347.95,331.05,338.1,338.1,41793.0
4195,2019-05-03,343.0,347.65,342.0,345.05,345.05,10627.0
