,Date,Open,High,Low,Close,Adj Close,Volume
3521,2019-06-14,83.0,86.4,78.15,81.65,81.65,16263192.0
3520,2019-06-13,99.3,101.0,84.6,91.9,91.9,34945168.0
3519,2019-06-12,109.0,112.8,107.0,110.3,110.3,7323681.0
3518,2019-06-11,112.35,116.8,106.3,112.35,112.35,15232588.0
3517,2019-06-10,123.5,129.8,114.1,124.8,124.8,18375568.0
3516,2019-06-07,133.0,133.0,122.65,125.45,125.45,5002823.0
3515,2019-06-06,142.0,142.3,131.65,133.1,133.1,3493188.0
3514,2019-06-04,138.0,142.95,135.35,141.15,141.15,8349467.0
3513,2019-06-03,145.9,147.7,139.2,141.1,141.1,3426362.0
3512,2019-05-31,151.3,151.6,144.1,146.2,146.2,4989754.0
3511,2019-05-30,150.5,154.8,148.3,150.95,150.95,5967091.0
3510,2019-05-29,152.0,153.0,146.65,148.0,148.0,4053989.0
3509,2019-05-28,153.0,156.8,149.25,152.6,152.6,7138033.0
3508,2019-05-27,142.3,155.7,142.0,152.0,152.0,12441716.0
3507,2019-05-24,146.15,152.9,142.35,148.15,148.15,12962983.0
3506,2019-05-23,159.8,164.0,153.7,155.45,155.45,10645974.0
3505,2019-05-22,152.0,165.0,144.25,157.5,157.5,36855572.0
3504,2019-05-21,135.0,154.8,131.0,150.85,150.85,24958964.0
3503,2019-05-20,130.0,141.4,125.05,131.4,131.4,11626326.0
3502,2019-05-17,130.0,130.0,122.85,124.45,124.45,6019053.0
3501,2019-05-16,130.0,133.7,125.3,126.65,126.65,10294531.0
3500,2019-05-15,121.1,129.55,120.0,123.45,123.45,16881995.0
3499,2019-05-14,125.2,133.9,121.0,128.9,128.9,18043140.0
3498,2019-05-13,136.6,147.8,134.4,139.1,139.1,16971715.0
3497,2019-05-10,150.2,157.9,145.3,151.75,151.75,22274234.0
3496,2019-05-09,133.5,149.3,131.65,147.4,147.4,34122898.0
3495,2019-05-08,127.9,136.0,124.15,131.35,131.35,21943764.0
3494,2019-05-07,129.7,132.9,121.0,127.3,127.3,12212851.0
3493,2019-05-06,125.1,135.8,125.1,133.4,133.4,14561769.0
3492,2019-05-03,125.0,138.5,125.0,135.5,135.5,26924668.0
3491,2019-05-02,138.05,143.0,118.9,134.25,134.25,34038376.0
3490,2019-04-30,162.7,162.7,145.1,153.35,153.35,10010406.0
3489,2019-04-26,169.5,173.35,164.5,167.45,167.45,10793648.0
3488,2019-04-25,169.4,177.4,162.35,169.75,169.75,16618898.0
3487,2019-04-24,171.5,180.0,167.3,171.15,171.15,18321686.0
3486,2019-04-23,158.3,174.95,157.5,169.75,169.75,42707445.0
3485,2019-04-22,152.0,167.7,126.65,154.7,154.7,57937856.0
3484,2019-04-18,216.45,216.45,158.7,164.85,164.85,56787168.0
3483,2019-04-16,255.0,257.0,213.2,240.5,240.5,50984114.0
3482,2019-04-15,261.0,264.7,258.2,261.7,261.7,7175835.0
3481,2019-04-12,258.0,265.4,257.0,260.85,260.85,11373464.0
