,Date,Open,High,Low,Close,Adj Close,Volume
3714,2019-06-14,3.9,3.9,3.6,3.7,3.7,11283875.0
3713,2019-06-13,4.0,4.05,3.9,3.95,3.95,9106055.0
3712,2019-06-12,4.05,4.1,4.0,4.05,4.05,5674019.0
3711,2019-06-11,4.2,4.2,4.0,4.1,4.1,8511699.0
3710,2019-06-10,4.3,4.45,4.15,4.2,4.2,9929339.0
3709,2019-06-07,4.55,4.55,4.25,4.3,4.3,12241374.0
3708,2019-06-06,4.75,4.75,4.5,4.55,4.55,7188553.0
3707,2019-06-04,4.75,4.8,4.7,4.7,4.7,5064024.0
3706,2019-06-03,4.9,4.9,4.75,4.75,4.75,4488073.0
3705,2019-05-31,4.95,5.0,4.85,4.85,4.85,3624053.0
3704,2019-05-30,4.95,5.05,4.9,4.95,4.95,6615851.0
3703,2019-05-29,5.0,5.05,4.85,4.9,4.9,7791060.0
3702,2019-05-28,5.15,5.2,5.0,5.05,5.05,5381770.0
3701,2019-05-27,4.95,5.2,4.9,5.15,5.15,8833422.0
3700,2019-05-24,4.95,5.0,4.85,4.95,4.95,5959572.0
3699,2019-05-23,5.1,5.15,4.75,4.9,4.9,11591402.0
3698,2019-05-22,4.8,4.95,4.7,4.85,4.85,5280384.0
3697,2019-05-21,4.85,5.0,4.7,4.75,4.75,7080909.0
3696,2019-05-20,4.6,4.85,4.55,4.8,4.8,11190738.0
3695,2019-05-17,4.35,4.6,4.3,4.45,4.45,10687575.0
3694,2019-05-16,4.45,4.5,4.3,4.35,4.35,7046458.0
3693,2019-05-15,4.4,4.6,4.3,4.35,4.35,12007803.0
3692,2019-05-14,4.4,4.45,3.95,4.3,4.3,23834670.0
3691,2019-05-13,4.9,4.95,4.4,4.45,4.45,16529364.0
3690,2019-05-10,4.95,5.0,4.85,4.9,4.9,6640609.0
3689,2019-05-09,4.9,5.05,4.9,4.95,4.95,6108958.0
3688,2019-05-08,5.1,5.1,4.9,4.95,4.95,13679320.0
3687,2019-05-07,5.3,5.35,5.0,5.1,5.1,9469339.0
3686,2019-05-06,5.2,5.3,5.1,5.25,5.25,6248184.0
3685,2019-05-03,5.35,5.4,5.2,5.2,5.2,12539342.0
3684,2019-05-02,5.35,5.5,5.25,5.3,5.3,12010365.0
3683,2019-04-30,5.6,5.6,5.35,5.4,5.4,12750224.0
3682,2019-04-26,5.65,5.7,5.5,5.6,5.6,6943185.0
3681,2019-04-25,5.75,5.8,5.6,5.65,5.65,4913200.0
3680,2019-04-24,5.65,5.8,5.55,5.7,5.7,12572412.0
3679,2019-04-23,5.85,5.9,5.55,5.6,5.6,9782916.0
3678,2019-04-22,5.5,5.8,5.4,5.75,5.75,18325988.0
3677,2019-04-18,5.65,5.75,5.35,5.5,5.5,18258030.0
3676,2019-04-16,5.8,5.85,5.55,5.6,5.6,11470249.0
3675,2019-04-15,5.6,5.9,5.55,5.75,5.75,10275517.0
3674,2019-04-12,5.6,5.65,5.55,5.6,5.6,8357767.0
3673,2019-04-11,5.6,5.7,5.5,5.55,5.55,11111093.0
3672,2019-04-10,5.8,5.85,5.6,5.65,5.65,12064983.0
3671,2019-04-09,5.8,5.85,5.6,5.8,5.8,9315635.0
3670,2019-04-08,6.0,6.2,5.75,5.8,5.8,12832345.0
3669,2019-04-05,6.15,6.3,5.95,6.0,6.0,10667329.0
3668,2019-04-04,6.3,6.45,6.05,6.1,6.1,22845374.0
3667,2019-04-03,5.6,6.2,5.55,6.1,6.1,39352882.0
3666,2019-04-02,5.75,5.85,5.45,5.55,5.55,16710748.0
3665,2019-04-01,5.55,5.8,5.5,5.75,5.75,15769153.0
3664,2019-03-28,5.4,5.6,5.2,5.3,5.3,47290879.0
3663,2019-03-27,5.6,5.65,5.35,5.4,5.4,35358351.0
3662,2019-03-26,5.6,5.75,5.45,5.55,5.55,31169382.0
3661,2019-03-25,5.75,5.75,5.5,5.55,5.55,20403347.0
3660,2019-03-22,6.05,6.1,5.75,5.85,5.85,24441996.0
3659,2019-03-20,6.2,6.2,5.85,6.1,6.1,23077609.0
3658,2019-03-19,6.3,6.35,6.1,6.15,6.15,25623634.0
3657,2019-03-18,6.2,6.35,6.05,6.2,6.2,12758429.0
3656,2019-03-15,6.2,6.45,6.05,6.1,6.1,18644846.0
3655,2019-03-14,6.6,6.7,6.1,6.2,6.2,28933540.0
3654,2019-03-13,6.75,6.8,6.35,6.5,6.5,18640690.0
3653,2019-03-12,6.6,7.0,6.55,6.7,6.7,39992369.0
3652,2019-03-11,6.55,6.75,6.5,6.6,6.6,21649944.0
3651,2019-03-08,6.6,6.8,6.5,6.55,6.55,13805143.0
3650,2019-03-07,6.5,6.7,6.4,6.6,6.6,25616806.0
3649,2019-03-06,6.75,7.05,6.4,6.55,6.55,37762048.0
3648,2019-03-05,6.2,7.0,6.2,6.75,6.75,50423271.0
3647,2019-03-01,6.15,6.25,6.1,6.2,6.2,11293781.0
3646,2019-02-28,5.85,6.25,5.8,6.15,6.15,30102866.0
3645,2019-02-27,5.95,6.1,5.8,5.85,5.85,20201021.0
3644,2019-02-26,5.85,6.0,5.6,5.85,5.85,20495915.0
3643,2019-02-25,6.3,6.45,5.8,5.95,5.95,28278473.0
3642,2019-02-22,5.9,6.45,5.85,6.15,6.15,35456962.0
3641,2019-02-21,5.25,6.05,5.15,5.9,5.9,39481701.0
3640,2019-02-20,5.2,5.3,5.0,5.2,5.2,16570105.0
3639,2019-02-19,5.05,5.1,4.95,5.0,5.0,10898203.0
3638,2019-02-18,5.1,5.2,4.95,5.0,5.0,10863003.0
3637,2019-02-15,5.2,5.25,4.95,5.0,5.0,11980005.0
3636,2019-02-14,4.95,5.3,4.9,5.2,5.2,12600335.0
3635,2019-02-12,5.15,5.4,5.0,5.05,5.05,16386484.0
3634,2019-02-11,5.2,5.25,4.9,5.15,5.15,20451528.0
3633,2019-02-08,5.3,5.3,5.05,5.2,5.2,11348596.0
3632,2019-02-07,5.15,5.4,5.05,5.3,5.3,14734283.0
3631,2019-02-06,5.15,5.35,4.7,5.15,5.15,38699360.0
3630,2019-02-05,6.05,6.05,5.05,5.15,5.15,48484922.0
3629,2019-02-04,6.7,6.75,5.1,5.95,5.95,36558327.0
3628,2019-02-01,6.65,7.15,6.6,6.75,6.75,41871705.0
3627,2019-01-31,6.5,6.65,6.35,6.5,6.5,17170167.0
3626,2019-01-30,6.45,6.55,6.35,6.4,6.4,12745388.0
3625,2019-01-29,6.55,6.65,6.4,6.45,6.45,14535013.0
3624,2019-01-28,6.65,6.7,6.45,6.6,6.6,20143662.0
3623,2019-01-25,6.75,6.9,6.55,6.65,6.65,15530644.0
3622,2019-01-24,7.0,7.0,6.7,6.75,6.75,11290161.0
3621,2019-01-23,7.05,7.2,6.85,6.95,6.95,18269285.0
3620,2019-01-22,7.15,7.15,6.9,7.05,7.05,19205981.0
3619,2019-01-21,7.15,7.2,7.05,7.15,7.15,6774193.0
3618,2019-01-18,7.25,7.3,7.1,7.15,7.15,6506724.0
3617,2019-01-17,7.35,7.4,7.2,7.25,7.25,7043976.0
3616,2019-01-16,7.3,7.5,7.25,7.35,7.35,12224232.0
3615,2019-01-15,7.2,7.35,7.2,7.3,7.3,7659077.0
3614,2019-01-14,7.3,7.35,7.2,7.2,7.2,7936785.0
3613,2019-01-11,7.45,7.45,7.25,7.35,7.35,6429877.0
3612,2019-01-10,7.45,7.5,7.35,7.4,7.4,4485474.0
3611,2019-01-09,7.65,7.7,7.35,7.45,7.45,17182475.0
3610,2019-01-08,7.6,7.7,7.45,7.6,7.6,10612203.0
3609,2019-01-07,7.65,7.7,7.5,7.6,7.6,19093005.0
3608,2019-01-04,7.35,7.65,7.1,7.55,7.55,32539262.0
3607,2019-01-03,7.4,7.45,7.25,7.25,7.25,19891855.0
3606,2019-01-02,7.75,7.95,7.3,7.4,7.4,44623170.0
3605,2019-01-01,7.7,7.8,7.6,7.75,7.75,19506581.0
3604,2018-12-31,7.6,7.8,7.6,7.7,7.7,17684192.0
3603,2018-12-28,7.7,7.75,7.5,7.6,7.6,24183180.0
3602,2018-12-27,7.25,7.85,7.15,7.65,7.65,59662978.0
3601,2018-12-26,7.15,7.25,6.8,7.15,7.15,40448707.0
3600,2018-12-24,7.8,7.85,7.1,7.15,7.15,50549525.0
3599,2018-12-21,7.55,8.05,7.55,7.75,7.75,68219382.0
3598,2018-12-20,7.2,7.6,7.15,7.45,7.45,24146534.0
3597,2018-12-19,7.2,7.4,7.0,7.3,7.3,31876395.0
3596,2018-12-18,7.1,7.3,7.0,7.15,7.15,18674696.0
3595,2018-12-17,7.0,7.2,6.9,7.15,7.15,15606000.0
3594,2018-12-14,6.95,7.2,6.85,7.05,7.05,18735352.0
3593,2018-12-13,7.15,7.2,6.9,6.95,6.95,17972592.0
3592,2018-12-12,6.75,7.3,6.7,7.1,7.1,37051493.0
3591,2018-12-11,6.35,6.95,6.3,6.8,6.8,23109504.0
3590,2018-12-10,6.45,6.55,6.35,6.45,6.45,11687708.0
3589,2018-12-07,6.75,6.8,6.45,6.65,6.65,23678976.0
3588,2018-12-06,6.55,6.75,6.45,6.7,6.7,22632891.0
3587,2018-12-05,6.75,6.8,6.5,6.6,6.6,24094970.0
3586,2018-12-04,6.85,7.05,6.8,6.85,6.85,21568060.0
3585,2018-12-03,7.0,7.1,6.6,6.9,6.9,38692037.0
3584,2018-11-30,6.75,7.0,6.7,6.9,6.9,33985142.0
3583,2018-11-29,6.6,6.75,6.3,6.65,6.65,32589757.0
3582,2018-11-28,6.75,6.8,6.4,6.55,6.55,32694464.0
3581,2018-11-27,6.75,6.9,6.7,6.75,6.75,20878552.0
3580,2018-11-26,7.05,7.1,6.65,6.75,6.75,40526128.0
3579,2018-11-22,7.15,7.35,6.95,7.0,7.0,42867300.0
3578,2018-11-21,6.75,7.25,6.65,7.15,7.15,57929994.0
3577,2018-11-20,6.9,6.95,6.6,6.7,6.7,31017379.0
3576,2018-11-19,6.6,7.1,6.55,7.0,7.0,33144732.0
3575,2018-11-16,6.65,6.7,6.5,6.6,6.6,13402452.0
3574,2018-11-15,6.65,6.75,6.5,6.6,6.6,23444079.0
3573,2018-11-14,6.9,7.0,6.55,6.7,6.7,27519477.0
3572,2018-11-13,6.85,6.95,6.7,6.85,6.85,22415460.0
3571,2018-11-12,7.15,7.2,6.85,6.95,6.95,25687311.0
3570,2018-11-09,6.8,7.15,6.7,7.05,7.05,44642273.0
3569,2018-11-07,6.6,6.8,6.6,6.75,6.75,8034369.0
3568,2018-11-06,6.8,6.85,6.45,6.55,6.55,24881070.0
3567,2018-11-05,6.8,6.85,6.35,6.75,6.75,39224441.0
3566,2018-11-02,6.8,7.3,6.65,6.75,6.75,60166203.0
3565,2018-11-01,6.5,6.9,6.45,6.75,6.75,54224873.0
3564,2018-10-31,6.2,6.5,6.0,6.4,6.4,37979913.0
3563,2018-10-30,6.05,6.45,6.0,6.2,6.2,37842184.0
3562,2018-10-29,5.8,6.15,5.75,6.1,6.1,38621422.0
3561,2018-10-26,6.15,6.15,5.75,5.85,5.85,45496389.0
3560,2018-10-25,6.35,6.35,6.05,6.1,6.1,47525928.0
3559,2018-10-24,6.3,6.55,6.3,6.4,6.4,36382304.0
3558,2018-10-23,6.3,6.45,6.1,6.2,6.2,45874386.0
3557,2018-10-22,6.65,6.75,6.3,6.4,6.4,39098255.0
3556,2018-10-19,6.65,6.9,6.45,6.55,6.55,58226609.0
3555,2018-10-17,7.55,7.6,6.65,6.8,6.8,76882928.0
3554,2018-10-16,6.95,7.55,6.9,7.35,7.35,73455707.0
3553,2018-10-15,6.65,6.9,6.6,6.8,6.8,46975172.0
3552,2018-10-12,6.5,6.9,6.5,6.65,6.65,43203576.0
3551,2018-10-11,6.4,6.65,6.25,6.45,6.45,58229583.0
3550,2018-10-10,6.3,7.0,6.2,6.75,6.75,77739267.0
3549,2018-10-09,6.3,6.45,6.0,6.3,6.3,59237518.0
3548,2018-10-08,6.55,6.65,6.05,6.25,6.25,62241697.0
3547,2018-10-05,6.85,7.0,6.4,6.55,6.55,53062612.0
3546,2018-10-04,6.9,7.2,6.7,6.8,6.8,58972807.0
3545,2018-10-03,7.0,7.4,6.8,7.1,7.1,70574401.0
3544,2018-10-01,6.65,7.15,6.25,7.0,7.0,68984352.0
3543,2018-09-28,7.45,7.6,6.45,6.6,6.6,71578456.0
3542,2018-09-27,7.3,8.1,7.2,7.45,7.45,67953596.0
3541,2018-09-26,7.2,7.65,7.0,7.4,7.4,61497539.0
3540,2018-09-25,7.6,7.85,6.9,7.2,7.2,82301950.0
