,Date,Open,High,Low,Close,Adj Close,Volume
3864,2019-06-14,37.6,38.6,36.7,36.95,36.95,467536.0
3863,2019-06-13,38.6,38.6,36.85,37.15,37.15,276809.0
3862,2019-06-12,35.9,38.6,35.9,38.3,38.3,579850.0
3861,2019-06-11,37.3,37.3,35.6,35.9,35.9,230728.0
3860,2019-06-10,37.95,38.45,36.2,36.55,36.55,233372.0
3859,2019-06-07,37.0,37.3,36.1,36.6,36.6,196117.0
3858,2019-06-06,37.4,37.4,36.1,36.55,36.55,191118.0
3857,2019-06-04,38.0,38.1,37.05,37.45,37.45,185157.0
3856,2019-06-03,38.4,38.7,37.0,38.0,38.0,246187.0
3855,2019-05-31,39.0,39.3,37.5,37.75,37.75,129131.0
3854,2019-05-30,38.7,39.3,37.65,38.75,38.75,169753.0
3853,2019-05-29,39.3,39.3,37.55,38.0,38.0,247873.0
3852,2019-05-28,38.9,39.55,38.05,39.1,39.1,432343.0
3851,2019-05-27,38.0,39.5,37.5,38.9,38.9,642951.0
3850,2019-05-24,37.1,38.7,36.55,38.15,38.15,261393.0
3849,2019-05-23,37.5,38.6,36.35,37.1,37.1,227540.0
3848,2019-05-22,37.0,37.3,36.4,36.6,36.6,175298.0
3847,2019-05-21,38.0,38.4,36.0,37.7,37.7,377704.0
3846,2019-05-20,36.0,39.9,33.0,38.05,38.05,1187869.0
3845,2019-05-17,34.45,34.7,33.85,34.2,34.2,212080.0
3844,2019-05-16,34.2,35.85,32.8,34.85,34.85,456075.0
3843,2019-05-15,34.7,36.35,33.75,34.05,34.05,223259.0
3842,2019-05-14,34.6,35.65,33.3,34.55,34.55,251262.0
3841,2019-05-13,38.1,38.1,34.4,34.9,34.9,263906.0
3840,2019-05-10,35.0,38.8,34.25,38.1,38.1,1211378.0
3839,2019-05-09,33.05,35.7,32.4,35.1,35.1,454717.0
3838,2019-05-08,33.05,33.2,32.1,33.0,33.0,244391.0
3837,2019-05-07,35.0,35.5,32.45,33.2,33.2,527511.0
3836,2019-05-06,35.75,35.75,35.0,35.1,35.1,129311.0
3835,2019-05-03,36.4,36.65,35.7,35.95,35.95,232971.0
3834,2019-05-02,37.0,37.25,36.6,36.8,36.8,133544.0
3833,2019-04-30,38.3,38.3,36.55,37.4,37.4,222394.0
3832,2019-04-26,38.1,39.35,38.0,38.2,38.2,362045.0
3831,2019-04-25,38.25,38.95,37.1,37.9,37.9,219200.0
3830,2019-04-24,37.95,38.2,37.8,38.05,38.05,151415.0
3829,2019-04-23,38.75,38.8,37.6,37.85,37.85,267017.0
3828,2019-04-22,39.0,39.7,38.1,38.55,38.55,441120.0
3827,2019-04-18,40.1,40.35,39.0,39.15,39.15,229662.0
3826,2019-04-16,39.75,40.3,39.7,39.8,39.8,237613.0
3825,2019-04-15,40.0,40.15,39.5,40.0,40.0,455320.0
3824,2019-04-12,40.0,40.45,39.6,39.75,39.75,401996.0
3823,2019-04-11,40.4,40.75,39.75,40.0,40.0,293754.0
3822,2019-04-10,40.2,41.75,39.8,40.2,40.2,765421.0
3821,2019-04-09,41.0,41.0,39.2,40.2,40.2,436667.0
3820,2019-04-08,41.15,41.65,40.7,40.95,40.95,265613.0
3819,2019-04-05,41.5,42.6,41.0,41.15,41.15,496599.0
3818,2019-04-04,42.0,42.5,41.0,41.35,41.35,526867.0
3817,2019-04-03,42.4,43.4,42.2,42.4,42.4,1009471.0
3816,2019-04-02,42.25,42.95,41.5,42.1,42.1,1083523.0
3815,2019-04-01,41.15,44.1,40.8,41.95,41.95,5551292.0
3814,2019-03-28,38.9,39.9,38.5,39.2,39.2,300257.0
3813,2019-03-27,40.0,40.4,38.0,38.6,38.6,2270301.0
3812,2019-03-26,40.35,40.5,39.5,39.8,39.8,509970.0
3811,2019-03-25,40.0,40.6,38.8,40.05,40.05,387408.0
3810,2019-03-22,40.3,42.0,37.1,40.2,40.2,857112.0
3809,2019-03-20,40.95,41.85,39.7,40.1,40.1,599870.0
3808,2019-03-19,39.2,41.9,38.4,40.5,40.5,1003353.0
3807,2019-03-18,39.4,39.95,36.9,38.25,38.25,571689.0
3806,2019-03-15,39.0,40.4,38.7,38.95,38.95,919410.0
3805,2019-03-14,42.0,42.0,37.95,38.9,38.9,1048370.0
3804,2019-03-13,43.35,43.65,40.95,41.5,41.5,557858.0
3803,2019-03-12,43.65,44.35,42.55,43.05,43.05,623992.0
3802,2019-03-11,42.0,43.8,42.0,43.1,43.1,547615.0
3801,2019-03-08,41.5,42.5,40.25,42.0,42.0,824115.0
3800,2019-03-07,42.55,42.55,40.5,41.45,41.45,735199.0
3799,2019-03-06,43.5,43.65,41.95,42.2,42.2,1143421.0
