,Date,Open,High,Low,Close,Adj Close,Volume
2335,2019-06-14,70.7,71.0,68.25,68.8,68.8,381866.0
2334,2019-06-13,69.8,71.5,69.2,70.7,70.7,623318.0
2333,2019-06-12,70.4,71.2,69.5,69.95,69.95,232637.0
2332,2019-06-11,70.8,70.95,69.4,70.4,70.4,227579.0
2331,2019-06-10,70.9,71.2,69.65,70.45,70.45,355390.0
2330,2019-06-07,71.3,72.5,70.0,70.2,70.2,463217.0
2329,2019-06-06,74.4,74.45,71.3,71.75,71.75,346613.0
2328,2019-06-04,72.85,74.4,72.8,73.35,73.35,507387.0
2327,2019-06-03,73.25,73.4,71.65,72.8,72.8,230394.0
2326,2019-05-31,72.5,74.05,70.9,73.35,73.35,662011.0
2325,2019-05-30,73.85,74.25,71.4,72.4,72.4,628849.0
2324,2019-05-29,76.45,76.45,73.0,73.35,73.35,637751.0
2323,2019-05-28,72.7,77.25,72.25,76.45,76.45,1473875.0
2322,2019-05-27,71.85,74.3,71.2,72.8,72.8,878202.0
2321,2019-05-24,66.5,72.0,66.5,71.55,71.55,1707210.0
2320,2019-05-23,67.45,68.8,65.8,66.1,66.1,745928.0
2319,2019-05-22,66.3,67.25,65.65,66.95,66.95,641101.0
2318,2019-05-21,68.6,68.7,66.0,66.35,66.35,721431.0
2317,2019-05-20,68.0,69.25,67.25,68.15,68.15,783120.0
2316,2019-05-17,67.2,67.35,66.45,66.9,66.9,565023.0
2315,2019-05-16,67.1,68.7,66.15,67.6,67.6,1428411.0
2314,2019-05-15,67.4,68.0,66.75,67.0,67.0,386195.0
2313,2019-05-14,67.2,67.45,66.3,67.15,67.15,579371.0
2312,2019-05-13,66.95,67.45,66.4,67.05,67.05,446678.0
2311,2019-05-10,67.4,68.1,67.0,67.3,67.3,281752.0
2310,2019-05-09,67.8,69.5,67.1,67.6,67.6,501194.0
2309,2019-05-08,68.7,69.6,67.75,68.0,68.0,421319.0
2308,2019-05-07,70.9,71.15,68.9,69.0,69.0,379861.0
2307,2019-05-06,69.0,71.0,69.0,70.85,70.85,442643.0
2306,2019-05-03,71.0,71.05,68.1,70.3,70.3,439392.0
2305,2019-05-02,70.0,71.1,69.5,70.7,70.7,374463.0
2304,2019-04-30,70.0,71.4,68.3,69.85,69.85,597741.0
2303,2019-04-26,69.5,70.2,69.3,69.8,69.8,1674987.0
2302,2019-04-25,72.05,73.0,69.35,69.65,69.65,522642.0
2301,2019-04-24,71.65,72.65,71.55,72.05,72.05,534123.0
2300,2019-04-23,71.7,72.65,70.65,71.65,71.65,283683.0
2299,2019-04-22,71.6,72.0,70.95,71.45,71.45,312162.0
2298,2019-04-18,73.5,74.35,72.05,72.5,72.5,579942.0
2297,2019-04-16,74.9,75.5,73.0,73.85,73.85,815737.0
2296,2019-04-15,73.6,75.0,73.05,74.45,74.45,950387.0
2295,2019-04-12,72.65,73.3,71.85,73.0,73.0,2002018.0
2294,2019-04-11,72.9,72.9,71.5,72.35,72.35,407348.0
2293,2019-04-10,71.55,73.55,71.55,72.65,72.65,862403.0
2292,2019-04-09,71.5,72.9,70.4,72.4,72.4,1224578.0
2291,2019-04-08,73.7,73.8,70.3,71.55,71.55,735225.0
2290,2019-04-05,73.55,73.65,72.15,73.2,73.2,778336.0
2289,2019-04-04,72.5,73.8,71.85,73.1,73.1,877835.0
2288,2019-04-03,76.25,76.75,71.3,71.9,71.9,2723578.0
2287,2019-04-02,74.2,77.2,73.1,76.45,76.45,3149078.0
2286,2019-04-01,73.15,75.5,72.3,73.75,73.75,3560094.0
2285,2019-03-28,69.0,69.85,68.05,68.95,68.95,1706076.0
2284,2019-03-27,65.3,69.25,64.85,68.7,68.7,7319702.0
2283,2019-03-26,64.2,65.75,64.0,65.2,65.2,1923130.0
2282,2019-03-25,65.2,66.5,63.9,64.1,64.1,1891358.0
2281,2019-03-22,67.25,67.9,65.4,65.6,65.6,1641569.0
2280,2019-03-20,68.0,68.45,66.45,67.05,67.05,4141546.0
2279,2019-03-19,69.3,69.3,67.5,67.9,67.9,3014544.0
2278,2019-03-18,67.5,69.2,67.5,68.95,68.95,2493986.0
2277,2019-03-15,68.4,68.65,66.3,67.05,67.05,2226365.0
2276,2019-03-14,68.85,69.15,66.35,66.8,66.8,1591373.0
2275,2019-03-13,70.25,71.2,67.85,68.3,68.3,2004312.0
2274,2019-03-12,68.75,71.25,68.75,69.8,69.8,1923628.0
2273,2019-03-11,68.75,69.0,68.1,68.45,68.45,783273.0
2272,2019-03-08,70.4,70.7,67.8,68.4,68.4,1714010.0
2271,2019-03-07,69.0,72.6,67.8,70.3,70.3,4789377.0
2270,2019-03-06,68.45,70.15,67.25,68.5,68.5,1254889.0
2269,2019-03-05,66.3,69.0,65.9,67.95,67.95,2064435.0
2268,2019-03-01,64.75,66.35,64.75,65.5,65.5,620534.0
2267,2019-02-28,65.3,65.45,64.3,64.45,64.45,289888.0
2266,2019-02-27,65.5,66.25,64.2,64.6,64.6,411249.0
2265,2019-02-26,65.0,65.7,64.0,64.9,64.9,444250.0
2264,2019-02-25,66.3,66.35,65.3,65.95,65.95,211963.0
2263,2019-02-22,65.15,66.4,65.15,66.0,66.0,377525.0
2262,2019-02-21,65.25,66.35,65.25,65.6,65.6,356391.0
2261,2019-02-20,66.95,66.95,65.1,65.4,65.4,422772.0
2260,2019-02-19,64.3,67.0,64.3,66.3,66.3,592788.0
2259,2019-02-18,65.15,65.8,64.25,64.6,64.6,172672.0
2258,2019-02-15,65.1,65.95,64.0,65.1,65.1,339145.0
2257,2019-02-14,66.0,66.0,64.7,65.5,65.5,265207.0
2256,2019-02-12,66.3,67.5,66.25,66.65,66.65,311470.0
2255,2019-02-11,66.25,67.6,66.15,66.85,66.85,526467.0
2254,2019-02-08,67.0,68.0,66.1,66.45,66.45,377157.0
2253,2019-02-07,66.55,68.0,66.55,67.25,67.25,892557.0
2252,2019-02-06,67.2,67.65,66.4,67.05,67.05,474495.0
2251,2019-02-05,67.85,68.15,66.0,66.85,66.85,530296.0
2250,2019-02-04,68.5,68.5,66.7,67.85,67.85,449996.0
2249,2019-02-01,66.9,68.95,66.9,67.95,67.95,756513.0
2248,2019-01-31,68.5,68.8,65.8,66.85,66.85,1457522.0
2247,2019-01-30,64.6,70.35,64.3,67.85,67.85,2802144.0
2246,2019-01-29,64.6,66.0,63.5,64.2,64.2,549150.0
