,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,475.7,479.35,471.0,471.8,471.8,198635.0
4223,2019-06-13,477.95,481.7,468.35,478.95,478.95,192376.0
4222,2019-06-12,476.75,483.9,468.1,478.45,478.45,286214.0
4221,2019-06-11,481.85,481.9,473.0,476.85,476.85,159406.0
4220,2019-06-10,479.2,484.4,476.0,479.75,479.75,252912.0
4219,2019-06-07,471.0,483.0,466.1,476.05,476.05,484831.0
4218,2019-06-06,462.5,474.95,450.3,470.8,470.8,1077355.0
4217,2019-06-04,487.15,487.15,456.15,460.25,460.25,1119289.0
4216,2019-06-03,495.0,496.75,480.4,488.3,488.3,431833.0
4215,2019-05-31,508.4,510.4,490.5,495.25,495.25,339833.0
4214,2019-05-30,506.0,517.5,502.5,507.2,507.2,386222.0
4213,2019-05-29,512.7,516.0,500.05,501.65,501.65,835244.0
4212,2019-05-28,540.3,540.75,508.0,512.35,512.35,596276.0
4211,2019-05-27,515.7,541.5,515.3,537.4,537.4,469888.0
4210,2019-05-24,519.0,520.75,506.1,515.1,515.1,307177.0
4209,2019-05-23,530.0,534.7,515.0,517.1,517.1,267473.0
4208,2019-05-22,541.2,542.25,515.25,520.25,520.25,886044.0
4207,2019-05-21,575.0,584.0,531.9,537.85,537.85,603194.0
4206,2019-05-20,594.0,595.0,550.05,565.15,565.15,834149.0
4205,2019-05-17,619.0,630.0,590.2,595.5,595.5,315460.0
4204,2019-05-16,603.0,625.0,600.65,622.6,622.6,261661.0
4203,2019-05-15,605.0,617.7,602.5,607.6,607.6,185620.0
4202,2019-05-14,600.05,613.1,592.05,604.25,604.25,225099.0
4201,2019-05-13,616.8,616.8,600.9,603.55,603.55,116077.0
4200,2019-05-10,613.0,627.9,612.2,617.3,617.3,195535.0
4199,2019-05-09,608.7,627.0,593.6,616.05,616.05,307181.0
4198,2019-05-08,635.6,635.6,611.6,614.1,614.1,192387.0
4197,2019-05-07,638.85,643.85,635.45,638.5,638.5,81844.0
4196,2019-05-06,647.95,650.75,632.1,638.1,638.1,157770.0
4195,2019-05-03,656.7,658.55,650.0,651.5,651.5,109296.0
4194,2019-05-02,660.05,663.35,652.15,654.1,654.1,255311.0
4193,2019-04-30,660.0,673.0,645.2,660.85,660.85,314521.0
4192,2019-04-26,675.5,679.75,654.3,657.35,657.35,320538.0
4191,2019-04-25,688.75,692.2,672.15,673.65,673.65,185373.0
4190,2019-04-24,690.0,697.0,684.0,687.3,687.3,154073.0
4189,2019-04-23,681.15,692.7,678.9,688.05,688.05,199759.0
4188,2019-04-22,702.25,702.25,678.05,681.15,681.15,133660.0
4187,2019-04-18,694.9,708.9,683.2,704.45,704.45,393368.0
4186,2019-04-16,688.6,699.3,688.6,691.8,691.8,213602.0
4185,2019-04-15,694.9,694.9,685.15,690.0,690.0,122756.0
4184,2019-04-12,686.4,696.0,686.0,691.7,691.7,188721.0
4183,2019-04-11,688.7,699.7,682.0,688.25,688.25,380588.0
4182,2019-04-10,680.0,692.9,680.0,686.85,686.85,210287.0
4181,2019-04-09,700.0,700.05,678.0,680.6,680.6,310696.0
4180,2019-04-08,711.0,719.65,696.0,699.75,699.75,491795.0
4179,2019-04-05,722.4,726.9,701.0,708.9,708.9,516736.0
4178,2019-04-04,703.6,720.0,702.0,718.8,718.8,846837.0
4177,2019-04-03,690.15,704.35,689.95,699.25,699.25,906416.0
4176,2019-04-02,673.7,689.8,673.7,685.9,685.9,780246.0
4175,2019-04-01,670.95,681.45,668.0,670.6,670.6,574673.0
4174,2019-03-28,651.5,676.0,651.0,654.2,654.2,1404866.0
4173,2019-03-27,682.5,684.0,648.15,653.15,653.15,3295538.0
4172,2019-03-26,722.0,725.7,678.0,685.4,685.4,1418031.0
4171,2019-03-25,747.25,747.25,717.3,722.75,722.75,618129.0
4170,2019-03-22,765.0,768.95,748.5,752.4,752.4,903316.0
4169,2019-03-20,810.0,834.45,770.15,774.1,774.1,7762084.0
4168,2019-03-19,870.15,874.95,838.75,841.65,841.65,552704.0
4167,2019-03-18,876.1,898.85,864.05,872.9,872.9,589108.0
4166,2019-03-15,864.0,884.8,860.1,873.5,873.5,697447.0
4165,2019-03-14,832.9,876.0,810.1,861.65,861.65,1034120.0
4164,2019-03-13,842.9,845.0,820.6,829.55,829.55,403477.0
4163,2019-03-12,850.0,855.9,828.1,837.95,837.95,718821.0
4162,2019-03-11,780.25,858.7,773.0,847.3,847.3,1342348.0
4161,2019-03-08,787.95,795.9,745.0,769.2,769.2,1039008.0
4160,2019-03-07,764.0,793.8,764.0,785.55,785.55,610817.0
4159,2019-03-06,784.9,789.65,721.0,765.55,765.55,497858.0
4158,2019-03-05,778.7,786.9,769.55,780.7,780.7,154979.0
4157,2019-03-01,787.9,789.9,774.1,779.2,779.2,186913.0
4156,2019-02-28,768.05,797.0,764.3,783.5,783.5,588977.0
4155,2019-02-27,776.9,784.2,752.3,768.65,768.65,164118.0
4154,2019-02-26,773.5,782.5,754.0,774.75,774.75,212598.0
4153,2019-02-25,753.1,786.0,753.1,774.7,774.7,570415.0
4152,2019-02-22,756.5,760.0,746.5,756.5,756.5,145554.0
4151,2019-02-21,750.05,758.35,744.35,753.95,753.95,148054.0
4150,2019-02-20,740.3,764.0,740.3,751.4,751.4,438769.0
4149,2019-02-19,717.3,757.5,717.3,739.85,739.85,649369.0
4148,2019-02-18,726.05,733.85,714.5,717.3,717.3,117768.0
4147,2019-02-15,724.1,737.4,716.05,733.2,733.2,137921.0
4146,2019-02-14,712.15,732.0,710.2,728.5,728.5,150584.0
4145,2019-02-12,735.0,742.75,714.65,719.45,719.45,274084.0
4144,2019-02-11,757.0,761.8,741.0,750.5,750.5,230682.0
4143,2019-02-08,735.0,772.0,735.0,757.65,757.65,641660.0
4142,2019-02-07,723.0,747.0,720.0,735.15,735.15,260612.0
4141,2019-02-06,748.4,751.8,715.0,722.9,722.9,271768.0
4140,2019-02-05,736.0,747.8,725.2,739.3,739.3,245501.0
4139,2019-02-04,719.5,739.7,717.2,735.05,735.05,427653.0
4138,2019-02-01,705.1,732.0,705.0,714.4,714.4,398633.0
4137,2019-01-31,709.9,715.0,701.0,703.45,703.45,177321.0
4136,2019-01-30,718.5,719.5,703.0,705.85,705.85,307775.0
4135,2019-01-29,718.05,720.85,702.9,714.15,714.15,181495.0
4134,2019-01-28,707.95,726.55,697.05,714.15,714.15,278959.0
4133,2019-01-25,725.0,730.5,704.0,707.5,707.5,189633.0
4132,2019-01-24,755.95,760.9,712.45,723.2,723.2,327211.0
4131,2019-01-23,736.2,769.8,735.0,757.2,757.2,733236.0
4130,2019-01-22,705.9,739.5,702.85,734.5,734.5,429136.0
4129,2019-01-21,709.05,713.5,702.0,704.1,704.1,93341.0
4128,2019-01-18,703.6,714.2,697.7,709.1,709.1,218678.0
4127,2019-01-17,712.95,719.5,702.0,703.65,703.65,145736.0
4126,2019-01-16,716.0,724.55,708.3,711.55,711.55,129717.0
4125,2019-01-15,725.2,727.45,705.9,719.75,719.75,199042.0
4124,2019-01-14,729.0,731.0,717.0,723.7,723.7,88717.0
4123,2019-01-11,717.95,735.0,715.25,729.35,729.35,207255.0
4122,2019-01-10,714.05,737.9,711.7,716.95,716.95,261771.0
4121,2019-01-09,719.65,721.5,711.1,717.15,717.15,159154.0
4120,2019-01-08,711.0,724.0,711.0,715.35,715.35,163826.0
4119,2019-01-07,711.0,717.0,703.3,710.45,710.45,147878.0
4118,2019-01-04,705.0,711.5,698.0,707.35,707.35,154130.0
4117,2019-01-03,708.95,713.0,701.2,705.0,705.0,121084.0
4116,2019-01-02,709.0,713.6,706.35,708.75,708.75,75984.0
4115,2019-01-01,715.4,715.4,709.25,712.15,712.15,85141.0
4114,2018-12-31,709.1,718.4,706.1,710.6,710.6,190524.0
4113,2018-12-28,709.0,716.8,703.0,705.95,705.95,153458.0
4112,2018-12-27,719.3,719.3,704.7,707.65,707.65,132196.0
4111,2018-12-26,710.9,718.7,701.0,712.1,712.1,195887.0
4110,2018-12-24,700.0,720.0,700.0,710.1,710.1,335090.0
4109,2018-12-21,712.45,716.5,695.1,698.3,698.3,238209.0
4108,2018-12-20,715.0,722.0,708.0,709.45,709.45,220160.0
4107,2018-12-19,728.0,729.9,708.0,712.35,712.35,299751.0
4106,2018-12-18,726.85,734.5,718.2,722.85,722.85,231766.0
4105,2018-12-17,739.85,743.5,722.4,726.85,726.85,199365.0
4104,2018-12-14,745.0,752.95,731.35,735.95,735.95,179209.0
4103,2018-12-13,759.15,770.0,732.95,743.1,743.1,325624.0
4102,2018-12-12,753.0,764.45,742.0,750.85,750.85,394091.0
4101,2018-12-11,734.8,767.5,721.55,754.2,754.2,347429.0
4100,2018-12-10,760.0,761.8,730.0,739.25,739.25,488908.0
4099,2018-12-07,803.0,818.0,786.1,791.75,791.75,228052.0
4098,2018-12-06,806.75,846.35,800.4,805.75,805.75,699988.0
4097,2018-12-05,810.3,836.05,807.25,823.2,823.2,597651.0
4096,2018-12-04,800.0,829.95,785.0,820.55,820.55,470329.0
4095,2018-12-03,780.0,802.0,758.1,799.75,799.75,714189.0
4094,2018-11-30,755.8,780.0,748.5,774.8,774.8,674968.0
4093,2018-11-29,702.05,748.0,702.05,742.65,742.65,872410.0
4092,2018-11-28,690.15,699.45,690.15,696.55,696.55,92729.0
4091,2018-11-27,699.0,708.0,686.45,695.15,695.15,260717.0
4090,2018-11-26,705.9,709.0,675.4,684.9,684.9,166533.0
4089,2018-11-22,706.5,719.2,700.0,702.45,702.45,109932.0
4088,2018-11-21,729.9,734.1,702.0,704.7,704.7,194550.0
4087,2018-11-20,760.9,761.55,721.05,728.25,728.25,147257.0
4086,2018-11-19,759.7,770.0,749.45,760.15,760.15,255886.0
4085,2018-11-16,757.6,757.6,746.0,753.1,753.1,113297.0
4084,2018-11-15,751.8,762.0,743.05,753.5,753.5,130364.0
4083,2018-11-14,759.05,764.15,739.1,751.8,751.8,124185.0
4082,2018-11-13,737.1,761.35,736.0,758.2,758.2,168186.0
4081,2018-11-12,766.9,770.0,735.0,746.8,746.8,197408.0
4080,2018-11-09,735.0,770.0,725.05,764.05,764.05,405186.0
4079,2018-11-07,738.0,741.15,732.0,735.3,735.3,23513.0
4078,2018-11-06,721.6,737.2,721.2,731.95,731.95,149329.0
4077,2018-11-05,704.4,729.0,703.15,721.0,721.0,331593.0
4076,2018-11-02,681.95,709.8,675.15,702.35,702.35,405429.0
4075,2018-11-01,664.4,681.0,663.1,673.55,673.55,244775.0
4074,2018-10-31,646.0,669.9,646.0,663.55,663.55,225013.0
4073,2018-10-30,655.0,665.95,644.15,651.3,651.3,266234.0
4072,2018-10-29,649.0,654.6,641.15,648.6,648.6,182341.0
4071,2018-10-26,660.0,660.0,640.3,647.2,647.2,118952.0
4070,2018-10-25,643.2,659.95,642.5,656.75,656.75,140326.0
4069,2018-10-24,656.05,664.0,645.15,653.55,653.55,271448.0
4068,2018-10-23,652.95,682.0,626.0,652.15,652.15,1003472.0
4067,2018-10-22,688.0,694.7,642.0,649.95,649.95,773728.0
4066,2018-10-19,680.0,695.65,616.0,672.05,672.05,624638.0
4065,2018-10-17,697.1,703.7,676.05,680.4,680.4,120536.0
4064,2018-10-16,695.0,706.1,688.1,693.2,693.2,120758.0
4063,2018-10-15,665.0,695.95,650.0,692.4,692.4,176973.0
4062,2018-10-12,652.9,670.0,652.9,663.8,663.8,416525.0
4061,2018-10-11,646.9,663.85,586.35,649.0,649.0,144862.0
4060,2018-10-10,654.0,672.8,651.7,667.55,667.55,174724.0
4059,2018-10-09,675.05,683.45,642.55,650.95,650.95,226432.0
4058,2018-10-08,675.0,689.0,664.35,670.05,670.05,181984.0
4057,2018-10-05,700.0,712.0,675.15,685.6,685.6,105285.0
4056,2018-10-04,688.8,710.75,682.25,705.3,705.3,884821.0
4055,2018-10-03,705.0,715.3,692.85,696.1,696.1,225339.0
4054,2018-10-01,735.5,735.5,672.1,711.75,711.75,369400.0
4053,2018-09-28,744.0,759.0,715.0,732.7,732.7,273429.0
4052,2018-09-27,761.1,764.65,737.7,743.3,743.3,281949.0
4051,2018-09-26,750.05,765.0,750.0,760.3,760.3,332566.0
4050,2018-09-25,725.0,744.7,712.0,735.6,735.6,272833.0
4049,2018-09-24,739.65,746.7,713.4,723.25,723.25,211649.0
4048,2018-09-21,752.5,763.0,686.05,738.15,738.15,415345.0
4047,2018-09-19,774.8,777.65,742.0,746.7,746.7,206938.0
4046,2018-09-18,789.8,792.85,767.5,771.25,771.25,215519.0
4045,2018-09-17,785.25,810.0,780.0,789.8,789.8,286832.0
4044,2018-09-14,789.0,798.9,782.7,792.5,792.5,340787.0
4043,2018-09-12,765.0,789.0,755.0,781.25,781.25,515680.0
4042,2018-09-11,812.4,825.9,761.15,769.15,766.15,511650.0
4041,2018-09-10,820.05,868.8,793.2,805.95,802.8065,1143441.0
4040,2018-09-07,762.9,830.0,757.5,817.05,813.8632,2114666.0
4039,2018-09-06,757.0,764.8,750.0,760.15,757.1851,279433.0
4038,2018-09-05,751.0,764.8,751.0,760.55,757.5836,345703.0
4037,2018-09-04,734.0,762.0,727.0,748.1,745.1821,829799.0
4036,2018-09-03,727.9,743.0,725.05,731.45,728.597,280590.0
4035,2018-08-31,717.95,725.0,715.2,722.2,719.3831,212071.0
4034,2018-08-30,724.9,728.5,715.5,717.2,714.4026,210266.0
