,Date,Open,High,Low,Close,Adj Close,Volume
2310,2019-06-14,1321.0,1343.95,1300.0,1305.5,1305.5,854305.0
2309,2019-06-13,1328.6,1332.4,1300.05,1326.35,1326.35,693386.0
2308,2019-06-12,1322.9,1337.75,1312.0,1332.8,1332.8,668231.0
2307,2019-06-11,1356.5,1364.8,1316.5,1323.2,1323.2,1668330.0
2306,2019-06-10,1322.4,1358.3,1320.0,1352.5,1352.5,1176034.0
2305,2019-06-07,1337.0,1338.8,1295.0,1314.4,1314.4,823498.0
2304,2019-06-06,1362.5,1363.35,1323.95,1329.2,1329.2,1031567.0
2303,2019-06-04,1343.0,1370.35,1340.0,1357.1,1357.1,1412660.0
2302,2019-06-03,1306.1,1351.85,1305.05,1342.5,1342.5,1350568.0
2301,2019-05-31,1327.65,1342.5,1295.85,1307.55,1307.55,963944.0
2300,2019-05-30,1329.0,1342.85,1315.85,1321.6,1321.6,616609.0
2299,2019-05-29,1336.0,1346.4,1318.45,1324.95,1324.95,690582.0
2298,2019-05-28,1337.7,1365.0,1326.0,1339.55,1339.55,1163984.0
2297,2019-05-27,1296.0,1339.9,1296.0,1333.95,1333.95,1149698.0
2296,2019-05-24,1302.15,1329.75,1260.3,1316.95,1316.95,1949400.0
2295,2019-05-23,1310.0,1316.35,1284.0,1294.25,1294.25,1066238.0
2294,2019-05-22,1309.8,1318.4,1275.35,1284.4,1284.4,1180657.0
2293,2019-05-21,1315.0,1345.25,1288.6,1301.2,1301.2,1488073.0
2292,2019-05-20,1313.0,1320.5,1274.0,1309.15,1309.15,1557849.0
2291,2019-05-17,1251.0,1278.0,1240.0,1273.55,1273.55,2528036.0
2290,2019-05-16,1246.0,1256.75,1222.1,1244.65,1244.65,3105297.0
2289,2019-05-15,1205.7,1254.0,1186.05,1242.5,1242.5,5410938.0
2288,2019-05-14,1243.7,1247.5,1191.1,1201.95,1201.95,1453766.0
2287,2019-05-13,1269.95,1269.95,1237.05,1242.6,1242.6,746458.0
2286,2019-05-10,1278.8,1294.8,1258.8,1264.5,1264.5,892408.0
2285,2019-05-09,1266.0,1278.0,1253.25,1268.8,1268.8,646016.0
2284,2019-05-08,1272.0,1276.55,1241.85,1262.45,1262.45,1039517.0
2283,2019-05-07,1305.0,1320.0,1277.4,1282.25,1282.25,1309392.0
2282,2019-05-06,1317.0,1326.7,1290.5,1299.85,1299.85,1133655.0
2281,2019-05-03,1345.95,1362.95,1320.3,1326.35,1326.35,1035518.0
2280,2019-05-02,1329.7,1364.4,1311.25,1345.9,1345.9,1497573.0
2279,2019-04-30,1341.6,1341.6,1310.05,1328.5,1328.5,896668.0
2278,2019-04-26,1336.15,1354.9,1332.2,1342.8,1342.8,1307231.0
2277,2019-04-25,1327.0,1354.9,1321.0,1327.9,1327.9,1153973.0
2276,2019-04-24,1320.0,1334.0,1307.2,1317.0,1317.0,967476.0
2275,2019-04-23,1323.0,1349.0,1311.2,1316.1,1316.1,959140.0
2274,2019-04-22,1340.75,1348.0,1324.0,1331.05,1331.05,746341.0
2273,2019-04-18,1387.0,1391.55,1340.75,1345.15,1345.15,1322271.0
2272,2019-04-16,1377.0,1394.75,1362.1,1381.15,1381.15,1270729.0
2271,2019-04-15,1366.0,1384.85,1366.0,1370.4,1370.4,1112285.0
2270,2019-04-12,1378.4,1380.95,1348.25,1361.5,1361.5,1543838.0
2269,2019-04-11,1409.0,1416.3,1370.0,1375.3,1375.3,1424371.0
2268,2019-04-10,1428.0,1433.95,1405.6,1409.65,1409.65,675075.0
2267,2019-04-09,1428.95,1433.0,1405.5,1429.55,1429.55,863852.0
2266,2019-04-08,1424.9,1437.5,1413.55,1427.7,1427.7,820538.0
2265,2019-04-05,1437.0,1444.25,1413.0,1417.6,1417.6,944826.0
2264,2019-04-04,1428.2,1442.9,1420.1,1432.85,1432.85,989402.0
2263,2019-04-03,1448.45,1461.0,1419.0,1423.15,1423.15,907675.0
2262,2019-04-02,1458.0,1474.7,1431.0,1441.2,1441.2,1061727.0
2261,2019-04-01,1456.0,1487.7,1448.4,1460.3,1460.3,1403371.0
2260,2019-03-28,1444.6,1466.65,1437.5,1459.4,1459.4,1449362.0
2259,2019-03-27,1466.0,1469.45,1443.1,1446.6,1446.6,1104984.0
2258,2019-03-26,1461.0,1470.0,1442.0,1466.6,1466.6,2429883.0
2257,2019-03-25,1432.0,1459.9,1427.05,1454.7,1454.7,2834818.0
2256,2019-03-22,1405.9,1438.0,1405.0,1430.4,1430.4,2528661.0
2255,2019-03-20,1406.0,1420.0,1395.0,1400.35,1400.35,1897603.0
2254,2019-03-19,1404.0,1430.0,1390.0,1398.75,1398.75,4380553.0
2253,2019-03-18,1356.4,1393.5,1345.05,1387.3,1387.3,2090717.0
2252,2019-03-15,1349.75,1358.7,1332.1,1343.2,1343.2,1805206.0
2251,2019-03-14,1322.0,1369.0,1314.4,1331.6,1331.6,3670164.0
2250,2019-03-13,1355.0,1355.0,1321.0,1325.65,1325.65,1308577.0
2249,2019-03-12,1380.1,1384.0,1343.3,1349.9,1349.9,1673508.0
2248,2019-03-11,1347.0,1375.0,1341.0,1371.85,1371.85,1563403.0
2247,2019-03-08,1327.2,1347.9,1315.1,1339.6,1339.6,1357561.0
2246,2019-03-07,1339.0,1360.8,1316.0,1326.2,1326.2,2296736.0
2245,2019-03-06,1289.9,1334.0,1275.0,1327.25,1327.25,3292385.0
2244,2019-03-05,1276.0,1287.95,1261.25,1274.25,1274.25,1676607.0
2243,2019-03-01,1277.0,1282.15,1267.5,1276.75,1276.75,1089400.0
2242,2019-02-28,1281.0,1297.0,1263.25,1268.75,1268.75,2239670.0
2241,2019-02-27,1287.0,1293.5,1265.0,1272.05,1272.05,1467199.0
2240,2019-02-26,1263.0,1279.0,1245.75,1273.4,1273.4,2064924.0
2239,2019-02-25,1302.0,1313.5,1264.0,1268.65,1268.65,2547385.0
2238,2019-02-22,1305.0,1313.25,1289.0,1295.2,1295.2,2708759.0
2237,2019-02-21,1295.0,1327.9,1293.2,1316.3,1316.3,2061410.0
2236,2019-02-20,1341.1,1350.6,1285.2,1292.5,1292.5,2797395.0
2235,2019-02-19,1340.15,1368.0,1333.0,1341.3,1341.3,2557102.0
2234,2019-02-18,1300.05,1346.5,1300.05,1337.95,1337.95,2136235.0
2233,2019-02-15,1312.4,1312.6,1275.0,1300.85,1300.85,1250051.0
2232,2019-02-14,1280.0,1317.5,1280.0,1312.7,1312.7,1729499.0
2231,2019-02-12,1327.0,1327.85,1275.1,1297.45,1297.45,1983732.0
