,Date,Open,High,Low,Close,Adj Close,Volume
1483,2019-06-14,758.75,765.85,727.35,740.9,740.9,2693587.0
1482,2019-06-13,755.0,764.0,745.0,758.75,758.75,3320981.0
1481,2019-06-12,741.0,768.7,734.1,761.95,761.95,6327227.0
1480,2019-06-11,747.0,750.0,733.15,742.1,742.1,3412795.0
1479,2019-06-10,745.0,755.65,724.9,744.2,744.2,7180117.0
1478,2019-06-07,723.0,748.25,691.75,739.8,739.8,12478529.0
1477,2019-06-06,755.0,769.95,718.2,723.25,723.25,6576867.0
1476,2019-06-04,794.2,796.4,749.15,757.15,757.15,12613031.0
1475,2019-06-03,746.95,819.7,745.0,795.0,795.0,11404466.0
1474,2019-05-31,748.0,783.0,727.35,765.6,765.6,14799389.0
1473,2019-05-30,690.35,778.0,690.0,746.95,746.95,8877394.0
1472,2019-05-29,684.0,707.8,676.35,690.4,690.4,4374098.0
1471,2019-05-28,701.15,715.25,681.0,686.85,686.85,3157826.0
1470,2019-05-27,679.55,711.5,670.0,700.15,700.15,5038546.0
1469,2019-05-24,744.0,744.0,673.35,679.55,679.55,8005767.0
1468,2019-05-23,750.2,768.9,732.1,746.95,746.95,4560146.0
1467,2019-05-22,703.0,750.0,703.0,742.75,742.75,10717999.0
1466,2019-05-21,661.0,726.65,659.0,714.75,714.75,12977140.0
1465,2019-05-20,636.85,678.5,621.6,668.6,668.6,3783737.0
1464,2019-05-17,591.0,635.6,588.0,625.0,625.0,6165302.0
1463,2019-05-16,577.9,602.9,572.3,595.9,595.9,2006058.0
1462,2019-05-15,566.0,583.0,563.6,576.15,576.15,2787831.0
1461,2019-05-14,557.9,571.0,542.5,561.6,561.6,3782496.0
1460,2019-05-13,565.7,566.2,548.35,551.2,551.2,1783928.0
1459,2019-05-10,553.0,569.0,553.0,566.15,566.15,1612479.0
1458,2019-05-09,562.0,565.45,542.05,552.75,552.75,2359701.0
1457,2019-05-08,570.05,574.0,559.65,562.3,562.3,940409.0
1456,2019-05-07,576.0,583.0,565.8,568.6,568.6,1249234.0
1455,2019-05-06,577.5,585.95,570.0,573.8,573.8,879129.0
1454,2019-05-03,586.5,592.95,582.6,585.75,585.75,1370797.0
1453,2019-05-02,579.05,590.0,573.0,586.45,586.45,1951229.0
1452,2019-04-30,580.35,582.0,563.0,579.05,579.05,1517117.0
1451,2019-04-26,575.95,585.85,570.7,579.45,579.45,1913989.0
1450,2019-04-25,574.15,582.0,568.75,574.2,574.2,1371169.0
