,Date,Open,High,Low,Close,Adj Close,Volume
2831,2019-06-14,167.5,170.55,164.0,165.3,165.3,227155.0
2830,2019-06-13,171.0,171.5,167.5,168.55,168.55,256819.0
2829,2019-06-12,171.2,174.85,170.0,171.6,171.6,48941.0
2828,2019-06-11,168.05,175.45,168.05,172.95,172.95,290241.0
2827,2019-06-10,172.0,172.25,167.45,169.4,169.4,373947.0
2826,2019-06-07,173.85,176.0,170.8,172.25,172.25,194976.0
2825,2019-06-06,172.2,175.8,170.55,172.05,172.05,82832.0
2824,2019-06-04,169.5,171.95,168.5,170.5,170.5,113281.0
2823,2019-06-03,170.0,171.75,169.5,169.95,169.95,165192.0
2822,2019-05-31,171.8,172.75,169.95,170.9,170.9,154482.0
2821,2019-05-30,170.65,172.5,170.0,171.35,171.35,38421.0
2820,2019-05-29,175.0,175.0,170.5,171.5,171.5,47282.0
2819,2019-05-28,167.95,175.0,167.95,174.55,174.55,1496752.0
2818,2019-05-27,169.8,171.5,166.45,167.95,167.95,272485.0
2817,2019-05-24,166.1,170.3,164.0,168.95,168.95,1057830.0
2816,2019-05-23,164.0,170.0,163.0,166.0,166.0,1291126.0
2815,2019-05-22,166.5,167.25,162.0,162.95,162.95,730130.0
2814,2019-05-21,157.0,168.35,156.0,164.3,164.3,533614.0
2813,2019-05-20,155.0,156.35,151.05,154.7,154.7,1387663.0
2812,2019-05-17,145.75,149.4,144.1,148.3,148.3,111337.0
2811,2019-05-16,146.5,149.95,144.0,146.55,146.55,474840.0
2810,2019-05-15,150.0,151.0,142.9,145.55,145.55,701172.0
2809,2019-05-14,150.0,151.4,146.6,147.05,147.05,357957.0
2808,2019-05-13,156.95,157.95,149.0,150.55,150.55,400903.0
2807,2019-05-10,159.95,161.0,155.65,155.9,155.9,205406.0
2806,2019-05-09,161.0,161.0,156.25,159.4,159.4,765368.0
2805,2019-05-08,172.0,173.0,159.2,161.05,161.05,653726.0
2804,2019-05-07,178.65,179.0,168.0,169.15,169.15,1167420.0
2803,2019-05-06,179.5,181.05,176.5,177.65,177.65,89146.0
2802,2019-05-03,180.4,183.0,179.1,179.75,179.75,436818.0
2801,2019-05-02,179.6,181.95,178.25,179.45,179.45,845063.0
2800,2019-04-30,178.55,180.35,174.6,179.6,179.6,128113.0
2799,2019-04-26,180.9,181.9,177.55,178.55,178.55,106793.0
2798,2019-04-25,181.0,182.35,179.5,180.4,180.4,200021.0
2797,2019-04-24,181.0,183.0,178.65,180.3,180.3,643474.0
2796,2019-04-23,182.7,183.8,179.25,180.05,180.05,96420.0
2795,2019-04-22,184.75,184.9,181.1,181.95,181.95,97824.0
2794,2019-04-18,189.4,189.4,183.05,183.7,183.7,239703.0
2793,2019-04-16,191.0,191.95,186.75,187.05,187.05,200323.0
2792,2019-04-15,192.25,194.8,189.8,190.55,190.55,297155.0
2791,2019-04-12,187.0,198.65,185.85,190.85,190.85,775450.0
2790,2019-04-11,187.5,188.6,184.95,186.05,186.05,621571.0
2789,2019-04-10,188.0,189.8,185.25,187.55,187.55,79219.0
2788,2019-04-09,196.35,196.35,188.5,189.4,189.4,127938.0
2787,2019-04-08,196.0,200.4,192.0,194.1,194.1,443169.0
2786,2019-04-05,190.0,196.45,188.05,194.9,194.9,1754057.0
