,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,499.0,509.0,486.6,503.25,503.25,97868.0
4223,2019-06-13,510.0,510.05,485.0,490.0,490.0,28062.0
4222,2019-06-12,499.2,514.95,495.0,508.6,508.6,20601.0
4221,2019-06-11,496.95,510.0,487.25,502.05,502.05,39911.0
4220,2019-06-10,510.0,510.0,477.4,490.35,490.35,42910.0
4219,2019-06-07,494.05,500.0,484.1,495.9,495.9,69177.0
4218,2019-06-06,515.0,515.0,491.15,496.65,496.65,109708.0
4217,2019-06-04,522.95,524.0,510.0,516.55,516.55,27662.0
4216,2019-06-03,505.9,521.4,500.15,519.0,519.0,26149.0
4215,2019-05-31,524.1,531.0,503.0,505.0,505.0,104483.0
4214,2019-05-30,526.0,535.8,519.05,522.75,522.75,34292.0
4213,2019-05-29,525.5,535.45,523.3,530.0,530.0,195959.0
4212,2019-05-28,544.6,544.7,523.9,529.5,529.5,125117.0
4211,2019-05-27,525.75,543.0,522.95,540.15,540.15,122418.0
4210,2019-05-24,514.65,547.4,504.65,526.15,526.15,310476.0
4209,2019-05-23,500.0,514.8,494.0,508.95,508.95,188579.0
4208,2019-05-22,491.9,500.0,479.6,490.85,490.85,101824.0
4207,2019-05-21,483.5,492.0,479.15,490.3,490.3,49304.0
4206,2019-05-20,474.45,485.7,467.0,482.85,482.85,114055.0
4205,2019-05-17,447.05,466.15,446.4,460.15,460.15,85517.0
4204,2019-05-16,464.0,464.0,442.2,450.0,450.0,56500.0
4203,2019-05-15,460.0,462.65,457.75,459.25,459.25,90423.0
4202,2019-05-14,459.95,467.05,451.25,459.85,459.85,120426.0
4201,2019-05-13,460.15,462.85,451.1,459.9,459.9,78227.0
4200,2019-05-10,465.0,473.8,456.0,460.15,460.15,164670.0
4199,2019-05-09,462.55,467.0,446.0,459.85,459.85,62666.0
4198,2019-05-08,460.35,466.95,452.4,462.95,462.95,41845.0
4197,2019-05-07,472.9,473.2,464.4,469.1,469.1,119944.0
4196,2019-05-06,470.0,473.7,464.8,465.05,465.05,17059.0
4195,2019-05-03,484.9,485.0,471.2,474.8,474.8,22723.0
4194,2019-05-02,461.0,485.0,458.55,479.35,479.35,68128.0
4193,2019-04-30,473.05,473.9,460.0,465.9,465.9,52410.0
4192,2019-04-26,480.0,480.65,472.5,475.95,475.95,9439.0
4191,2019-04-25,485.9,485.9,475.35,477.8,477.8,15484.0
4190,2019-04-24,494.8,494.8,483.2,484.95,484.95,47135.0
4189,2019-04-23,488.0,494.8,485.3,490.0,490.0,338479.0
4188,2019-04-22,482.1,495.0,470.3,485.3,485.3,45959.0
4187,2019-04-18,495.35,496.95,475.5,487.25,487.25,348029.0
4186,2019-04-16,495.0,499.9,490.0,495.35,495.35,76488.0
4185,2019-04-15,486.0,497.35,486.0,491.95,491.95,40229.0
4184,2019-04-12,478.0,495.9,474.95,485.75,485.75,41410.0
