,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,450.0,456.0,444.5,449.65,449.65,257461.0
4223,2019-06-13,464.0,470.0,453.6,465.55,465.55,111483.0
4222,2019-06-12,449.65,466.0,446.0,463.15,460.55,349924.0
4221,2019-06-11,445.0,455.0,438.35,449.4,446.8772,363943.0
4220,2019-06-10,443.0,446.9,440.0,443.8,441.3086,291151.0
4219,2019-06-07,450.0,450.0,442.7,448.1,445.5845,101934.0
4218,2019-06-06,460.0,460.0,446.0,450.95,448.4185,381605.0
4217,2019-06-04,463.0,463.0,455.6,459.85,457.2685,137531.0
4216,2019-06-03,466.0,468.0,449.65,466.05,463.4337,157865.0
4215,2019-05-31,449.8,468.0,444.4,461.35,458.7601,577797.0
4214,2019-05-30,452.5,452.5,438.5,443.95,441.4578,585817.0
4213,2019-05-29,443.0,453.0,441.05,447.45,444.9381,63985.0
4212,2019-05-28,443.9,454.9,433.3,447.85,445.3359,140991.0
4211,2019-05-27,438.0,448.0,433.0,440.85,438.3752,68938.0
4210,2019-05-24,425.0,441.0,421.4,437.5,435.044,872544.0
4209,2019-05-23,424.0,430.0,410.05,424.75,422.3656,594684.0
4208,2019-05-22,405.4,420.8,404.0,417.75,415.4048,109378.0
4207,2019-05-21,412.8,414.4,403.1,404.3,402.0304,213123.0
4206,2019-05-20,417.0,418.9,403.55,410.95,408.643,269188.0
4205,2019-05-17,403.9,413.85,393.0,410.75,408.4442,650957.0
4204,2019-05-16,400.9,403.2,390.0,400.6,398.3511,158630.0
4203,2019-05-15,408.85,408.85,394.3,400.1,397.8539,293323.0
4202,2019-05-14,407.0,411.0,397.4,405.65,403.3728,596976.0
4201,2019-05-13,413.85,414.8,404.0,406.5,404.218,246150.0
4200,2019-05-10,424.85,425.9,413.05,414.3,411.9742,333256.0
4199,2019-05-09,431.0,438.85,424.15,429.75,427.3375,209967.0
4198,2019-05-08,427.2,439.0,422.0,434.0,431.5636,142710.0
4197,2019-05-07,429.0,440.0,418.8,431.85,429.4257,143538.0
4196,2019-05-06,427.5,432.0,419.0,425.5,423.1114,119746.0
4195,2019-05-03,417.0,440.0,395.05,431.15,428.7296,500189.0
4194,2019-05-02,440.0,442.0,408.0,419.3,416.9461,752734.0
4193,2019-04-30,445.0,445.0,433.0,441.05,438.574,85309.0
4192,2019-04-26,447.9,447.9,438.0,441.25,438.7729,80580.0
4191,2019-04-25,440.0,448.0,435.0,443.95,441.4578,79375.0
4190,2019-04-24,438.95,445.4,429.05,435.85,433.4033,140343.0
4189,2019-04-23,441.35,445.0,433.2,435.25,432.8066,168341.0
4188,2019-04-22,451.0,451.0,441.5,442.9,440.4137,110933.0
4187,2019-04-18,455.0,458.0,443.15,447.9,445.3856,304701.0
4186,2019-04-16,460.55,467.2,452.0,455.95,453.3904,163902.0
4185,2019-04-15,466.0,466.0,455.3,460.55,457.9646,182941.0
4184,2019-04-12,453.7,466.0,452.1,461.3,458.7104,137035.0
4183,2019-04-11,454.55,461.45,448.5,454.9,452.3463,39268.0
4182,2019-04-10,452.5,475.0,448.0,456.35,453.7882,106149.0
4181,2019-04-09,458.0,459.0,447.5,451.0,448.4682,110697.0
4180,2019-04-08,469.75,469.75,456.55,459.55,456.9702,54288.0
4179,2019-04-05,471.0,474.9,465.0,468.75,466.1186,93547.0
4178,2019-04-04,464.85,471.9,461.05,468.7,466.0688,100381.0
4177,2019-04-03,454.0,469.0,451.5,464.85,462.2404,312987.0
4176,2019-04-02,445.65,457.4,440.0,452.15,449.6117,827713.0
4175,2019-04-01,455.45,459.6,442.0,444.0,441.5075,374950.0
4174,2019-03-28,452.0,452.0,446.25,449.75,447.2252,126071.0
4173,2019-03-27,449.1,456.25,443.3,448.05,445.5348,196166.0
4172,2019-03-26,444.2,455.0,439.0,453.15,450.6061,124554.0
4171,2019-03-25,445.0,448.9,437.2,439.85,437.3808,169061.0
4170,2019-03-22,442.0,450.25,436.3,445.0,442.5019,404785.0
4169,2019-03-20,462.35,464.75,458.5,459.1,456.5227,71268.0
4168,2019-03-19,466.0,469.45,459.0,460.05,457.4674,216082.0
4167,2019-03-18,471.5,475.25,457.9,465.55,462.9365,132151.0
4166,2019-03-15,460.0,489.0,453.55,466.85,464.2292,323972.0
4165,2019-03-14,465.3,466.95,457.8,461.0,458.4121,446079.0
4164,2019-03-13,477.2,477.2,450.25,465.3,462.6879,259103.0
4163,2019-03-12,482.0,488.9,471.0,475.35,472.6815,320455.0
4162,2019-03-11,444.6,484.0,442.65,476.55,473.8748,433417.0
4161,2019-03-08,435.9,448.0,433.0,444.6,442.1041,304049.0
4160,2019-03-07,437.95,439.65,432.0,434.0,431.5636,168418.0
4159,2019-03-06,443.9,446.0,431.05,434.5,432.0608,147240.0
4158,2019-03-05,449.8,449.8,437.95,440.4,437.9277,305507.0
4157,2019-03-01,452.45,452.45,444.4,446.2,443.6952,203156.0
4156,2019-02-28,450.55,453.75,448.0,450.2,447.6727,136939.0
4155,2019-02-27,454.0,459.4,445.05,450.55,448.0207,104957.0
4154,2019-02-26,448.3,454.95,440.25,453.55,451.0039,60479.0
4153,2019-02-25,446.0,460.85,440.1,455.15,452.5949,105807.0
4152,2019-02-22,435.0,446.55,434.0,443.2,440.712,145376.0
4151,2019-02-21,439.75,443.7,431.1,432.6,430.1715,51513.0
4150,2019-02-20,431.0,444.8,431.0,439.75,437.2813,77141.0
4149,2019-02-19,438.9,441.0,429.0,430.35,427.9341,85192.0
4148,2019-02-18,449.0,449.0,436.05,438.45,435.9887,84600.0
4147,2019-02-15,453.15,455.1,445.0,451.4,448.8659,38684.0
4146,2019-02-14,448.5,461.45,446.8,458.75,456.1747,36081.0
4145,2019-02-12,458.0,462.6,450.0,458.05,455.4786,146455.0
4144,2019-02-11,464.0,468.95,454.05,459.6,457.0199,110587.0
4143,2019-02-08,471.0,474.05,464.0,469.65,467.0135,63876.0
4142,2019-02-07,468.95,474.8,460.4,470.85,468.2068,242537.0
4141,2019-02-06,463.5,470.0,456.05,465.15,462.5388,73503.0
4140,2019-02-05,457.5,465.0,452.05,463.7,461.0969,52102.0
4139,2019-02-04,450.5,460.0,443.6,458.15,455.5781,76860.0
4138,2019-02-01,443.95,460.0,435.05,457.9,455.3295,149094.0
4137,2019-01-31,433.7,453.95,426.15,446.35,443.8443,227207.0
4136,2019-01-30,426.0,438.95,421.2,434.2,431.7625,219239.0
4135,2019-01-29,436.0,439.65,414.4,430.35,427.9341,463029.0
4134,2019-01-28,452.0,453.9,432.25,438.05,435.5909,165695.0
4133,2019-01-25,454.0,458.95,447.55,449.05,446.5291,67376.0
4132,2019-01-24,447.1,458.0,440.1,454.4,451.8491,57956.0
4131,2019-01-23,460.0,460.0,445.1,447.7,445.1867,42666.0
4130,2019-01-22,453.35,460.0,448.35,456.25,453.6887,36685.0
4129,2019-01-21,455.0,466.0,449.0,453.75,451.2028,36220.0
4128,2019-01-18,453.0,458.0,444.35,455.8,453.2412,33482.0
4127,2019-01-17,454.0,459.4,447.3,449.65,447.1258,59001.0
4126,2019-01-16,458.95,461.9,453.0,456.75,454.1859,67233.0
4125,2019-01-15,445.0,460.0,445.0,457.0,454.4345,471397.0
4124,2019-01-14,451.45,451.45,437.1,442.2,439.7176,158365.0
4123,2019-01-11,452.95,457.7,444.05,448.65,446.1314,64992.0
4122,2019-01-10,450.0,452.75,443.0,449.45,446.9269,84528.0
4121,2019-01-09,464.0,464.25,450.0,451.65,449.1145,138561.0
4120,2019-01-08,466.7,466.7,458.0,462.45,459.8539,46339.0
4119,2019-01-07,479.6,481.7,457.1,466.7,464.0801,81527.0
4118,2019-01-04,487.75,487.75,476.0,479.55,476.8579,52852.0
4117,2019-01-03,479.2,489.55,476.6,483.7,480.9846,94049.0
4116,2019-01-02,494.0,494.0,480.0,481.95,479.2445,131959.0
4115,2019-01-01,490.75,499.5,488.05,493.45,490.6799,72670.0
4114,2018-12-31,483.0,492.0,481.05,490.75,487.9951,81148.0
4113,2018-12-28,484.0,486.45,479.95,482.1,479.3936,125080.0
4112,2018-12-27,483.0,484.8,478.0,480.05,477.3551,79334.0
4111,2018-12-26,487.8,487.8,475.65,484.55,481.8298,71772.0
4110,2018-12-24,478.0,488.5,477.05,483.9,481.1835,87026.0
4109,2018-12-21,487.5,490.0,474.35,483.85,481.1338,145778.0
4108,2018-12-20,480.5,489.9,476.95,487.5,484.7633,85476.0
4107,2018-12-19,488.3,493.45,476.15,478.5,475.8138,187499.0
4106,2018-12-18,473.9,485.0,469.65,481.95,479.2445,207283.0
4105,2018-12-17,464.75,475.0,458.05,469.65,467.0135,86699.0
4104,2018-12-14,462.0,466.0,450.0,458.6,456.0255,148775.0
