,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,75.25,76.1,74.1,74.8,74.8,492465.0
4873,2019-06-13,77.25,77.65,72.7,75.1,75.1,583451.0
4872,2019-06-12,77.7,78.0,76.8,77.25,77.25,1276845.0
4871,2019-06-11,78.0,78.3,77.2,77.7,77.7,380393.0
4870,2019-06-10,78.0,78.75,77.5,78.3,78.3,258679.0
4869,2019-06-07,79.55,80.0,77.1,77.75,77.75,1133590.0
4868,2019-06-06,79.85,81.0,77.9,80.3,80.3,1143379.0
4867,2019-06-04,79.2,80.85,79.2,80.5,80.5,639404.0
4866,2019-06-03,77.6,80.2,77.6,80.0,80.0,1401585.0
4865,2019-05-31,79.7,79.95,77.85,78.1,78.1,587277.0
4864,2019-05-30,81.5,81.5,79.25,79.65,79.65,364737.0
4863,2019-05-29,78.15,79.8,77.85,79.5,79.5,668783.0
4862,2019-05-28,81.5,81.5,77.6,78.1,78.1,4776108.0
4861,2019-05-27,80.0,81.75,79.8,81.0,81.0,603598.0
4860,2019-05-24,80.85,81.0,79.35,80.05,80.05,511840.0
4859,2019-05-23,81.75,83.6,79.55,79.9,79.9,1351729.0
4858,2019-05-22,78.45,82.0,78.15,80.1,80.1,3001400.0
4857,2019-05-21,78.5,79.95,77.35,78.5,78.5,874291.0
4856,2019-05-20,77.5,78.8,76.15,78.05,78.05,906012.0
4855,2019-05-17,75.0,78.15,74.0,74.7,74.7,2080986.0
4854,2019-05-16,75.0,75.6,73.3,74.7,74.7,1338452.0
4853,2019-05-15,79.4,80.0,73.1,74.4,74.4,4633494.0
4852,2019-05-14,79.0,80.0,77.8,79.8,79.8,733023.0
4851,2019-05-13,81.0,81.0,79.0,79.5,79.5,961407.0
4850,2019-05-10,80.2,81.5,79.35,80.8,80.8,1756062.0
4849,2019-05-09,79.0,80.5,78.1,80.35,80.35,962561.0
4848,2019-05-08,80.2,80.2,78.3,78.9,78.9,722891.0
4847,2019-05-07,79.3,80.65,79.0,79.95,79.95,1031489.0
4846,2019-05-06,78.9,81.65,78.3,79.3,79.3,3446148.0
4845,2019-05-03,77.0,79.5,76.8,78.95,78.95,1519967.0
4844,2019-05-02,77.1,78.15,76.75,77.15,77.15,601200.0
4843,2019-04-30,79.2,79.2,76.05,77.4,77.4,720206.0
4842,2019-04-26,78.2,78.95,77.75,78.75,78.75,595475.0
4841,2019-04-25,78.8,80.0,77.4,77.95,77.95,612961.0
4840,2019-04-24,76.6,78.95,76.2,78.85,78.85,712894.0
4839,2019-04-23,77.35,78.2,76.05,76.2,76.2,476400.0
4838,2019-04-22,78.95,78.95,76.85,77.35,77.35,2081766.0
4837,2019-04-18,80.95,81.1,77.45,79.05,79.05,948092.0
4836,2019-04-16,81.6,82.15,79.8,80.65,80.65,1831876.0
4835,2019-04-15,80.1,81.9,79.95,81.55,81.55,1699560.0
4834,2019-04-12,79.85,80.7,79.55,80.05,80.05,934871.0
4833,2019-04-11,80.0,82.0,79.55,80.0,80.0,1915044.0
4832,2019-04-10,77.1,80.5,77.1,80.15,80.15,3604406.0
4831,2019-04-09,79.3,79.3,76.95,77.9,77.9,965605.0
4830,2019-04-08,79.4,80.4,77.65,78.9,78.9,4150639.0
4829,2019-04-05,74.2,77.5,73.5,76.85,76.85,2172726.0
4828,2019-04-04,74.3,74.5,72.25,73.2,73.2,710567.0
4827,2019-04-03,74.1,76.0,73.1,73.6,73.6,1695628.0
4826,2019-04-02,72.45,74.95,72.1,73.7,73.7,1705902.0
4825,2019-04-01,72.0,72.5,71.7,71.95,71.95,735407.0
4824,2019-03-28,70.65,71.6,70.65,70.95,70.95,1068311.0
4823,2019-03-27,68.8,72.0,68.8,70.5,70.5,1416026.0
4822,2019-03-26,69.25,69.5,68.5,68.7,68.7,476181.0
4821,2019-03-25,69.7,69.7,68.6,68.9,68.9,407702.0
4820,2019-03-22,70.85,71.75,69.4,69.75,69.75,673986.0
4819,2019-03-20,71.5,71.85,70.5,70.9,70.9,989072.0
4818,2019-03-19,71.5,72.9,71.0,71.5,71.5,660485.0
4817,2019-03-18,73.05,73.1,71.5,71.55,71.55,731821.0
4816,2019-03-15,71.3,74.9,71.15,73.05,73.05,3170748.0
4815,2019-03-14,71.8,72.5,71.15,71.3,71.3,600357.0
4814,2019-03-13,74.1,74.4,71.0,71.45,71.45,1324666.0
4813,2019-03-12,70.6,74.25,70.1,73.55,73.55,2260391.0
4812,2019-03-11,69.45,70.7,69.1,69.95,69.95,2132688.0
4811,2019-03-08,71.4,71.45,68.75,69.45,69.45,668812.0
4810,2019-03-07,71.8,72.05,70.5,70.7,70.7,746202.0
4809,2019-03-06,73.65,74.25,70.65,71.05,71.05,2724657.0
4808,2019-03-05,70.0,72.25,68.85,72.05,72.05,3393655.0
4807,2019-03-01,69.8,69.9,68.4,68.95,68.95,726635.0
4806,2019-02-28,68.8,69.9,68.15,69.15,69.15,1053098.0
4805,2019-02-27,68.4,70.45,68.0,68.7,68.7,912907.0
4804,2019-02-26,67.95,68.5,66.1,68.1,68.1,835591.0
4803,2019-02-25,67.6,68.9,66.65,68.1,68.1,854572.0
4802,2019-02-22,67.45,67.55,66.75,67.1,67.1,571130.0
4801,2019-02-21,67.0,67.85,66.3,67.5,67.5,930671.0
4800,2019-02-20,66.25,67.0,66.25,66.65,66.65,596201.0
4799,2019-02-19,66.0,67.25,65.75,66.0,66.0,742130.0
4798,2019-02-18,70.0,70.0,65.8,66.35,66.35,1345368.0
4797,2019-02-15,68.0,71.2,68.0,68.7,68.7,4352121.0
4796,2019-02-14,70.0,70.0,63.2,67.7,67.7,25195066.0
4795,2019-02-12,85.6,85.65,80.0,82.5,82.5,2152952.0
4794,2019-02-11,85.4,86.0,84.7,85.45,85.45,690755.0
4793,2019-02-08,85.7,85.9,85.0,85.4,85.4,337375.0
4792,2019-02-07,85.55,87.4,85.3,85.65,85.65,1101033.0
