,Date,Open,High,Low,Close,Adj Close,Volume
3265,2019-06-14,459.8,472.45,454.55,465.8,465.8,185140.0
3264,2019-06-13,465.0,466.1,447.0,455.2,455.2,176976.0
3263,2019-06-12,481.0,483.4,465.0,468.5,468.5,282467.0
3262,2019-06-11,480.05,484.05,466.6,474.3,474.3,96372.0
3261,2019-06-10,487.0,492.8,476.05,480.2,480.2,69734.0
3260,2019-06-07,485.45,494.7,466.75,485.9,485.9,86845.0
3259,2019-06-06,501.0,501.05,480.0,483.3,483.3,121744.0
3258,2019-06-04,510.05,517.9,498.4,500.0,500.0,104687.0
3257,2019-06-03,518.7,523.6,508.65,510.45,510.45,200074.0
3256,2019-05-31,519.3,528.0,512.0,525.7,525.7,462206.0
3255,2019-05-30,521.4,525.2,515.0,517.15,517.15,317247.0
3254,2019-05-29,509.3,532.5,504.55,528.5,528.5,875418.0
3253,2019-05-28,492.95,507.7,486.85,504.5,504.5,487989.0
3252,2019-05-27,496.8,496.8,484.45,488.85,488.85,260321.0
3251,2019-05-24,472.0,513.8,468.0,492.3,492.3,1401761.0
3250,2019-05-23,446.5,478.3,446.5,468.4,468.4,851383.0
3249,2019-05-22,423.0,452.95,423.0,445.75,445.75,810846.0
3248,2019-05-21,414.7,423.0,412.2,416.65,416.65,120355.0
3247,2019-05-20,398.0,414.45,397.55,409.45,409.45,114763.0
3246,2019-05-17,388.95,394.75,381.55,388.0,388.0,113107.0
3245,2019-05-16,387.45,390.0,384.6,388.95,388.95,67872.0
3244,2019-05-15,375.95,388.15,375.95,385.7,385.7,60208.0
3243,2019-05-14,369.9,378.35,365.7,374.9,374.9,42631.0
3242,2019-05-13,376.8,392.0,356.65,368.4,368.4,166250.0
3241,2019-05-10,368.9,377.0,363.35,376.9,376.9,58863.0
3240,2019-05-09,365.0,372.05,360.85,366.95,366.95,105898.0
3239,2019-05-08,392.0,392.45,358.9,372.6,372.6,66962.0
3238,2019-05-07,399.0,400.45,392.1,394.05,394.05,79594.0
3237,2019-05-06,400.0,400.65,392.1,393.9,393.9,76023.0
3236,2019-05-03,406.5,416.55,403.0,404.2,404.2,40303.0
3235,2019-05-02,403.5,415.95,403.0,411.9,411.9,61932.0
3234,2019-04-30,413.0,415.0,400.25,407.95,407.95,57108.0
3233,2019-04-26,420.9,424.5,410.0,414.55,414.55,54462.0
3232,2019-04-25,424.95,425.6,418.0,420.9,420.9,76946.0
3231,2019-04-24,418.8,424.0,411.8,420.8,420.8,106227.0
3230,2019-04-23,411.0,415.8,411.0,413.6,413.6,31123.0
3229,2019-04-22,420.5,424.95,407.8,409.95,409.95,92385.0
3228,2019-04-18,415.25,434.8,415.25,422.5,422.5,123954.0
3227,2019-04-16,421.7,431.0,419.65,420.85,420.85,285850.0
3226,2019-04-15,410.0,423.3,406.85,415.6,415.6,180890.0
3225,2019-04-12,398.0,409.0,398.0,406.6,406.6,63585.0
3224,2019-04-11,400.9,403.55,386.55,398.0,398.0,110459.0
3223,2019-04-10,405.0,408.95,396.4,398.9,398.9,69583.0
3222,2019-04-09,412.0,415.15,401.0,404.85,404.85,64605.0
3221,2019-04-08,410.75,419.0,409.0,410.55,410.55,55365.0
3220,2019-04-05,413.75,418.0,408.0,409.65,409.65,54316.0
3219,2019-04-04,418.0,418.4,410.0,412.1,412.1,68026.0
3218,2019-04-03,423.0,425.9,401.2,418.15,418.15,178872.0
3217,2019-04-02,422.0,429.5,415.0,421.35,421.35,70627.0
3216,2019-04-01,428.4,434.7,418.05,421.1,421.1,66966.0
3215,2019-03-28,423.45,428.35,412.5,422.0,422.0,165467.0
3214,2019-03-27,405.0,429.0,405.0,426.25,426.25,431075.0
3213,2019-03-26,405.5,411.9,403.0,409.65,409.65,99012.0
3212,2019-03-25,401.8,419.0,398.05,406.75,406.75,237925.0
3211,2019-03-22,392.7,408.0,391.2,404.2,404.2,178961.0
3210,2019-03-20,398.85,400.4,390.0,392.7,392.7,70210.0
3209,2019-03-19,400.0,400.25,393.0,398.85,398.85,99336.0
3208,2019-03-18,406.6,409.85,395.35,398.35,398.35,128515.0
3207,2019-03-15,430.0,436.0,395.2,405.3,405.3,244986.0
3206,2019-03-14,418.9,432.2,418.9,427.5,427.5,375463.0
3205,2019-03-13,433.2,435.0,416.5,418.9,418.9,200099.0
3204,2019-03-12,399.9,444.0,399.0,433.3,433.3,769989.0
3203,2019-03-11,392.0,399.5,389.1,397.4,397.4,207003.0
3202,2019-03-08,389.9,390.9,382.4,389.05,389.05,54843.0
3201,2019-03-07,392.0,395.0,382.1,391.0,391.0,148011.0
3200,2019-03-06,379.8,399.0,376.5,391.05,391.05,421356.0
3199,2019-03-05,353.45,378.0,353.0,376.05,376.05,250144.0
3198,2019-03-01,347.1,354.6,347.1,352.25,352.25,565107.0
3197,2019-02-28,326.0,351.0,323.0,342.1,342.1,663305.0
3196,2019-02-27,325.35,334.55,321.0,322.3,322.3,92775.0
3195,2019-02-26,328.0,330.75,323.05,326.55,326.55,68534.0
3194,2019-02-25,322.0,332.0,322.0,328.55,328.55,145029.0
3193,2019-02-22,326.45,326.45,318.0,319.5,319.5,149217.0
3192,2019-02-21,324.65,326.75,318.4,323.65,323.65,129594.0
3191,2019-02-20,311.55,328.0,311.55,322.0,322.0,330352.0
3190,2019-02-19,305.1,315.0,305.1,310.0,310.0,59808.0
3189,2019-02-18,327.0,331.95,311.0,312.5,312.5,92819.0
3188,2019-02-15,340.0,344.6,323.3,327.75,327.75,73994.0
3187,2019-02-14,340.15,346.45,338.25,340.95,340.95,33336.0
3186,2019-02-12,349.8,352.0,344.6,346.4,346.4,158902.0
3185,2019-02-11,364.0,364.0,345.0,348.85,348.85,62069.0
3184,2019-02-08,359.2,366.45,356.4,359.85,359.85,112871.0
3183,2019-02-07,363.9,371.5,361.1,365.95,365.95,88797.0
3182,2019-02-06,370.0,371.15,364.9,366.6,366.6,87200.0
3181,2019-02-05,375.0,375.0,362.1,369.85,369.85,284662.0
3180,2019-02-04,366.5,379.95,358.25,371.9,371.9,128413.0
3179,2019-02-01,360.0,369.9,360.0,366.5,366.5,118137.0
3178,2019-01-31,361.3,366.55,358.25,360.6,360.6,69728.0
3177,2019-01-30,351.5,365.0,345.15,361.3,361.3,165427.0
3176,2019-01-29,348.15,357.8,345.0,347.75,347.75,63011.0
3175,2019-01-28,350.0,350.0,333.6,348.2,348.2,111012.0
3174,2019-01-25,355.2,362.35,345.35,347.95,347.95,501145.0
3173,2019-01-24,362.85,365.7,352.05,353.8,353.8,131512.0
3172,2019-01-23,366.5,373.0,360.25,361.85,361.85,151991.0
3171,2019-01-22,354.55,367.8,352.55,361.55,361.55,89044.0
3170,2019-01-21,355.0,357.5,352.5,354.55,354.55,26474.0
3169,2019-01-18,355.55,358.5,354.4,355.85,355.85,16483.0
3168,2019-01-17,358.0,359.9,354.5,355.1,355.1,73518.0
3167,2019-01-16,356.6,359.95,355.55,357.8,357.8,452361.0
3166,2019-01-15,356.25,361.1,354.25,359.4,359.4,62085.0
3165,2019-01-14,356.0,358.95,350.25,352.65,352.65,194250.0
3164,2019-01-11,357.1,362.0,355.0,356.0,356.0,119697.0
3163,2019-01-10,360.0,362.5,355.2,359.6,359.6,191290.0
3162,2019-01-09,355.05,362.35,355.05,360.65,360.65,104889.0
3161,2019-01-08,352.55,358.6,352.2,355.65,355.65,111738.0
3160,2019-01-07,358.85,362.8,354.95,356.6,356.6,110900.0
3159,2019-01-04,355.1,359.35,352.05,356.35,356.35,59346.0
3158,2019-01-03,358.0,362.85,352.3,356.95,356.95,316985.0
3157,2019-01-02,360.0,363.9,355.3,358.45,358.45,78989.0
3156,2019-01-01,359.2,363.8,351.2,361.15,361.15,65383.0
3155,2018-12-31,350.0,362.0,350.0,359.2,359.2,146457.0
3154,2018-12-28,355.05,362.2,345.35,350.15,350.15,504386.0
3153,2018-12-27,359.0,363.9,354.65,355.6,355.6,112097.0
3152,2018-12-26,363.95,363.95,351.0,357.6,357.6,91816.0
3151,2018-12-24,376.1,377.6,362.3,364.75,364.75,91349.0
3150,2018-12-21,377.0,378.55,374.05,376.1,376.1,107659.0
3149,2018-12-20,386.8,388.9,371.8,377.2,377.2,242486.0
3148,2018-12-19,384.8,393.0,377.85,385.55,385.55,175402.0
3147,2018-12-18,382.75,389.0,379.0,384.75,384.75,158284.0
3146,2018-12-17,382.9,386.85,378.0,380.35,380.35,84793.0
3145,2018-12-14,376.55,385.0,376.55,379.9,379.9,84159.0
3144,2018-12-13,363.2,384.0,363.2,380.25,380.25,317930.0
3143,2018-12-12,359.1,369.0,358.95,364.8,364.8,133487.0
3142,2018-12-11,356.0,369.0,356.0,359.5,359.5,154393.0
3141,2018-12-10,360.0,371.9,355.0,367.05,367.05,107529.0
3140,2018-12-07,360.0,379.0,359.4,373.0,373.0,193945.0
3139,2018-12-06,378.0,378.95,355.0,358.45,358.45,122345.0
3138,2018-12-05,376.95,387.55,371.6,379.8,379.8,578280.0
3137,2018-12-04,357.1,378.0,357.1,374.65,374.65,147461.0
3136,2018-12-03,355.55,363.0,355.3,360.15,360.15,49781.0
3135,2018-11-30,363.4,366.95,354.0,358.8,358.8,107690.0
3134,2018-11-29,360.0,367.8,357.4,360.6,360.6,79365.0
3133,2018-11-28,356.5,362.35,350.0,357.85,357.85,70424.0
3132,2018-11-27,349.6,356.85,343.0,354.05,354.05,57949.0
3131,2018-11-26,347.9,356.2,342.3,348.65,348.65,81698.0
3130,2018-11-22,341.6,346.9,336.1,340.0,340.0,103870.0
3129,2018-11-21,348.1,353.45,341.4,345.25,345.25,75404.0
3128,2018-11-20,351.1,359.95,346.0,350.0,350.0,93939.0
3127,2018-11-19,355.0,360.0,350.0,352.05,352.05,107612.0
3126,2018-11-16,369.0,369.0,358.0,360.5,360.5,118351.0
3125,2018-11-15,375.0,375.95,368.1,370.65,370.65,71930.0
3124,2018-11-14,386.45,388.1,371.35,378.95,378.95,187896.0
3123,2018-11-13,368.9,397.3,364.75,386.45,386.45,574409.0
3122,2018-11-12,367.75,374.8,363.55,369.4,369.4,85597.0
3121,2018-11-09,376.7,376.7,362.0,363.3,363.3,112765.0
3120,2018-11-07,374.8,393.85,373.5,376.7,376.7,79800.0
3119,2018-11-06,375.2,384.0,367.25,371.85,371.85,136793.0
3118,2018-11-05,361.5,384.4,350.25,378.1,378.1,382435.0
3117,2018-11-02,349.7,372.0,348.85,363.85,363.85,411073.0
3116,2018-11-01,322.5,363.9,322.5,349.7,349.7,1191289.0
3115,2018-10-31,297.0,311.8,295.25,308.25,308.25,177636.0
