,Date,Open,High,Low,Close,Adj Close,Volume
4484,2019-06-14,1504.05,1504.05,1465.6,1473.85,1473.85,1953510.0
4483,2019-06-13,1482.0,1509.0,1476.95,1504.0,1504.0,2303315.0
4482,2019-06-12,1500.0,1502.5,1476.15,1483.5,1483.5,1768429.0
4481,2019-06-11,1509.3,1514.25,1492.55,1507.7,1507.7,944811.0
4480,2019-06-10,1503.3,1510.9,1486.6,1502.6,1502.6,1715150.0
4479,2019-06-07,1523.8,1523.8,1487.75,1511.8,1511.8,1533892.0
4478,2019-06-06,1532.55,1540.9,1501.0,1514.25,1514.25,2044919.0
4477,2019-06-04,1530.0,1540.0,1522.2,1531.35,1531.35,1174433.0
4476,2019-06-03,1513.2,1534.8,1506.0,1531.25,1531.25,1235302.0
4475,2019-05-31,1536.0,1544.0,1467.4,1522.15,1522.15,2760214.0
4474,2019-05-30,1513.9,1541.75,1511.9,1535.35,1535.35,2939419.0
4473,2019-05-29,1509.3,1530.0,1502.0,1513.9,1513.9,1450826.0
4472,2019-05-28,1533.0,1533.0,1500.0,1511.0,1511.0,1993302.0
4471,2019-05-27,1506.65,1533.0,1500.0,1529.4,1529.4,2228063.0
4470,2019-05-24,1510.0,1524.0,1490.0,1511.7,1511.7,2873390.0
4469,2019-05-23,1519.0,1555.9,1489.2,1499.75,1499.75,5796574.0
4468,2019-05-22,1493.0,1517.7,1488.7,1495.25,1495.25,2498663.0
4467,2019-05-21,1503.0,1514.8,1483.8,1487.9,1487.9,3224278.0
4466,2019-05-20,1491.0,1505.3,1461.1,1502.55,1502.55,4668729.0
4465,2019-05-17,1416.0,1469.8,1415.4,1460.0,1460.0,3799219.0
4464,2019-05-16,1396.9,1423.45,1378.65,1413.15,1413.15,1423360.0
4463,2019-05-15,1384.0,1403.55,1378.7,1395.8,1395.8,2122200.0
4462,2019-05-14,1388.5,1397.0,1368.6,1382.95,1382.95,2930296.0
4461,2019-05-13,1396.0,1399.75,1380.05,1389.35,1389.35,1654964.0
4460,2019-05-10,1370.0,1406.5,1368.1,1398.15,1398.15,4149709.0
4459,2019-05-09,1394.2,1407.9,1366.3,1385.5,1385.5,4704782.0
4458,2019-05-08,1404.0,1414.9,1388.7,1402.2,1402.2,2539315.0
4457,2019-05-07,1410.0,1425.0,1399.25,1408.15,1408.15,2786736.0
4456,2019-05-06,1400.0,1417.0,1399.7,1410.4,1410.4,2109507.0
4455,2019-05-03,1406.4,1435.75,1400.2,1417.8,1417.8,4269675.0
4454,2019-05-02,1394.0,1421.75,1382.5,1406.35,1406.35,4780805.0
4453,2019-04-30,1382.2,1397.0,1351.05,1386.55,1386.55,6210573.0
4452,2019-04-26,1362.0,1384.4,1342.8,1379.25,1379.25,2560864.0
4451,2019-04-25,1368.9,1377.0,1355.0,1360.4,1360.4,1807598.0
4450,2019-04-24,1355.0,1370.0,1339.65,1366.75,1366.75,1934411.0
4449,2019-04-23,1357.95,1368.55,1351.0,1355.35,1355.35,1619687.0
4448,2019-04-22,1360.0,1365.8,1346.1,1356.7,1356.7,2419108.0
4447,2019-04-18,1386.4,1392.0,1362.85,1369.65,1369.65,2408936.0
4446,2019-04-16,1382.4,1390.45,1370.1,1386.4,1386.4,2332796.0
4445,2019-04-15,1348.0,1378.0,1343.45,1373.85,1373.85,2879023.0
4444,2019-04-12,1343.2,1348.0,1336.55,1343.45,1343.45,1704832.0
4443,2019-04-11,1349.7,1349.95,1333.55,1343.2,1343.2,1348573.0
4442,2019-04-10,1338.05,1367.95,1338.05,1349.9,1349.9,3031207.0
4441,2019-04-09,1339.95,1347.15,1322.1,1341.45,1341.45,2246843.0
4440,2019-04-08,1341.0,1347.5,1333.2,1343.25,1343.25,1587867.0
4439,2019-04-05,1330.0,1340.05,1326.15,1335.95,1335.95,1743729.0
4438,2019-04-04,1337.4,1344.75,1317.05,1322.9,1322.9,2592949.0
4437,2019-04-03,1342.0,1357.45,1331.0,1334.2,1334.2,2766566.0
4436,2019-04-02,1344.0,1344.85,1328.0,1339.45,1339.45,1775599.0
4435,2019-04-01,1336.0,1362.0,1326.05,1339.4,1339.4,3167512.0
4434,2019-03-28,1338.0,1352.0,1328.9,1340.75,1340.75,4616695.0
4433,2019-03-27,1349.95,1363.9,1325.05,1332.85,1332.85,3039458.0
4432,2019-03-26,1312.25,1347.95,1310.05,1342.95,1342.95,2051170.0
4431,2019-03-25,1325.95,1330.85,1303.2,1308.65,1308.65,2869564.0
4430,2019-03-22,1354.7,1364.65,1331.0,1336.25,1336.25,2620049.0
4429,2019-03-20,1349.1,1357.9,1331.0,1351.6,1351.6,3969408.0
4428,2019-03-19,1350.0,1355.0,1338.55,1347.75,1347.75,3117212.0
4427,2019-03-18,1340.0,1360.0,1330.8,1343.65,1343.65,5384740.0
4426,2019-03-15,1271.9,1339.35,1270.0,1325.15,1325.15,10393505.0
4425,2019-03-14,1263.0,1277.45,1257.0,1268.95,1268.95,2497386.0
4424,2019-03-13,1263.5,1269.1,1247.05,1261.25,1261.25,2425470.0
4423,2019-03-12,1260.45,1272.0,1253.1,1263.35,1263.35,3541360.0
4422,2019-03-11,1238.0,1254.9,1234.0,1249.55,1249.55,2065386.0
4421,2019-03-08,1237.0,1243.5,1231.7,1238.9,1238.9,1051433.0
4420,2019-03-07,1244.0,1246.0,1235.2,1237.2,1237.2,1434561.0
4419,2019-03-06,1242.1,1247.0,1236.6,1241.3,1241.3,2306834.0
4418,2019-03-05,1223.9,1246.3,1217.8,1240.45,1240.45,3128451.0
4417,2019-03-01,1221.7,1230.5,1217.35,1225.95,1225.95,2162834.0
4416,2019-02-28,1213.2,1225.05,1210.0,1213.1,1213.1,8722836.0
4415,2019-02-27,1238.0,1241.6,1211.1,1216.15,1216.15,5388722.0
4414,2019-02-26,1224.0,1249.7,1220.1,1236.15,1236.15,5026571.0
4413,2019-02-25,1243.4,1246.85,1230.0,1240.95,1240.95,3735590.0
