,Date,Open,High,Low,Close,Adj Close,Volume
4782,2019-06-14,108.0,108.65,106.2,106.65,106.65,1776842.0
4781,2019-06-13,108.1,108.8,105.5,108.1,108.1,2440236.0
4780,2019-06-12,108.0,110.25,107.15,108.95,108.95,1841486.0
4779,2019-06-11,107.75,109.0,105.9,108.15,108.15,2415591.0
4778,2019-06-10,107.9,109.3,104.8,107.75,107.75,2549340.0
4777,2019-06-07,106.4,108.0,102.75,107.0,107.0,4780397.0
4776,2019-06-06,113.45,114.0,106.6,107.0,107.0,4744289.0
4775,2019-06-04,113.0,115.6,112.0,113.45,113.45,2106447.0
4774,2019-06-03,112.8,114.2,111.6,113.15,113.15,1686746.0
4773,2019-05-31,114.4,116.6,111.8,112.7,112.7,2316243.0
4772,2019-05-30,113.8,114.2,112.5,113.9,113.9,1533652.0
4771,2019-05-29,116.25,116.3,112.8,113.35,113.35,1719680.0
4770,2019-05-28,118.85,118.9,115.7,116.55,116.55,2154913.0
4769,2019-05-27,115.9,119.7,115.0,118.6,118.6,2301310.0
4768,2019-05-24,111.1,115.5,111.1,115.15,115.15,2115459.0
4767,2019-05-23,114.0,117.1,109.75,110.55,110.55,3254927.0
4766,2019-05-22,113.05,113.4,111.1,111.45,111.45,1689374.0
4765,2019-05-21,117.65,117.95,112.2,112.75,112.75,2286626.0
4764,2019-05-20,113.5,118.2,112.35,116.95,116.95,2709946.0
4763,2019-05-17,111.6,112.45,109.4,109.9,109.9,2024106.0
4762,2019-05-16,112.0,112.85,110.5,111.5,111.5,1624674.0
4761,2019-05-15,113.2,113.95,110.8,111.4,111.4,1911206.0
4760,2019-05-14,115.8,116.0,109.4,112.25,112.25,9584183.0
4759,2019-05-13,122.9,124.65,117.2,118.1,118.1,3437516.0
4758,2019-05-10,121.0,123.45,120.8,122.95,122.95,1448199.0
4757,2019-05-09,120.75,121.9,119.2,120.7,120.7,2150144.0
4756,2019-05-08,123.4,124.5,120.65,121.4,121.4,1764353.0
