,Date,Open,High,Low,Close,Adj Close,Volume
613,2019-06-14,336.0,342.0,333.75,338.75,338.75,30737.0
612,2019-06-13,345.0,345.0,331.5,338.35,338.35,49187.0
611,2019-06-12,345.3,347.0,340.05,341.7,341.7,20716.0
610,2019-06-11,350.0,350.1,342.9,345.55,345.55,30252.0
609,2019-06-10,353.5,357.35,346.15,349.65,349.65,72289.0
608,2019-06-07,354.65,355.1,352.05,353.0,353.0,21020.0
607,2019-06-06,363.9,363.9,354.5,355.05,355.05,32727.0
606,2019-06-04,365.95,365.95,356.95,358.7,358.7,33479.0
605,2019-06-03,360.05,362.0,357.65,360.7,360.7,17947.0
604,2019-05-31,367.0,367.0,359.0,360.55,360.55,29470.0
603,2019-05-30,363.05,365.0,359.05,362.85,362.85,34635.0
602,2019-05-29,361.8,365.35,354.2,362.4,362.4,59188.0
601,2019-05-28,367.25,374.55,352.4,359.55,359.55,88322.0
600,2019-05-27,377.4,377.4,369.05,372.35,372.35,25777.0
599,2019-05-24,374.95,380.35,371.0,373.9,373.9,32757.0
598,2019-05-23,377.6,382.45,372.85,374.9,374.9,43494.0
597,2019-05-22,370.0,379.3,367.9,375.75,375.75,24552.0
596,2019-05-21,372.1,375.8,369.05,371.6,371.6,25905.0
595,2019-05-20,381.0,381.0,373.55,376.55,376.55,34490.0
594,2019-05-17,376.85,376.85,370.0,373.0,373.0,59953.0
593,2019-05-16,372.3,375.15,368.9,373.4,373.4,44696.0
592,2019-05-15,381.25,381.25,368.25,370.1,370.1,26976.0
591,2019-05-14,378.15,381.0,367.6,378.85,378.85,43873.0
590,2019-05-13,390.0,396.0,375.5,378.15,378.15,38407.0
589,2019-05-10,382.05,389.1,382.05,386.15,386.15,14817.0
588,2019-05-09,383.7,385.5,380.1,383.85,383.85,18912.0
587,2019-05-08,390.4,390.4,380.0,380.65,380.65,47516.0
586,2019-05-07,393.9,395.95,381.2,386.65,386.65,34463.0
585,2019-05-06,399.0,399.0,388.0,390.0,390.0,24277.0
584,2019-05-03,399.95,405.95,389.0,399.25,399.25,104475.0
583,2019-05-02,380.5,407.5,380.5,404.65,404.65,162263.0
582,2019-04-30,385.1,387.75,377.25,382.3,382.3,62696.0
581,2019-04-26,389.45,390.0,385.0,387.75,387.75,48620.0
580,2019-04-25,388.25,390.0,386.5,387.9,387.9,45969.0
579,2019-04-24,388.0,392.8,385.1,389.6,389.6,53306.0
578,2019-04-23,389.0,390.95,385.0,388.2,388.2,50492.0
577,2019-04-22,394.45,394.9,383.25,387.85,387.85,94724.0
576,2019-04-18,401.0,402.05,390.1,397.05,397.05,61678.0
575,2019-04-16,401.0,405.0,395.55,401.25,401.25,67162.0
574,2019-04-15,400.55,405.5,400.55,403.65,403.65,54818.0
573,2019-04-12,402.05,404.95,395.65,399.35,399.35,28592.0
572,2019-04-11,407.5,408.5,398.0,400.55,400.55,75281.0
571,2019-04-10,395.3,405.0,395.3,403.35,403.35,27739.0
570,2019-04-09,401.5,405.5,398.05,400.85,400.85,48865.0
569,2019-04-08,386.1,400.5,385.0,399.6,399.6,123419.0
568,2019-04-05,388.5,394.0,388.3,390.25,390.25,23166.0
567,2019-04-04,387.8,393.55,385.0,386.15,386.15,44038.0
566,2019-04-03,391.15,404.15,384.0,385.45,385.45,80929.0
565,2019-04-02,397.9,399.0,389.0,390.5,390.5,39357.0
564,2019-04-01,403.7,405.65,390.5,396.15,396.15,43354.0
563,2019-03-28,401.0,406.0,400.5,405.3,405.3,137151.0
562,2019-03-27,395.9,405.5,390.0,400.5,400.5,450457.0
561,2019-03-26,372.95,397.7,372.0,392.15,392.15,329006.0
560,2019-03-25,384.9,384.9,369.1,373.9,373.9,108441.0
559,2019-03-22,385.0,395.0,383.2,384.9,384.9,79388.0
558,2019-03-20,390.0,395.0,384.0,385.85,385.85,78599.0
557,2019-03-19,395.7,401.6,388.0,391.95,391.95,166280.0
556,2019-03-18,388.0,405.8,380.05,392.55,392.55,367353.0
555,2019-03-15,379.9,393.9,379.0,386.75,386.75,814652.0
554,2019-03-14,364.7,386.75,351.9,377.95,377.95,1848069.0
553,2019-03-13,365.0,384.0,357.0,362.15,362.15,392792.0
552,2019-03-12,372.2,372.2,358.3,363.6,363.6,213655.0
551,2019-03-11,361.0,372.3,358.0,366.2,366.2,395427.0
550,2019-03-08,344.0,357.9,344.0,350.15,350.15,1507950.0
549,2019-03-07,365.0,365.0,350.3,351.1,351.1,7571.0
548,2019-03-06,352.0,362.3,351.95,355.5,355.5,12767.0
547,2019-03-05,337.0,349.0,337.0,348.65,348.65,19449.0
