,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,5241.1001,5315.4502,5200.5,5204.1499,5204.1499,5156.0
4223,2019-06-13,5302.9502,5324.0,5250.1001,5271.1001,5271.1001,2604.0
4222,2019-06-12,5372.8501,5372.8501,5275.0,5287.5,5287.5,5086.0
4221,2019-06-11,5379.1499,5398.8999,5336.9502,5363.25,5363.25,4697.0
4220,2019-06-10,5384.8501,5460.0,5352.0498,5386.3501,5386.3501,1373.0
4219,2019-06-07,5441.6499,5480.0,5350.0,5384.8501,5384.8501,1227.0
4218,2019-06-06,5450.0,5517.0498,5400.0,5425.1001,5425.1001,1727.0
4217,2019-06-04,5583.3501,5583.3501,5455.0,5473.1499,5473.1499,2322.0
4216,2019-06-03,5598.2002,5639.8999,5462.6001,5501.5498,5501.5498,3729.0
4215,2019-05-31,5688.0,5688.0,5585.1499,5598.2002,5598.2002,2582.0
4214,2019-05-30,5689.0,5689.0,5607.1499,5618.7998,5618.7998,1365.0
4213,2019-05-29,5803.0,5805.0,5610.25,5635.5498,5635.5498,2962.0
4212,2019-05-28,5669.9502,5825.0,5600.0,5773.4502,5773.4502,5561.0
4211,2019-05-27,5580.0,5720.0,5532.0,5654.5,5654.5,2526.0
4210,2019-05-24,5399.0,5629.0,5380.0,5579.7998,5579.7998,3734.0
4209,2019-05-23,5422.0,5498.4502,5325.0,5346.25,5346.25,2574.0
4208,2019-05-22,5450.0,5506.25,5392.0,5403.1001,5403.1001,3025.0
4207,2019-05-21,5600.0,5600.0,5415.0,5441.7998,5441.7998,4610.0
4206,2019-05-20,5500.0,5718.0,5500.0,5708.1001,5708.1001,3952.0
4205,2019-05-17,5506.0,5619.0,5251.5,5419.6001,5419.6001,4896.0
4204,2019-05-16,5410.0,5475.0,5333.7002,5446.3999,5446.3999,1438.0
4203,2019-05-15,5425.7998,5444.0,5355.0,5411.1001,5411.1001,3127.0
4202,2019-05-14,5450.0,5450.0,5350.0,5374.6499,5374.6499,4970.0
4201,2019-05-13,5514.8501,5639.75,5387.0,5434.5,5434.5,3899.0
4200,2019-05-10,5501.3999,5670.0,5451.0,5505.1499,5505.1499,2150.0
4199,2019-05-09,5520.0,5575.3501,5482.7002,5492.1001,5492.1001,1461.0
4198,2019-05-08,5591.3999,5620.0,5500.0,5510.1499,5510.1499,2277.0
4197,2019-05-07,5690.5,5712.6499,5565.0,5589.2998,5589.2998,2370.0
4196,2019-05-06,5760.0,5760.0498,5621.1001,5694.5498,5694.5498,7147.0
4195,2019-05-03,5725.0,5779.5,5677.0,5695.4502,5695.4502,1021.0
4194,2019-05-02,5747.5,5793.9502,5695.0,5709.1499,5709.1499,2497.0
4193,2019-04-30,5950.0,5950.0,5620.0,5773.0498,5773.0498,5818.0
4192,2019-04-26,5929.2002,5929.2002,5849.0,5864.7998,5864.7998,855.0
4191,2019-04-25,5961.75,5998.7002,5875.0,5901.5498,5901.5498,925.0
4190,2019-04-24,5904.8999,6000.0,5880.1001,5922.6499,5922.6499,1312.0
4189,2019-04-23,5948.6001,5968.6499,5890.7002,5903.75,5903.75,6551.0
4188,2019-04-22,5960.0,5980.0,5912.0,5945.8999,5945.8999,1191.0
4187,2019-04-18,6021.0,6050.0,5981.25,5991.0498,5991.0498,1443.0
4186,2019-04-16,6084.9502,6100.0,6012.5,6030.6499,6030.6499,1514.0
4185,2019-04-15,6100.0,6100.0,6050.0,6063.8999,6063.8999,1199.0
4184,2019-04-12,6061.75,6100.0,6060.0,6081.1499,6081.1499,752.0
4183,2019-04-11,6091.2998,6150.0,6001.0,6100.9502,6100.9502,1761.0
4182,2019-04-10,6100.0,6100.0,6060.1499,6086.6001,6086.6001,1422.0
4181,2019-04-09,6056.7998,6094.0,6020.0,6085.1001,6085.1001,1624.0
4180,2019-04-08,6051.1001,6300.0,6024.0498,6044.2998,6044.2998,3815.0
4179,2019-04-05,6120.0,6129.5,6077.6001,6099.4502,6099.4502,1383.0
4178,2019-04-04,6279.8501,6279.8501,6075.1001,6098.8999,6098.8999,10459.0
4177,2019-04-03,6224.1001,6242.2002,6162.0,6198.5498,6198.5498,2178.0
4176,2019-04-02,6280.0,6280.0,6126.1499,6194.7002,6194.7002,2115.0
4175,2019-04-01,6150.0,6299.0,6116.0,6192.6001,6192.6001,5385.0
4174,2019-03-28,5961.0,6120.0,5961.0,6023.2002,6023.2002,2842.0
4173,2019-03-27,6086.3999,6154.5,5961.1001,5999.3501,5999.3501,3688.0
4172,2019-03-26,6112.5,6197.7998,6050.0,6063.5498,6063.5498,2421.0
4171,2019-03-25,6161.2998,6198.8501,6090.0498,6104.1499,6104.1499,1973.0
4170,2019-03-22,6291.3501,6330.0,6210.0,6225.8999,6225.8999,5997.0
4169,2019-03-20,6200.0,6349.0,6169.9502,6302.8999,6302.8999,6886.0
4168,2019-03-19,6151.0,6249.9502,6140.0,6188.25,6188.25,4549.0
4167,2019-03-18,6165.2002,6280.0,6100.0,6137.75,6137.75,2318.0
4166,2019-03-15,6127.0,6311.8501,6127.0,6172.25,6172.25,2857.0
4165,2019-03-14,6239.0,6311.8999,6150.0,6167.9502,6167.9502,1218.0
4164,2019-03-13,6228.0,6313.4502,6115.25,6218.6001,6218.6001,5440.0
4163,2019-03-12,6336.8999,6390.0,6200.0,6228.2998,6228.2998,5506.0
4162,2019-03-11,6300.0,6378.8999,6219.0498,6266.5498,6266.5498,3140.0
4161,2019-03-08,6298.0,6450.0,6235.0,6266.7002,6266.7002,5273.0
4160,2019-03-07,6111.0,6390.0,6065.3999,6277.5498,6277.5498,29230.0
4159,2019-03-06,6016.0,6121.0498,6016.0,6078.25,6078.25,4510.0
4158,2019-03-05,5752.8501,6113.3501,5752.8501,6065.0498,6065.0498,8837.0
4157,2019-03-01,5774.9502,5889.0,5752.4502,5851.5498,5851.5498,3208.0
4156,2019-02-28,5723.9502,5775.0,5670.1001,5736.1499,5736.1499,874.0
4155,2019-02-27,5698.1001,5800.0,5670.0,5708.6001,5708.6001,1671.0
4154,2019-02-26,5522.7002,5759.7002,5397.5498,5669.5498,5669.5498,3909.0
4153,2019-02-25,5476.75,5563.3999,5415.0,5521.8999,5521.8999,1114.0
