,Date,Open,High,Low,Close,Adj Close,Volume
4767,2019-06-14,539.7,540.2,525.55,530.4,530.4,7662.0
4766,2019-06-13,545.0,549.8,535.0,540.5,540.5,9501.0
4765,2019-06-12,547.6,547.75,541.55,542.15,542.15,12605.0
4764,2019-06-11,554.25,555.85,542.0,544.45,544.45,13530.0
4763,2019-06-10,550.0,562.35,544.9,553.85,553.85,30846.0
4762,2019-06-07,558.0,561.75,541.25,544.0,544.0,18423.0
4761,2019-06-06,572.7,572.7,552.0,555.6,555.6,9730.0
4760,2019-06-04,569.0,575.8,564.0,566.1,566.1,14934.0
4759,2019-06-03,563.25,573.9,558.25,563.6,563.6,11803.0
4758,2019-05-31,571.2,579.1,558.5,562.25,562.25,23516.0
4757,2019-05-30,568.0,577.0,563.05,569.75,569.75,18653.0
4756,2019-05-29,587.75,587.75,565.2,567.15,567.15,31013.0
4755,2019-05-28,586.0,602.0,583.0,593.85,593.85,359156.0
4754,2019-05-27,549.5,594.0,545.0,582.9,582.9,198028.0
4753,2019-05-24,572.5,572.5,540.35,542.65,542.65,33029.0
4752,2019-05-23,574.95,578.0,551.0,562.15,562.15,49030.0
4751,2019-05-22,558.0,570.0,553.4,563.7,563.7,108831.0
4750,2019-05-21,553.9,553.9,544.05,549.75,549.75,56163.0
4749,2019-05-20,540.55,554.9,537.95,543.95,543.95,52731.0
4748,2019-05-17,539.9,546.05,532.0,538.15,538.15,50501.0
4747,2019-05-16,539.9,548.7,531.4,539.7,539.7,71886.0
4746,2019-05-15,538.85,550.0,532.6,539.95,539.95,107307.0
4745,2019-05-14,525.0,546.0,503.7,532.3,532.3,260970.0
4744,2019-05-13,525.0,537.0,520.0,524.9,524.9,124701.0
4743,2019-05-10,509.8,519.9,503.0,517.2,517.2,64537.0
4742,2019-05-09,490.9,509.0,490.0,506.4,506.4,93265.0
4741,2019-05-08,484.1,497.9,484.1,490.1,490.1,21400.0
4740,2019-05-07,493.2,495.9,489.9,491.9,490.4,18641.0
4739,2019-05-06,487.2,497.0,483.95,493.2,491.6961,35539.0
4738,2019-05-03,480.1,499.0,479.0,492.5,490.9982,42477.0
4737,2019-05-02,484.0,493.0,475.25,478.4,476.9412,32387.0
4736,2019-04-30,488.1,492.55,475.4,477.85,476.3929,36193.0
4735,2019-04-26,496.0,505.0,485.0,487.45,485.9636,30892.0
4734,2019-04-25,496.45,499.0,490.0,492.75,491.2474,13794.0
4733,2019-04-24,496.0,499.0,490.0,490.75,489.2535,23463.0
4732,2019-04-23,485.0,513.0,484.95,491.9,490.4,175894.0
4731,2019-04-22,479.9,489.45,472.0,473.6,472.1558,33076.0
4730,2019-04-18,484.0,492.4,475.0,476.2,474.7479,31403.0
4729,2019-04-16,496.05,497.0,485.5,486.95,485.4651,35360.0
4728,2019-04-15,494.0,508.0,493.6,496.0,494.4875,37842.0
4727,2019-04-12,502.8,502.8,492.75,493.2,491.6961,23920.0
4726,2019-04-11,516.1,519.0,495.05,498.5,496.9799,54129.0
4725,2019-04-10,508.0,526.7,505.0,513.15,511.5852,152916.0
4724,2019-04-09,485.0,516.05,481.0,509.45,507.8965,336278.0
4723,2019-04-08,467.0,475.0,460.1,471.0,469.5638,31865.0
4722,2019-04-05,470.05,476.5,460.0,463.65,462.2361,74131.0
4721,2019-04-04,481.05,487.45,466.0,468.55,467.1212,36914.0
4720,2019-04-03,485.7,489.8,478.6,480.15,478.6859,23067.0
