,Date,Open,High,Low,Close,Adj Close,Volume
713,2019-06-14,1760.0,1790.95,1760.0,1772.25,1772.25,448430.0
712,2019-06-13,1790.0,1794.0,1750.0,1759.4,1759.4,110310.0
711,2019-06-12,1802.8,1809.85,1787.0,1789.45,1789.45,53091.0
710,2019-06-11,1799.95,1824.0,1787.8,1801.95,1801.95,322557.0
709,2019-06-10,1816.0,1817.25,1773.05,1797.4,1797.4,149612.0
708,2019-06-07,1790.15,1822.95,1777.2,1805.15,1805.15,123921.0
707,2019-06-06,1779.3,1794.9,1772.5,1780.9,1780.9,106861.0
706,2019-06-04,1788.0,1800.0,1770.1,1775.2,1775.2,74910.0
705,2019-06-03,1775.4,1816.7,1766.1,1788.25,1788.25,88003.0
704,2019-05-31,1830.0,1840.0,1775.0,1785.05,1785.05,129078.0
703,2019-05-30,1823.1,1858.0,1786.0,1824.75,1824.75,266529.0
702,2019-05-29,1778.0,1836.0,1765.65,1825.95,1825.95,261250.0
701,2019-05-28,1739.7,1805.0,1735.0,1783.25,1783.25,353289.0
700,2019-05-27,1754.95,1764.0,1716.9,1729.35,1729.35,145947.0
699,2019-05-24,1758.0,1775.95,1741.5,1755.35,1755.35,299222.0
698,2019-05-23,1782.0,1784.95,1751.3,1759.95,1759.95,66152.0
697,2019-05-22,1771.15,1792.0,1760.0,1781.2,1781.2,290008.0
696,2019-05-21,1764.9,1785.0,1759.0,1778.3,1778.3,136473.0
695,2019-05-20,1825.0,1825.0,1754.0,1759.6,1759.6,216070.0
694,2019-05-17,1808.0,1830.0,1764.0,1788.2,1788.2,173957.0
693,2019-05-16,1763.9,1815.0,1729.25,1803.25,1803.25,187888.0
692,2019-05-15,1717.0,1764.0,1714.95,1758.1,1758.1,176080.0
691,2019-05-14,1709.9,1724.45,1697.3,1717.4,1717.4,138044.0
690,2019-05-13,1700.0,1715.0,1692.65,1710.3,1710.3,67070.0
689,2019-05-10,1688.1,1705.0,1681.55,1697.45,1697.45,110021.0
688,2019-05-09,1686.1,1692.0,1661.0,1684.2,1684.2,181871.0
687,2019-05-08,1703.55,1715.45,1690.0,1696.1,1696.1,296480.0
686,2019-05-07,1704.95,1743.0,1698.05,1715.45,1715.45,108589.0
685,2019-05-06,1662.05,1707.95,1662.0,1700.85,1700.85,100590.0
684,2019-05-03,1708.9,1708.9,1662.1,1679.95,1679.95,408818.0
683,2019-05-02,1727.0,1737.0,1714.0,1721.25,1721.25,112973.0
682,2019-04-30,1705.25,1726.7,1695.0,1716.85,1716.85,85996.0
681,2019-04-26,1719.0,1719.0,1695.05,1709.85,1709.85,149183.0
680,2019-04-25,1703.9,1717.0,1690.05,1710.75,1710.75,157556.0
679,2019-04-24,1698.9,1704.5,1683.7,1698.4,1698.4,61457.0
678,2019-04-23,1672.0,1694.9,1670.0,1685.9,1685.9,94148.0
677,2019-04-22,1655.1,1673.95,1640.35,1667.55,1667.55,102694.0
676,2019-04-18,1645.0,1658.85,1632.15,1650.2,1650.2,161637.0
675,2019-04-16,1630.0,1640.0,1622.05,1631.3,1631.3,129449.0
674,2019-04-15,1650.0,1664.55,1615.25,1622.7,1622.7,577640.0
673,2019-04-12,1662.0,1669.0,1634.2,1646.0,1646.0,134666.0
672,2019-04-11,1645.0,1667.0,1643.0,1658.6,1658.6,64659.0
671,2019-04-10,1656.9,1658.45,1625.15,1648.05,1648.05,141074.0
670,2019-04-09,1645.0,1667.8,1640.45,1659.95,1659.95,81451.0
669,2019-04-08,1656.0,1659.0,1625.5,1644.3,1644.3,75441.0
668,2019-04-05,1670.0,1675.2,1642.0,1652.45,1652.45,122902.0
667,2019-04-04,1700.0,1700.0,1661.0,1671.45,1671.45,88658.0
666,2019-04-03,1720.0,1725.0,1700.0,1703.25,1703.25,67306.0
665,2019-04-02,1718.05,1735.0,1711.0,1715.4,1715.4,169240.0
664,2019-04-01,1718.95,1724.8,1702.5,1715.35,1715.35,165470.0
663,2019-03-28,1665.0,1698.9,1655.05,1673.2,1673.2,338853.0
662,2019-03-27,1680.0,1685.0,1662.15,1671.0,1671.0,114037.0
661,2019-03-26,1673.95,1677.5,1648.0,1667.9,1667.9,98076.0
660,2019-03-25,1645.0,1670.0,1625.0,1665.6,1665.6,229280.0
659,2019-03-22,1669.95,1675.0,1653.05,1661.6,1661.6,183507.0
658,2019-03-20,1645.0,1665.0,1618.05,1660.95,1660.95,311672.0
657,2019-03-19,1582.95,1672.8,1540.0,1635.55,1635.55,975731.0
656,2019-03-18,1629.0,1629.0,1555.05,1568.0,1568.0,271513.0
655,2019-03-15,1662.0,1670.0,1613.0,1618.65,1618.65,180262.0
654,2019-03-14,1646.95,1662.95,1633.0,1655.95,1655.95,91460.0
653,2019-03-13,1644.4,1665.0,1630.0,1632.55,1632.55,146478.0
652,2019-03-12,1648.0,1660.0,1624.0,1630.4,1630.4,116165.0
651,2019-03-11,1641.35,1662.0,1616.05,1647.5,1647.5,243191.0
650,2019-03-08,1641.0,1660.1,1600.0,1648.4,1648.4,151972.0
649,2019-03-07,1650.0,1667.6,1635.3,1640.4,1640.4,108095.0
648,2019-03-06,1684.0,1690.0,1648.0,1649.9,1649.9,182090.0
647,2019-03-05,1721.0,1727.0,1666.0,1671.9,1671.9,229598.0
646,2019-03-01,1720.0,1741.55,1705.2,1711.05,1711.05,68187.0
645,2019-02-28,1742.0,1743.7,1710.0,1719.55,1719.55,53949.0
644,2019-02-27,1714.85,1736.25,1692.05,1725.85,1725.85,109195.0
643,2019-02-26,1695.0,1719.95,1680.5,1699.4,1699.4,52708.0
642,2019-02-25,1716.0,1732.75,1696.0,1704.35,1704.35,82916.0
641,2019-02-22,1732.8,1737.45,1711.3,1715.15,1715.15,50313.0
640,2019-02-21,1729.95,1748.2,1720.0,1725.55,1725.55,57733.0
639,2019-02-20,1732.7,1768.9,1629.0,1735.5,1735.5,142437.0
638,2019-02-19,1742.25,1755.0,1725.15,1738.2,1738.2,53503.0
637,2019-02-18,1775.0,1775.0,1740.05,1748.0,1748.0,74466.0
636,2019-02-15,1770.0,1795.0,1725.25,1781.05,1781.05,100275.0
635,2019-02-14,1788.95,1788.95,1763.25,1769.15,1769.15,32711.0
634,2019-02-12,1797.0,1835.0,1770.05,1788.05,1788.05,101126.0
633,2019-02-11,1844.0,1844.0,1781.05,1795.1,1795.1,191046.0
632,2019-02-08,1865.75,1872.9,1826.65,1840.65,1840.65,106659.0
631,2019-02-07,1870.0,1896.7,1850.5,1871.15,1871.15,200619.0
630,2019-02-06,1821.9,1856.25,1818.05,1849.05,1849.05,168603.0
629,2019-02-05,1750.0,1870.0,1750.0,1814.8,1814.8,423680.0
628,2019-02-04,1757.9,1765.7,1741.5,1754.7,1754.7,50440.0
627,2019-02-01,1770.0,1785.0,1752.6,1768.75,1768.75,71991.0
626,2019-01-31,1730.0,1770.0,1719.25,1760.85,1760.85,177926.0
625,2019-01-30,1710.0,1739.8,1691.7,1731.85,1731.85,136202.0
624,2019-01-29,1720.0,1735.0,1700.0,1710.8,1710.8,51435.0
623,2019-01-28,1713.0,1747.45,1681.0,1702.7,1702.7,114823.0
622,2019-01-25,1745.0,1762.0,1710.0,1713.45,1713.45,86229.0
621,2019-01-24,1763.8,1773.4,1740.0,1747.0,1747.0,65547.0
