,Date,Open,High,Low,Close,Adj Close,Volume
4874,14-06-2019,640.05,641,633.4,637.25,637.25,1338188
4873,13-06-2019,632,642.7,628.1,641.05,641.05,2141921
4872,12-06-2019,633,638.9,629.45,632.2,632.2,1734002
4871,11-06-2019,647.95,647.95,636,636.85,636.85,2274832
4870,10-06-2019,643.4,649.4,638.2,646.95,646.95,2306052
4869,07-06-2019,640,645.7,630.05,644.05,644.05,2173168
4868,06-06-2019,654.3,655.5,631.35,634.1,634.1,3846513
4867,04-06-2019,654.8,659.4,647.8,650.75,650.75,1640476
4866,03-06-2019,647.05,659,635.05,653.4,653.4,4170532
4865,31-05-2019,659.7,665.95,645.1,647.05,647.05,4226041
4864,30-05-2019,660,667.5,656.35,661.7,661.7,5394745
4863,29-05-2019,668,677.5,660.85,672.15,672.15,5418102
4862,28-05-2019,680,682.25,667.25,670.55,670.55,5411769
4861,27-05-2019,667.7,683,665,679.35,679.35,2987573
4860,24-05-2019,644.75,667.5,637.85,665.45,665.45,3165620
4859,23-05-2019,650,655,635.1,639.5,639.5,3161573
4858,22-05-2019,643.85,643.85,631.25,640.55,640.55,1458607
4857,21-05-2019,660,662.7,634.4,639.15,639.15,2150188
4856,20-05-2019,635,662.5,632.25,653.25,653.25,4938702
4855,17-05-2019,607,622.5,607,619.65,619.65,2599966
4854,16-05-2019,610,612.65,597.2,605.25,605.25,1940170
4853,15-05-2019,618,628.4,606.95,609.65,609.65,2805369
4852,14-05-2019,616.9,620.55,610.55,614.25,614.25,2756314
4851,13-05-2019,628.7,628.7,615,617.6,617.6,1463136
4850,10-05-2019,626.25,631.85,619,628.75,628.75,2093110
4849,09-05-2019,620.9,627.95,616.1,625.45,625.45,1366143
4848,08-05-2019,635.55,637,619,621.65,621.65,3853705
4847,07-05-2019,641.75,642.9,634.2,636,636,3160809
4846,06-05-2019,640,645,635.1,638.5,638.5,1498420
4845,03-05-2019,645.05,652.5,642.85,645.8,645.8,2330580
4844,02-05-2019,646,660.7,635.2,645.9,645.9,3007579
4843,30-04-2019,659.7,662.2,640,645.3,645.3,5042085
4842,26-04-2019,666.6,668.4,651.5,659.45,659.45,3632433
4841,25-04-2019,671.8,673,664,665.15,665.15,3169504
4840,24-04-2019,668,669.2,662.25,668.15,668.15,2247998
4839,23-04-2019,671,675.85,663.75,665.75,665.75,3248237
4838,22-04-2019,681,685.75,670.9,673.4,673.4,1483513
4837,18-04-2019,689.6,691.95,681.25,684.65,684.65,2996875
4836,16-04-2019,687.25,695.5,684.8,688.1,688.1,3002929
4835,15-04-2019,680,686,673.3,683.2,683.2,2408677
4834,12-04-2019,674,679.5,667.55,678.2,678.2,3302657
4833,11-04-2019,669.3,679.75,669.3,672.75,672.75,4863931
4832,10-04-2019,672.6,675,663.1,670.25,670.25,2499060
4831,09-04-2019,667.8,669.8,660.45,667.85,667.85,2401571
4830,08-04-2019,660.4,668.35,658.3,667,667,3413270
4829,05-04-2019,657.5,663,654,658.2,658.2,2694077
4828,04-04-2019,661,662.7,651.2,653.35,653.35,3684739
4827,03-04-2019,672.8,676.75,656.9,658.45,658.45,2745080
4826,02-04-2019,665,670.9,661.45,668.6,668.6,3802792
4825,01-04-2019,678.15,689,659,660.9,660.9,5458057
4824,28-03-2019,659.05,662.75,653.6,655.95,655.95,3910004
4823,27-03-2019,672.05,672.65,658.55,660.05,660.05,2426853
4822,26-03-2019,664.65,672.4,661,669.6,669.6,2434715
4821,25-03-2019,672,675,663.4,664.6,664.6,2337486
4820,22-03-2019,678.7,684.5,670,678.8,678.8,2770303
4819,20-03-2019,689,694.35,676.15,678.6,678.6,2369729
4818,19-03-2019,686,693.8,675.1,689.4,689.4,2331409
4817,18-03-2019,696,704.2,682.05,685.4,685.4,3050835
4816,15-03-2019,688.25,697,687,694.6,694.6,5208071
4815,14-03-2019,683,688,677.15,685.9,685.9,1901877
4814,13-03-2019,688.4,689.4,681.25,684.2,684.2,1808059
4813,12-03-2019,686.9,693.1,683.35,687.9,687.9,3876498
4812,11-03-2019,671.95,683.85,671.5,681.05,681.05,4027884
4811,08-03-2019,672,679.7,666.4,670.15,670.15,3877059
4810,07-03-2019,661.7,677.5,654.2,671.8,671.8,8703088
4809,06-03-2019,660,664.85,654,658.9,658.9,7495708
4808,05-03-2019,649.85,657.9,642.05,656.75,656.75,6039244
4807,01-03-2019,650,652,641,649.7,649.7,3957539
4806,28-02-2019,663.75,663.75,642.5,645.9,645.9,3955320
4805,27-02-2019,654.5,662,647.15,656.15,656.15,3193418
4804,26-02-2019,644.8,656,640,651.3,651.3,3862642
4803,25-02-2019,649.9,653.95,642.3,650.7,650.7,1863303
4802,22-02-2019,635,648.6,632.25,646.6,646.6,4053346
4801,21-02-2019,633.55,635.95,625,634.2,634.2,2813880
4800,20-02-2019,637,637.3,628.15,633.55,633.55,2369483
4799,19-02-2019,627,642,625.25,632.6,632.6,3526711
4798,18-02-2019,630,630,615.6,624.7,624.7,4750172
4797,15-02-2019,635,636.9,618.8,627.55,627.55,5765467
4796,14-02-2019,640.7,642.4,632.3,634.4,634.4,3530468
4795,12-02-2019,647,657.8,644,648.7,648.7,3357448
4794,11-02-2019,669.4,673.4,645.2,647.55,647.55,7931599
4793,08-02-2019,702,706.7,678.55,682.1,682.1,10858152
4792,07-02-2019,695,708.9,693.1,700.9,700.9,2710457
4791,06-02-2019,687.9,698.25,682.05,695.1,695.1,2221744
4790,05-02-2019,675.25,692.6,672.65,684.9,684.9,3550741
4789,04-02-2019,688,688.4,670.35,674.45,674.45,2652101
4788,01-02-2019,689,715.4,680.55,688.4,688.4,8005192
4787,31-01-2019,678,683,672.75,680.05,680.05,3496189
4786,30-01-2019,671.9,680,670.3,678.65,678.65,2738163
4785,29-01-2019,671.95,676.9,661.6,669.65,669.65,4860919
4784,28-01-2019,683.5,683.5,667.5,673.05,673.05,5762442
4783,25-01-2019,702,703.5,681,683.5,683.5,3421228
4782,24-01-2019,699,700.05,686.05,697.3,697.3,3891245
4781,23-01-2019,708.5,709.75,693.6,695.85,695.85,4714919
4780,22-01-2019,727.7,727.7,705.15,708.5,708.5,5097285
4779,21-01-2019,738,738,727.35,730.3,730.3,1341152
4778,18-01-2019,734.5,737.9,728,734.95,734.95,1601885
4777,17-01-2019,729,740,727.95,734.65,734.65,3318440
4776,16-01-2019,727.3,732.5,724.55,726.25,726.25,1288969
4775,15-01-2019,727.5,730,723.35,726.9,726.9,2138402
4774,14-01-2019,725,726.4,714.3,724.55,724.55,1713221
4773,11-01-2019,735,735,721.25,727.9,727.9,2215240
4772,10-01-2019,728,734.85,722.8,733.2,733.2,2550750
4771,09-01-2019,729,729.95,720.15,726.3,726.3,2569424
4770,08-01-2019,720,733.2,717.5,723.4,723.4,4764487
4769,07-01-2019,734.55,735.9,723.55,729.55,729.55,2792255
4768,04-01-2019,720,728.3,712.5,725.6,725.6,5919404
4767,03-01-2019,743.4,744.85,716.2,718.3,718.3,11084172
4766,02-01-2019,772.8,772.8,735.1,741.7,741.7,10596260
4765,01-01-2019,805,805.85,771.3,773.35,773.35,3442903
4764,31-12-2018,808.9,810,801.2,803.85,803.85,2232551
4763,28-12-2018,799.35,807,797,803.55,803.55,1820270
4762,27-12-2018,794.5,802,788.1,795.65,795.65,3156130
4761,26-12-2018,785.65,793.5,772,787.7,787.7,1683700
4760,24-12-2018,782.9,792.5,775,788.65,788.65,2034516
4759,21-12-2018,795,814,777.7,781.15,781.15,6125095
4758,20-12-2018,779.7,797,778.5,795.45,795.45,2707144
4757,19-12-2018,775,787,767.1,782.65,782.65,3361238
4756,18-12-2018,755.6,772,752.4,770.95,770.95,3600834
4755,17-12-2018,760,763,750.5,756.35,756.35,2022203
4754,14-12-2018,753.1,764,751.6,757.25,757.25,1760631
4753,13-12-2018,755,765.1,746.25,759.2,759.2,3510371
4752,12-12-2018,725,753,721.25,750.8,750.8,3460143
4751,11-12-2018,699.9,729.9,694,722.35,722.35,4383980
4750,10-12-2018,710,725.5,700,710.55,710.55,3150111
4749,07-12-2018,726.8,726.8,709.6,721.1,721.1,2716587
4748,06-12-2018,717.5,722,706.5,710.95,710.95,3970063
4747,05-12-2018,740.3,740.3,715.1,718.05,718.05,4837874
4746,04-12-2018,762,762,738.5,740.3,740.3,7101096
4745,03-12-2018,800,800.8,756.6,761.05,761.05,5839713
4744,30-11-2018,778,796,776.7,790.9,790.9,5214780
4743,29-11-2018,756,780.3,752,773.2,773.2,5038807
4742,28-11-2018,754.7,759.2,745.55,748.4,748.4,2007876
4741,27-11-2018,747,753.9,738.1,751.75,751.75,2179714
4740,26-11-2018,748,755,739.25,747.9,747.9,2676798
4739,22-11-2018,770.1,772.95,743.1,746.1,746.1,2578750
4738,21-11-2018,787.8,787.8,764.7,769.1,769.1,1851514
4737,20-11-2018,780,792.4,773.35,782.6,782.6,2902880
4736,19-11-2018,775.3,783.6,770.1,781.35,781.35,2681651
4735,16-11-2018,767.65,776.5,759.75,767.6,767.6,2373384
4734,15-11-2018,774,775.8,755,766.5,766.5,4315301
4733,14-11-2018,793.1,797.4,765.5,769.6,769.6,4237768
4732,13-11-2018,775.5,793.8,773.85,790.05,790.05,3010295
4731,12-11-2018,798,807.7,778.1,780.9,780.9,2101138
4730,09-11-2018,800,805.9,791,795.25,795.25,3085813
4729,07-11-2018,788,794,783.65,792.9,792.9,731279
4728,06-11-2018,780,782,768.85,778.4,778.4,1839552
4727,05-11-2018,784,784.65,770,775.45,775.45,2168486
4726,02-11-2018,765.05,795.9,765.05,783.55,783.55,4117317
4725,01-11-2018,770.5,778.7,751,756.05,756.05,4171044
4724,31-10-2018,749,769.1,735.15,765.95,765.95,3093083
4723,30-10-2018,751,762.75,737,746.3,746.3,2756355
4722,29-10-2018,728,752.85,728,749.5,749.5,1954444
4721,26-10-2018,731,741.8,722.7,728.2,728.2,1813847
4720,25-10-2018,728,744.5,724,733.75,733.75,3966709
4719,24-10-2018,740.8,749.2,725.65,736.25,736.25,3729119
4718,23-10-2018,730.5,734.4,716.2,729.95,729.95,2967082
4717,22-10-2018,747,749,731,733.75,733.75,1842855
4716,19-10-2018,748.1,758,732.1,741.2,741.2,2985488
4715,17-10-2018,789.2,790.75,751.2,759.4,759.4,2634539
4714,16-10-2018,753.6,780,750.1,777.7,777.7,4357854
4713,15-10-2018,775,775.45,738,749,749,5282462
4712,12-10-2018,738.5,775.9,735.55,768.5,768.5,4477653
4711,11-10-2018,747,756.5,715,730.15,730.15,6199047
4710,10-10-2018,768,774.6,750.9,764.1,764.1,7578601
4709,09-10-2018,775.55,782.45,760.3,764.8,764.8,2933355
4708,08-10-2018,768.75,780.95,753.3,774.85,774.85,3874262
4707,05-10-2018,791,795.75,752.9,769.55,769.55,5157618
4706,04-10-2018,780.15,800,765.45,794.7,794.7,5036305
4705,03-10-2018,845.5,845.5,787,791.6,791.6,6680994
4704,01-10-2018,860.5,864.45,840.95,847.6,847.6,3060818
4703,28-09-2018,877.45,880.95,839.55,860.95,860.95,4188699
4702,27-09-2018,888,895.45,866.5,877.45,877.45,2588148
4701,26-09-2018,903,917.85,885.3,893.35,893.35,2357565
4700,25-09-2018,896,900,865.25,893,893,4269089
4699,24-09-2018,955,958.2,885,896.05,896.05,4569708
4698,21-09-2018,963,976.7,870,959.9,959.9,4633394
4697,19-09-2018,947,965.65,938.2,948.9,948.9,2083160
4696,18-09-2018,949.45,961,940.4,946.55,946.55,2227889
4695,17-09-2018,947.65,956.4,936.6,950.85,950.85,1978897
4694,14-09-2018,941.2,954.8,928.05,951.9,951.9,2803861
