,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,430.0,433.75,419.4,426.95,426.95,401269.0
4873,2019-06-13,439.0,441.8,426.25,430.35,430.35,539732.0
4872,2019-06-12,438.3,439.75,435.0,437.85,437.85,774583.0
4871,2019-06-11,438.7,442.15,432.15,440.9,440.9,274108.0
4870,2019-06-10,433.95,443.3,432.0,438.25,438.25,434544.0
4869,2019-06-07,442.2,447.7,430.55,432.0,432.0,211016.0
4868,2019-06-06,450.45,453.5,442.0,445.15,445.15,503297.0
4867,2019-06-04,450.9,456.75,444.75,449.95,449.95,303243.0
4866,2019-06-03,453.9,464.4,444.65,448.2,448.2,1207906.0
4865,2019-05-31,453.2,457.9,443.6,450.1,450.1,1339969.0
4864,2019-05-30,441.0,460.0,433.85,452.45,452.45,857318.0
4863,2019-05-29,425.0,443.95,422.35,440.4,440.4,554814.0
4862,2019-05-28,448.5,449.9,425.75,428.9,428.9,760632.0
4861,2019-05-27,428.1,449.0,427.5,445.75,445.75,618269.0
4860,2019-05-24,410.55,437.0,410.55,428.2,428.2,729074.0
4859,2019-05-23,416.8,426.75,410.05,413.75,413.75,325278.0
4858,2019-05-22,415.5,415.65,400.55,408.4,408.4,274223.0
4857,2019-05-21,418.25,418.25,406.5,412.35,412.35,638859.0
4856,2019-05-20,415.0,419.5,404.4,414.7,414.7,265950.0
4855,2019-05-17,398.95,409.45,395.1,402.95,402.95,253457.0
4854,2019-05-16,398.2,402.9,394.35,399.2,399.2,138604.0
4853,2019-05-15,408.0,408.85,395.4,399.35,399.35,442364.0
4852,2019-05-14,400.15,407.95,394.4,405.85,405.85,345418.0
4851,2019-05-13,414.0,414.0,399.05,402.1,402.1,425589.0
4850,2019-05-10,409.0,415.0,407.7,410.9,410.9,402368.0
4849,2019-05-09,409.4,418.4,402.95,408.95,408.95,650341.0
4848,2019-05-08,404.7,416.8,400.55,411.5,411.5,413369.0
4847,2019-05-07,427.1,428.0,405.3,407.95,407.95,414315.0
4846,2019-05-06,419.55,428.95,414.95,424.45,424.45,327906.0
4845,2019-05-03,421.6,424.75,414.0,422.05,422.05,534425.0
4844,2019-05-02,418.4,425.0,413.6,421.5,421.5,406394.0
4843,2019-04-30,434.0,437.2,416.25,417.65,417.65,275649.0
4842,2019-04-26,440.0,444.15,432.1,434.35,434.35,224303.0
4841,2019-04-25,446.9,456.85,436.1,438.45,438.45,958348.0
4840,2019-04-24,434.8,448.35,430.4,444.0,444.0,267635.0
4839,2019-04-23,431.0,439.6,427.8,432.35,432.35,283646.0
4838,2019-04-22,441.85,447.15,430.65,434.15,434.15,594547.0
4837,2019-04-18,446.0,474.5,436.95,442.85,442.85,2717148.0
4836,2019-04-16,435.0,440.0,428.6,434.9,434.9,308738.0
4835,2019-04-15,439.0,440.9,432.4,435.35,435.35,245174.0
4834,2019-04-12,437.9,441.15,434.45,437.8,437.8,610874.0
4833,2019-04-11,416.9,438.7,410.9,436.75,436.75,1343812.0
4832,2019-04-10,424.0,426.85,412.1,416.0,416.0,408469.0
4831,2019-04-09,428.4,431.0,421.05,424.3,424.3,268462.0
4830,2019-04-08,441.0,443.0,422.5,426.15,426.15,384320.0
4829,2019-04-05,439.75,442.7,435.85,439.1,439.1,172985.0
4828,2019-04-04,433.8,446.5,432.05,439.6,439.6,547091.0
4827,2019-04-03,439.0,445.0,432.0,434.6,434.6,393413.0
4826,2019-04-02,442.75,453.95,435.0,437.05,437.05,712770.0
4825,2019-04-01,438.7,445.0,433.6,441.85,441.85,432103.0
4824,2019-03-28,450.0,454.4,434.05,438.15,438.15,686819.0
4823,2019-03-27,438.0,451.0,437.75,448.55,448.55,1039172.0
4822,2019-03-26,445.45,448.0,434.5,436.95,436.95,548492.0
4821,2019-03-25,450.0,452.1,442.05,445.45,445.45,1048779.0
4820,2019-03-22,456.0,462.5,446.25,452.75,452.75,783751.0
4819,2019-03-20,447.8,457.0,446.7,454.6,454.6,635607.0
4818,2019-03-19,455.9,457.0,446.6,449.85,449.85,491626.0
4817,2019-03-18,439.05,458.85,439.05,452.5,452.5,816770.0
4816,2019-03-15,438.95,443.35,435.75,438.75,438.75,428908.0
4815,2019-03-14,434.5,444.5,433.55,435.95,435.95,836971.0
4814,2019-03-13,430.95,435.9,421.5,432.2,432.2,443209.0
4813,2019-03-12,430.0,438.5,426.95,429.7,429.7,309489.0
4812,2019-03-11,424.0,430.75,415.2,428.85,428.85,656864.0
4811,2019-03-08,409.7,425.9,405.65,421.6,421.6,934674.0
4810,2019-03-07,406.2,416.0,404.9,409.7,409.7,367651.0
4809,2019-03-06,411.35,420.85,403.8,408.25,408.25,988792.0
4808,2019-03-05,403.0,411.2,397.7,407.65,407.65,595112.0
4807,2019-03-01,397.75,405.75,397.05,401.65,401.65,412459.0
4806,2019-02-28,400.0,404.0,392.3,394.65,394.65,442861.0
4805,2019-02-27,404.25,408.3,395.6,398.7,398.7,988441.0
4804,2019-02-26,407.0,410.0,396.0,399.45,399.45,694538.0
4803,2019-02-25,404.05,416.15,403.4,414.7,414.7,482590.0
4802,2019-02-22,408.6,411.05,401.9,404.45,404.45,341532.0
4801,2019-02-21,396.0,410.95,394.65,407.6,407.6,1002202.0
