,Date,Open,High,Low,Close,Adj Close,Volume
1784,2019-06-14,117.4,117.4,113.15,114.15,114.15,64079.0
1783,2019-06-13,118.8,119.85,115.55,116.35,116.35,92147.0
1782,2019-06-12,118.55,119.85,117.1,118.8,118.8,48156.0
1781,2019-06-11,118.2,118.9,116.1,118.35,118.35,37264.0
1780,2019-06-10,116.5,119.7,116.05,117.8,117.8,53770.0
1779,2019-06-07,116.55,118.9,116.1,116.7,116.7,50670.0
1778,2019-06-06,118.0,119.75,116.0,116.35,116.35,33892.0
1777,2019-06-04,117.5,120.0,115.85,118.0,118.0,36014.0
1776,2019-06-03,120.4,120.55,115.2,115.85,115.85,57773.0
1775,2019-05-31,122.85,123.25,116.15,118.9,118.9,42689.0
1774,2019-05-30,122.9,123.9,119.0,120.85,120.85,51084.0
1773,2019-05-29,122.0,128.6,121.1,122.35,122.35,226303.0
1772,2019-05-28,122.15,125.6,120.8,121.6,121.6,78999.0
1771,2019-05-27,121.95,124.9,120.0,123.3,123.3,80989.0
1770,2019-05-24,119.6,121.15,118.65,120.0,120.0,51407.0
1769,2019-05-23,122.65,125.0,118.0,118.2,118.2,34600.0
1768,2019-05-22,120.15,121.9,119.15,119.65,119.65,30294.0
1767,2019-05-21,124.5,125.2,121.05,122.0,122.0,33079.0
1766,2019-05-20,124.85,132.0,122.15,123.15,123.15,152199.0
1765,2019-05-17,118.6,122.0,118.5,119.5,119.5,52244.0
1764,2019-05-16,115.1,123.05,115.1,118.25,118.25,60956.0
1763,2019-05-15,125.25,125.9,115.0,117.35,117.35,152803.0
1762,2019-05-14,109.95,126.0,108.0,124.1,124.1,329977.0
1761,2019-05-13,113.1,117.9,107.8,108.4,108.4,69142.0
1760,2019-05-10,110.2,115.15,110.2,114.15,114.15,46624.0
1759,2019-05-09,118.1,118.1,112.35,113.2,113.2,59315.0
1758,2019-05-08,115.0,118.3,114.95,116.35,116.35,54934.0
1757,2019-05-07,118.5,119.95,113.45,114.4,114.4,53972.0
1756,2019-05-06,121.9,122.75,117.5,118.5,118.5,49144.0
1755,2019-05-03,123.6,126.15,120.6,121.55,121.55,769896.0
1754,2019-05-02,129.9,129.9,124.7,125.5,125.5,43749.0
1753,2019-04-30,129.3,130.65,126.65,127.05,127.05,47951.0
1752,2019-04-26,132.0,132.4,130.15,130.6,130.6,35230.0
1751,2019-04-25,132.3,133.9,130.25,130.85,130.85,40791.0
1750,2019-04-24,135.3,136.3,131.6,132.3,132.3,42994.0
1749,2019-04-23,136.9,139.0,134.05,135.25,135.25,231324.0
1748,2019-04-22,133.0,139.7,131.65,137.45,137.45,60576.0
1747,2019-04-18,139.0,139.0,133.45,134.5,134.5,46513.0
1746,2019-04-16,136.5,141.5,135.4,137.85,137.85,139457.0
1745,2019-04-15,132.25,137.0,132.25,134.95,134.95,44967.0
1744,2019-04-12,131.7,133.5,129.5,132.25,132.25,41773.0
1743,2019-04-11,131.4,133.7,129.5,129.9,129.9,75056.0
1742,2019-04-10,130.75,134.75,129.65,130.65,130.65,61576.0
1741,2019-04-09,132.0,133.8,132.0,132.95,132.95,168338.0
1740,2019-04-08,132.6,134.95,132.5,133.05,133.05,75235.0
1739,2019-04-05,133.9,135.6,133.45,133.95,133.95,32090.0
1738,2019-04-04,135.6,136.55,132.8,133.6,133.6,91536.0
1737,2019-04-03,138.65,139.5,134.05,135.25,135.25,51798.0
1736,2019-04-02,139.95,139.95,136.5,137.7,137.7,55245.0
1735,2019-04-01,137.0,140.9,137.0,138.6,138.6,68499.0
1734,2019-03-28,139.9,139.9,136.45,137.75,137.75,87369.0
1733,2019-03-27,138.0,141.95,135.45,138.8,138.8,339500.0
1732,2019-03-26,131.35,137.8,131.35,135.65,135.65,124871.0
1731,2019-03-25,133.7,134.0,128.15,130.35,130.35,197273.0
1730,2019-03-22,134.55,138.5,133.0,134.15,134.15,136995.0
1729,2019-03-20,137.95,139.35,132.5,132.8,132.8,110968.0
1728,2019-03-19,140.0,140.2,137.3,137.95,137.95,41719.0
