,Date,Open,High,Low,Close,Adj Close,Volume
2900,2019-06-14,707.0,708.55,675.5,685.0,685.0,41900.0
2899,2019-06-13,715.0,724.8,702.45,708.7,708.7,64529.0
2898,2019-06-12,729.85,729.85,711.0,719.75,719.75,25890.0
2897,2019-06-11,731.4,749.0,713.25,728.5,728.5,58146.0
2896,2019-06-10,748.15,758.15,726.65,731.4,731.4,36148.0
2895,2019-06-07,779.9,779.9,742.0,747.4,747.4,29001.0
2894,2019-06-06,786.25,790.0,735.5,769.85,769.85,66429.0
2893,2019-06-04,788.55,799.0,780.0,793.15,793.15,22872.0
2892,2019-06-03,789.1,800.0,783.85,796.15,796.15,27082.0
2891,2019-05-31,805.8,805.8,785.85,794.4,794.4,56290.0
2890,2019-05-30,823.9,823.9,793.75,799.75,799.75,64835.0
2889,2019-05-29,827.1,841.3,802.0,816.45,816.45,75938.0
2888,2019-05-28,779.95,855.9,775.5,819.45,819.45,109631.0
2887,2019-05-27,790.25,800.0,774.0,776.65,776.65,61887.0
2886,2019-05-24,763.7,798.7,755.65,794.25,794.25,101059.0
2885,2019-05-23,745.0,784.8,745.0,755.85,755.85,179478.0
2884,2019-05-22,735.05,748.95,725.0,741.9,741.9,55487.0
2883,2019-05-21,728.0,744.75,726.4,741.35,741.35,101887.0
2882,2019-05-20,705.0,735.95,697.05,724.75,724.75,169039.0
2881,2019-05-17,683.6,698.0,682.2,686.75,686.75,29491.0
2880,2019-05-16,691.0,691.0,676.55,683.6,683.6,32806.0
2879,2019-05-15,692.0,695.85,683.0,685.5,685.5,37963.0
2878,2019-05-14,685.0,694.9,681.1,685.6,685.6,165811.0
2877,2019-05-13,687.0,710.0,675.0,685.25,685.25,228598.0
2876,2019-05-10,674.5,687.55,664.3,668.0,668.0,22133.0
2875,2019-05-09,670.9,679.7,661.95,674.4,674.4,34595.0
2874,2019-05-08,691.1,696.85,658.0,666.4,666.4,72835.0
2873,2019-05-07,715.0,719.0,693.0,696.9,696.9,33422.0
2872,2019-05-06,716.0,721.55,701.1,712.5,712.5,33362.0
2871,2019-05-03,734.6,740.0,714.1,717.45,717.45,40321.0
2870,2019-05-02,714.85,748.9,702.9,733.5,733.5,119839.0
2869,2019-04-30,715.0,723.35,696.45,711.25,711.25,71079.0
2868,2019-04-26,728.0,732.0,717.05,719.8,719.8,36177.0
2867,2019-04-25,735.25,738.0,712.2,721.1,721.1,70925.0
2866,2019-04-24,736.8,751.5,725.1,734.15,734.15,110265.0
2865,2019-04-23,698.0,750.0,692.05,731.7,731.7,99838.0
2864,2019-04-22,722.15,731.6,698.0,702.35,702.35,44552.0
2863,2019-04-18,741.05,749.0,722.1,729.1,729.1,160301.0
2862,2019-04-16,709.25,743.0,708.0,739.15,739.15,251276.0
2861,2019-04-15,692.65,723.5,686.75,703.65,703.65,217042.0
2860,2019-04-12,663.85,691.9,663.85,688.75,688.75,114039.0
2859,2019-04-11,669.85,677.0,658.15,670.55,670.55,43132.0
2858,2019-04-10,675.0,676.05,665.0,669.85,669.85,45196.0
2857,2019-04-09,693.35,695.15,668.5,677.65,677.65,151878.0
2856,2019-04-08,638.0,692.0,636.0,687.95,687.95,557460.0
2855,2019-04-05,610.0,643.0,610.0,638.6,638.6,161090.0
2854,2019-04-04,612.5,616.5,606.65,612.5,612.5,46296.0
2853,2019-04-03,613.05,623.3,611.05,612.5,612.5,101449.0
2852,2019-04-02,619.65,622.95,610.0,612.8,612.8,46662.0
2851,2019-04-01,607.95,621.0,602.5,619.65,619.65,144952.0
2850,2019-03-28,595.0,600.7,591.25,599.7,599.7,128003.0
2849,2019-03-27,607.9,607.9,590.1,597.95,597.95,97365.0
2848,2019-03-26,603.0,609.85,596.1,599.9,599.9,113640.0
2847,2019-03-25,609.8,616.3,601.2,609.65,609.65,93543.0
2846,2019-03-22,627.2,629.55,613.0,614.5,614.5,108309.0
2845,2019-03-20,644.25,644.25,625.15,627.6,627.6,86878.0
2844,2019-03-19,630.0,647.5,630.0,638.9,638.9,113458.0
2843,2019-03-18,629.0,642.4,626.15,630.25,630.25,297223.0
2842,2019-03-15,625.0,636.1,621.0,625.65,625.65,180238.0
2841,2019-03-14,616.0,636.0,616.0,623.4,623.4,283359.0
2840,2019-03-13,614.4,616.3,607.0,608.15,608.15,38350.0
2839,2019-03-12,601.95,620.0,601.0,609.35,609.35,162118.0
2838,2019-03-11,608.85,608.85,594.0,599.8,599.8,584339.0
2837,2019-03-08,610.7,610.7,589.3,602.55,602.55,70606.0
2836,2019-03-07,590.0,608.0,587.75,601.7,601.7,135071.0
