,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,977.0,977.0,950.1,957.95,957.95,87421.0
4223,2019-06-13,968.65,989.8,962.0,979.55,979.55,442558.0
4222,2019-06-12,952.75,975.0,930.2,970.2,970.2,425662.0
4221,2019-06-11,962.95,962.95,941.5,945.35,945.35,278063.0
4220,2019-06-10,962.4,965.4,951.5,962.7,962.7,126641.0
4219,2019-06-07,970.0,974.0,951.5,955.25,955.25,102049.0
4218,2019-06-06,965.35,976.75,962.05,972.25,972.25,70167.0
4217,2019-06-04,984.2,989.4,965.1,969.55,969.55,322288.0
4216,2019-06-03,985.8,1000.0,978.05,988.6,988.6,142970.0
4215,2019-05-31,1002.0,1005.05,963.35,993.85,993.85,298108.0
4214,2019-05-30,954.4,1003.0,952.2,1001.1,1001.1,477204.0
4213,2019-05-29,935.05,969.95,935.05,962.15,962.15,319320.0
4212,2019-05-28,947.1,970.0,935.5,951.65,951.65,182648.0
4211,2019-05-27,943.85,948.6,933.2,936.35,936.35,84149.0
4210,2019-05-24,962.0,962.5,920.05,949.8,949.8,408768.0
4209,2019-05-23,965.0,971.35,940.1,967.85,967.85,154765.0
4208,2019-05-22,947.7,969.9,917.55,963.1,963.1,240898.0
4207,2019-05-21,945.0,947.95,936.4,943.2,943.2,107358.0
4206,2019-05-20,952.0,954.0,918.15,945.4,945.4,194289.0
4205,2019-05-17,946.85,954.35,932.05,945.8,945.8,97658.0
4204,2019-05-16,953.5,959.35,935.05,948.25,948.25,141863.0
4203,2019-05-15,957.1,969.6,953.8,958.9,958.9,544462.0
4202,2019-05-14,956.5,967.7,949.0,963.5,963.5,125428.0
4201,2019-05-13,950.5,954.0,944.65,951.0,951.0,133363.0
4200,2019-05-10,940.0,955.5,938.1,950.5,950.5,190930.0
4199,2019-05-09,952.0,952.0,930.0,946.15,946.15,440498.0
4198,2019-05-08,960.25,967.6,950.0,952.75,952.75,80468.0
4197,2019-05-07,966.45,975.55,961.1,965.3,965.3,63147.0
4196,2019-05-06,970.0,976.0,953.3,969.7,969.7,99845.0
4195,2019-05-03,981.1,981.95,962.4,972.0,972.0,113515.0
4194,2019-05-02,972.7,987.8,963.05,982.0,982.0,280825.0
4193,2019-04-30,959.6,981.45,951.35,969.4,969.4,195756.0
4192,2019-04-26,959.0,967.8,950.55,959.4,959.4,102093.0
4191,2019-04-25,971.95,971.95,950.0,952.55,952.55,87048.0
4190,2019-04-24,969.65,973.0,960.5,966.0,966.0,60014.0
4189,2019-04-23,983.0,985.8,961.05,964.35,964.35,182370.0
4188,2019-04-22,978.0,985.05,972.15,983.0,983.0,59539.0
4187,2019-04-18,982.0,984.85,971.1,978.65,978.65,131209.0
4186,2019-04-16,993.2,993.2,977.0,980.65,980.65,108353.0
4185,2019-04-15,998.85,1003.75,977.2,994.55,994.55,262311.0
4184,2019-04-12,1013.05,1014.35,985.3,991.2,991.2,160330.0
4183,2019-04-11,989.7,1015.0,986.0,1011.3,1011.3,315339.0
4182,2019-04-10,980.3,998.8,968.0,995.7,995.7,266092.0
4181,2019-04-09,979.75,992.0,968.0,986.3,986.3,271133.0
4180,2019-04-08,976.0,981.0,965.1,976.65,976.65,483473.0
4179,2019-04-05,982.0,985.0,970.1,975.35,975.35,186856.0
4178,2019-04-04,984.9,984.9,961.05,978.3,978.3,150903.0
4177,2019-04-03,995.0,995.1,974.1,978.2,978.2,83712.0
4176,2019-04-02,988.0,1004.0,975.1,991.5,991.5,117728.0
4175,2019-04-01,997.25,1017.4,975.25,986.75,986.75,141374.0
4174,2019-03-28,946.0,977.15,940.5,965.3,965.3,373114.0
4173,2019-03-27,952.9,955.7,937.0,950.6,950.6,215002.0
4172,2019-03-26,952.0,961.95,940.1,952.65,952.65,142163.0
4171,2019-03-25,975.85,975.85,946.0,950.2,950.2,166240.0
4170,2019-03-22,979.7,1001.0,936.45,975.85,975.85,285338.0
4169,2019-03-20,982.05,993.0,980.0,986.7,986.7,217489.0
