,Date,Open,High,Low,Close,Adj Close,Volume
2000,2019-06-14,641.0,647.75,631.15,634.15,634.15,661392.0
1999,2019-06-13,638.2,643.65,635.05,641.75,641.75,527774.0
1998,2019-06-12,644.0,650.6,636.25,638.2,638.2,542207.0
1997,2019-06-11,642.7,654.7,635.3,644.6,644.6,1219055.0
1996,2019-06-10,616.0,645.0,616.0,641.7,641.7,1227154.0
1995,2019-06-07,632.7,635.6,608.5,615.5,615.5,1284021.0
1994,2019-06-06,650.0,650.0,629.0,632.7,632.7,534020.0
1993,2019-06-04,641.3,656.4,641.0,645.7,645.7,980250.0
1992,2019-06-03,650.0,651.05,639.0,642.4,642.4,555337.0
1991,2019-05-31,639.0,654.4,633.6,650.7,650.7,1296006.0
1990,2019-05-30,629.15,644.35,623.9,641.0,641.0,963987.0
1989,2019-05-29,634.0,635.25,626.45,629.15,629.15,562539.0
1988,2019-05-28,645.0,649.8,629.7,634.2,634.2,701073.0
1987,2019-05-27,642.0,652.25,640.0,647.25,647.25,1235902.0
1986,2019-05-24,617.2,645.85,617.0,641.75,641.75,1449066.0
1985,2019-05-23,620.0,642.9,618.2,620.3,620.3,1283494.0
1984,2019-05-22,623.4,624.0,615.0,618.7,618.7,719888.0
1983,2019-05-21,620.0,637.55,608.4,619.55,619.55,2514715.0
1982,2019-05-20,604.0,623.8,591.25,618.05,618.05,1714555.0
1981,2019-05-17,579.2,586.5,575.1,579.4,579.4,1097100.0
1980,2019-05-16,572.0,580.85,566.1,577.1,577.1,792162.0
1979,2019-05-15,573.8,576.1,568.05,571.85,571.85,817962.0
1978,2019-05-14,555.0,578.95,550.05,570.25,570.25,3557860.0
1977,2019-05-13,570.8,571.05,542.75,547.25,547.25,905359.0
1976,2019-05-10,569.95,581.75,567.65,573.1,573.1,729308.0
1975,2019-05-09,564.0,571.75,560.15,566.45,566.45,590369.0
1974,2019-05-08,560.5,570.1,556.3,561.45,561.45,1326524.0
1973,2019-05-07,594.9,599.15,563.6,566.4,566.4,759799.0
1972,2019-05-06,596.8,603.35,589.0,593.3,593.3,232454.0
1971,2019-05-03,593.4,609.9,592.2,599.65,599.65,449155.0
1970,2019-05-02,593.7,605.0,589.4,594.95,594.95,639544.0
1969,2019-04-30,587.15,600.5,579.25,597.0,597.0,740162.0
1968,2019-04-26,581.7,594.8,573.4,592.05,592.05,959856.0
1967,2019-04-25,586.95,596.6,572.9,580.15,580.15,1035248.0
1966,2019-04-24,590.0,596.6,582.35,586.7,586.7,423140.0
1965,2019-04-23,592.9,597.8,585.1,586.85,586.85,550635.0
1964,2019-04-22,615.0,615.0,585.5,589.3,589.3,621370.0
1963,2019-04-18,614.0,623.95,613.25,616.25,616.25,731261.0
1962,2019-04-16,615.8,615.8,610.0,613.85,613.85,242338.0
1961,2019-04-15,616.05,621.9,608.9,610.65,610.65,628357.0
1960,2019-04-12,610.0,619.85,610.0,615.75,615.75,1170077.0
1959,2019-04-11,604.0,614.8,595.25,610.75,610.75,1216659.0
1958,2019-04-10,612.0,618.0,606.95,610.1,598.1,354806.0
1957,2019-04-09,613.65,616.15,601.7,613.55,601.4821,606254.0
1956,2019-04-08,628.9,628.9,610.4,613.65,601.5802,814441.0
1955,2019-04-05,608.0,622.95,604.0,617.05,604.9133,880829.0
1954,2019-04-04,613.1,617.6,603.75,606.3,594.3747,596132.0
1953,2019-04-03,617.65,631.9,605.1,609.5,597.5118,1703701.0
1952,2019-04-02,617.0,623.9,608.4,617.1,604.9623,985966.0
1951,2019-04-01,618.0,622.5,612.2,614.1,602.0213,681175.0
1950,2019-03-28,598.4,613.7,596.05,609.95,597.9529,2419862.0
1949,2019-03-27,600.0,603.2,589.15,593.95,582.2676,1402151.0
1948,2019-03-26,593.5,601.95,592.0,595.9,584.1793,796801.0
1947,2019-03-25,592.5,593.7,584.6,591.25,579.6207,448632.0
1946,2019-03-22,595.0,601.9,591.35,594.35,582.6597,681777.0
1945,2019-03-20,600.0,600.0,589.55,593.2,581.5324,413943.0
1944,2019-03-19,599.4,603.15,594.05,597.65,585.8949,822797.0
1943,2019-03-18,600.0,605.3,591.2,595.7,583.9832,508042.0
1942,2019-03-15,598.0,606.8,593.5,596.9,585.1596,2331463.0
1941,2019-03-14,597.0,612.9,592.15,595.5,583.7872,1980768.0
1940,2019-03-13,596.0,603.2,590.05,591.95,580.307,879215.0
1939,2019-03-12,597.5,605.9,588.3,592.75,581.0912,1125370.0
1938,2019-03-11,573.5,598.0,572.2,594.0,582.3166,2761767.0
1937,2019-03-08,574.9,586.5,568.05,570.9,559.671,1469812.0
1936,2019-03-07,565.0,578.0,560.65,572.8,561.5336,513822.0
1935,2019-03-06,570.0,576.85,558.25,567.65,556.4849,968467.0
1934,2019-03-05,525.0,578.85,525.0,569.55,558.3475,2520463.0
1933,2019-03-01,528.3,536.3,528.3,530.7,520.2617,677044.0
1932,2019-02-28,527.0,530.0,514.95,528.0,517.6148,768101.0
1931,2019-02-27,527.95,534.9,513.5,516.85,506.6841,890471.0
1930,2019-02-26,534.0,535.9,519.15,525.95,515.6052,678123.0
1929,2019-02-25,537.0,542.7,533.0,536.65,526.0947,869664.0
1928,2019-02-22,537.6,542.0,526.6,535.25,524.7222,1716682.0
1927,2019-02-21,520.0,538.35,520.0,534.35,523.8399,1727824.0
1926,2019-02-20,517.9,525.0,515.8,519.2,508.9879,504918.0
1925,2019-02-19,520.0,528.5,516.0,518.95,508.7428,639503.0
1924,2019-02-18,522.0,525.85,515.0,520.4,510.1643,555956.0
1923,2019-02-15,526.0,530.5,510.6,518.25,508.0566,918950.0
1922,2019-02-14,507.0,529.75,507.0,527.15,516.7816,1131695.0
1921,2019-02-12,505.5,515.85,505.25,512.85,502.7628,647541.0
1920,2019-02-11,518.25,520.75,502.45,505.1,495.1652,910606.0
1919,2019-02-08,516.0,527.0,508.65,518.25,508.0566,2129475.0
1918,2019-02-07,491.9,531.9,484.95,516.25,506.0959,4153472.0
1917,2019-02-06,496.0,510.15,472.6,484.95,475.4116,2498632.0
1916,2019-02-05,501.0,504.0,493.85,498.8,488.9891,396252.0
1915,2019-02-04,493.0,505.0,483.2,502.05,492.1752,498204.0
1914,2019-02-01,500.45,511.9,482.0,492.55,482.8621,1079351.0
1913,2019-01-31,500.0,505.3,495.0,499.45,489.6264,1024259.0
1912,2019-01-30,497.4,503.8,491.55,500.5,490.6557,452304.0
1911,2019-01-29,509.05,517.95,491.3,495.45,485.705,1244124.0
1910,2019-01-28,538.0,538.0,502.65,509.05,499.0375,2100474.0
1909,2019-01-25,541.05,546.45,532.5,534.5,523.9869,417368.0
1908,2019-01-24,539.0,549.4,539.0,541.1,530.4571,685146.0
1907,2019-01-23,543.7,548.0,537.65,541.7,531.0453,679777.0
1906,2019-01-22,544.95,549.75,535.05,542.4,531.7316,757767.0
1905,2019-01-21,526.2,548.9,523.5,544.95,534.2314,813797.0
1904,2019-01-18,533.4,536.8,524.65,527.6,517.2227,635070.0
1903,2019-01-17,536.1,539.85,528.65,533.4,522.9086,688271.0
1902,2019-01-16,540.8,544.0,532.15,537.15,526.5848,820323.0
1901,2019-01-15,532.0,543.4,531.2,541.65,530.9963,806950.0
1900,2019-01-14,534.95,538.5,528.0,531.65,521.1931,613762.0
1899,2019-01-11,522.5,545.35,522.2,537.95,527.3691,1436280.0
1898,2019-01-10,516.7,529.9,515.7,524.55,514.2327,1543255.0
1897,2019-01-09,522.0,522.7,509.05,516.75,506.5861,817662.0
1896,2019-01-08,511.65,531.0,510.1,517.0,506.8311,2800412.0
1895,2019-01-07,508.35,515.0,498.85,513.4,503.302,1073922.0
1894,2019-01-04,498.35,508.8,489.7,501.95,492.0772,1409156.0
1893,2019-01-03,503.1,505.8,494.1,495.75,485.9991,482416.0
1892,2019-01-02,513.5,515.55,498.0,502.25,492.3713,973749.0
1891,2019-01-01,516.0,517.7,510.8,512.5,502.4197,573931.0
1890,2018-12-31,507.65,518.6,503.65,516.0,505.8508,1775209.0
1889,2018-12-28,496.9,510.7,495.3,504.5,494.577,1509008.0
1888,2018-12-27,501.7,504.9,491.45,493.1,483.4012,895299.0
1887,2018-12-26,496.0,504.5,478.4,499.45,489.6264,1577695.0
1886,2018-12-24,488.0,501.55,486.35,494.35,484.6267,1352810.0
1885,2018-12-21,501.0,505.0,484.75,486.6,477.0291,1550585.0
1884,2018-12-20,497.5,511.2,497.5,499.5,489.6754,1887351.0
1883,2018-12-19,488.0,510.0,483.0,503.35,493.4496,4420035.0
