,Date,Open,High,Low,Close,Adj Close,Volume
2971,2019-06-14,745.45,754.9,733.8,739.55,739.55,25381.0
2970,2019-06-13,738.0,758.4,736.85,745.45,745.45,29964.0
2969,2019-06-12,741.0,749.35,721.2,738.9,738.9,36631.0
2968,2019-06-11,717.7,752.0,715.65,744.7,744.7,71797.0
2967,2019-06-10,695.0,723.0,695.0,717.7,717.7,24576.0
2966,2019-06-07,700.15,710.95,694.7,699.65,699.65,10220.0
2965,2019-06-06,717.1,724.9,702.5,708.85,704.85,18351.0
2964,2019-06-04,730.0,735.5,723.0,723.7,719.6162,13560.0
2963,2019-06-03,738.45,745.55,728.0,736.8,732.6423,18536.0
2962,2019-05-31,715.05,745.0,715.05,738.45,734.283,25875.0
2961,2019-05-30,711.0,728.0,711.0,724.1,720.0139,7273.0
2960,2019-05-29,726.0,743.1,720.0,723.15,719.0693,12679.0
2959,2019-05-28,739.65,754.0,729.95,737.9,733.7361,38995.0
2958,2019-05-27,710.0,752.75,701.95,739.65,735.4762,76501.0
2957,2019-05-24,683.0,708.95,682.45,699.45,695.5031,105097.0
2956,2019-05-23,685.0,690.0,661.0,686.15,682.2781,34893.0
2955,2019-05-22,690.0,691.75,675.9,680.7,676.8588,13071.0
2954,2019-05-21,682.6,691.95,666.5,688.35,684.4656,32498.0
2953,2019-05-20,675.1,692.0,666.45,682.6,678.7481,45707.0
2952,2019-05-17,661.75,672.95,658.0,670.0,666.2192,30885.0
2951,2019-05-16,664.9,673.0,658.45,664.55,660.8,10788.0
2950,2019-05-15,672.5,678.35,655.0,663.7,659.9548,16072.0
2949,2019-05-14,675.0,682.3,660.6,678.85,675.0193,34723.0
2948,2019-05-13,673.0,676.75,670.0,674.75,670.9424,18438.0
2947,2019-05-10,674.0,681.55,674.0,676.05,672.235,16325.0
2946,2019-05-09,675.9,677.85,670.05,674.0,670.1967,41873.0
2945,2019-05-08,671.05,679.95,670.45,676.05,672.235,15131.0
2944,2019-05-07,680.05,681.0,663.7,678.05,674.2238,48738.0
2943,2019-05-06,684.95,697.0,679.0,683.65,679.7922,48752.0
