,Date,Open,High,Low,Close,Adj Close,Volume
3074,2019-06-14,37.35,37.6,36.9,37.4,37.4,149939.0
3073,2019-06-13,38.3,38.35,37.5,37.6,37.6,160025.0
3072,2019-06-12,38.2,38.6,38.2,38.4,38.4,124759.0
3071,2019-06-11,39.0,39.0,38.2,38.6,38.6,227670.0
3070,2019-06-10,39.55,39.95,38.7,38.8,38.8,351694.0
3069,2019-06-07,39.6,39.95,38.7,39.2,39.2,374064.0
3068,2019-06-06,40.65,40.65,38.6,39.15,39.15,467789.0
3067,2019-06-04,39.95,40.35,39.5,40.05,40.05,451638.0
3066,2019-06-03,39.65,40.5,39.35,39.95,39.95,948727.0
3065,2019-05-31,40.7,40.7,38.5,39.05,39.05,508489.0
3064,2019-05-30,40.4,40.9,39.7,40.55,40.55,645420.0
3063,2019-05-29,39.7,41.0,39.65,40.0,40.0,1643814.0
3062,2019-05-28,38.3,39.4,37.85,39.15,39.15,1288158.0
3061,2019-05-27,36.95,38.6,36.75,37.85,37.85,1061238.0
3060,2019-05-24,34.9,36.65,34.8,36.5,36.5,547552.0
3059,2019-05-23,35.55,36.3,34.7,34.85,34.85,399147.0
3058,2019-05-22,35.45,35.45,35.05,35.3,35.3,94458.0
3057,2019-05-21,35.65,35.65,35.1,35.3,35.3,132371.0
3056,2019-05-20,35.9,35.9,35.25,35.5,35.5,173129.0
3055,2019-05-17,34.05,35.1,33.95,34.75,34.75,262467.0
3054,2019-05-16,34.9,34.95,34.1,34.2,34.2,114918.0
3053,2019-05-15,34.8,35.3,34.35,34.5,34.5,135122.0
3052,2019-05-14,34.9,35.45,34.55,35.2,35.2,115800.0
3051,2019-05-13,36.05,36.05,34.75,34.95,34.95,126486.0
3050,2019-05-10,36.3,36.7,35.85,36.05,36.05,271171.0
3049,2019-05-09,35.9,36.65,35.1,36.55,36.55,616687.0
3048,2019-05-08,35.95,36.0,35.4,35.7,35.7,212880.0
3047,2019-05-07,35.5,36.15,35.3,36.05,36.05,353814.0
3046,2019-05-06,35.8,35.8,35.0,35.2,35.2,253658.0
3045,2019-05-03,37.3,37.35,36.0,36.2,36.2,967986.0
3044,2019-05-02,35.25,36.4,35.25,36.15,36.15,415940.0
3043,2019-04-30,35.0,36.0,34.75,35.7,35.7,288433.0
3042,2019-04-26,34.7,35.6,34.7,35.35,35.35,121830.0
3041,2019-04-25,35.3,35.3,34.85,35.15,35.15,125497.0
3040,2019-04-24,35.6,35.75,34.85,35.05,35.05,107038.0
3039,2019-04-23,34.25,35.6,34.2,35.4,35.4,180781.0
3038,2019-04-22,35.4,35.4,34.25,34.35,34.35,184368.0
3037,2019-04-18,35.6,35.75,35.05,35.35,35.35,249721.0
3036,2019-04-16,35.9,36.5,35.65,35.75,35.75,264724.0
3035,2019-04-15,35.5,36.4,35.45,35.85,35.85,710553.0
3034,2019-04-12,35.55,35.65,35.1,35.55,35.55,237032.0
3033,2019-04-11,35.6,36.2,35.45,35.6,35.6,630365.0
3032,2019-04-10,34.85,35.6,34.8,35.15,35.15,392926.0
3031,2019-04-09,34.95,35.0,34.45,34.75,34.75,156115.0
3030,2019-04-08,34.9,35.2,34.65,34.95,34.95,304891.0
3029,2019-04-05,35.05,35.45,34.45,34.65,34.65,408883.0
3028,2019-04-04,35.55,35.7,34.8,35.05,35.05,279662.0
3027,2019-04-03,35.8,36.45,35.35,35.4,35.4,920915.0
3026,2019-04-02,35.5,36.15,35.3,35.55,35.55,348328.0
3025,2019-04-01,35.3,36.05,35.2,35.55,35.55,303003.0
3024,2019-03-28,35.25,35.85,34.4,35.45,35.45,513424.0
3023,2019-03-27,34.8,35.25,34.65,34.7,34.7,207909.0
3022,2019-03-26,34.9,35.0,34.6,34.85,34.85,183908.0
3021,2019-03-25,34.9,34.9,34.35,34.45,34.45,134186.0
3020,2019-03-22,35.6,36.1,34.8,34.95,34.95,518697.0
3019,2019-03-20,36.05,36.1,35.25,35.4,35.4,209011.0
3018,2019-03-19,35.35,36.7,35.35,36.0,36.0,656574.0
3017,2019-03-18,35.45,36.0,35.0,35.25,35.25,248975.0
