,Date,Open,High,Low,Close,Adj Close,Volume
846,2019-06-14,232.5,232.5,224.05,226.45,226.45,11219.0
845,2019-06-13,215.1,234.9,215.1,231.5,231.5,31953.0
844,2019-06-12,226.0,228.0,221.25,222.4,222.4,11492.0
843,2019-06-11,223.05,228.55,220.15,224.35,224.35,14200.0
842,2019-06-10,230.0,230.0,224.0,226.25,226.25,6393.0
841,2019-06-07,230.0,235.0,224.2,225.3,225.3,14339.0
840,2019-06-06,232.0,232.0,225.5,228.8,228.8,11317.0
839,2019-06-04,235.0,235.9,230.0,230.8,230.8,15481.0
838,2019-06-03,239.85,239.85,232.8,235.0,235.0,178768.0
837,2019-05-31,233.0,240.0,229.0,237.85,237.85,1101542.0
836,2019-05-30,225.55,231.0,225.55,230.25,230.25,40658.0
835,2019-05-29,233.0,233.85,229.5,231.05,231.05,37236.0
834,2019-05-28,227.0,237.4,224.6,234.15,234.15,175255.0
833,2019-05-27,222.0,238.85,212.35,227.15,227.15,791888.0
832,2019-05-24,187.75,202.0,187.75,199.05,199.05,56658.0
831,2019-05-23,194.95,194.95,186.35,187.75,187.75,6498.0
830,2019-05-22,186.5,194.0,186.4,190.5,190.5,11216.0
829,2019-05-21,191.85,195.0,186.0,188.1,188.1,16026.0
828,2019-05-20,195.0,195.0,188.05,191.85,191.85,18038.0
827,2019-05-17,185.6,190.0,184.3,186.45,186.45,11627.0
826,2019-05-16,187.0,188.7,185.0,186.2,186.2,4910.0
825,2019-05-15,188.0,192.7,186.45,188.85,188.85,7094.0
824,2019-05-14,193.1,193.1,185.0,187.5,187.5,12365.0
823,2019-05-13,193.05,194.9,190.1,191.15,191.15,5690.0
822,2019-05-10,193.05,195.0,191.05,194.7,194.7,15000.0
821,2019-05-09,195.0,195.0,186.9,195.0,195.0,22405.0
820,2019-05-08,190.8,195.0,188.7,194.65,194.65,8319.0
819,2019-05-07,195.0,199.65,190.0,194.5,194.5,941619.0
818,2019-05-06,199.9,200.0,195.0,195.35,195.35,9987.0
817,2019-05-03,200.0,200.0,198.0,198.1,198.1,68969.0
816,2019-05-02,205.0,208.55,200.75,202.75,202.75,11835.0
815,2019-04-30,208.9,210.1,200.1,202.4,202.4,486580.0
814,2019-04-26,207.0,210.0,206.1,208.0,208.0,579169.0
813,2019-04-25,208.55,210.0,205.2,207.55,207.55,8848.0
812,2019-04-24,208.0,209.9,207.0,208.55,208.55,5261.0
811,2019-04-23,213.0,213.0,207.2,209.45,209.45,26967.0
810,2019-04-22,215.0,215.0,210.0,210.85,210.85,10329.0
809,2019-04-18,220.5,220.5,210.0,214.55,214.55,12957.0
808,2019-04-16,216.35,217.0,213.85,215.2,215.2,8875.0
807,2019-04-15,218.75,218.75,214.0,214.45,214.45,9674.0
806,2019-04-12,218.5,222.05,215.05,216.8,216.8,9257.0
805,2019-04-11,217.05,219.5,215.0,216.35,216.35,9796.0
804,2019-04-10,220.0,220.0,215.0,217.0,217.0,3870.0
803,2019-04-09,214.55,219.95,213.1,218.65,218.65,6622.0
802,2019-04-08,218.1,218.1,215.45,215.8,215.8,4088.0
801,2019-04-05,215.8,218.5,215.75,218.1,218.1,4210.0
800,2019-04-04,219.8,219.8,214.7,218.05,218.05,9846.0
799,2019-04-03,217.0,219.0,214.0,217.6,217.6,13886.0
798,2019-04-02,216.6,219.4,213.35,216.35,216.35,26584.0
797,2019-04-01,217.5,219.0,213.3,216.55,216.55,12029.0
796,2019-03-28,214.95,216.8,213.8,215.25,215.25,37862.0
795,2019-03-27,216.9,222.0,211.1,213.6,213.6,55382.0
794,2019-03-26,214.45,217.65,209.0,212.9,212.9,21722.0
793,2019-03-25,215.0,223.75,215.0,217.65,217.65,342329.0
792,2019-03-22,210.0,219.95,210.0,217.75,217.75,13664.0
791,2019-03-20,218.0,218.0,213.0,214.65,214.65,6939.0
790,2019-03-19,215.0,219.5,215.0,218.7,218.7,33836.0
789,2019-03-18,226.1,226.15,220.25,221.0,221.0,9365.0
788,2019-03-15,222.05,225.25,219.35,223.85,223.85,95477.0
787,2019-03-14,225.85,232.0,220.0,223.7,223.7,44302.0
786,2019-03-13,224.0,224.85,219.0,221.7,221.7,19114.0
785,2019-03-12,224.7,228.0,219.0,221.0,221.0,379133.0
784,2019-03-11,225.4,228.4,220.0,222.45,222.45,24067.0
783,2019-03-08,225.1,225.25,217.0,219.05,219.05,27332.0
782,2019-03-07,229.1,229.45,220.55,222.85,222.85,10407.0
781,2019-03-06,229.0,230.0,221.0,226.8,226.8,25978.0
780,2019-03-05,224.4,227.9,216.95,224.85,224.85,24670.0
779,2019-03-01,207.95,221.0,207.15,220.2,220.2,72932.0
778,2019-02-28,206.25,207.0,201.35,205.95,205.95,6425.0
777,2019-02-27,204.5,211.45,197.0,207.95,207.95,24945.0
776,2019-02-26,200.05,209.0,199.8,205.2,205.2,853023.0
775,2019-02-25,199.95,204.5,194.1,201.4,201.4,10769.0
774,2019-02-22,200.0,203.05,198.95,200.05,200.05,3966.0
773,2019-02-21,199.8,207.0,197.8,202.8,202.8,7932.0
772,2019-02-20,201.2,204.85,197.45,199.35,199.35,5560.0
771,2019-02-19,195.45,200.85,195.35,199.2,199.2,449641.0
770,2019-02-18,191.4,204.7,191.4,195.45,195.45,36991.0
769,2019-02-15,192.0,201.7,190.6,197.7,197.7,42241.0
768,2019-02-14,197.2,199.95,192.2,193.75,193.75,18959.0
767,2019-02-12,193.85,199.0,193.0,197.25,197.25,10991.0
766,2019-02-11,192.9,196.0,191.0,193.75,193.75,13856.0
765,2019-02-08,194.0,195.9,191.8,194.05,194.05,7803.0
764,2019-02-07,200.35,200.35,192.9,194.1,194.1,21722.0
763,2019-02-06,197.9,205.0,196.0,198.45,198.45,18399.0
762,2019-02-05,194.95,199.8,193.45,196.95,196.95,25385.0
761,2019-02-04,190.75,196.95,189.65,192.2,192.2,14124.0
760,2019-02-01,199.0,205.6,189.0,190.75,190.75,35897.0
759,2019-01-31,185.05,192.0,185.05,189.45,189.45,11688.0
758,2019-01-30,189.9,191.35,182.8,185.95,185.95,11941.0
757,2019-01-29,190.0,190.0,187.05,187.9,187.9,4873.0
756,2019-01-28,188.05,191.9,187.0,190.05,190.05,9069.0
755,2019-01-25,190.05,192.8,189.05,190.85,190.85,6601.0
754,2019-01-24,184.25,190.95,184.25,190.0,190.0,8791.0
753,2019-01-23,186.0,187.5,184.15,186.0,186.0,24340.0
752,2019-01-22,188.0,188.85,186.0,187.05,187.05,44824.0
751,2019-01-21,201.0,201.0,184.15,187.05,187.05,105860.0
750,2019-01-18,198.9,199.95,195.45,197.6,197.6,9857.0
749,2019-01-17,201.55,203.75,197.05,198.0,198.0,18792.0
748,2019-01-16,203.55,203.8,198.65,199.8,199.8,19153.0
747,2019-01-15,202.0,205.7,201.2,203.85,203.85,18973.0
746,2019-01-14,204.0,206.75,195.25,200.25,200.25,32901.0
745,2019-01-11,204.0,207.0,201.5,203.65,203.65,16574.0
744,2019-01-10,208.0,208.05,200.7,206.15,206.15,17937.0
743,2019-01-09,203.55,210.95,200.2,209.0,209.0,56842.0
742,2019-01-08,197.9,204.95,196.65,200.15,200.15,32602.0
741,2019-01-07,188.0,209.9,188.0,196.3,196.3,33043.0
740,2019-01-04,191.45,191.5,186.5,187.3,187.3,15735.0
739,2019-01-03,194.0,194.2,190.85,191.35,191.35,10965.0
738,2019-01-02,193.4,194.45,191.35,193.4,193.4,41484.0
737,2019-01-01,195.1,197.2,190.15,191.15,191.15,28432.0
736,2018-12-31,198.0,198.0,193.0,195.1,195.1,14386.0
735,2018-12-28,197.7,199.15,195.05,195.45,195.45,20188.0
734,2018-12-27,203.05,203.05,197.05,198.05,198.05,23223.0
733,2018-12-26,202.1,202.45,198.5,201.1,201.1,11214.0
732,2018-12-24,205.8,205.8,199.2,201.5,201.5,7831.0
731,2018-12-21,202.85,204.85,200.75,203.9,203.9,40382.0
730,2018-12-20,201.0,202.8,200.1,202.05,202.05,15835.0
729,2018-12-19,200.0,203.9,199.8,201.6,201.6,16472.0
728,2018-12-18,206.0,206.0,199.0,199.45,199.45,27444.0
727,2018-12-17,200.85,207.35,200.05,205.75,205.75,25177.0
726,2018-12-14,204.0,205.75,198.85,199.15,199.15,55862.0
725,2018-12-13,208.0,209.85,204.95,205.25,205.25,600649.0
724,2018-12-12,208.5,211.0,204.5,207.35,207.35,655174.0
723,2018-12-11,206.5,212.05,204.45,210.5,210.5,10063.0
722,2018-12-10,208.0,233.1,204.05,206.65,206.65,54715.0
721,2018-12-07,209.95,210.0,206.5,208.1,208.1,6302.0
720,2018-12-06,210.0,233.7,206.0,208.1,208.1,36434.0
719,2018-12-05,214.5,216.3,208.0,209.9,209.9,25108.0
718,2018-12-04,218.15,218.75,214.2,214.5,214.5,24261.0
717,2018-12-03,221.9,224.0,217.0,218.65,218.65,12332.0
716,2018-11-30,229.7,229.7,219.7,221.85,221.85,21914.0
715,2018-11-29,222.35,254.9,218.5,227.85,227.85,33623.0
714,2018-11-28,228.3,230.0,221.65,223.1,223.1,3509.0
713,2018-11-27,228.25,232.75,225.05,228.7,228.7,4997.0
712,2018-11-26,234.4,239.15,227.1,229.35,229.35,44096.0
711,2018-11-22,233.05,238.0,233.0,236.8,236.8,5586.0
710,2018-11-21,230.55,238.0,228.25,232.25,232.25,10927.0
709,2018-11-20,230.0,232.0,227.95,228.35,228.35,6278.0
708,2018-11-19,241.95,241.95,230.1,232.35,232.35,13562.0
707,2018-11-16,238.15,243.4,233.1,236.65,236.65,7389.0
706,2018-11-15,249.3,249.95,241.1,241.95,241.95,5523.0
705,2018-11-14,243.5,254.0,243.5,249.9,249.9,16766.0
704,2018-11-13,245.0,246.85,242.8,244.15,244.15,8221.0
703,2018-11-12,243.0,247.0,241.15,245.8,245.8,8585.0
702,2018-11-09,245.85,247.0,239.15,242.45,242.45,18375.0
701,2018-11-07,249.85,249.85,242.1,244.3,244.3,2268.0
700,2018-11-06,248.5,250.75,245.0,247.1,247.1,13898.0
699,2018-11-05,240.0,250.0,239.1,248.45,248.45,17163.0
698,2018-11-02,239.9,246.7,239.9,244.15,244.15,32405.0
697,2018-11-01,226.0,263.45,225.95,240.0,240.0,39373.0
696,2018-10-31,228.0,228.0,224.75,227.35,227.35,8535.0
695,2018-10-30,222.0,225.15,221.25,224.25,224.25,11744.0
694,2018-10-29,222.7,223.15,219.8,222.35,222.35,7689.0
693,2018-10-26,218.25,221.65,214.2,220.25,220.25,5520.0
692,2018-10-25,212.65,219.0,211.0,217.15,217.15,132178.0
691,2018-10-24,209.85,217.7,208.4,213.9,213.9,7310.0
690,2018-10-23,209.0,212.8,208.0,210.15,210.15,11054.0
689,2018-10-22,214.0,215.0,206.0,208.1,208.1,8961.0
688,2018-10-19,215.0,221.05,207.9,208.85,208.85,20867.0
687,2018-10-17,224.85,224.85,214.0,216.2,216.2,14644.0
686,2018-10-16,223.0,227.0,221.0,223.4,223.4,7492.0
685,2018-10-15,221.0,233.95,220.3,221.95,221.95,297751.0
684,2018-10-12,234.45,236.0,220.25,224.2,224.2,40528.0
683,2018-10-11,239.8,239.8,230.45,232.3,232.3,11590.0
682,2018-10-10,230.8,242.3,227.75,237.9,237.9,25850.0
681,2018-10-09,229.05,235.9,224.15,234.25,234.25,217606.0
680,2018-10-08,228.5,234.9,228.5,230.0,230.0,14513.0
679,2018-10-05,240.8,240.8,228.7,233.0,233.0,10464.0
678,2018-10-04,230.05,242.15,228.5,231.5,231.5,28839.0
677,2018-10-03,231.05,239.85,229.6,235.7,235.7,12062.0
676,2018-10-01,248.3,248.3,230.8,233.25,233.25,13303.0
675,2018-09-28,243.05,250.1,237.1,244.95,244.95,273880.0
674,2018-09-27,242.8,252.85,242.6,248.0,248.0,70236.0
673,2018-09-26,243.0,251.25,243.0,246.8,246.8,69513.0
672,2018-09-25,243.0,249.4,241.0,243.1,243.1,74202.0
671,2018-09-24,242.0,247.95,239.5,241.0,241.0,23774.0
670,2018-09-21,251.75,255.0,239.0,248.3,248.3,109922.0
669,2018-09-19,251.15,255.0,249.95,250.4,250.4,99054.0
668,2018-09-18,251.75,255.9,251.75,252.05,252.05,21726.0
667,2018-09-17,253.8,255.45,252.0,253.45,253.45,21899.0
666,2018-09-14,256.0,256.85,251.1,251.75,251.75,32312.0
665,2018-09-12,254.95,257.9,252.15,255.9,255.9,34780.0
664,2018-09-11,254.0,256.0,249.05,250.5,250.5,85731.0
663,2018-09-10,257.0,257.0,252.45,253.95,253.95,31382.0
662,2018-09-07,252.7,255.3,251.0,254.3,254.3,27154.0
661,2018-09-06,256.3,256.3,250.65,251.4,251.4,21396.0
660,2018-09-05,257.9,257.9,250.1,251.3,251.3,6634.0
659,2018-09-04,251.45,256.25,251.45,255.1,255.1,20087.0
658,2018-09-03,250.65,258.55,250.1,255.1,255.1,15697.0
657,2018-08-31,252.35,254.0,250.1,252.3,252.3,9855.0
656,2018-08-30,251.05,256.0,250.5,251.75,251.75,8498.0
