,Date,Open,High,Low,Close,Adj Close,Volume
3659,2019-06-14,1335.0,1341.95,1317.1,1320.0,1320.0,489943.0
3658,2019-06-13,1341.0,1342.65,1330.1,1340.1,1340.1,181685.0
3657,2019-06-12,1335.0,1353.15,1335.0,1340.4,1340.4,322799.0
3656,2019-06-11,1348.0,1350.95,1334.45,1340.65,1340.65,296894.0
3655,2019-06-10,1323.95,1348.95,1323.0,1336.65,1336.65,793989.0
3654,2019-06-07,1310.2,1332.5,1310.2,1322.4,1322.4,439082.0
3653,2019-06-06,1304.75,1321.5,1296.35,1312.1,1312.1,489536.0
3652,2019-06-04,1308.0,1314.95,1300.5,1305.7,1305.7,241167.0
3651,2019-06-03,1311.55,1316.15,1302.3,1311.55,1311.55,195008.0
3650,2019-05-31,1316.9,1316.9,1301.25,1306.7,1306.7,380453.0
3649,2019-05-30,1290.95,1315.0,1285.0,1308.2,1308.2,893273.0
3648,2019-05-29,1265.0,1292.35,1265.0,1285.05,1285.05,1029439.0
3647,2019-05-28,1277.1,1281.4,1266.0,1267.5,1267.5,656555.0
3646,2019-05-27,1267.5,1282.1,1262.6,1276.5,1276.5,312272.0
3645,2019-05-24,1282.0,1283.0,1263.85,1268.1,1268.1,542944.0
3644,2019-05-23,1282.05,1296.65,1276.65,1281.75,1281.75,250947.0
3643,2019-05-22,1290.0,1295.5,1271.4,1284.0,1284.0,348272.0
3642,2019-05-21,1268.0,1302.0,1262.6,1292.35,1292.35,677452.0
3641,2019-05-20,1283.0,1283.0,1262.75,1268.6,1268.6,159140.0
3640,2019-05-17,1266.3,1278.4,1260.0,1262.65,1262.65,192411.0
3639,2019-05-16,1260.0,1275.4,1250.0,1268.8,1268.8,363892.0
3638,2019-05-15,1257.0,1267.6,1251.2,1260.0,1260.0,397955.0
3637,2019-05-14,1240.55,1261.7,1240.55,1255.45,1255.45,274716.0
3636,2019-05-13,1242.6,1261.05,1239.5,1248.95,1248.95,484692.0
3635,2019-05-10,1229.0,1252.0,1228.0,1244.7,1244.7,659291.0
3634,2019-05-09,1230.25,1239.1,1228.0,1230.6,1230.6,436832.0
3633,2019-05-08,1245.0,1257.05,1230.1,1237.1,1237.1,770379.0
3632,2019-05-07,1260.0,1267.9,1253.45,1255.85,1255.85,289350.0
3631,2019-05-06,1250.0,1277.45,1249.0,1259.55,1259.55,1032944.0
3630,2019-05-03,1280.0,1280.0,1248.4,1267.55,1267.55,541318.0
3629,2019-05-02,1293.1,1297.0,1272.25,1282.6,1282.6,352665.0
3628,2019-04-30,1315.0,1316.0,1287.0,1293.5,1293.5,385038.0
3627,2019-04-26,1302.0,1321.0,1296.0,1314.0,1314.0,266749.0
3626,2019-04-25,1313.0,1313.0,1296.55,1301.35,1301.35,230304.0
3625,2019-04-24,1301.05,1314.75,1298.8,1309.65,1309.65,152965.0
3624,2019-04-23,1315.1,1318.0,1300.55,1303.65,1303.65,203428.0
3623,2019-04-22,1318.0,1323.0,1306.8,1319.1,1319.1,356884.0
3622,2019-04-18,1309.0,1324.6,1293.25,1314.5,1314.5,721911.0
3621,2019-04-16,1287.5,1305.9,1287.5,1297.05,1297.05,352016.0
3620,2019-04-15,1302.0,1306.7,1288.8,1293.5,1293.5,290446.0
3619,2019-04-12,1299.0,1304.0,1295.0,1297.8,1297.8,250255.0
3618,2019-04-11,1298.1,1304.95,1291.0,1298.45,1298.45,257060.0
3617,2019-04-10,1299.8,1310.75,1293.25,1298.05,1298.05,397548.0
3616,2019-04-09,1302.2,1308.4,1285.7,1298.55,1298.55,610176.0
3615,2019-04-08,1338.8,1345.1,1296.75,1301.7,1301.7,1772598.0
3614,2019-04-05,1326.0,1358.8,1317.0,1348.05,1348.05,744394.0
3613,2019-04-04,1340.35,1341.95,1318.2,1325.65,1325.65,276714.0
3612,2019-04-03,1354.0,1363.8,1333.4,1339.35,1339.35,554965.0
3611,2019-04-02,1335.9,1358.55,1335.9,1351.1,1351.1,900439.0
3610,2019-04-01,1325.0,1346.25,1325.0,1333.95,1333.95,299798.0
3609,2019-03-28,1320.0,1339.2,1320.0,1333.95,1333.95,751348.0
3608,2019-03-27,1314.7,1320.0,1300.8,1315.65,1315.65,329323.0
3607,2019-03-26,1324.4,1324.4,1296.05,1307.15,1307.15,502092.0
3606,2019-03-25,1320.0,1334.25,1313.0,1317.55,1317.55,397612.0
3605,2019-03-22,1333.9,1339.25,1321.1,1326.85,1326.85,401182.0
3604,2019-03-20,1338.9,1357.8,1322.15,1328.0,1328.0,1415086.0
3603,2019-03-19,1322.25,1336.4,1313.85,1332.5,1332.5,417714.0
3602,2019-03-18,1344.7,1344.7,1314.55,1316.55,1316.55,498779.0
3601,2019-03-15,1325.0,1349.0,1322.45,1336.65,1336.65,1669463.0
3600,2019-03-14,1341.0,1341.5,1315.1,1320.15,1320.15,357321.0
3599,2019-03-13,1326.0,1344.1,1323.35,1332.95,1332.95,562307.0
3598,2019-03-12,1329.0,1342.2,1319.15,1325.25,1325.25,640552.0
3597,2019-03-11,1313.0,1332.65,1308.65,1327.8,1327.8,607888.0
3596,2019-03-08,1326.0,1327.05,1308.0,1313.55,1313.55,514052.0
3595,2019-03-07,1324.4,1350.0,1317.1,1323.4,1323.4,1136243.0
3594,2019-03-06,1324.4,1325.9,1307.7,1316.7,1316.7,539597.0
3593,2019-03-05,1323.5,1330.15,1308.1,1313.6,1313.6,409446.0
3592,2019-03-01,1322.3,1333.6,1307.8,1323.4,1323.4,583935.0
3591,2019-02-28,1318.9,1331.4,1313.65,1320.7,1320.7,370015.0
