,Date,Open,High,Low,Close,Adj Close,Volume
4707,2019-06-14,64.1,64.4,63.75,64.0,64.0,449862.0
4706,2019-06-13,64.95,64.95,63.55,64.0,64.0,457561.0
4705,2019-06-12,65.05,65.3,64.15,65.0,65.0,5185510.0
4704,2019-06-11,65.05,65.35,64.85,65.0,65.0,362383.0
4703,2019-06-10,65.45,65.45,64.9,65.05,65.05,133092.0
4702,2019-06-07,66.1,66.1,64.95,65.1,65.1,107400.0
4701,2019-06-06,65.8,66.4,65.05,65.25,65.25,164770.0
4700,2019-06-04,66.1,66.3,65.0,65.8,65.8,204412.0
4699,2019-06-03,65.7,66.3,65.15,66.1,66.1,385433.0
4698,2019-05-31,64.75,65.55,64.0,65.1,65.1,474807.0
4697,2019-05-30,69.9,69.9,64.2,64.65,64.65,1082928.0
4696,2019-05-29,69.85,70.0,68.55,69.05,69.05,136376.0
4695,2019-05-28,70.1,70.75,69.15,69.8,69.8,175955.0
4694,2019-05-27,67.0,70.25,66.6,69.8,69.8,527104.0
4693,2019-05-24,65.4,66.65,64.6,66.3,66.3,194150.0
4692,2019-05-23,65.05,66.3,64.6,64.8,64.8,210742.0
4691,2019-05-22,64.5,65.35,64.15,64.9,64.9,167115.0
4690,2019-05-21,65.85,65.85,64.5,64.85,64.85,143364.0
4689,2019-05-20,66.0,66.65,64.8,65.65,65.65,259356.0
4688,2019-05-17,63.35,64.7,63.35,64.3,64.3,265957.0
4687,2019-05-16,64.0,64.3,63.25,63.95,63.95,360273.0
4686,2019-05-15,65.45,65.45,63.8,64.0,64.0,908421.0
4685,2019-05-14,66.8,66.8,64.7,65.35,65.35,641235.0
4684,2019-05-13,64.35,71.1,64.35,66.95,66.95,521756.0
4683,2019-05-10,65.15,65.4,64.3,64.75,64.75,1285435.0
4682,2019-05-09,65.45,65.45,64.85,65.0,65.0,782214.0
4681,2019-05-08,64.85,65.4,64.0,65.25,65.25,878242.0
4680,2019-05-07,65.0,65.4,64.5,64.8,64.8,688657.0
4679,2019-05-06,65.2,65.3,64.0,65.0,65.0,409274.0
4678,2019-05-03,65.15,65.55,64.8,65.2,65.2,139536.0
4677,2019-05-02,65.55,65.75,64.35,65.05,65.05,796225.0
4676,2019-04-30,67.5,67.5,64.8,65.6,65.6,815212.0
4675,2019-04-26,64.85,68.0,63.2,67.15,67.15,686397.0
4674,2019-04-25,68.45,68.45,63.6,65.2,65.2,3351728.0
4673,2019-04-24,68.3,68.9,67.95,68.1,68.1,1196746.0
4672,2019-04-23,68.1,68.6,68.1,68.5,68.5,323689.0
4671,2019-04-22,68.7,68.75,68.4,68.55,68.55,416836.0
4670,2019-04-18,68.6,68.6,68.1,68.5,68.5,317125.0
4669,2019-04-16,68.1,68.7,67.55,68.5,68.5,324422.0
4668,2019-04-15,67.95,68.0,67.35,67.85,67.85,316598.0
4667,2019-04-12,67.85,68.0,67.15,67.6,67.6,381797.0
4666,2019-04-11,68.4,68.4,67.05,67.45,67.45,611642.0
4665,2019-04-10,68.1,68.3,67.65,68.0,68.0,297854.0
4664,2019-04-09,68.05,68.4,67.65,68.0,68.0,319766.0
4663,2019-04-08,67.8,68.65,67.75,68.0,68.0,378607.0
4662,2019-04-05,68.1,68.25,67.4,67.75,67.75,314844.0
4661,2019-04-04,68.0,68.5,67.05,68.05,68.05,686481.0
4660,2019-04-03,68.9,69.3,67.6,67.95,67.95,538558.0
4659,2019-04-02,69.2,69.5,68.4,68.75,68.75,622105.0
4658,2019-04-01,69.9,70.0,68.3,69.0,69.0,1678050.0
4657,2019-03-28,69.5,70.1,67.65,69.75,69.75,1471150.0
4656,2019-03-27,71.25,71.25,69.1,69.4,69.4,547377.0
4655,2019-03-26,71.5,73.15,70.25,70.55,70.55,1758214.0
4654,2019-03-25,78.75,78.95,77.5,78.0,73.47,1646782.0
4653,2019-03-22,79.75,79.9,78.3,78.6,74.0352,1142208.0
4652,2019-03-20,79.2,80.4,78.95,79.1,74.5061,1046881.0
4651,2019-03-19,79.1,79.4,77.85,78.75,74.1764,1209015.0
4650,2019-03-18,79.6,80.8,77.5,78.05,73.5171,1487925.0
4649,2019-03-15,73.85,80.7,72.7,78.65,74.0823,2280325.0
4648,2019-03-14,70.3,73.9,70.2,73.0,68.7604,762782.0
4647,2019-03-13,72.55,72.8,69.65,69.95,65.8875,829458.0
4646,2019-03-12,71.0,73.4,70.95,72.05,67.8656,556088.0
4645,2019-03-11,68.5,70.85,68.2,70.3,66.2172,623661.0
4644,2019-03-08,68.85,69.0,67.5,67.7,63.7682,376753.0
4643,2019-03-07,69.45,69.65,68.1,68.5,64.5217,377208.0
4642,2019-03-06,67.55,69.45,67.55,68.85,64.8514,802231.0
4641,2019-03-05,63.95,66.65,63.9,66.25,62.4024,945633.0
4640,2019-03-01,61.7,64.2,61.25,62.9,59.247,1002767.0
