,Date,Open,High,Low,Close,Adj Close,Volume
2134,2019-06-14,528.9,529.0,498.9,515.65,515.65,276101.0
2133,2019-06-13,528.0,535.0,525.0,528.3,528.3,253929.0
2132,2019-06-12,536.0,547.45,526.1,530.45,530.45,159792.0
2131,2019-06-11,541.5,544.9,534.3,539.4,539.4,161129.0
2130,2019-06-10,537.15,545.0,532.95,543.7,543.7,107292.0
2129,2019-06-07,543.0,549.0,526.95,535.15,535.15,205153.0
2128,2019-06-06,559.6,564.05,531.15,538.7,538.7,302537.0
2127,2019-06-04,560.0,569.9,552.3,555.35,555.35,211685.0
2126,2019-06-03,561.65,565.0,548.2,560.2,560.2,381440.0
2125,2019-05-31,565.65,565.95,551.15,561.55,561.55,273506.0
2124,2019-05-30,558.95,565.35,548.7,563.55,563.55,171585.0
2123,2019-05-29,566.4,572.2,552.0,559.05,559.05,972701.0
2122,2019-05-28,571.5,571.95,552.25,563.9,563.9,1062472.0
2121,2019-05-27,554.0,578.0,553.55,567.8,567.8,431259.0
2120,2019-05-24,542.9,557.1,536.5,553.35,553.35,310617.0
2119,2019-05-23,559.3,571.8,526.0,533.15,533.15,514194.0
2118,2019-05-22,553.15,565.45,549.0,555.65,555.65,159185.0
2117,2019-05-21,568.8,574.55,545.15,555.45,555.45,313595.0
2116,2019-05-20,537.0,573.0,525.85,566.6,566.6,1540037.0
2115,2019-05-17,522.0,527.5,517.0,525.6,525.6,125976.0
2114,2019-05-16,530.0,539.05,517.4,522.9,522.9,152812.0
2113,2019-05-15,514.0,533.9,512.05,529.65,529.65,329892.0
2112,2019-05-14,539.05,541.9,505.0,509.05,509.05,490570.0
2111,2019-05-13,518.0,549.0,516.95,537.75,537.75,1069068.0
2110,2019-05-10,513.4,529.4,510.45,522.65,522.65,960829.0
2109,2019-05-09,491.0,507.7,487.05,502.65,502.65,229855.0
2108,2019-05-08,517.25,520.55,489.0,492.35,492.35,506732.0
2107,2019-05-07,524.0,528.85,516.0,521.25,521.25,151283.0
2106,2019-05-06,520.0,533.05,513.05,521.75,521.75,486185.0
2105,2019-05-03,518.8,525.9,516.55,523.45,523.45,502496.0
2104,2019-05-02,509.5,517.95,505.0,515.55,515.55,410808.0
2103,2019-04-30,518.7,518.7,490.2,507.3,507.3,559389.0
2102,2019-04-26,537.7,542.0,515.0,518.6,518.6,431895.0
2101,2019-04-25,528.0,539.3,524.15,534.15,534.15,661742.0
2100,2019-04-24,526.95,526.95,520.0,522.3,522.3,140844.0
2099,2019-04-23,533.4,539.0,525.0,526.95,526.95,168982.0
2098,2019-04-22,551.4,554.45,528.05,530.35,530.35,219012.0
2097,2019-04-18,577.95,577.95,545.5,549.2,549.2,434047.0
2096,2019-04-16,600.0,600.0,573.5,576.9,576.9,315848.0
2095,2019-04-15,590.55,608.25,582.35,597.8,597.8,1575206.0
2094,2019-04-12,568.8,591.3,566.65,586.9,586.9,1413624.0
2093,2019-04-11,564.85,578.0,562.55,567.85,567.85,1062406.0
2092,2019-04-10,541.5,572.8,541.0,564.85,564.85,842142.0
2091,2019-04-09,538.55,543.95,525.1,541.9,541.9,183487.0
2090,2019-04-08,538.0,550.0,523.55,537.4,537.4,487974.0
2089,2019-04-05,534.7,554.0,534.7,537.8,537.8,719680.0
2088,2019-04-04,539.0,541.45,527.75,534.7,534.7,229343.0
2087,2019-04-03,549.8,553.0,532.5,538.0,538.0,318284.0
2086,2019-04-02,537.0,553.0,533.75,547.2,547.2,978174.0
2085,2019-04-01,526.4,535.0,521.0,531.95,531.95,340540.0
2084,2019-03-28,524.05,541.95,521.6,532.0,532.0,512934.0
2083,2019-03-27,524.9,527.0,515.3,523.35,523.35,569757.0
2082,2019-03-26,514.9,524.0,514.4,521.0,521.0,420654.0
2081,2019-03-25,513.5,525.0,504.05,512.55,512.55,2375072.0
2080,2019-03-22,498.0,523.6,498.0,516.65,516.65,2120562.0
2079,2019-03-20,497.9,504.9,492.3,496.85,496.85,298907.0
2078,2019-03-19,505.2,511.95,491.55,495.3,495.3,828410.0
2077,2019-03-18,489.0,502.9,488.25,499.9,499.9,1166941.0
2076,2019-03-15,481.95,491.1,480.95,487.5,487.5,307080.0
2075,2019-03-14,485.8,486.6,476.4,478.35,478.35,337753.0
2074,2019-03-13,486.4,492.0,480.2,481.35,481.35,1269466.0
2073,2019-03-12,482.7,494.8,480.0,483.7,483.7,524145.0
2072,2019-03-11,482.6,486.7,475.25,477.55,477.55,276901.0
2071,2019-03-08,477.4,486.45,470.3,480.6,480.6,471370.0
2070,2019-03-07,482.2,484.8,475.05,477.0,477.0,168153.0
2069,2019-03-06,487.05,493.75,480.0,481.15,481.15,363816.0
2068,2019-03-05,487.5,495.0,483.0,485.9,485.9,466480.0
2067,2019-03-01,498.2,501.25,484.0,486.35,486.35,354204.0
2066,2019-02-28,500.75,507.8,492.6,495.35,495.35,280970.0
2065,2019-02-27,492.25,509.45,487.0,497.65,497.65,528175.0
2064,2019-02-26,482.0,495.0,468.05,493.15,493.15,687506.0
2063,2019-02-25,520.05,525.0,481.0,488.15,488.15,1699463.0
2062,2019-02-22,489.0,510.0,489.0,503.1,503.1,1439111.0
2061,2019-02-21,483.0,489.95,477.95,486.7,486.7,2074915.0
2060,2019-02-20,488.0,492.95,472.55,481.0,481.0,538920.0
2059,2019-02-19,496.1,509.0,480.0,484.75,484.75,1327632.0
2058,2019-02-18,469.95,496.7,469.0,488.75,488.75,813729.0
2057,2019-02-15,458.95,474.0,456.1,467.95,467.95,216540.0
2056,2019-02-14,457.0,461.95,450.05,457.85,457.85,118138.0
2055,2019-02-12,444.65,455.8,443.0,445.3,445.3,529202.0
2054,2019-02-11,442.0,448.7,439.95,441.8,441.8,62339.0
2053,2019-02-08,452.8,464.0,436.25,444.6,444.6,758807.0
2052,2019-02-07,452.2,460.1,449.8,451.5,451.5,152581.0
2051,2019-02-06,451.0,463.7,448.0,449.5,449.5,357971.0
2050,2019-02-05,454.0,457.1,445.55,448.25,448.25,69161.0
2049,2019-02-04,458.0,465.55,451.05,454.3,454.3,234707.0
2048,2019-02-01,450.5,474.95,443.95,454.2,454.2,666607.0
2047,2019-01-31,437.5,448.0,434.5,444.65,444.65,211627.0
2046,2019-01-30,445.95,445.95,432.05,433.3,433.3,198099.0
2045,2019-01-29,447.0,450.0,442.6,444.45,444.45,83575.0
2044,2019-01-28,459.95,462.8,446.25,448.1,448.1,131400.0
2043,2019-01-25,474.0,477.0,451.85,457.3,457.3,638118.0
2042,2019-01-24,445.5,478.35,445.5,471.7,471.7,1096773.0
2041,2019-01-23,448.75,448.75,436.25,440.2,440.2,393172.0
2040,2019-01-22,442.0,449.8,441.1,447.75,447.75,374527.0
2039,2019-01-21,449.95,450.0,440.05,445.1,445.1,221923.0
2038,2019-01-18,463.9,463.95,446.05,449.85,449.85,619559.0
2037,2019-01-17,453.9,462.8,452.15,460.25,460.25,620582.0
2036,2019-01-16,454.0,460.9,450.6,453.75,453.75,216001.0
2035,2019-01-15,445.7,464.0,445.45,452.3,452.3,540050.0
2034,2019-01-14,451.85,452.0,438.4,443.9,443.9,149033.0
2033,2019-01-11,460.35,461.4,450.05,452.4,452.4,99363.0
2032,2019-01-10,459.4,467.85,453.2,460.05,460.05,309824.0
2031,2019-01-09,454.95,459.7,448.0,457.65,457.65,160252.0
2030,2019-01-08,461.25,469.4,448.6,451.85,451.85,317297.0
2029,2019-01-07,466.15,478.0,455.15,457.55,457.55,542900.0
2028,2019-01-04,451.0,465.0,447.25,463.35,463.35,343653.0
2027,2019-01-03,450.2,454.9,445.3,448.6,448.6,127886.0
2026,2019-01-02,453.0,466.0,441.0,447.45,447.45,389093.0
2025,2019-01-01,444.9,457.9,442.25,454.7,454.7,312694.0
2024,2018-12-31,455.3,461.95,438.4,440.85,440.85,256403.0
2023,2018-12-28,457.0,461.45,449.75,451.3,451.3,119046.0
2022,2018-12-27,448.0,459.4,446.1,450.85,450.85,164909.0
2021,2018-12-26,447.1,454.4,436.25,446.8,446.8,71505.0
2020,2018-12-24,452.05,456.8,437.5,452.3,452.3,165248.0
2019,2018-12-21,474.4,474.4,451.0,452.35,452.35,215192.0
2018,2018-12-20,484.45,484.95,472.25,475.6,475.6,73442.0
2017,2018-12-19,484.95,486.45,476.0,480.65,480.65,114216.0
2016,2018-12-18,479.0,492.0,476.15,483.45,483.45,812837.0
2015,2018-12-17,479.7,483.95,470.6,476.85,476.85,213555.0
2014,2018-12-14,478.0,486.5,471.3,476.75,476.75,152261.0
2013,2018-12-13,467.05,481.0,467.05,474.3,474.3,348684.0
2012,2018-12-12,452.0,471.0,451.9,467.05,467.05,431883.0
2011,2018-12-11,455.05,459.95,443.6,448.15,448.15,293914.0
2010,2018-12-10,472.5,476.45,460.0,462.35,462.35,409417.0
2009,2018-12-07,480.0,487.0,471.1,477.45,477.45,792832.0
2008,2018-12-06,465.8,479.3,445.55,475.55,475.55,397293.0
2007,2018-12-05,478.9,478.9,462.05,466.85,466.85,282800.0
2006,2018-12-04,471.8,486.15,455.0,479.7,479.7,337775.0
2005,2018-12-03,449.9,477.9,449.9,472.0,472.0,1250723.0
2004,2018-11-30,428.2,459.8,428.2,446.3,446.3,943123.0
2003,2018-11-29,412.35,435.0,412.35,430.15,430.15,1255825.0
2002,2018-11-28,425.0,426.75,412.1,414.75,414.75,439309.0
2001,2018-11-27,425.05,435.0,421.85,425.95,425.95,553794.0
2000,2018-11-26,427.65,431.95,423.65,427.6,427.6,159651.0
1999,2018-11-22,427.95,428.9,421.6,425.05,425.05,87800.0
1998,2018-11-21,423.6,430.15,415.55,425.4,425.4,445063.0
1997,2018-11-20,424.0,427.0,414.95,421.6,421.6,137844.0
1996,2018-11-19,415.0,437.4,415.0,422.1,422.1,359294.0
1995,2018-11-16,408.0,419.4,406.0,412.8,412.8,363034.0
1994,2018-11-15,398.4,412.0,388.45,405.8,405.8,363262.0
1993,2018-11-14,405.8,406.65,390.1,395.95,395.95,725346.0
1992,2018-11-13,410.95,414.95,400.5,403.2,403.2,243153.0
1991,2018-11-12,418.75,419.55,405.05,409.35,409.35,477360.0
1990,2018-11-09,442.5,451.95,415.0,418.75,418.75,598831.0
1989,2018-11-07,442.9,443.0,438.0,440.15,440.15,36152.0
1988,2018-11-06,439.5,443.45,433.4,439.6,439.6,392795.0
1987,2018-11-05,426.0,438.3,425.25,434.5,434.5,182158.0
1986,2018-11-02,432.0,434.95,425.0,427.35,427.35,235993.0
1985,2018-11-01,424.85,439.4,423.5,429.35,429.35,344204.0
1984,2018-10-31,427.5,433.0,418.6,423.35,423.35,245033.0
1983,2018-10-30,424.2,440.0,423.0,424.9,424.9,316858.0
1982,2018-10-29,420.3,428.5,418.3,423.6,423.6,166303.0
1981,2018-10-26,423.45,429.95,410.05,422.85,422.85,166448.0
1980,2018-10-25,425.0,431.0,415.4,420.05,420.05,394838.0
1979,2018-10-24,395.2,439.95,395.2,432.5,432.5,1126182.0
1978,2018-10-23,381.4,408.8,375.05,394.55,394.55,689609.0
1977,2018-10-22,373.3,384.5,373.3,380.25,380.25,527126.0
1976,2018-10-19,376.95,378.3,366.1,373.25,373.25,140688.0
1975,2018-10-17,378.7,382.0,373.25,375.15,375.15,1322576.0
1974,2018-10-16,381.5,387.6,373.1,375.3,375.3,349684.0
1973,2018-10-15,385.0,388.6,378.0,380.45,380.45,314778.0
1972,2018-10-12,375.35,389.7,370.45,385.35,385.35,444732.0
1971,2018-10-11,362.2,372.95,357.0,369.85,369.85,127079.0
1970,2018-10-10,372.2,384.75,371.0,375.05,375.05,444400.0
1969,2018-10-09,375.6,388.5,362.45,375.7,375.7,435713.0
1968,2018-10-08,390.0,390.0,361.55,377.95,377.95,2039774.0
1967,2018-10-05,391.0,397.45,351.35,390.0,390.0,1357452.0
1966,2018-10-04,390.2,400.0,385.25,395.35,395.35,476921.0
1965,2018-10-03,403.0,408.1,389.05,399.95,399.95,1856871.0
1964,2018-10-01,401.0,413.55,396.1,403.8,403.8,1252856.0
1963,2018-09-28,415.55,418.3,398.4,405.6,405.6,547020.0
1962,2018-09-27,419.95,424.95,412.6,416.95,416.95,337223.0
1961,2018-09-26,409.0,424.8,401.85,416.8,416.8,297992.0
1960,2018-09-25,406.45,424.8,397.45,406.0,406.0,808757.0
1959,2018-09-24,427.55,429.4,395.1,406.45,406.45,817859.0
1958,2018-09-21,454.95,459.95,424.0,431.85,431.85,604687.0
1957,2018-09-19,464.95,464.95,450.05,452.95,452.95,193719.0
1956,2018-09-18,469.0,475.45,457.0,460.95,460.95,209119.0
1955,2018-09-17,469.95,474.0,462.0,470.1,470.1,177154.0
1954,2018-09-14,448.5,473.5,448.5,469.45,469.45,568859.0
1953,2018-09-12,452.4,455.0,442.85,449.15,449.15,104832.0
1952,2018-09-11,454.95,458.55,450.8,455.15,455.15,256998.0
1951,2018-09-10,454.0,458.0,448.7,452.25,452.25,276636.0
1950,2018-09-07,445.0,454.0,445.0,452.2,452.2,77584.0
1949,2018-09-06,447.05,454.0,444.1,447.3,447.3,107453.0
1948,2018-09-05,447.8,447.8,433.3,442.55,442.55,551457.0
1947,2018-09-04,455.7,462.05,444.0,452.6,452.6,442748.0
1946,2018-09-03,439.5,463.0,432.1,455.65,455.65,605164.0
1945,2018-08-31,453.2,459.0,435.5,440.85,440.85,838029.0
1944,2018-08-30,458.1,459.8,452.5,453.05,453.05,240103.0
1943,2018-08-29,460.0,466.5,455.0,456.65,456.65,175189.0
1942,2018-08-28,466.55,470.2,454.0,460.45,460.45,538681.0
1941,2018-08-27,470.0,474.95,466.15,468.95,468.95,140321.0
1940,2018-08-24,467.0,474.5,467.0,468.85,468.85,146764.0
1939,2018-08-23,478.75,478.75,466.05,469.7,469.7,189464.0
1938,2018-08-21,476.7,489.0,472.25,475.2,475.2,177958.0
1937,2018-08-20,477.0,482.8,471.1,479.65,479.65,312183.0
1936,2018-08-17,474.3,478.8,469.2,474.85,474.85,113875.0
1935,2018-08-16,475.05,479.95,467.0,469.75,469.75,133124.0
1934,2018-08-14,482.0,486.9,472.1,478.9,478.9,169381.0
1933,2018-08-13,480.85,493.0,475.15,481.7,481.7,220209.0
1932,2018-08-10,479.4,487.0,476.0,483.95,483.95,545258.0
1931,2018-08-09,479.5,483.45,471.55,476.6,476.6,196839.0
1930,2018-08-08,473.5,483.0,472.55,479.25,479.25,164292.0
1929,2018-08-07,482.8,483.8,473.0,475.95,475.95,107088.0
1928,2018-08-06,486.0,489.95,478.2,481.15,481.15,70893.0
1927,2018-08-03,482.5,486.65,482.05,484.55,484.55,101650.0
1926,2018-08-02,488.0,491.0,479.05,481.55,481.55,75419.0
1925,2018-08-01,495.0,497.05,481.55,488.15,488.15,363389.0
1924,2018-07-31,509.5,514.95,487.8,496.1,496.1,1049197.0
1923,2018-07-30,484.0,497.3,481.5,490.8,490.8,286110.0
1922,2018-07-27,482.35,486.4,476.25,480.35,480.35,255701.0
1921,2018-07-26,465.9,480.7,465.2,479.5,479.5,196849.0
1920,2018-07-25,474.0,477.85,460.5,463.4,463.4,249270.0
1919,2018-07-24,482.75,483.5,472.5,476.15,476.15,123801.0
1918,2018-07-23,488.0,488.95,476.9,482.75,482.75,376169.0
1917,2018-07-20,467.65,488.1,465.05,486.8,486.8,762846.0
1916,2018-07-19,460.2,470.9,450.5,465.35,465.35,252160.0
1915,2018-07-18,467.65,467.65,453.6,457.4,457.4,147214.0
1914,2018-07-17,460.4,478.0,456.5,464.2,464.2,324327.0
1913,2018-07-16,478.7,478.8,456.1,461.45,461.45,221349.0
1912,2018-07-13,476.5,485.0,473.2,476.7,476.7,355227.0
1911,2018-07-12,494.95,494.95,472.55,476.0,476.0,192811.0
1910,2018-07-11,488.7,494.9,486.25,489.1,489.1,190414.0
1909,2018-07-10,475.1,493.0,475.1,489.55,489.55,423612.0
1908,2018-07-09,461.0,474.5,461.0,473.25,473.25,364250.0
1907,2018-07-06,460.95,469.9,452.25,460.0,460.0,531853.0
1906,2018-07-05,468.1,484.75,453.0,457.55,457.55,497062.0
1905,2018-07-04,476.95,476.95,466.15,471.85,471.85,157423.0
1904,2018-07-03,470.7,480.0,466.0,476.5,476.5,291741.0
1903,2018-07-02,477.05,484.5,468.05,475.75,475.75,741589.0
1902,2018-06-29,463.0,481.8,461.1,477.35,477.35,506445.0
1901,2018-06-28,461.95,466.8,452.0,459.5,459.5,310030.0
1900,2018-06-27,464.0,472.5,455.0,462.95,462.95,518006.0
1899,2018-06-26,480.1,483.4,462.2,465.6,465.6,432114.0
1898,2018-06-25,501.0,502.0,472.55,483.0,483.0,377617.0
1897,2018-06-22,504.3,505.45,495.0,499.85,499.85,422634.0
1896,2018-06-21,501.55,505.6,498.25,501.2,501.2,353000.0
1895,2018-06-20,513.0,513.0,501.05,503.7,503.7,180812.0
1894,2018-06-19,510.0,511.85,499.35,505.0,505.0,360855.0
1893,2018-06-18,504.5,512.5,500.5,510.2,510.2,208683.0
1892,2018-06-15,507.5,509.5,496.65,505.1,505.1,181766.0
1891,2018-06-14,527.0,527.0,506.1,508.65,508.65,581951.0
1890,2018-06-13,511.7,535.5,511.7,527.4,527.4,460088.0
1889,2018-06-12,510.0,513.1,508.05,511.65,511.65,89830.0
1888,2018-06-11,515.8,518.85,506.1,510.55,510.55,100249.0
1887,2018-06-08,510.1,519.95,510.1,514.1,514.1,49833.0
1886,2018-06-07,510.0,524.7,510.0,515.1,515.1,280118.0
1885,2018-06-06,495.0,512.5,490.05,509.15,509.15,209097.0
1884,2018-06-05,508.8,518.0,495.75,501.55,501.55,271349.0
1883,2018-06-04,512.15,514.4,505.0,508.35,508.35,148635.0
1882,2018-06-01,503.55,514.7,503.0,509.6,509.6,223358.0
1881,2018-05-31,512.0,515.95,505.35,506.95,506.95,125955.0
1880,2018-05-30,506.05,519.5,502.55,511.35,509.35,203407.0
1879,2018-05-29,511.0,515.0,505.05,511.85,509.8481,100323.0
1878,2018-05-28,507.4,520.0,504.0,511.75,509.7484,245925.0
1877,2018-05-25,502.4,505.0,491.0,502.4,500.435,338072.0
1876,2018-05-24,504.95,505.0,488.05,498.55,496.6001,244579.0
1875,2018-05-23,512.0,512.0,495.0,499.7,497.7456,315337.0
1874,2018-05-22,516.2,522.0,501.2,512.0,509.9975,270519.0
1873,2018-05-21,521.6,548.3,510.1,516.2,514.181,325398.0
1872,2018-05-18,526.9,534.4,512.0,524.7,522.6478,241254.0
1871,2018-05-17,534.85,538.9,524.95,526.9,524.8392,81132.0
1870,2018-05-16,535.4,549.9,525.25,530.85,528.7737,168758.0
1869,2018-05-15,555.0,575.0,526.55,531.4,529.3216,290912.0
1868,2018-05-14,529.9,567.5,525.75,555.85,553.676,719479.0
1867,2018-05-11,536.8,536.8,526.0,529.4,527.3294,96393.0
1866,2018-05-10,536.95,542.4,526.0,534.55,532.4592,618803.0
1865,2018-05-09,516.4,543.6,513.1,537.65,535.5472,693898.0
1864,2018-05-08,520.8,522.8,511.55,516.65,514.6293,356431.0
1863,2018-05-07,517.05,527.5,515.1,518.25,516.223,331001.0
1862,2018-05-04,519.5,529.5,509.0,514.5,512.4877,371217.0
1861,2018-05-03,543.7,545.6,514.5,520.3,518.265,271526.0
1860,2018-05-02,552.7,561.0,534.4,541.5,539.3821,964679.0
1859,2018-04-30,550.45,572.6,543.95,549.5,547.3508,689827.0
1858,2018-04-27,552.0,560.7,540.3,546.3,544.1633,245555.0
1857,2018-04-26,573.5,579.55,543.0,550.75,548.5959,657378.0
1856,2018-04-25,569.0,592.8,557.0,569.2,566.9738,1048556.0
1855,2018-04-24,594.15,610.0,560.5,567.05,564.8322,1780471.0
1854,2018-04-23,525.9,592.0,525.9,577.15,574.8927,2314914.0
1853,2018-04-20,516.0,529.3,512.0,521.25,519.2113,542235.0
1852,2018-04-19,514.0,524.4,514.0,516.9,514.8784,633525.0
1851,2018-04-18,516.0,521.9,508.5,513.0,510.9936,213189.0
1850,2018-04-17,516.0,526.0,507.05,513.05,511.0433,286622.0
