,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,168.95,171.0,168.45,169.3,169.3,7153427.0
4873,2019-06-13,168.8,170.2,167.0,168.95,168.95,6678515.0
4872,2019-06-12,168.05,171.45,166.0,170.85,170.85,9478876.0
4871,2019-06-11,164.85,170.35,164.85,169.25,169.25,11282418.0
4870,2019-06-10,168.1,169.0,163.2,164.65,164.65,10866149.0
4869,2019-06-07,169.6,170.1,166.55,167.5,167.5,5052519.0
4868,2019-06-06,170.5,172.1,168.85,169.4,169.4,14152285.0
4867,2019-06-04,172.9,173.5,170.05,170.6,170.6,8578302.0
4866,2019-06-03,173.0,173.2,167.5,172.15,172.15,17756361.0
4865,2019-05-31,168.0,173.95,166.55,171.95,171.95,17113729.0
4864,2019-05-30,172.0,172.0,167.55,169.45,169.45,21945960.0
4863,2019-05-29,173.9,174.65,170.35,171.55,171.55,7205487.0
4862,2019-05-28,173.15,176.4,171.6,175.3,175.3,16628505.0
4861,2019-05-27,174.0,175.2,172.55,173.65,173.65,7461458.0
4860,2019-05-24,174.0,175.9,168.8,174.4,174.4,9263195.0
4859,2019-05-23,178.5,178.9,173.0,174.15,174.15,9247879.0
4858,2019-05-22,174.85,178.0,174.15,177.0,177.0,10347293.0
4857,2019-05-21,175.1,176.5,173.8,174.75,174.75,7135887.0
4856,2019-05-20,170.0,176.6,169.1,176.0,176.0,7103649.0
4855,2019-05-17,166.5,168.0,162.1,167.35,167.35,5532072.0
4854,2019-05-16,163.4,166.9,162.0,165.95,165.95,5197438.0
4853,2019-05-15,164.6,165.2,161.8,162.75,162.75,5412275.0
4852,2019-05-14,162.0,165.4,160.85,164.15,164.15,7268915.0
4851,2019-05-13,167.2,167.9,163.0,164.1,164.1,7792358.0
4850,2019-05-10,168.4,169.4,165.7,166.3,166.3,6195094.0
4849,2019-05-09,167.4,170.1,167.4,169.4,169.4,6869953.0
4848,2019-05-08,171.4,171.4,167.75,168.9,168.9,8603091.0
4847,2019-05-07,170.4,172.5,168.6,171.7,171.7,9042790.0
4846,2019-05-06,170.0,171.7,168.15,170.15,170.15,18962836.0
4845,2019-05-03,168.85,171.9,168.7,170.25,170.25,12720120.0
4844,2019-05-02,169.3,172.0,168.4,168.9,168.9,22056708.0
4843,2019-04-30,168.0,171.15,166.15,169.2,169.2,9844317.0
4842,2019-04-26,169.5,169.95,167.9,168.4,168.4,8708111.0
