,Date,Open,High,Low,Close,Adj Close,Volume
4194,2019-06-14,90.6,93.0,90.2,91.35,91.35,2981687.0
4193,2019-06-13,91.9,92.4,88.75,90.95,90.95,3553378.0
4192,2019-06-12,92.0,93.45,91.2,92.85,92.85,3468517.0
4191,2019-06-11,91.15,92.45,89.6,91.85,91.85,3974705.0
4190,2019-06-10,92.5,94.4,89.75,90.8,90.8,4961616.0
4189,2019-06-07,94.3,95.15,90.6,91.4,91.4,6747566.0
4188,2019-06-06,102.0,102.25,93.5,94.4,94.4,8865681.0
4187,2019-06-04,98.0,106.95,97.2,100.9,100.9,15474905.0
4186,2019-06-03,99.6,99.85,96.55,98.15,98.15,3254620.0
4185,2019-05-31,102.75,103.0,98.05,99.3,99.3,4402557.0
4184,2019-05-30,101.9,103.3,99.7,101.5,101.5,2270881.0
4183,2019-05-29,103.5,103.5,100.9,102.15,102.15,2802971.0
4182,2019-05-28,105.35,105.8,102.55,103.6,103.6,3645665.0
4181,2019-05-27,101.0,106.5,100.85,105.35,105.35,4932582.0
4180,2019-05-24,96.5,102.5,96.1,101.65,101.65,5206436.0
4179,2019-05-23,99.9,102.2,95.4,96.1,96.1,7409672.0
4178,2019-05-22,95.6,97.3,93.65,96.8,96.8,3973710.0
4177,2019-05-21,97.9,98.05,93.95,95.2,95.2,4544700.0
4176,2019-05-20,94.0,97.0,91.75,95.9,95.9,4668162.0
4175,2019-05-17,89.7,91.15,88.4,89.95,89.95,3308445.0
4174,2019-05-16,90.3,90.8,87.7,89.4,89.4,3680731.0
4173,2019-05-15,94.6,94.6,89.7,90.2,90.2,4567579.0
4172,2019-05-14,91.75,95.95,89.55,94.05,94.05,7436213.0
4171,2019-05-13,95.2,97.6,90.5,92.0,92.0,16522058.0
4170,2019-05-10,92.0,96.7,92.0,95.6,95.6,4259081.0
4169,2019-05-09,91.4,93.15,90.85,92.1,92.1,2268613.0
4168,2019-05-08,91.95,93.7,91.05,91.75,91.75,2563063.0
4167,2019-05-07,95.5,96.7,91.55,92.05,92.05,1957736.0
4166,2019-05-06,96.7,97.2,94.7,95.25,95.25,1689608.0
4165,2019-05-03,97.2,98.85,96.25,97.3,97.3,3052081.0
4164,2019-05-02,96.0,98.9,95.4,97.2,97.2,3132902.0
