,Date,Open,High,Low,Close,Adj Close,Volume
1456,2019-06-14,111.3,112.95,108.45,109.05,109.05,91291.0
1455,2019-06-13,115.0,115.9,111.2,112.9,112.9,73890.0
1454,2019-06-12,114.95,116.95,114.4,115.3,115.3,65047.0
1453,2019-06-11,110.35,116.5,110.35,114.95,114.95,144109.0
1452,2019-06-10,117.0,117.75,108.55,109.9,109.9,180478.0
1451,2019-06-07,114.95,117.85,112.5,116.05,116.05,159941.0
1450,2019-06-06,119.0,119.6,114.0,114.95,114.95,158806.0
1449,2019-06-04,119.0,121.5,118.2,119.0,119.0,155684.0
1448,2019-06-03,117.6,120.0,115.3,118.95,118.95,128738.0
1447,2019-05-31,120.5,121.65,116.15,116.8,116.8,178718.0
1446,2019-05-30,118.7,122.75,118.5,119.45,119.45,321449.0
1445,2019-05-29,119.85,120.65,115.8,117.7,117.7,149362.0
1444,2019-05-28,121.7,124.0,117.75,119.2,119.2,294215.0
1443,2019-05-27,120.2,123.8,120.2,120.9,120.9,294829.0
1442,2019-05-24,112.8,123.9,112.8,120.45,120.45,1142858.0
1441,2019-05-23,115.45,117.6,111.1,112.3,112.3,571072.0
1440,2019-05-22,112.25,115.5,110.55,112.65,112.65,404027.0
1439,2019-05-21,112.6,116.35,111.0,112.05,112.05,1472045.0
1438,2019-05-20,107.8,112.45,103.8,111.35,111.35,505646.0
1437,2019-05-17,102.4,104.2,100.5,101.9,101.9,121580.0
1436,2019-05-16,101.9,102.75,101.2,101.55,101.55,60178.0
1435,2019-05-15,103.0,103.8,99.9,101.1,101.1,149404.0
1434,2019-05-14,99.4,104.0,97.55,101.85,101.85,299318.0
1433,2019-05-13,107.7,108.25,97.55,99.4,99.4,164922.0
1432,2019-05-10,108.25,109.4,107.05,107.7,107.7,203500.0
1431,2019-05-09,108.15,110.8,106.5,107.5,107.5,245034.0
1430,2019-05-08,109.3,110.95,106.35,108.15,108.15,396171.0
1429,2019-05-07,106.45,114.6,106.45,109.4,109.4,1236249.0
1428,2019-05-06,105.75,107.7,105.15,105.8,105.8,163199.0
1427,2019-05-03,107.9,109.9,106.5,108.05,108.05,388563.0
1426,2019-05-02,106.5,109.9,104.0,107.7,107.7,661377.0
1425,2019-04-30,115.5,116.4,105.25,106.65,106.65,2388803.0
1424,2019-04-26,99.3,103.9,98.35,101.5,101.5,470147.0
1423,2019-04-25,94.5,103.75,93.45,98.55,98.55,902749.0
1422,2019-04-24,88.8,94.9,88.8,93.8,93.8,130746.0
1421,2019-04-23,89.65,92.05,88.05,88.8,88.8,53792.0
1420,2019-04-22,95.0,95.05,88.85,90.9,90.9,55044.0
1419,2019-04-18,92.5,96.75,92.5,94.35,94.35,75905.0
1418,2019-04-16,93.5,94.55,93.1,93.85,93.85,38866.0
1417,2019-04-15,93.75,95.5,92.7,93.75,93.75,44602.0
1416,2019-04-12,94.1,95.25,93.15,93.85,93.85,48833.0
1415,2019-04-11,94.5,96.5,93.1,94.9,94.9,225172.0
1414,2019-04-10,93.1,96.3,92.6,93.65,93.65,63093.0
1413,2019-04-09,98.0,98.8,94.6,95.3,95.3,119506.0
1412,2019-04-08,96.0,98.3,93.3,97.05,97.05,389101.0
1411,2019-04-05,94.0,96.25,90.15,92.8,92.8,695991.0
1410,2019-04-04,85.0,94.3,84.9,93.15,93.15,875037.0
1409,2019-04-03,82.0,87.5,81.9,85.1,85.1,389797.0
1408,2019-04-02,82.95,82.95,81.3,81.6,81.6,91627.0
1407,2019-04-01,81.25,85.5,81.25,82.35,82.35,982602.0
1406,2019-03-28,82.2,83.5,80.55,81.85,81.85,52899.0
1405,2019-03-27,84.95,86.0,81.6,82.1,82.1,130698.0
1404,2019-03-26,86.05,87.05,83.9,84.35,84.35,44399.0
1403,2019-03-25,88.0,88.05,84.8,85.15,85.15,52799.0
1402,2019-03-22,86.6,91.0,86.35,88.0,88.0,75642.0
1401,2019-03-20,87.4,88.45,85.95,87.3,87.3,30513.0
1400,2019-03-19,87.4,89.85,86.0,87.2,87.2,83443.0
1399,2019-03-18,88.4,88.55,86.55,87.4,87.4,33285.0
1398,2019-03-15,86.6,88.5,85.25,87.2,87.2,45363.0
1397,2019-03-14,88.3,90.15,86.15,87.2,87.2,62824.0
1396,2019-03-13,88.0,91.75,86.7,88.95,88.95,72813.0
1395,2019-03-12,88.6,92.4,87.6,88.5,88.5,179435.0
1394,2019-03-11,79.85,89.95,79.85,88.6,88.6,363014.0
1393,2019-03-08,81.95,82.2,79.1,79.8,79.8,43111.0
1392,2019-03-07,81.0,83.4,81.0,81.35,81.35,55410.0
1391,2019-03-06,84.0,84.0,79.7,81.05,81.05,76103.0
1390,2019-03-05,76.2,82.5,71.5,80.8,80.8,161216.0
1389,2019-03-01,70.05,75.0,70.0,74.85,74.85,94895.0
1388,2019-02-28,72.45,73.4,69.0,69.8,69.8,45997.0
1387,2019-02-27,70.0,75.6,69.2,72.1,72.1,120675.0
1386,2019-02-26,70.0,72.0,67.6,68.9,68.9,113107.0
1385,2019-02-25,70.85,73.0,70.05,71.1,71.1,33521.0
1384,2019-02-22,68.85,70.6,68.5,70.15,70.15,27867.0
1383,2019-02-21,68.5,69.2,67.0,68.7,68.7,43490.0
1382,2019-02-20,65.65,67.95,65.65,67.15,67.15,12855.0
1381,2019-02-19,66.3,69.4,65.5,66.2,66.2,20293.0
1380,2019-02-18,67.9,68.5,65.65,66.3,66.3,12662.0
1379,2019-02-15,65.55,67.85,65.55,67.0,67.0,29514.0
1378,2019-02-14,66.0,66.55,64.6,65.9,65.9,25726.0
1377,2019-02-12,65.05,69.7,65.05,68.6,68.6,24081.0
