,Date,Open,High,Low,Close,Adj Close,Volume
1592,2019-06-14,63.0,66.45,56.0,58.6,58.6,46789736.0
1591,2019-06-13,61.55,63.35,59.6,61.85,61.85,35817205.0
1590,2019-06-12,61.5,64.8,59.45,62.15,62.15,52005973.0
1589,2019-06-11,54.5,64.0,51.2,61.4,61.4,98031140.0
1588,2019-06-10,61.0,61.5,54.0,55.7,55.7,42770459.0
1587,2019-06-07,68.0,68.85,60.3,62.4,62.4,32780219.0
1586,2019-06-06,73.0,73.8,67.0,67.8,67.8,27140239.0
1585,2019-06-04,74.15,78.15,72.85,73.7,73.7,32012074.0
1584,2019-06-03,77.0,77.25,73.9,75.0,75.0,19541739.0
1583,2019-05-31,72.9,79.9,72.9,77.1,77.1,50988326.0
1582,2019-05-30,84.0,85.5,76.2,81.0,81.0,80135200.0
1581,2019-05-29,92.95,96.8,84.75,86.35,86.35,42779946.0
1580,2019-05-28,94.95,100.85,94.1,95.75,95.75,28143692.0
1579,2019-05-27,105.0,105.95,96.0,97.95,97.95,29266480.0
1578,2019-05-24,105.0,106.0,102.15,104.4,104.4,12116287.0
1577,2019-05-23,109.75,111.0,102.7,103.75,103.75,14348166.0
1576,2019-05-22,105.5,108.25,101.35,106.1,106.1,17417490.0
1575,2019-05-21,108.9,108.9,102.1,103.75,103.75,14175362.0
1574,2019-05-20,102.4,110.15,98.25,107.45,107.45,26019306.0
1573,2019-05-17,108.0,110.0,97.55,99.85,99.85,22463493.0
1572,2019-05-16,111.0,112.45,104.35,106.4,106.4,20666001.0
1571,2019-05-15,113.0,117.5,109.0,110.05,110.05,18360351.0
1570,2019-05-14,116.0,119.8,112.15,113.95,113.95,26686029.0
1569,2019-05-13,132.7,132.8,117.15,119.15,119.15,38489716.0
1568,2019-05-10,120.0,129.95,119.55,127.4,127.4,34202774.0
1567,2019-05-09,120.8,123.0,118.25,119.15,119.15,13588173.0
1566,2019-05-08,123.0,126.5,118.3,122.4,122.4,25507342.0
1565,2019-05-07,127.5,132.0,120.55,123.4,123.4,64401284.0
1564,2019-05-06,107.1,125.0,105.25,123.3,123.3,66050540.0
1563,2019-05-03,114.0,115.3,108.55,109.5,109.5,21014841.0
1562,2019-05-02,115.45,119.45,113.0,113.9,113.9,20157104.0
1561,2019-04-30,124.0,124.8,115.35,119.0,119.0,36551136.0
1560,2019-04-26,133.0,135.7,120.6,123.95,123.95,35518724.0
1559,2019-04-25,137.9,140.6,130.35,132.2,132.2,38694557.0
1558,2019-04-24,127.95,137.95,127.0,133.2,133.2,48254789.0
1557,2019-04-23,124.9,132.9,118.65,126.9,126.9,61693964.0
1556,2019-04-22,142.85,146.9,126.6,129.2,129.2,51125296.0
1555,2019-04-18,149.0,163.5,134.2,145.15,145.15,120828930.0
1554,2019-04-16,128.65,149.5,126.6,145.95,145.95,131962094.0
1553,2019-04-15,115.0,130.7,113.65,126.05,126.05,108236433.0
1552,2019-04-12,95.7,115.0,95.7,111.9,111.9,93885176.0
1551,2019-04-11,97.95,98.5,94.0,96.0,96.0,25646824.0
1550,2019-04-10,91.8,97.45,91.5,96.5,96.5,31786634.0
1549,2019-04-09,91.7,93.8,89.2,91.1,91.1,24219393.0
1548,2019-04-08,87.9,92.45,85.55,91.2,91.2,38661058.0
1547,2019-04-05,81.75,88.75,81.7,87.0,87.0,37970046.0
1546,2019-04-04,81.7,82.7,80.5,81.05,81.05,4587609.0
1545,2019-04-03,83.8,84.05,81.0,81.75,81.75,5128558.0
1544,2019-04-02,82.55,85.9,81.6,83.3,83.3,11004235.0
1543,2019-04-01,82.85,83.9,82.15,82.55,82.55,3981102.0
1542,2019-03-28,80.5,83.25,80.05,82.5,82.5,7264795.0
1541,2019-03-27,80.1,81.75,79.65,80.45,80.45,6247348.0
1540,2019-03-26,79.25,80.8,78.7,80.15,80.15,4497491.0
