,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,3191.0,3224.3999,3129.3999,3165.95,3165.95,13536.0
4223,2019-06-13,3234.95,3234.95,3152.2,3194.3501,3194.3501,10182.0
4222,2019-06-12,3218.0,3250.0,3210.0,3211.3501,3211.3501,12150.0
4221,2019-06-11,3152.05,3223.0,3120.2,3208.1499,3208.1499,14477.0
4220,2019-06-10,3175.0,3182.95,3100.0,3147.6001,3147.6001,13616.0
4219,2019-06-07,3120.0,3187.3501,3090.0,3165.3501,3165.3501,9273.0
4218,2019-06-06,3111.0,3151.0,3081.8501,3128.2,3128.2,9460.0
4217,2019-06-04,3115.05,3125.6001,3098.0,3115.55,3115.55,8722.0
4216,2019-06-03,3189.95,3189.95,3110.05,3131.05,3131.05,14976.0
4215,2019-05-31,3182.05,3198.6499,3162.2,3179.55,3179.55,9525.0
4214,2019-05-30,3162.1001,3219.75,3162.1001,3201.95,3201.95,10737.0
4213,2019-05-29,3230.0,3239.0,3152.25,3181.3,3181.3,25619.0
4212,2019-05-28,3181.0,3318.0,3181.0,3291.0,3291.0,27840.0
4211,2019-05-27,3198.0,3223.0,3138.05,3184.3501,3184.3501,10604.0
4210,2019-05-24,3123.0,3194.5,3062.25,3149.45,3149.45,15953.0
4209,2019-05-23,3225.0,3273.95,3082.0,3099.3999,3099.3999,27081.0
4208,2019-05-22,3181.0,3222.05,3161.0,3198.6499,3198.6499,8648.0
4207,2019-05-21,3151.05,3275.0,3151.05,3196.8999,3196.8999,23164.0
4206,2019-05-20,3060.0,3224.0,2998.0,3142.3999,3142.3999,20260.0
4205,2019-05-17,2968.0,3029.0,2960.0,3011.25,3011.25,9006.0
4204,2019-05-16,3023.0,3023.0,2972.0,2988.95,2988.95,10386.0
4203,2019-05-15,2950.3501,3039.0,2950.0,2994.55,2994.55,6912.0
4202,2019-05-14,2976.0,3014.45,2951.1001,2979.2,2979.2,10873.0
4201,2019-05-13,3043.0,3043.0,2959.55,3008.8999,3008.8999,9277.0
4200,2019-05-10,3009.8,3058.0,2990.0,3025.95,3025.95,5936.0
4199,2019-05-09,3039.95,3039.95,2957.3501,2993.5,2993.5,14067.0
4198,2019-05-08,3142.0,3150.0,3016.05,3039.3999,3039.3999,13246.0
4197,2019-05-07,3160.0,3164.0,3105.0,3127.8501,3127.8501,6651.0
4196,2019-05-06,3123.95,3170.0,3095.1001,3138.1001,3138.1001,5907.0
4195,2019-05-03,3144.7,3159.95,3120.0,3127.6499,3127.6499,7727.0
4194,2019-05-02,3145.0,3169.95,3113.5,3150.3999,3150.3999,6580.0
4193,2019-04-30,3177.45,3180.0,3090.0,3142.8999,3142.8999,28196.0
4192,2019-04-26,3124.0,3165.0,3091.0,3150.6001,3150.6001,14610.0
4191,2019-04-25,3160.0,3160.8501,3104.75,3123.75,3123.75,3960.0
4190,2019-04-24,3130.6499,3159.8501,3105.5,3149.3,3149.3,9528.0
4189,2019-04-23,3185.45,3185.45,3120.0,3140.5,3140.5,9298.0
4188,2019-04-22,3222.0,3222.3,3160.1001,3185.45,3185.45,7033.0
4187,2019-04-18,3215.05,3247.75,3210.0,3221.55,3221.55,12235.0
4186,2019-04-16,3245.0,3257.0,3216.1001,3223.6001,3223.6001,9673.0
4185,2019-04-15,3263.95,3264.8501,3225.1001,3238.8501,3238.8501,8487.0
4184,2019-04-12,3230.0,3273.95,3216.2,3260.6499,3260.6499,4610.0
4183,2019-04-11,3254.1001,3275.95,3225.0,3240.6001,3240.6001,9699.0
4182,2019-04-10,3242.2,3296.7,3217.1001,3259.55,3259.55,9343.0
4181,2019-04-09,3318.95,3318.95,3230.0,3252.75,3252.75,11316.0
4180,2019-04-08,3320.0,3327.3501,3260.0,3301.3,3301.3,6854.0
4179,2019-04-05,3250.0,3324.0,3236.8501,3296.1499,3296.1499,13379.0
4178,2019-04-04,3236.0,3270.0,3205.0,3255.0,3255.0,9980.0
4177,2019-04-03,3305.0,3325.8501,3260.0,3275.25,3275.25,10286.0
4176,2019-04-02,3296.1001,3329.95,3280.0,3313.7,3313.7,12471.0
4175,2019-04-01,3325.0,3342.05,3285.1001,3308.8501,3308.8501,11020.0
4174,2019-03-28,3251.0,3321.0,3230.0,3290.25,3290.25,22424.0
4173,2019-03-27,3220.6001,3287.95,3191.05,3267.1001,3267.1001,26351.0
4172,2019-03-26,3165.0,3287.95,3144.0,3230.0,3230.0,31056.0
4171,2019-03-25,3166.0,3200.05,3135.0,3180.6499,3180.6499,15472.0
4170,2019-03-22,3207.0,3215.05,3172.0,3199.8,3199.8,11996.0
4169,2019-03-20,3176.05,3235.0,3152.55,3205.45,3205.45,13625.0
4168,2019-03-19,3255.0,3255.0,3160.0,3176.05,3176.05,27831.0
4167,2019-03-18,3228.0,3250.0,3152.8999,3235.55,3235.55,12351.0
4166,2019-03-15,3148.8999,3223.8501,3121.1001,3199.95,3199.95,13329.0
4165,2019-03-14,3160.0,3173.95,3120.0,3150.25,3150.25,12085.0
4164,2019-03-13,3221.0,3235.0,3132.3,3170.2,3170.2,14695.0
4163,2019-03-12,3205.0,3252.3,3183.5,3227.7,3227.7,12408.0
4162,2019-03-11,3215.0,3237.7,3181.1001,3199.05,3199.05,10808.0
4161,2019-03-08,3225.0,3260.45,3185.1001,3214.8,3214.8,17697.0
4160,2019-03-07,3300.8501,3305.25,3211.0,3234.5,3234.5,10454.0
4159,2019-03-06,3306.8501,3392.95,3253.0,3286.1001,3286.1001,15251.0
4158,2019-03-05,3300.0,3350.0,3253.25,3320.8,3320.8,27380.0
4157,2019-03-01,3258.8,3324.0,3250.0,3299.45,3299.45,23114.0
4156,2019-02-28,3126.0,3262.0,3126.0,3237.3999,3237.3999,49079.0
