,Date,Open,High,Low,Close,Adj Close,Volume
2998,2019-06-14,643.0,654.55,643.0,648.1,648.1,13671.0
2997,2019-06-13,639.0,658.0,639.0,642.15,642.15,29406.0
2996,2019-06-12,645.0,653.75,642.7,645.0,645.0,39827.0
2995,2019-06-11,643.0,658.65,643.0,649.6,649.6,49047.0
2994,2019-06-10,657.95,662.45,645.0,649.25,649.25,39490.0
2993,2019-06-07,652.0,655.1,640.2,647.3,647.3,42709.0
2992,2019-06-06,673.85,673.85,646.2,653.15,653.15,39884.0
2991,2019-06-04,669.45,680.0,662.3,667.65,667.65,85800.0
2990,2019-06-03,656.4,678.0,653.0,664.1,664.1,48612.0
2989,2019-05-31,633.75,655.0,629.85,651.4,651.4,391870.0
2988,2019-05-30,619.9,634.95,619.9,629.3,629.3,94049.0
2987,2019-05-29,627.0,627.0,605.0,612.95,612.95,27796.0
2986,2019-05-28,616.0,635.0,608.0,622.65,622.65,479958.0
2985,2019-05-27,620.0,633.9,611.5,615.75,615.75,41308.0
2984,2019-05-24,620.0,626.05,602.05,616.0,616.0,119894.0
2983,2019-05-23,630.0,648.0,614.15,619.15,619.15,42237.0
2982,2019-05-22,625.0,640.05,612.2,618.15,618.15,62528.0
2981,2019-05-21,605.0,622.45,605.0,616.45,616.45,198200.0
2980,2019-05-20,610.0,624.0,595.65,601.4,601.4,162707.0
2979,2019-05-17,620.0,620.0,593.0,600.15,600.15,137347.0
2978,2019-05-16,608.0,625.0,599.95,616.5,616.5,123408.0
2977,2019-05-15,600.0,606.4,586.25,593.8,593.8,7714.0
2976,2019-05-14,565.1,604.5,565.1,598.25,598.25,25845.0
2975,2019-05-13,581.5,585.1,566.4,574.45,574.45,41938.0
2974,2019-05-10,599.85,599.85,575.8,582.35,582.35,133482.0
2973,2019-05-09,612.0,612.0,594.05,595.8,595.8,337296.0
2972,2019-05-08,618.0,620.0,600.0,608.9,608.9,49904.0
2971,2019-05-07,599.05,629.7,599.05,620.5,620.5,209519.0
2970,2019-05-06,599.0,610.0,592.55,599.55,599.55,19742.0
