,Date,Open,High,Low,Close,Adj Close,Volume
999,2019-06-14,207.0,209.35,205.3,207.35,207.35,264170.0
998,2019-06-13,202.9,211.2,200.2,205.35,205.35,373376.0
997,2019-06-12,196.95,204.9,196.65,203.85,203.85,134062.0
996,2019-06-11,200.0,203.65,195.0,197.35,197.35,214682.0
995,2019-06-10,202.95,207.75,197.55,200.3,200.3,372580.0
994,2019-06-07,193.9,203.5,193.9,199.75,199.75,119991.0
993,2019-06-06,198.3,201.15,190.0,193.9,193.9,295976.0
992,2019-06-04,196.75,202.0,195.6,200.1,200.1,176515.0
991,2019-06-03,196.0,201.0,191.8,199.35,199.35,195472.0
990,2019-05-31,197.6,205.0,191.3,195.6,195.6,470030.0
989,2019-05-30,191.0,196.9,191.0,195.75,195.75,505901.0
988,2019-05-29,189.7,193.95,187.8,190.35,190.35,257227.0
987,2019-05-28,187.95,191.9,186.35,188.6,188.6,897399.0
986,2019-05-27,195.1,198.0,182.0,186.6,186.6,707830.0
985,2019-05-24,174.0,180.0,171.2,179.0,179.0,253789.0
984,2019-05-23,173.0,175.9,166.55,170.9,170.9,587078.0
983,2019-05-22,169.4,174.2,167.3,171.6,171.6,125913.0
982,2019-05-21,164.1,170.0,162.55,168.95,168.95,137072.0
981,2019-05-20,162.0,168.8,158.1,166.0,166.0,352554.0
980,2019-05-17,150.75,158.55,150.65,156.95,156.95,111039.0
979,2019-05-16,153.0,154.2,149.4,150.55,150.55,38123.0
978,2019-05-15,153.0,160.0,149.85,152.5,152.5,89098.0
977,2019-05-14,153.55,155.25,149.0,153.75,153.75,96687.0
976,2019-05-13,158.1,158.1,151.15,155.8,155.8,91922.0
975,2019-05-10,154.1,160.0,151.2,158.1,158.1,52856.0
974,2019-05-09,158.85,158.85,152.35,154.95,154.95,71335.0
973,2019-05-08,157.1,159.9,154.3,157.3,157.3,80008.0
972,2019-05-07,155.0,160.35,154.2,157.1,157.1,277852.0
971,2019-05-06,149.7,157.0,147.55,154.2,154.2,113405.0
970,2019-05-03,151.9,152.95,149.1,149.7,149.7,24135.0
969,2019-05-02,151.05,153.5,147.45,153.0,153.0,141773.0
968,2019-04-30,151.0,153.95,149.05,151.05,151.05,115714.0
967,2019-04-26,149.9,151.6,147.25,151.0,151.0,21579.0
966,2019-04-25,147.95,151.75,147.4,149.95,149.95,41036.0
965,2019-04-24,151.25,153.0,145.3,147.95,147.95,113475.0
964,2019-04-23,153.5,155.3,152.0,152.15,152.15,40870.0
963,2019-04-22,153.05,154.85,151.25,153.6,153.6,36420.0
962,2019-04-18,157.2,160.1,153.45,155.0,155.0,46695.0
961,2019-04-16,158.4,162.65,156.0,160.4,160.4,375924.0
960,2019-04-15,151.0,159.3,150.45,156.25,156.25,182442.0
959,2019-04-12,147.5,154.55,147.2,153.15,153.15,93065.0
958,2019-04-11,147.65,149.7,147.65,148.5,148.5,17803.0
957,2019-04-10,149.45,150.45,148.95,149.85,149.85,30749.0
956,2019-04-09,149.05,151.8,146.15,150.6,150.6,41599.0
955,2019-04-08,150.9,153.1,148.0,148.75,148.75,47578.0
954,2019-04-05,148.0,151.4,147.3,150.4,150.4,37975.0
953,2019-04-04,150.05,151.75,148.0,149.2,149.2,36712.0
952,2019-04-03,156.8,156.8,149.0,150.05,150.05,63645.0
951,2019-04-02,154.9,157.9,153.05,155.35,155.35,69650.0
950,2019-04-01,153.0,155.9,152.65,153.85,153.85,52934.0
949,2019-03-28,147.55,152.8,147.0,147.6,147.6,173577.0
948,2019-03-27,153.4,155.0,146.65,147.55,147.55,229167.0
947,2019-03-26,155.7,155.75,151.65,153.4,153.4,124839.0
946,2019-03-25,155.35,156.2,153.1,154.8,154.8,151380.0
945,2019-03-22,158.6,159.35,156.1,157.95,157.95,241854.0
944,2019-03-20,159.45,162.0,157.2,159.65,159.65,299907.0
943,2019-03-19,159.0,161.0,157.6,158.8,158.8,227103.0
942,2019-03-18,160.5,163.55,157.05,157.9,157.9,232423.0
941,2019-03-15,160.0,160.95,158.25,160.0,160.0,481656.0
940,2019-03-14,159.9,162.45,155.8,159.85,159.85,610162.0
939,2019-03-13,159.0,162.0,154.65,159.15,159.15,233703.0
938,2019-03-12,151.0,158.9,150.1,157.5,157.5,282249.0
937,2019-03-11,143.0,151.7,141.5,150.5,150.5,255643.0
936,2019-03-08,135.55,145.05,135.55,142.15,142.15,294274.0
935,2019-03-07,138.45,138.45,133.3,135.55,135.55,1335920.0
934,2019-03-06,135.9,138.9,134.2,136.95,136.95,1214197.0
933,2019-03-05,128.9,139.4,128.9,135.0,135.0,785251.0
932,2019-03-01,128.3,129.45,127.25,128.0,128.0,199486.0
931,2019-02-28,127.9,129.2,126.3,127.55,127.55,153103.0
930,2019-02-27,130.1,131.6,125.55,126.7,126.7,173503.0
929,2019-02-26,131.0,134.4,128.3,129.3,129.3,440069.0
928,2019-02-25,131.9,134.8,131.9,132.85,132.85,61327.0
927,2019-02-22,129.65,132.3,128.65,130.95,130.95,130467.0
926,2019-02-21,132.9,132.9,129.1,129.65,129.65,179559.0
925,2019-02-20,132.95,135.1,131.15,131.9,131.9,137117.0
924,2019-02-19,135.2,136.05,131.05,131.85,131.85,44430.0
923,2019-02-18,142.7,144.0,130.4,133.7,133.7,187348.0
922,2019-02-15,139.35,139.7,135.65,137.0,137.0,93358.0
921,2019-02-14,140.0,141.9,135.0,139.3,139.3,69900.0
920,2019-02-12,143.55,144.8,141.15,143.05,143.05,24268.0
919,2019-02-11,143.3,145.8,135.15,144.95,144.95,117469.0
918,2019-02-08,140.3,143.95,139.45,143.05,143.05,19776.0
917,2019-02-07,140.1,142.6,140.1,141.65,141.65,8928.0
916,2019-02-06,143.65,144.15,140.0,141.1,141.1,16710.0
915,2019-02-05,147.0,149.8,142.55,144.15,144.15,37875.0
914,2019-02-04,142.8,146.8,141.5,146.3,146.3,27928.0
913,2019-02-01,142.9,144.85,141.2,142.8,142.8,32627.0
912,2019-01-31,140.95,144.9,140.95,141.7,141.7,195279.0
911,2019-01-30,145.1,145.1,139.6,140.95,140.95,38050.0
910,2019-01-29,143.2,146.3,142.55,144.95,144.95,62320.0
909,2019-01-28,147.55,150.0,142.3,143.1,143.1,83151.0
908,2019-01-25,150.65,151.3,148.0,149.7,149.7,34360.0
907,2019-01-24,147.25,151.65,147.25,150.9,150.9,85113.0
906,2019-01-23,150.9,153.0,150.6,151.6,151.6,66050.0
905,2019-01-22,147.0,151.0,145.3,150.25,150.25,40567.0
904,2019-01-21,152.65,152.65,147.0,148.2,148.2,18928.0
903,2019-01-18,150.45,153.95,149.25,152.95,152.95,46361.0
902,2019-01-17,149.6,152.95,149.35,151.0,151.0,23582.0
901,2019-01-16,156.0,156.0,148.75,149.8,149.8,24965.0
900,2019-01-15,153.6,156.05,152.5,153.25,153.25,41886.0
899,2019-01-14,148.85,157.45,146.65,152.75,152.75,112732.0
898,2019-01-11,147.85,149.6,147.2,148.05,148.05,35763.0
897,2019-01-10,147.5,148.0,145.5,147.45,147.45,15765.0
896,2019-01-09,148.5,148.95,146.5,147.0,147.0,89094.0
895,2019-01-08,149.2,150.1,146.55,147.05,147.05,37130.0
894,2019-01-07,152.0,152.95,148.0,148.6,148.6,78322.0
893,2019-01-04,149.6,151.0,147.25,150.2,150.2,42839.0
892,2019-01-03,150.95,151.5,149.55,150.1,150.1,43064.0
891,2019-01-02,150.35,154.25,149.6,150.9,150.9,91535.0
890,2019-01-01,147.35,149.45,145.7,148.9,148.9,22874.0
889,2018-12-31,150.0,150.9,146.4,147.4,147.4,59287.0
888,2018-12-28,145.95,148.55,144.2,148.0,148.0,52049.0
887,2018-12-27,144.9,147.7,143.85,144.95,144.95,314701.0
886,2018-12-26,138.0,144.0,135.95,143.05,143.05,69498.0
885,2018-12-24,136.0,142.0,135.6,139.55,139.55,80906.0
884,2018-12-21,137.6,138.35,133.6,135.75,135.75,85856.0
883,2018-12-20,135.75,138.25,134.45,137.6,137.6,66149.0
882,2018-12-19,132.0,138.5,130.45,136.8,136.8,127503.0
881,2018-12-18,130.7,131.0,129.55,129.9,129.9,77103.0
880,2018-12-17,131.3,131.95,129.5,130.2,130.2,20013.0
879,2018-12-14,129.5,131.95,129.4,130.0,130.0,185170.0
878,2018-12-13,130.6,133.05,129.1,130.05,130.05,72466.0
877,2018-12-12,132.45,137.0,129.0,130.55,130.55,336963.0
876,2018-12-11,126.35,130.3,125.5,127.8,127.8,85605.0
875,2018-12-10,130.05,133.0,128.0,128.9,128.9,421095.0
874,2018-12-07,135.15,136.95,132.15,133.95,133.95,150207.0
873,2018-12-06,136.0,138.5,133.35,136.6,136.6,135943.0
872,2018-12-05,136.7,138.0,133.75,137.65,137.65,96355.0
871,2018-12-04,140.55,141.5,136.1,137.4,137.4,146770.0
870,2018-12-03,145.1,147.9,136.65,139.9,139.9,141673.0
869,2018-11-30,147.3,149.9,142.2,145.0,145.0,89645.0
868,2018-11-29,148.65,150.5,147.0,147.55,147.55,54639.0
867,2018-11-28,149.5,153.45,147.65,149.05,149.05,63485.0
866,2018-11-27,149.9,152.95,145.85,149.55,149.55,63532.0
865,2018-11-26,155.05,155.05,148.0,150.35,150.35,61336.0
864,2018-11-22,156.2,159.5,153.8,155.05,155.05,67859.0
863,2018-11-21,155.0,157.35,153.5,154.95,154.95,243091.0
862,2018-11-20,152.0,155.7,150.0,155.0,155.0,95538.0
861,2018-11-19,149.9,152.75,147.5,151.8,151.8,94635.0
860,2018-11-16,149.65,150.2,145.5,149.5,149.5,74048.0
859,2018-11-15,147.65,148.7,140.5,146.75,146.75,260124.0
858,2018-11-14,148.15,148.3,144.15,147.65,147.65,49068.0
857,2018-11-13,148.65,148.95,144.25,147.5,147.5,219199.0
856,2018-11-12,141.1,149.05,140.35,145.8,145.8,77200.0
855,2018-11-09,138.1,142.95,138.1,142.3,142.3,25082.0
854,2018-11-07,140.75,142.85,138.2,140.45,140.45,24838.0
853,2018-11-06,139.2,141.3,138.9,139.25,139.25,16163.0
852,2018-11-05,140.0,141.05,137.1,139.75,139.75,438411.0
851,2018-11-02,140.4,143.5,137.95,139.5,139.5,185220.0
850,2018-11-01,138.55,141.15,136.2,139.55,139.55,105356.0
849,2018-10-31,133.5,141.8,132.0,138.2,138.2,420464.0
