,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,137.0,139.45,135.5,136.5,136.5,651088.0
4223,2019-06-13,139.0,140.0,135.55,137.9,137.9,838448.0
4222,2019-06-12,141.8,144.2,138.2,139.8,139.8,815155.0
4221,2019-06-11,143.95,144.45,141.0,142.55,142.55,760792.0
4220,2019-06-10,148.35,149.0,143.5,145.6,145.6,738989.0
4219,2019-06-07,149.7,150.7,145.7,147.15,147.15,951323.0
4218,2019-06-06,151.8,154.6,148.35,150.3,150.3,3293083.0
4217,2019-06-04,146.0,152.6,145.55,150.85,150.85,2791675.0
4216,2019-06-03,145.15,148.7,142.5,146.7,146.7,1264358.0
4215,2019-05-31,149.5,150.7,143.35,145.2,145.2,1677433.0
4214,2019-05-30,144.45,151.8,141.3,148.6,148.6,2759399.0
4213,2019-05-29,148.45,148.5,143.05,144.8,144.8,974975.0
4212,2019-05-28,148.0,148.75,143.05,148.0,148.0,1491659.0
4211,2019-05-27,142.0,148.6,141.8,147.65,147.65,2108832.0
4210,2019-05-24,138.2,144.75,135.6,142.8,142.8,2312250.0
4209,2019-05-23,134.25,141.7,132.05,137.05,137.05,2689407.0
4208,2019-05-22,132.0,132.75,128.9,130.7,130.7,693842.0
4207,2019-05-21,136.0,136.45,131.2,133.1,133.1,856447.0
4206,2019-05-20,133.3,135.4,129.8,134.05,134.05,1782431.0
4205,2019-05-17,134.0,134.95,127.25,129.45,129.45,2395863.0
4204,2019-05-16,127.25,130.4,125.15,129.5,129.5,1166775.0
4203,2019-05-15,128.6,132.0,125.1,126.5,126.5,1631404.0
4202,2019-05-14,115.6,130.25,115.6,127.25,127.25,2416708.0
4201,2019-05-13,121.15,122.7,115.65,117.6,117.6,1179055.0
4200,2019-05-10,122.25,124.65,120.7,122.15,122.15,1211303.0
4199,2019-05-09,120.1,124.25,119.35,121.95,121.95,1631334.0
4198,2019-05-08,125.1,125.6,120.2,121.05,121.05,1486299.0
4197,2019-05-07,132.0,132.0,125.1,125.95,125.95,1299865.0
4196,2019-05-06,135.0,135.8,131.5,132.45,132.45,708057.0
4195,2019-05-03,138.0,140.2,136.1,136.7,136.7,694589.0
4194,2019-05-02,136.5,140.9,135.5,137.95,137.95,1042353.0
4193,2019-04-30,141.1,141.45,135.8,136.75,136.75,858337.0
4192,2019-04-26,142.95,143.45,139.6,141.05,141.05,818754.0
4191,2019-04-25,140.0,146.4,139.8,142.1,142.1,2330233.0
4190,2019-04-24,137.6,140.5,136.6,139.4,139.4,917345.0
4189,2019-04-23,139.1,140.35,136.35,137.25,137.25,1006482.0
4188,2019-04-22,139.05,142.8,137.5,138.55,138.55,1300991.0
4187,2019-04-18,143.0,143.0,137.15,138.8,138.8,1070451.0
4186,2019-04-16,144.05,144.65,141.7,142.35,142.35,834695.0
4185,2019-04-15,143.1,146.3,143.1,143.9,143.9,1171604.0
4184,2019-04-12,143.5,144.4,141.1,142.85,142.85,1101726.0
4183,2019-04-11,146.5,147.65,142.6,143.8,143.8,1643050.0
4182,2019-04-10,143.7,152.8,143.7,146.75,146.75,8496342.0
4181,2019-04-09,141.4,141.8,136.1,138.4,138.4,1685764.0
4180,2019-04-08,145.85,147.9,140.1,141.35,141.35,1618138.0
4179,2019-04-05,146.8,148.8,144.5,145.15,145.15,1913959.0
4178,2019-04-04,148.3,148.7,144.1,145.65,145.65,1192691.0
4177,2019-04-03,152.0,153.45,147.85,148.25,148.25,1312161.0
4176,2019-04-02,154.9,155.35,150.25,151.25,151.25,1093450.0
4175,2019-04-01,156.2,157.95,153.65,154.45,154.45,1391141.0
4174,2019-03-28,157.0,158.5,154.0,154.6,154.6,1525278.0
4173,2019-03-27,152.45,157.95,149.6,156.75,156.75,3626358.0
4172,2019-03-26,150.65,152.9,150.0,151.1,151.1,989382.0
4171,2019-03-25,149.0,154.7,149.0,149.75,149.75,1684212.0
4170,2019-03-22,154.9,155.95,150.15,151.5,151.5,1327777.0
4169,2019-03-20,152.0,157.85,152.0,154.7,154.7,3326978.0
4168,2019-03-19,153.2,153.75,149.1,150.05,150.05,1263345.0
4167,2019-03-18,153.45,155.8,151.3,152.1,152.1,1322190.0
4166,2019-03-15,158.15,159.05,150.1,152.65,152.65,1840215.0
4165,2019-03-14,156.4,161.3,155.85,157.4,157.4,2303709.0
4164,2019-03-13,159.75,159.75,155.1,155.75,155.75,1289290.0
4163,2019-03-12,155.0,163.5,154.65,160.2,160.2,5032995.0
4162,2019-03-11,156.0,156.6,153.0,153.85,153.85,1702304.0
4161,2019-03-08,157.1,159.0,154.1,156.1,156.1,2907888.0
4160,2019-03-07,164.4,167.9,157.15,158.85,158.85,13329166.0
4159,2019-03-06,147.95,164.4,147.35,161.95,161.95,12577616.0
4158,2019-03-05,147.0,148.8,145.55,146.75,146.75,1691062.0
4157,2019-03-01,146.0,149.6,146.0,146.7,146.7,4518512.0
4156,2019-02-28,140.5,143.45,140.1,141.9,141.9,2231520.0
4155,2019-02-27,143.5,146.9,137.2,139.25,139.25,2916971.0
4154,2019-02-26,144.95,145.3,140.65,142.4,142.4,3285183.0
4153,2019-02-25,143.0,151.5,141.35,147.6,147.6,6629422.0
4152,2019-02-22,142.9,144.9,141.7,142.5,142.5,2039693.0
4151,2019-02-21,141.0,144.5,140.4,142.45,142.45,2889872.0
4150,2019-02-20,140.75,143.5,139.2,140.2,140.2,2611581.0
4149,2019-02-19,131.4,143.35,131.4,139.9,139.9,8795565.0
4148,2019-02-18,134.2,135.6,130.7,131.5,131.5,1552012.0
4147,2019-02-15,135.0,139.15,133.0,134.6,134.6,2332520.0
4146,2019-02-14,135.9,138.7,132.2,136.15,136.15,2955163.0
4145,2019-02-12,139.75,144.0,139.6,140.85,140.85,2953773.0
4144,2019-02-11,142.4,143.5,137.15,138.15,138.15,1641164.0
4143,2019-02-08,141.0,147.6,140.0,143.25,143.25,4321706.0
4142,2019-02-07,137.35,145.4,135.3,143.8,143.8,5409414.0
4141,2019-02-06,138.0,143.4,135.0,141.45,141.45,10062199.0
4140,2019-02-05,121.75,132.7,121.75,129.9,129.9,7062830.0
4139,2019-02-04,127.85,127.85,120.05,120.95,120.95,1809248.0
4138,2019-02-01,131.3,133.85,127.5,128.85,128.85,2493690.0
4137,2019-01-31,130.2,132.75,126.3,131.3,131.3,3348413.0
4136,2019-01-30,130.1,134.85,127.05,129.4,129.4,6348868.0
4135,2019-01-29,121.4,132.0,118.6,129.7,129.7,18414034.0
4134,2019-01-28,121.6,122.15,111.5,112.55,112.55,3435806.0
4133,2019-01-25,132.9,133.0,120.3,121.3,121.3,3833174.0
4132,2019-01-24,135.7,136.4,131.1,131.75,131.75,2627595.0
4131,2019-01-23,133.5,138.25,130.5,134.65,134.65,6944441.0
4130,2019-01-22,139.0,141.95,130.5,132.7,132.7,5163929.0
4129,2019-01-21,140.0,144.35,138.2,139.15,139.15,6314629.0
4128,2019-01-18,143.3,149.2,138.0,139.85,139.85,9458173.0
4127,2019-01-17,154.0,155.5,141.0,142.5,142.5,9213223.0
4126,2019-01-16,155.0,157.8,153.0,153.95,153.95,6548968.0
4125,2019-01-15,154.25,160.5,151.0,154.25,154.25,17941242.0
4124,2019-01-14,148.0,164.8,148.0,153.1,153.1,29058980.0
4123,2019-01-11,137.55,161.75,137.55,152.1,152.1,37003318.0
4122,2019-01-10,144.5,146.8,136.6,137.9,137.9,7558122.0
4121,2019-01-09,130.5,147.25,130.25,144.9,144.9,15125774.0
4120,2019-01-08,122.0,131.9,120.5,129.05,129.05,6469380.0
