,Date,Open,High,Low,Close,Adj Close,Volume
3972,2019-06-14,279.0,279.0,270.55,273.8,273.8,506643.0
3971,2019-06-13,284.0,285.0,268.2,279.7,279.7,1202210.0
3970,2019-06-12,293.5,296.2,282.0,284.7,284.7,759388.0
3969,2019-06-11,295.5,302.45,289.55,293.55,293.55,1109100.0
3968,2019-06-10,304.2,308.0,294.85,297.25,297.25,445698.0
3967,2019-06-07,310.3,313.1,291.1,300.4,300.4,1371058.0
3966,2019-06-06,329.0,331.9,307.5,309.1,309.1,1256314.0
3965,2019-06-04,334.5,339.5,328.1,329.1,329.1,496943.0
3964,2019-06-03,336.9,338.0,332.55,333.8,333.8,210272.0
3963,2019-05-31,342.9,342.9,334.0,336.55,336.55,277835.0
3962,2019-05-30,339.85,343.0,337.1,340.2,340.2,228640.0
3961,2019-05-29,349.85,350.0,338.7,339.9,339.9,312383.0
3960,2019-05-28,350.0,355.75,343.1,347.55,347.55,401858.0
3959,2019-05-27,354.9,360.0,348.65,351.25,351.25,396535.0
3958,2019-05-24,345.0,364.8,345.0,360.5,360.5,821983.0
3957,2019-05-23,345.0,348.65,338.55,340.8,340.8,289515.0
3956,2019-05-22,349.45,349.45,338.15,340.65,340.65,313233.0
3955,2019-05-21,356.5,356.5,345.15,346.9,346.9,325601.0
3954,2019-05-20,360.1,364.0,350.0,351.95,351.95,488660.0
3953,2019-05-17,342.8,352.8,335.05,350.0,350.0,568001.0
3952,2019-05-16,339.65,343.45,323.0,341.25,341.25,461642.0
3951,2019-05-15,343.0,343.0,335.0,335.55,335.55,206799.0
3950,2019-05-14,339.0,343.4,335.8,340.45,340.45,290702.0
3949,2019-05-13,346.1,349.75,336.3,339.3,339.3,396672.0
3948,2019-05-10,339.0,348.0,336.05,345.5,345.5,339141.0
3947,2019-05-09,339.0,345.0,336.05,337.6,337.6,380354.0
3946,2019-05-08,344.8,345.0,336.45,339.7,339.7,492968.0
3945,2019-05-07,356.15,358.75,345.5,347.45,347.45,423533.0
3944,2019-05-06,358.0,361.85,352.5,353.3,353.3,606776.0
3943,2019-05-03,356.0,364.7,350.05,362.35,362.35,481299.0
3942,2019-05-02,354.8,364.9,352.05,355.9,355.9,762699.0
3941,2019-04-30,365.9,366.25,350.0,353.85,353.85,454504.0
3940,2019-04-26,364.05,369.45,360.6,364.65,364.65,420137.0
3939,2019-04-25,372.95,380.55,363.1,365.1,365.1,902291.0
3938,2019-04-24,353.4,372.95,351.15,371.0,371.0,1191325.0
3937,2019-04-23,344.0,353.3,342.7,349.15,349.15,1117414.0
3936,2019-04-22,336.7,351.9,333.0,340.35,340.35,994615.0
3935,2019-04-18,353.25,354.8,332.0,333.55,333.55,1182423.0
3934,2019-04-16,362.0,363.15,351.1,352.0,352.0,660956.0
3933,2019-04-15,355.35,364.7,355.35,360.25,360.25,451289.0
3932,2019-04-12,371.85,374.5,353.8,357.95,357.95,1161828.0
3931,2019-04-11,382.3,382.75,367.0,369.65,369.65,775500.0
3930,2019-04-10,382.65,387.7,380.0,380.55,380.55,290063.0
3929,2019-04-09,388.45,389.25,380.1,381.85,381.85,272205.0
3928,2019-04-08,393.95,397.0,385.1,388.5,388.5,222583.0
3927,2019-04-05,392.95,398.2,390.05,392.25,392.25,236030.0
3926,2019-04-04,398.0,398.0,391.0,392.2,392.2,178894.0
3925,2019-04-03,394.65,398.75,392.0,396.7,396.7,286971.0
3924,2019-04-02,398.05,398.8,391.45,393.2,393.2,318761.0
3923,2019-04-01,396.3,404.9,393.0,394.55,394.55,433960.0
3922,2019-03-28,395.2,406.65,394.0,401.2,401.2,545589.0
3921,2019-03-27,395.25,397.1,389.5,393.2,393.2,391413.0
3920,2019-03-26,397.0,399.0,393.0,395.0,395.0,383737.0
3919,2019-03-25,400.95,400.95,393.3,394.5,394.5,286259.0
3918,2019-03-22,412.0,415.0,403.0,404.55,404.55,478776.0
3917,2019-03-20,401.8,413.6,395.5,409.95,409.95,886385.0
3916,2019-03-19,390.6,407.4,390.0,399.75,399.75,1064438.0
3915,2019-03-18,394.3,398.4,386.6,389.55,389.55,291513.0
3914,2019-03-15,399.4,402.1,390.0,392.35,392.35,325779.0
3913,2019-03-14,400.65,402.0,393.5,397.25,397.25,251146.0
3912,2019-03-13,404.5,408.0,396.1,399.55,399.55,367354.0
3911,2019-03-12,396.9,408.75,395.15,402.9,402.9,993718.0
3910,2019-03-11,393.2,397.2,390.7,393.1,393.1,480957.0
3909,2019-03-08,398.4,406.2,388.2,390.8,390.8,1120785.0
3908,2019-03-07,398.0,398.25,389.0,391.25,391.25,338858.0
3907,2019-03-06,404.35,404.8,391.6,396.5,396.5,936136.0
3906,2019-03-05,385.0,402.8,384.6,399.7,399.7,1039951.0
3905,2019-03-01,365.0,384.0,365.0,381.8,381.8,1185220.0
3904,2019-02-28,366.0,367.8,361.0,362.5,362.5,386004.0
3903,2019-02-27,372.35,374.35,360.0,364.25,364.25,630694.0
3902,2019-02-26,364.5,374.45,363.1,367.95,367.95,532254.0
3901,2019-02-25,373.55,376.95,362.05,369.3,369.3,630812.0
3900,2019-02-22,369.5,379.75,369.1,371.25,371.25,624599.0
3899,2019-02-21,365.0,373.15,349.0,369.05,369.05,1243774.0
3898,2019-02-20,371.0,377.0,363.2,368.15,368.15,344746.0
3897,2019-02-19,372.0,385.0,365.2,369.35,369.35,508279.0
3896,2019-02-18,399.55,401.2,370.0,372.3,372.3,581755.0
3895,2019-02-15,405.75,408.45,395.85,397.4,397.4,266101.0
3894,2019-02-14,413.05,413.2,401.0,405.55,405.55,351224.0
3893,2019-02-12,418.5,426.95,414.2,417.1,417.1,235232.0
3892,2019-02-11,430.5,436.3,415.4,418.25,418.25,416774.0
3891,2019-02-08,439.3,449.0,429.0,438.1,438.1,495253.0
3890,2019-02-07,440.0,445.85,436.05,441.3,441.3,254852.0
3889,2019-02-06,442.95,443.55,432.55,441.75,441.75,292893.0
3888,2019-02-05,437.0,444.0,431.7,439.9,439.9,428076.0
3887,2019-02-04,426.95,438.9,423.0,437.2,437.2,500642.0
3886,2019-02-01,412.0,429.9,412.0,427.65,427.65,647799.0
3885,2019-01-31,416.25,419.7,406.55,409.65,409.65,215650.0
3884,2019-01-30,408.0,422.0,405.65,417.1,417.1,1047858.0
3883,2019-01-29,414.8,414.8,403.0,406.5,406.5,528952.0
3882,2019-01-28,415.2,424.95,412.05,417.6,417.6,402779.0
3881,2019-01-25,427.1,439.5,415.25,420.8,420.8,1045999.0
3880,2019-01-24,420.0,431.8,417.0,427.95,427.95,827349.0
3879,2019-01-23,414.65,436.95,412.0,421.5,421.5,2652760.0
3878,2019-01-22,400.1,415.0,400.1,413.25,413.25,461696.0
3877,2019-01-21,407.0,410.0,397.0,398.25,398.25,307944.0
3876,2019-01-18,414.0,415.0,401.75,407.25,407.25,228589.0
3875,2019-01-17,415.1,416.65,411.15,413.25,413.25,155250.0
3874,2019-01-16,419.45,420.35,411.65,414.95,414.95,312427.0
3873,2019-01-15,425.0,428.0,415.5,418.6,418.6,577202.0
3872,2019-01-14,416.5,424.5,411.0,418.9,418.9,593624.0
3871,2019-01-11,410.2,418.8,407.0,414.95,414.95,495381.0
3870,2019-01-10,411.5,413.25,406.95,410.1,410.1,266744.0
3869,2019-01-09,403.05,419.85,403.05,409.3,409.3,845409.0
3868,2019-01-08,396.0,403.6,395.85,401.1,401.1,307744.0
3867,2019-01-07,399.0,405.55,395.0,395.45,395.45,206736.0
3866,2019-01-04,397.15,402.2,387.45,394.3,394.3,282443.0
3865,2019-01-03,400.25,404.9,398.6,400.15,400.15,245031.0
3864,2019-01-02,400.55,406.0,396.0,400.3,400.3,285054.0
3863,2019-01-01,402.0,406.0,392.6,402.5,402.5,332521.0
3862,2018-12-31,407.7,408.8,398.6,400.45,400.45,350643.0
3861,2018-12-28,407.25,409.8,401.4,403.2,403.2,401187.0
3860,2018-12-27,399.8,407.9,391.4,400.45,400.45,654217.0
3859,2018-12-26,393.8,396.6,380.9,394.35,394.35,436827.0
3858,2018-12-24,401.0,405.4,393.0,396.75,396.75,279715.0
3857,2018-12-21,416.8,418.4,398.1,400.25,400.25,330306.0
3856,2018-12-20,420.0,423.5,412.75,415.85,415.85,290701.0
3855,2018-12-19,426.8,434.0,421.15,422.85,422.85,624805.0
3854,2018-12-18,410.25,426.0,410.25,422.8,422.8,689030.0
3853,2018-12-17,416.35,421.0,405.0,414.9,414.9,462938.0
3852,2018-12-14,412.45,418.8,407.8,412.5,412.5,354463.0
3851,2018-12-13,412.4,420.0,411.0,414.8,414.8,666904.0
3850,2018-12-12,386.25,411.9,386.25,407.6,407.6,818730.0
3849,2018-12-11,356.0,385.0,356.0,381.05,381.05,476746.0
3848,2018-12-10,380.05,381.0,365.0,367.45,367.45,396301.0
3847,2018-12-07,385.0,391.8,381.25,385.25,385.25,315513.0
3846,2018-12-06,389.7,389.7,376.0,378.35,378.35,494733.0
3845,2018-12-05,391.6,401.65,388.25,392.25,392.25,399018.0
3844,2018-12-04,403.2,410.35,394.1,395.85,395.85,465754.0
3843,2018-12-03,419.7,420.0,403.65,407.45,407.45,613395.0
3842,2018-11-30,396.95,421.0,394.0,415.3,415.3,1482070.0
3841,2018-11-29,394.0,404.0,392.0,394.6,394.6,319764.0
3840,2018-11-28,399.2,401.95,388.55,390.3,390.3,353019.0
3839,2018-11-27,398.9,404.7,395.1,398.35,398.35,391134.0
3838,2018-11-26,398.0,407.4,382.6,400.75,400.75,886039.0
3837,2018-11-22,404.2,415.5,396.15,398.35,398.35,515376.0
3836,2018-11-21,422.0,422.05,398.1,404.0,404.0,598822.0
3835,2018-11-20,437.0,438.35,420.0,422.0,422.0,320832.0
3834,2018-11-19,437.0,443.9,437.0,439.5,439.5,147935.0
3833,2018-11-16,439.0,447.4,435.1,437.4,437.4,249909.0
3832,2018-11-15,446.0,450.0,433.25,438.45,438.45,516273.0
3831,2018-11-14,445.0,454.0,432.0,446.6,446.6,895130.0
3830,2018-11-13,407.0,444.4,404.3,442.1,442.1,1868726.0
3829,2018-11-12,391.0,413.4,391.0,409.9,409.9,601668.0
3828,2018-11-09,402.55,402.95,387.0,390.85,390.85,290082.0
3827,2018-11-07,403.5,405.9,397.1,401.35,401.35,81319.0
3826,2018-11-06,388.9,407.4,388.9,401.45,401.45,472059.0
3825,2018-11-05,398.45,398.45,380.25,385.85,385.85,282277.0
3824,2018-11-02,411.7,415.95,395.0,397.45,397.45,523808.0
3823,2018-11-01,396.4,417.8,396.0,408.4,408.4,854122.0
3822,2018-10-31,390.8,399.9,382.1,393.45,393.45,703760.0
3821,2018-10-30,377.8,394.4,375.0,387.85,387.85,900413.0
3820,2018-10-29,364.05,364.05,358.1,364.05,364.05,286656.0
3819,2018-10-26,355.0,355.0,343.15,346.75,346.75,370031.0
3818,2018-10-25,359.95,363.95,350.25,355.85,355.85,485477.0
3817,2018-10-24,346.0,356.65,340.1,354.25,354.25,843876.0
3816,2018-10-23,337.0,345.9,329.5,339.7,339.7,463638.0
3815,2018-10-22,355.0,359.2,333.3,335.9,335.9,283199.0
3814,2018-10-19,361.0,375.55,348.9,348.9,348.9,430537.0
3813,2018-10-17,374.0,380.55,356.35,367.25,367.25,768371.0
3812,2018-10-16,351.7,362.45,346.0,362.45,362.45,240952.0
3811,2018-10-15,338.85,348.95,333.0,345.2,345.2,410432.0
3810,2018-10-12,341.35,346.55,328.0,332.35,332.35,591948.0
3809,2018-10-11,299.8,330.15,299.8,330.05,330.05,578754.0
3808,2018-10-10,307.0,314.45,305.1,314.45,314.45,247287.0
3807,2018-10-09,310.05,317.0,297.0,299.5,299.5,610891.0
3806,2018-10-08,319.0,323.95,307.3,312.45,312.45,435007.0
3805,2018-10-05,338.0,338.0,323.45,323.45,323.45,268633.0
3804,2018-10-04,345.0,347.95,336.85,340.45,340.45,245712.0
3803,2018-10-03,346.6,356.3,340.25,354.55,354.55,322102.0
3802,2018-10-01,340.2,342.8,330.1,339.35,339.35,403094.0
3801,2018-09-28,365.5,370.95,344.6,346.95,346.95,374793.0
3800,2018-09-27,375.85,383.25,355.0,362.7,362.7,296394.0
3799,2018-09-26,364.0,372.45,361.35,372.35,372.35,408885.0
3798,2018-09-25,369.0,373.3,352.05,354.75,354.75,660325.0
3797,2018-09-24,384.5,389.8,370.55,370.55,370.55,464943.0
3796,2018-09-21,416.0,416.95,390.05,390.05,390.05,629216.0
3795,2018-09-19,407.85,418.8,404.4,410.55,410.55,262821.0
3794,2018-09-18,410.0,426.6,401.3,405.65,405.65,407949.0
3793,2018-09-17,415.0,417.0,401.0,408.3,408.3,294216.0
3792,2018-09-14,426.5,428.0,411.0,417.3,417.3,364386.0
3791,2018-09-12,440.0,441.95,418.85,419.15,419.15,848865.0
3790,2018-09-11,455.9,458.35,435.6,440.85,440.85,272572.0
3789,2018-09-10,474.4,474.4,450.5,452.95,452.95,200825.0
3788,2018-09-07,459.9,474.95,451.3,472.4,472.4,431857.0
3787,2018-09-06,444.0,461.0,444.0,458.3,458.3,585961.0
3786,2018-09-05,455.0,456.05,434.1,439.05,439.05,437308.0
3785,2018-09-04,468.0,480.0,447.3,453.6,453.6,438413.0
3784,2018-09-03,493.0,497.7,468.7,468.9,468.9,425641.0
3783,2018-08-31,486.95,499.0,477.0,493.35,493.35,724093.0
3782,2018-08-30,477.7,494.9,473.85,484.8,484.8,915051.0
3781,2018-08-29,458.4,481.8,450.0,471.35,471.35,923464.0
3780,2018-08-28,440.0,459.6,437.05,459.6,459.6,1343619.0
3779,2018-08-27,434.4,441.0,429.35,437.75,437.75,187145.0
3778,2018-08-24,439.0,443.5,428.85,430.95,430.95,330824.0
3777,2018-08-23,433.0,442.8,420.1,436.95,435.95,727043.0
3776,2018-08-21,407.9,424.0,405.05,424.0,423.0296,286214.0
3775,2018-08-20,404.0,412.3,399.2,403.85,402.9258,282493.0
3774,2018-08-17,408.5,414.85,393.0,404.15,403.2251,789164.0
3773,2018-08-16,414.0,416.65,400.4,403.4,402.4768,438723.0
3772,2018-08-14,421.95,425.5,407.1,417.25,416.2951,367498.0
3771,2018-08-13,427.85,432.5,413.1,417.3,416.345,503528.0
3770,2018-08-10,442.05,443.75,425.0,429.2,428.2177,401901.0
3769,2018-08-09,448.0,448.5,440.25,441.6,440.5894,318093.0
3768,2018-08-08,444.9,450.0,437.0,444.65,443.6324,564029.0
3767,2018-08-07,431.0,451.6,428.15,449.0,447.9724,1104436.0
3766,2018-08-06,433.1,438.0,422.0,430.1,429.1157,356269.0
3765,2018-08-03,433.95,440.0,431.55,436.3,435.3015,497989.0
3764,2018-08-02,447.0,447.4,426.95,429.3,428.3175,498653.0
3763,2018-08-01,438.85,454.4,429.0,447.25,446.2264,881799.0
3762,2018-07-31,419.0,440.1,416.15,437.25,436.2493,1003732.0
3761,2018-07-30,437.0,443.15,415.25,419.15,418.1907,794218.0
3760,2018-07-27,409.4,425.0,407.6,425.0,424.0273,663519.0
3759,2018-07-26,392.0,407.1,390.1,404.8,403.8736,1244346.0
3758,2018-07-25,395.0,400.4,381.55,387.75,386.8626,1200264.0
3757,2018-07-24,364.0,381.35,364.0,381.35,380.4773,1182546.0
3756,2018-07-23,357.1,367.35,352.3,363.2,362.3688,493957.0
3755,2018-07-20,361.8,361.8,347.15,354.05,353.2397,301383.0
3754,2018-07-19,351.0,360.5,336.5,355.7,354.886,509451.0
3753,2018-07-18,333.6,344.0,330.45,344.0,343.2127,700015.0
3752,2018-07-17,327.05,335.75,320.25,327.65,326.9001,1165320.0
3751,2018-07-16,355.0,355.9,337.1,337.1,336.3285,267226.0
3750,2018-07-13,372.3,381.75,352.05,354.8,353.988,666008.0
3749,2018-07-12,389.95,391.4,367.35,370.55,369.702,469740.0
3748,2018-07-11,386.0,391.95,385.5,386.65,385.7651,261362.0
3747,2018-07-10,388.9,394.2,384.15,386.55,385.6653,271356.0
3746,2018-07-09,390.9,395.0,383.75,386.4,385.5157,172751.0
3745,2018-07-06,393.7,394.65,382.0,387.55,386.6631,308971.0
3744,2018-07-05,398.5,411.0,385.0,387.5,386.6132,416868.0
3743,2018-07-04,385.0,404.6,381.55,404.4,403.4745,457506.0
3742,2018-07-03,388.0,397.95,375.35,385.35,384.4681,298414.0
3741,2018-07-02,413.85,413.85,393.2,393.2,392.3001,370523.0
3740,2018-06-29,409.0,419.3,407.5,413.85,412.9029,373148.0
3739,2018-06-28,404.0,411.9,398.75,407.3,406.3679,417823.0
3738,2018-06-27,404.0,416.0,397.05,405.05,404.123,950435.0
3737,2018-06-26,398.0,409.9,397.05,401.0,400.0823,589541.0
3736,2018-06-25,395.0,403.0,384.95,396.75,395.842,360592.0
3735,2018-06-22,385.0,393.95,384.95,392.3,391.4022,277222.0
3734,2018-06-21,395.0,397.0,381.8,385.15,384.2686,249676.0
3733,2018-06-20,403.0,405.7,392.4,394.1,393.1981,189479.0
3732,2018-06-19,388.6,403.9,385.45,400.4,399.4836,477187.0
3731,2018-06-18,393.0,395.95,387.0,388.9,388.01,205450.0
3730,2018-06-15,403.4,404.9,388.0,392.65,391.7514,311331.0
3729,2018-06-14,404.9,407.9,399.1,402.05,401.1299,191819.0
3728,2018-06-13,411.9,411.9,402.5,404.9,403.9734,241037.0
3727,2018-06-12,402.45,412.2,401.5,407.65,406.717,489857.0
3726,2018-06-11,400.1,412.9,398.1,400.0,399.0846,554600.0
3725,2018-06-08,412.0,416.0,393.05,401.8,400.8804,557369.0
3724,2018-06-07,416.85,424.05,411.05,413.6,412.6534,840949.0
3723,2018-06-06,375.45,414.95,375.45,413.05,412.1047,2384642.0
3722,2018-06-05,395.2,395.2,395.2,395.2,394.2956,121077.0
3721,2018-06-04,426.55,429.95,416.0,416.0,415.0479,247716.0
3720,2018-06-01,455.2,460.4,437.4,437.85,436.848,842746.0
3719,2018-05-31,479.2,480.7,456.1,460.4,459.3463,1034380.0
3718,2018-05-30,463.15,495.8,463.15,476.3,475.2099,3004549.0
3717,2018-05-29,442.35,481.6,440.45,471.25,470.1715,4909666.0
3716,2018-05-28,445.0,449.0,439.0,440.35,439.3422,874993.0
3715,2018-05-25,429.4,456.0,428.85,442.3,441.2878,2597089.0
3714,2018-05-24,427.9,431.7,418.35,426.75,425.7733,655595.0
3713,2018-05-23,419.0,428.9,419.0,424.25,423.2791,800099.0
3712,2018-05-22,402.0,425.0,397.2,422.65,421.6827,1592966.0
3711,2018-05-21,407.7,409.0,386.0,401.75,400.8306,833768.0
3710,2018-05-18,435.0,436.2,401.75,405.25,404.3225,1387171.0
3709,2018-05-17,401.0,438.9,401.0,435.2,434.204,3012046.0
3708,2018-05-16,402.0,408.6,394.05,403.85,402.9258,470642.0
3707,2018-05-15,403.9,409.8,393.5,402.0,401.08,667576.0
3706,2018-05-14,399.7,405.1,393.5,400.45,399.5335,529786.0
3705,2018-05-11,410.0,412.4,392.75,395.8,394.8942,620686.0
3704,2018-05-10,428.5,429.7,404.7,407.6,406.6672,850866.0
3703,2018-05-09,416.0,428.5,411.6,425.45,424.4763,1576494.0
3702,2018-05-08,405.7,419.5,405.0,415.35,414.3994,1579692.0
3701,2018-05-07,395.0,408.0,390.0,403.5,402.5766,1366797.0
3700,2018-05-04,399.0,402.25,382.35,390.85,389.9555,1291885.0
3699,2018-05-03,423.7,424.75,339.0,400.35,399.4338,5184814.0
3698,2018-05-02,420.0,430.9,416.1,423.7,422.7303,1927709.0
3697,2018-04-30,426.1,427.1,414.0,418.85,417.8914,985129.0
3696,2018-04-27,420.0,432.0,418.0,423.9,422.9299,1351921.0
3695,2018-04-26,419.0,423.7,411.25,416.35,415.3972,1023961.0
3694,2018-04-25,434.6,437.5,411.2,416.75,415.7962,1909106.0
3693,2018-04-24,427.4,437.7,417.5,433.1,432.1088,1939786.0
3692,2018-04-23,438.2,439.9,420.2,423.6,422.6306,1263784.0
3691,2018-04-20,425.0,452.0,424.5,436.5,435.501,6205048.0
3690,2018-04-19,383.55,426.7,382.2,421.25,420.286,4574435.0
3689,2018-04-18,386.0,386.35,377.3,382.2,381.3253,528937.0
3688,2018-04-17,387.0,394.4,376.3,383.4,382.5226,946547.0
3687,2018-04-16,378.0,386.5,375.05,384.45,383.5702,723108.0
3686,2018-04-13,380.2,387.0,375.05,382.65,381.7743,1066606.0
3685,2018-04-12,373.0,384.35,372.55,378.05,377.1848,1680275.0
3684,2018-04-11,372.5,375.5,362.55,371.7,370.8493,1154753.0
3683,2018-04-10,373.95,376.9,367.0,371.6,370.7496,796447.0
3682,2018-04-09,375.3,376.3,366.05,370.75,369.9015,879524.0
