,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,673.0,687.9,671.1,681.4,681.4,316137.0
4223,2019-06-13,658.05,679.95,658.0,669.3,669.3,252717.0
4222,2019-06-12,658.45,658.7,657.0,657.2,657.2,101614.0
4221,2019-06-11,659.1,660.3,656.0,656.65,656.65,255281.0
4220,2019-06-10,657.6,659.8,656.4,658.6,658.6,267452.0
4219,2019-06-07,657.95,662.05,656.0,656.7,656.7,224792.0
4218,2019-06-06,657.55,660.45,656.0,656.75,656.75,173615.0
4217,2019-06-04,658.5,659.25,656.0,656.45,656.45,194686.0
4216,2019-06-03,658.5,660.8,656.0,658.65,658.65,260001.0
4215,2019-05-31,661.2,691.15,657.0,657.55,657.55,198678.0
4214,2019-05-30,677.55,679.75,657.6,659.4,659.4,490209.0
4213,2019-05-29,651.5,671.0,651.5,659.3,659.3,276741.0
4212,2019-05-28,661.95,662.0,647.5,650.7,650.7,405401.0
4211,2019-05-27,663.3,663.3,659.0,660.9,660.9,517707.0
4210,2019-05-24,664.0,664.0,655.5,660.65,660.65,449706.0
4209,2019-05-23,674.0,674.0,654.75,657.3,657.3,450623.0
4208,2019-05-22,661.0,661.6,654.2,659.05,659.05,307896.0
4207,2019-05-21,670.05,672.5,651.5,657.45,657.45,95960.0
4206,2019-05-20,684.0,684.0,667.0,668.6,668.6,352162.0
4205,2019-05-17,670.5,679.9,669.5,671.25,671.25,353615.0
4204,2019-05-16,679.95,683.0,668.1,671.45,671.45,280507.0
4203,2019-05-15,677.3,683.3,672.5,677.15,677.15,285075.0
4202,2019-05-14,669.5,686.9,667.5,675.1,675.1,306869.0
4201,2019-05-13,672.9,673.1,664.35,668.0,668.0,149870.0
4200,2019-05-10,673.0,675.9,662.5,669.7,669.7,280685.0
4199,2019-05-09,691.0,693.55,666.3,669.0,669.0,242899.0
4198,2019-05-08,689.45,696.85,684.35,689.05,689.05,380403.0
4197,2019-05-07,677.2,691.25,676.35,689.4,689.4,289283.0
4196,2019-05-06,677.0,682.35,672.0,674.35,674.35,366450.0
4195,2019-05-03,680.05,692.0,667.05,673.0,673.0,376959.0
4194,2019-05-02,670.5,680.0,669.0,675.95,675.95,454218.0
4193,2019-04-30,673.9,699.65,668.0,674.6,674.6,851040.0
4192,2019-04-26,713.0,719.15,668.1,676.3,676.3,691415.0
4191,2019-04-25,714.5,731.0,708.8,713.7,713.7,509319.0
4190,2019-04-24,719.95,742.0,705.5,715.3,715.3,913390.0
4189,2019-04-23,701.5,729.65,701.5,722.85,722.85,822468.0
4188,2019-04-22,665.45,706.95,658.55,700.05,700.05,510278.0
4187,2019-04-18,666.75,668.1,662.0,664.8,664.8,234924.0
4186,2019-04-16,673.8,673.8,655.65,665.05,665.05,329121.0
4185,2019-04-15,670.9,678.0,665.5,672.95,672.95,527205.0
4184,2019-04-12,670.0,675.55,664.1,666.45,666.45,193624.0
4183,2019-04-11,660.45,670.0,657.5,669.85,669.85,230707.0
4182,2019-04-10,670.0,670.0,656.5,659.2,659.2,239094.0
4181,2019-04-09,671.45,674.65,661.25,669.5,669.5,196446.0
4180,2019-04-08,678.95,680.3,665.5,670.2,670.2,248794.0
4179,2019-04-05,673.4,687.8,665.5,679.95,679.95,248611.0
4178,2019-04-04,683.0,685.0,667.0,672.35,672.35,406225.0
4177,2019-04-03,674.9,710.0,674.9,687.55,687.55,987511.0
4176,2019-04-02,672.55,710.0,669.5,681.3,681.3,841109.0
4175,2019-04-01,665.0,674.85,663.05,669.1,669.1,440083.0
4174,2019-03-28,668.45,676.0,665.0,671.25,671.25,409107.0
4173,2019-03-27,659.15,674.6,656.0,667.3,667.3,340754.0
4172,2019-03-26,654.25,659.85,652.0,655.1,655.1,435745.0
4171,2019-03-25,650.25,680.0,649.5,653.35,653.35,883843.0
4170,2019-03-22,648.6,656.55,643.0,653.2,653.2,306076.0
4169,2019-03-20,638.0,650.0,637.55,646.35,646.35,471318.0
4168,2019-03-19,634.4,643.8,634.0,635.9,635.9,522892.0
4167,2019-03-18,631.95,638.0,631.0,631.3,631.3,454140.0
4166,2019-03-15,618.95,631.7,616.0,629.8,629.8,1110395.0
4165,2019-03-14,617.0,628.4,614.2,616.5,616.5,460503.0
4164,2019-03-13,607.0,619.8,607.0,614.0,614.0,370280.0
4163,2019-03-12,598.0,615.0,598.0,603.25,603.25,177989.0
4162,2019-03-11,585.25,602.0,585.25,593.5,593.5,134555.0
4161,2019-03-08,574.3,587.9,573.0,581.65,581.65,238041.0
4160,2019-03-07,571.9,582.4,570.25,571.7,571.7,215776.0
4159,2019-03-06,573.0,577.35,568.2,569.9,569.9,165740.0
4158,2019-03-05,569.0,577.9,566.5,573.1,573.1,138218.0
4157,2019-03-01,574.0,574.0,566.0,568.5,568.5,143814.0
4156,2019-02-28,569.8,585.75,565.5,580.1,580.1,281654.0
4155,2019-02-27,568.9,577.3,563.95,566.95,566.95,109819.0
4154,2019-02-26,556.0,573.65,553.1,565.6,565.6,154578.0
4153,2019-02-25,567.7,567.7,556.0,556.85,556.85,163727.0
4152,2019-02-22,562.0,574.0,561.8,564.75,564.75,285324.0
4151,2019-02-21,567.95,574.8,555.5,560.1,560.1,549899.0
4150,2019-02-20,559.05,591.2,559.05,565.5,565.5,794817.0
4149,2019-02-19,559.5,564.5,555.1,557.95,557.95,164825.0
4148,2019-02-18,571.0,571.0,556.3,559.55,559.55,219829.0
4147,2019-02-15,561.5,574.0,558.0,567.5,567.5,196990.0
4146,2019-02-14,570.0,574.15,557.2,560.7,560.7,280272.0
4145,2019-02-12,571.5,574.85,567.55,569.75,569.75,628304.0
4144,2019-02-11,570.5,578.7,568.25,569.5,569.5,702527.0
4143,2019-02-08,575.0,583.4,568.05,570.2,570.2,626594.0
4142,2019-02-07,572.5,584.85,571.5,575.55,575.55,492981.0
4141,2019-02-06,574.8,591.0,568.55,574.05,574.05,467269.0
4140,2019-02-05,591.5,607.7,570.5,575.15,575.15,562444.0
4139,2019-02-04,616.7,616.7,587.5,597.7,597.7,487694.0
4138,2019-02-01,610.8,622.1,608.2,618.6,618.6,243162.0
4137,2019-01-31,619.7,624.4,598.5,607.1,607.1,206452.0
4136,2019-01-30,603.0,623.4,590.1,616.4,616.4,146134.0
4135,2019-01-29,587.5,609.0,577.0,598.6,598.6,136141.0
4134,2019-01-28,583.5,596.35,575.15,584.95,584.95,118476.0
4133,2019-01-25,574.1,603.0,572.05,584.55,584.55,274953.0
4132,2019-01-24,582.55,586.25,570.5,574.0,574.0,166006.0
4131,2019-01-23,584.0,609.0,578.2,582.35,582.35,394733.0
4130,2019-01-22,583.5,589.85,575.5,584.25,584.25,93508.0
4129,2019-01-21,580.8,595.05,576.35,580.15,580.15,209040.0
4128,2019-01-18,590.9,593.9,577.0,580.15,580.15,170184.0
4127,2019-01-17,593.0,625.0,589.75,593.6,593.6,1081041.0
4126,2019-01-16,578.5,593.9,574.5,590.5,590.5,265519.0
4125,2019-01-15,574.5,590.0,567.5,578.0,578.0,512372.0
4124,2019-01-14,570.5,575.0,569.0,573.3,573.3,141536.0
4123,2019-01-11,569.4,571.95,567.15,569.95,569.95,129557.0
4122,2019-01-10,571.5,575.45,567.0,569.4,569.4,186261.0
4121,2019-01-09,571.0,572.6,568.0,570.9,570.9,501308.0
4120,2019-01-08,571.6,574.3,569.5,571.25,571.25,179381.0
4119,2019-01-07,574.75,592.85,570.5,576.3,576.3,473587.0
4118,2019-01-04,574.55,579.15,570.15,574.45,574.45,176435.0
4117,2019-01-03,572.8,578.35,568.0,574.55,574.55,371054.0
4116,2019-01-02,571.95,574.95,570.5,572.45,572.45,337617.0
4115,2019-01-01,572.95,573.0,570.5,572.15,572.15,180116.0
4114,2018-12-31,573.0,573.55,570.5,571.0,571.0,633389.0
4113,2018-12-28,573.9,598.8,570.0,570.3,570.3,507599.0
4112,2018-12-27,572.45,578.95,569.55,572.7,572.7,408291.0
4111,2018-12-26,569.5,575.0,568.25,572.1,572.1,171491.0
4110,2018-12-24,567.5,579.9,566.0,570.3,570.3,92057.0
4109,2018-12-21,570.0,580.0,562.0,566.8,566.8,233560.0
4108,2018-12-20,569.8,571.4,569.0,570.15,570.15,73709.0
4107,2018-12-19,569.95,571.2,569.5,569.75,569.75,79901.0
4106,2018-12-18,570.5,571.35,568.0,569.35,569.35,206101.0
4105,2018-12-17,571.0,572.8,567.05,570.65,570.65,139222.0
4104,2018-12-14,570.5,576.35,569.5,570.85,570.85,383976.0
4103,2018-12-13,570.5,579.0,569.05,571.6,571.6,287481.0
4102,2018-12-12,570.5,573.7,568.5,569.85,569.85,215958.0
4101,2018-12-11,570.25,574.95,563.1,570.2,570.2,203278.0
4100,2018-12-10,572.4,573.25,570.0,570.25,570.25,320514.0
4099,2018-12-07,570.4,604.95,570.0,570.65,570.65,256147.0
4098,2018-12-06,570.7,571.2,570.0,570.4,570.4,280991.0
4097,2018-12-05,571.0,571.65,570.0,570.75,570.75,370237.0
4096,2018-12-04,571.8,576.9,570.6,570.85,570.85,213639.0
4095,2018-12-03,572.25,573.0,570.8,570.9,570.9,235846.0
4094,2018-11-30,571.45,571.95,570.6,570.9,570.9,398386.0
4093,2018-11-29,572.45,572.8,570.6,571.3,571.3,577104.0
4092,2018-11-28,572.0,572.0,570.8,571.1,571.1,658400.0
4091,2018-11-27,571.5,573.4,570.8,570.95,570.95,483733.0
4090,2018-11-26,571.5,573.6,570.6,570.9,570.9,656494.0
4089,2018-11-22,573.85,573.85,570.8,570.85,570.85,593421.0
4088,2018-11-21,573.3,574.4,570.5,570.7,570.7,170550.0
4087,2018-11-20,571.6,571.6,569.8,569.9,569.9,638631.0
