,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,62.75,64.1,57.8,59.15,59.15,30889730.0
4873,2019-06-13,63.5,64.3,61.25,62.8,62.8,23062772.0
4872,2019-06-12,63.1,66.6,62.2,64.25,64.25,31726494.0
4871,2019-06-11,64.05,67.0,60.0,64.65,64.65,71870053.0
4870,2019-06-10,68.65,73.9,61.3,64.05,64.05,66580085.0
4869,2019-06-07,83.45,86.8,72.7,73.95,73.95,42881500.0
4868,2019-06-06,97.4,97.4,83.35,84.9,84.9,27261058.0
4867,2019-06-04,98.9,101.45,96.5,96.95,96.95,14043431.0
4866,2019-06-03,103.0,103.8,98.6,98.95,98.95,15459808.0
4865,2019-05-31,104.2,105.8,99.05,104.0,104.0,16774501.0
4864,2019-05-30,110.15,110.5,101.4,103.2,103.2,15073175.0
4863,2019-05-29,114.6,115.0,108.3,109.5,109.5,7326814.0
4862,2019-05-28,112.5,120.0,111.3,114.65,114.65,13163025.0
4861,2019-05-27,112.05,114.9,110.55,112.05,112.05,7628827.0
4860,2019-05-24,116.4,116.9,111.05,111.9,111.9,10159143.0
4859,2019-05-23,124.95,126.85,112.7,114.45,114.45,14644317.0
4858,2019-05-22,120.0,122.8,115.65,121.35,121.35,7461699.0
4857,2019-05-21,123.8,123.85,116.2,118.25,118.25,8749402.0
4856,2019-05-20,118.8,124.2,112.2,121.4,121.4,10580970.0
4855,2019-05-17,108.8,113.5,105.25,108.0,108.0,11047408.0
4854,2019-05-16,104.95,107.45,101.55,106.05,106.05,6829678.0
4853,2019-05-15,108.0,108.7,102.9,103.45,103.45,5404625.0
4852,2019-05-14,101.6,109.0,99.0,107.4,107.4,9355928.0
4851,2019-05-13,107.2,109.75,100.2,101.1,101.1,6732295.0
4850,2019-05-10,102.1,108.5,102.1,107.15,107.15,10773570.0
4849,2019-05-09,99.55,103.2,99.15,101.9,101.9,9073864.0
4848,2019-05-08,99.0,102.4,96.6,99.45,99.45,14389998.0
4847,2019-05-07,106.15,109.0,100.0,100.9,100.9,10579420.0
4846,2019-05-06,108.0,109.25,105.15,106.1,106.1,8810074.0
4845,2019-05-03,110.95,112.25,108.3,109.9,109.9,10877791.0
4844,2019-05-02,108.0,115.35,106.4,110.25,110.25,16498327.0
4843,2019-04-30,114.0,115.75,105.5,107.9,107.9,15792196.0
4842,2019-04-26,122.85,124.25,116.6,119.95,119.95,10654280.0
4841,2019-04-25,121.75,128.9,121.05,122.1,122.1,15058571.0
4840,2019-04-24,119.0,122.5,115.65,120.95,120.95,10698675.0
4839,2019-04-23,116.05,121.85,114.7,118.0,118.0,13824049.0
4838,2019-04-22,119.5,121.0,114.1,116.35,116.35,12261740.0
4837,2019-04-18,132.3,132.55,120.0,121.5,121.5,16928048.0
4836,2019-04-16,132.5,136.3,130.2,132.05,132.05,7716491.0
4835,2019-04-15,132.2,134.2,130.5,132.0,132.0,3808950.0
4834,2019-04-12,129.1,132.2,128.5,131.4,131.4,5807969.0
4833,2019-04-11,131.5,132.4,127.65,128.95,128.95,5420241.0
4832,2019-04-10,130.8,134.3,130.1,131.4,131.4,7094620.0
4831,2019-04-09,133.15,134.35,126.4,130.5,130.5,8534769.0
4830,2019-04-08,134.3,138.3,131.35,132.55,132.55,6382109.0
4829,2019-04-05,132.8,134.7,132.1,133.55,133.55,5492537.0
4828,2019-04-04,137.95,138.7,132.0,132.85,132.85,6309765.0
4827,2019-04-03,141.1,142.15,137.0,137.5,137.5,6939517.0
4826,2019-04-02,138.0,146.4,136.8,140.25,140.25,15133257.0
4825,2019-04-01,137.8,140.0,133.9,137.55,137.55,6885735.0
4824,2019-03-28,132.35,135.95,131.2,135.2,135.2,7584343.0
4823,2019-03-27,134.35,137.25,130.0,130.95,130.95,9668897.0
4822,2019-03-26,129.0,136.7,128.7,133.15,133.15,11785336.0
4821,2019-03-25,126.8,132.75,126.05,128.2,128.2,9384294.0
4820,2019-03-22,137.2,138.45,129.65,130.55,130.55,8126674.0
4819,2019-03-20,137.4,140.0,135.65,137.15,137.15,8515892.0
4818,2019-03-19,142.5,146.05,136.0,137.1,137.1,19368390.0
4817,2019-03-18,132.85,138.35,132.8,135.0,135.0,13176692.0
4816,2019-03-15,124.25,134.45,121.1,131.65,131.65,20051293.0
4815,2019-03-14,130.0,131.4,124.2,125.0,125.0,12742845.0
4814,2019-03-13,132.25,132.5,129.1,129.8,129.8,6196465.0
4813,2019-03-12,134.4,135.75,129.0,131.25,131.25,7962543.0
4812,2019-03-11,126.2,133.9,125.65,132.25,132.25,12312022.0
4811,2019-03-08,134.1,136.95,129.5,130.2,130.2,13832767.0
4810,2019-03-07,136.0,137.6,132.1,133.3,133.3,12254216.0
4809,2019-03-06,132.0,142.4,130.75,134.7,134.7,25797590.0
4808,2019-03-05,125.0,133.25,124.85,130.4,130.4,17468023.0
4807,2019-03-01,123.9,127.8,121.65,125.25,125.25,21588299.0
4806,2019-02-28,129.3,129.45,120.75,122.8,122.8,23600657.0
4805,2019-02-27,134.1,135.9,127.0,128.0,128.0,11439426.0
4804,2019-02-26,128.45,134.0,126.8,132.25,132.25,14329305.0
4803,2019-02-25,134.95,137.6,128.85,131.15,131.15,17453561.0
4802,2019-02-22,125.2,139.5,123.6,133.75,133.75,34461210.0
4801,2019-02-21,118.0,125.8,116.0,124.45,124.45,18854987.0
4800,2019-02-20,123.0,124.2,111.55,119.6,119.6,26845895.0
4799,2019-02-19,123.85,125.5,121.0,122.25,122.25,12533703.0
4798,2019-02-18,126.4,137.8,120.4,123.15,123.15,32556611.0
4797,2019-02-15,117.0,120.6,114.0,114.95,114.95,12758179.0
4796,2019-02-14,110.1,119.75,110.0,117.35,117.35,20679331.0
4795,2019-02-12,116.45,118.5,106.75,112.65,112.65,36900192.0
4794,2019-02-11,123.0,126.7,113.5,115.5,115.5,30015871.0
