,Date,Open,High,Low,Close,Adj Close,Volume
1527,2019-06-14,378.2,382.5,370.5,372.65,372.65,92476.0
1526,2019-06-13,378.6,382.9,373.4,378.85,378.85,155212.0
1525,2019-06-12,383.85,383.85,373.85,376.5,376.5,183246.0
1524,2019-06-11,388.0,388.7,372.25,379.75,379.75,569634.0
1523,2019-06-10,387.0,392.6,382.25,387.3,387.3,193959.0
1522,2019-06-07,388.8,394.0,379.2,385.7,385.7,446790.0
1521,2019-06-06,398.0,398.2,382.3,385.45,385.45,413760.0
1520,2019-06-04,400.0,407.8,396.0,400.3,400.3,704286.0
1519,2019-06-03,404.8,411.9,398.0,399.85,399.85,534246.0
1518,2019-05-31,418.95,421.9,401.2,402.8,402.8,424242.0
1517,2019-05-30,410.0,425.65,408.5,416.0,416.0,789595.0
1516,2019-05-29,415.0,419.65,400.0,405.9,405.9,307949.0
1515,2019-05-28,427.9,429.15,415.7,419.7,419.7,185619.0
1514,2019-05-27,412.5,430.0,412.5,424.15,424.15,223087.0
1513,2019-05-24,421.65,429.0,414.15,419.85,419.85,343596.0
1512,2019-05-23,421.2,442.7,416.1,419.3,419.3,443444.0
1511,2019-05-22,427.0,427.0,412.25,418.35,418.35,141637.0
1510,2019-05-21,443.0,444.25,420.9,425.7,425.7,248510.0
1509,2019-05-20,417.0,439.6,415.0,437.3,437.3,230523.0
1508,2019-05-17,410.0,417.1,403.45,408.5,408.5,112711.0
1507,2019-05-16,403.05,418.0,392.15,410.3,410.3,322352.0
1506,2019-05-15,400.45,407.9,396.6,403.0,403.0,140769.0
1505,2019-05-14,382.0,405.5,379.1,400.45,400.45,292120.0
1504,2019-05-13,400.0,402.75,381.3,383.85,383.85,138335.0
1503,2019-05-10,401.95,407.65,396.95,399.0,399.0,407882.0
1502,2019-05-09,395.0,406.9,393.0,400.0,400.0,233263.0
1501,2019-05-08,412.1,412.9,397.0,399.8,399.8,371330.0
1500,2019-05-07,423.1,427.65,409.0,410.55,410.55,156542.0
1499,2019-05-06,414.9,422.3,409.6,420.3,420.3,243500.0
1498,2019-05-03,416.0,426.0,414.5,417.1,417.1,189007.0
1497,2019-05-02,414.9,427.25,395.4,417.8,417.8,220306.0
1496,2019-04-30,428.0,428.0,415.2,417.4,417.4,354824.0
1495,2019-04-26,438.0,438.0,427.2,430.1,430.1,100707.0
1494,2019-04-25,435.15,446.9,431.75,436.2,436.2,223867.0
1493,2019-04-24,430.05,437.5,424.15,435.15,435.15,192953.0
1492,2019-04-23,419.5,433.0,417.4,427.4,427.4,175563.0
1491,2019-04-22,422.0,437.7,414.6,422.55,422.55,559353.0
