,Date,Open,High,Low,Close,Adj Close,Volume
1856,2019-06-14,252.45,256.75,250.2,252.25,252.25,3967.0
1855,2019-06-13,260.0,260.0,252.5,254.2,254.2,5922.0
1854,2019-06-12,261.75,261.95,257.0,258.4,258.4,7154.0
1853,2019-06-11,261.1,262.6,256.95,257.55,257.55,6657.0
1852,2019-06-10,266.95,266.95,260.35,260.85,260.85,8068.0
1851,2019-06-07,266.0,266.0,260.6,262.6,262.6,6605.0
1850,2019-06-06,271.95,271.95,260.0,264.55,264.55,20833.0
1849,2019-06-04,277.2,280.65,268.1,270.25,270.25,19226.0
1848,2019-06-03,281.95,282.05,277.1,277.75,277.75,20619.0
1847,2019-05-31,282.95,282.95,277.65,279.65,279.65,13152.0
1846,2019-05-30,283.7,284.0,279.45,281.35,281.35,7983.0
1845,2019-05-29,286.4,291.05,280.0,281.55,281.55,22444.0
1844,2019-05-28,280.0,297.25,280.0,284.4,284.4,52935.0
1843,2019-05-27,281.95,283.0,278.0,279.2,279.2,40269.0
1842,2019-05-24,282.0,285.0,281.0,282.1,282.1,15978.0
1841,2019-05-23,284.15,286.4,278.05,279.7,279.7,13832.0
1840,2019-05-22,283.7,284.05,280.05,282.6,282.6,25418.0
1839,2019-05-21,283.95,288.05,280.0,281.85,281.85,19143.0
1838,2019-05-20,295.95,295.95,281.15,283.7,283.7,36705.0
1837,2019-05-17,280.05,285.0,276.05,279.05,279.05,9717.0
1836,2019-05-16,288.0,288.0,280.0,282.3,282.3,8561.0
1835,2019-05-15,289.05,297.95,285.0,287.35,287.35,3236.0
1834,2019-05-14,289.0,299.0,286.9,291.25,291.25,4930.0
1833,2019-05-13,295.2,299.4,282.0,289.35,289.35,7602.0
1832,2019-05-10,295.05,306.75,295.05,297.65,297.65,17056.0
1831,2019-05-09,299.0,302.7,295.05,296.85,296.85,7105.0
1830,2019-05-08,302.7,305.0,300.0,300.95,300.95,10799.0
1829,2019-05-07,309.85,311.55,300.05,302.7,302.7,12461.0
1828,2019-05-06,311.6,314.0,303.95,308.65,308.65,11302.0
1827,2019-05-03,321.7,323.05,312.0,316.85,316.85,5867.0
1826,2019-05-02,319.05,325.0,319.0,320.25,320.25,7150.0
1825,2019-04-30,330.0,330.0,320.0,321.95,321.95,6252.0
1824,2019-04-26,330.05,332.35,324.5,327.75,327.75,10824.0
1823,2019-04-25,328.25,334.0,327.05,330.0,330.0,8083.0
1822,2019-04-24,329.4,334.95,323.0,326.7,326.7,15820.0
1821,2019-04-23,334.15,335.25,326.1,327.2,327.2,5391.0
1820,2019-04-22,334.05,338.8,329.5,330.3,330.3,5368.0
1819,2019-04-18,336.15,342.5,333.35,336.65,336.65,8506.0
1818,2019-04-16,340.05,342.6,338.05,338.95,338.95,8210.0
1817,2019-04-15,339.9,347.0,337.0,337.55,337.55,12754.0
1816,2019-04-12,338.7,343.75,335.75,337.6,337.6,6169.0
1815,2019-04-11,338.5,342.7,334.65,337.7,337.7,7465.0
1814,2019-04-10,337.05,343.4,335.65,337.75,337.75,10562.0
1813,2019-04-09,340.45,341.0,335.1,337.55,337.55,7215.0
1812,2019-04-08,349.0,349.0,339.9,340.65,340.65,8743.0
1811,2019-04-05,343.5,353.9,339.45,345.75,345.75,20707.0
1810,2019-04-04,345.9,352.55,336.0,340.35,340.35,15833.0
1809,2019-04-03,346.05,354.0,345.95,347.4,347.4,17791.0
1808,2019-04-02,349.1,349.15,342.5,344.25,344.25,7459.0
1807,2019-04-01,344.95,354.2,344.1,350.95,350.95,17036.0
1806,2019-03-28,345.2,352.9,341.95,345.15,345.15,19431.0
1805,2019-03-27,353.05,357.8,337.0,342.95,342.95,88507.0
1804,2019-03-26,328.25,362.4,327.5,358.4,358.4,153844.0
1803,2019-03-25,334.9,334.9,323.6,326.2,326.2,7255.0
1802,2019-03-22,333.0,338.95,333.0,336.7,336.7,7554.0
1801,2019-03-20,332.0,337.75,330.0,331.6,331.6,6498.0
1800,2019-03-19,333.3,343.75,328.0,336.05,336.05,17391.0
1799,2019-03-18,344.25,345.4,328.0,330.3,330.3,16702.0
1798,2019-03-15,353.0,360.65,340.0,341.1,341.1,20757.0
1797,2019-03-14,359.4,359.5,350.0,351.55,351.55,9314.0
1796,2019-03-13,351.2,362.65,351.2,357.3,357.3,32637.0
1795,2019-03-12,352.0,363.1,349.05,353.8,353.8,32174.0
1794,2019-03-11,349.45,354.0,347.55,350.65,350.65,33457.0
1793,2019-03-08,337.0,351.7,337.0,347.0,347.0,43135.0
1792,2019-03-07,344.0,347.0,338.0,340.05,340.05,25302.0
1791,2019-03-06,337.4,351.3,334.75,341.55,341.55,52174.0
1790,2019-03-05,312.2,338.5,312.15,334.85,334.85,63484.0
1789,2019-03-01,306.9,316.05,306.55,313.55,313.55,8722.0
1788,2019-02-28,306.9,310.5,305.5,306.55,306.55,6448.0
1787,2019-02-27,306.3,315.05,303.1,305.9,305.9,13276.0
1786,2019-02-26,306.8,311.65,303.0,304.75,304.75,7577.0
1785,2019-02-25,311.7,312.0,307.5,309.65,309.65,15716.0
1784,2019-02-22,313.2,317.8,308.3,309.0,309.0,7848.0
1783,2019-02-21,307.4,312.0,307.0,311.35,311.35,2810.0
1782,2019-02-20,309.5,310.5,306.15,307.8,307.8,3631.0
1781,2019-02-19,308.7,312.6,306.1,307.2,307.2,5387.0
1780,2019-02-18,311.15,311.2,307.95,308.65,308.65,4071.0
1779,2019-02-15,310.65,316.9,306.4,311.1,311.1,10404.0
1778,2019-02-14,310.6,314.4,302.9,310.95,310.95,5741.0
1777,2019-02-12,316.9,324.0,307.0,307.85,307.85,13950.0
1776,2019-02-11,324.0,328.5,313.15,314.45,314.45,9222.0
1775,2019-02-08,327.9,331.35,325.1,327.9,327.9,4019.0
1774,2019-02-07,326.15,336.95,324.25,330.05,330.05,9888.0
1773,2019-02-06,330.25,333.0,321.25,324.05,324.05,8418.0
1772,2019-02-05,335.05,341.9,328.0,329.0,329.0,7897.0
1771,2019-02-04,336.65,339.75,336.0,336.4,336.4,3857.0
1770,2019-02-01,342.85,346.05,335.0,338.95,338.95,8316.0
1769,2019-01-31,342.5,345.5,338.0,339.35,339.35,7949.0
1768,2019-01-30,340.25,349.95,339.25,341.4,341.4,9735.0
1767,2019-01-29,338.0,342.0,336.0,339.95,339.95,7779.0
1766,2019-01-28,345.0,350.5,332.6,339.45,339.45,17260.0
1765,2019-01-25,357.35,357.35,349.0,350.85,350.85,22787.0
1764,2019-01-24,352.4,359.4,345.0,357.4,357.4,37788.0
1763,2019-01-23,351.15,355.0,350.5,352.65,352.65,16664.0
1762,2019-01-22,353.7,355.0,350.0,351.15,351.15,13578.0
1761,2019-01-21,350.9,357.0,350.9,352.0,352.0,19899.0
1760,2019-01-18,351.8,353.15,348.0,349.0,349.0,12194.0
1759,2019-01-17,349.75,358.0,347.0,349.15,349.15,21754.0
1758,2019-01-16,350.0,364.0,347.0,349.75,349.75,62827.0
1757,2019-01-15,346.0,352.0,344.0,347.65,347.65,26184.0
1756,2019-01-14,348.85,350.0,342.0,344.05,344.05,26735.0
1755,2019-01-11,343.6,344.3,338.9,340.3,340.3,21169.0
1754,2019-01-10,346.75,346.75,339.35,342.15,342.15,30625.0
1753,2019-01-09,351.0,353.8,343.0,344.15,344.15,27609.0
1752,2019-01-08,345.75,350.6,342.35,346.5,346.5,24257.0
1751,2019-01-07,354.0,354.0,342.2,344.1,344.1,33675.0
1750,2019-01-04,354.0,356.5,348.0,349.4,349.4,34822.0
1749,2019-01-03,351.8,359.9,351.0,352.65,352.65,87115.0
1748,2019-01-02,344.7,363.7,341.1,350.2,350.2,792329.0
1747,2019-01-01,330.0,363.6,330.0,348.55,348.55,247747.0
1746,2018-12-31,324.0,333.15,321.85,329.6,329.6,18863.0
1745,2018-12-28,317.25,324.7,317.25,321.25,321.25,21150.0
1744,2018-12-27,318.15,321.9,312.1,317.2,317.2,7205.0
1743,2018-12-26,317.25,319.9,310.0,317.45,317.45,15212.0
1742,2018-12-24,327.4,328.0,316.0,317.15,317.15,12379.0
1741,2018-12-21,325.0,337.8,321.05,324.4,324.4,91759.0
1740,2018-12-20,322.65,327.0,321.35,322.1,322.1,6438.0
1739,2018-12-19,321.15,332.5,321.15,323.2,323.2,19205.0
1738,2018-12-18,321.95,327.0,319.75,320.95,320.95,10708.0
1737,2018-12-17,315.7,334.8,315.7,322.6,322.6,45749.0
1736,2018-12-14,313.5,319.6,313.5,315.05,315.05,6374.0
1735,2018-12-13,321.85,323.4,317.15,318.55,318.55,9943.0
1734,2018-12-12,313.95,324.0,313.6,319.05,319.05,14590.0
1733,2018-12-11,304.85,313.15,301.0,310.7,310.7,8556.0
1732,2018-12-10,309.0,309.0,302.1,306.55,306.55,15473.0
1731,2018-12-07,313.05,319.0,310.1,311.05,311.05,8869.0
1730,2018-12-06,315.0,315.0,310.05,312.55,312.55,8110.0
1729,2018-12-05,316.7,323.0,313.0,315.15,315.15,12229.0
1728,2018-12-04,317.0,323.55,316.0,316.7,316.7,10932.0
1727,2018-12-03,325.9,325.9,316.55,318.5,318.5,14803.0
1726,2018-11-30,312.4,331.7,312.4,323.25,323.25,83524.0
1725,2018-11-29,312.05,318.0,310.0,312.25,312.25,13349.0
1724,2018-11-28,319.1,321.0,310.0,311.05,311.05,15055.0
1723,2018-11-27,314.1,324.0,313.35,319.1,319.1,21696.0
1722,2018-11-26,318.8,323.95,312.8,317.45,317.45,19488.0
1721,2018-11-22,322.25,330.0,312.1,317.9,317.9,46020.0
1720,2018-11-21,303.75,341.8,301.45,323.7,323.7,322103.0
1719,2018-11-20,310.0,313.8,301.0,302.55,302.55,12749.0
1718,2018-11-19,316.8,319.8,311.0,313.7,313.7,8187.0
1717,2018-11-16,325.0,327.95,315.0,316.8,316.8,18551.0
