,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,5405.0,5461.1001,5380.0,5419.7002,5419.7002,6714.0
4223,2019-06-13,5410.0,5428.4502,5360.0,5404.0498,5404.0498,7433.0
4222,2019-06-12,5600.0,5650.0,5395.1001,5428.4502,5428.4502,14393.0
4221,2019-06-11,5459.0,5625.0,5459.0,5595.6001,5595.6001,26048.0
4220,2019-06-10,5475.0,5475.0,5411.2002,5424.5,5424.5,8416.0
4219,2019-06-07,5381.0,5460.0,5381.0,5435.6001,5435.6001,2446.0
4218,2019-06-06,5400.0,5471.0,5345.3501,5434.8999,5434.8999,26931.0
4217,2019-06-04,5474.8999,5474.8999,5367.0,5391.25,5391.25,16517.0
4216,2019-06-03,5498.0,5499.8999,5410.0,5435.8501,5435.8501,10181.0
4215,2019-05-31,5409.9502,5500.0,5361.7002,5465.6001,5465.6001,7731.0
4214,2019-05-30,5410.0,5434.8999,5335.0,5356.2998,5356.2998,12303.0
4213,2019-05-29,5491.6499,5520.0498,5385.1001,5405.5,5405.5,11288.0
4212,2019-05-28,5445.0,5519.0,5420.0498,5491.6499,5491.6499,18508.0
4211,2019-05-27,5395.4502,5499.0,5362.0,5419.7998,5419.7998,2396.0
4210,2019-05-24,5500.0,5500.0,5385.0,5395.4502,5395.4502,6913.0
4209,2019-05-23,5599.7002,5599.7002,5401.0,5480.8501,5480.8501,38219.0
4208,2019-05-22,5524.6001,5578.1499,5470.0,5528.25,5528.25,9358.0
4207,2019-05-21,5464.0,5522.3501,5432.0,5486.9502,5486.9502,28763.0
4206,2019-05-20,5488.0,5534.8999,5408.6499,5480.7002,5480.7002,15430.0
4205,2019-05-17,5410.2002,5439.9502,5360.75,5380.6001,5380.6001,25775.0
4204,2019-05-16,5425.0498,5440.4502,5390.0,5409.2998,5409.2998,8285.0
4203,2019-05-15,5450.2998,5472.1001,5409.2998,5433.3501,5433.3501,1451.0
4202,2019-05-14,5448.7998,5460.0,5361.5498,5445.3999,5445.3999,45644.0
4201,2019-05-13,5413.8999,5544.0,5362.25,5448.25,5448.25,12887.0
4200,2019-05-10,5499.8501,5534.0498,5405.2998,5413.8999,5413.8999,9989.0
4199,2019-05-09,5565.4502,5628.0,5500.0,5504.3999,5504.3999,13902.0
4198,2019-05-08,5602.0,5634.8501,5521.0,5565.7002,5565.7002,7909.0
4197,2019-05-07,5576.1001,5660.0,5500.0,5628.8501,5628.8501,23476.0
4196,2019-05-06,5526.0,5574.6001,5489.1001,5537.5,5537.5,35943.0
4195,2019-05-03,5575.0,5622.1499,5502.0,5513.0498,5513.0498,3579.0
4194,2019-05-02,5655.0,5670.0,5575.0,5599.5498,5599.5498,32123.0
4193,2019-04-30,5640.0,5659.9502,5600.0,5611.0498,5611.0498,21415.0
4192,2019-04-26,5624.0,5695.0,5601.0,5643.1001,5577.1001,14683.0
4191,2019-04-25,5650.0,5650.0,5601.0,5615.1499,5484.249,6460.0
4190,2019-04-24,5710.0,5744.0,5655.0,5669.0,5472.3818,3288.0
4189,2019-04-23,5797.0,5798.0,5700.0,5707.8501,5509.8848,7032.0
4188,2019-04-22,5824.9502,5824.9502,5730.0,5763.8501,5563.9424,3378.0
4187,2019-04-18,5800.0,5819.9502,5751.0,5766.9502,5566.9351,22313.0
4186,2019-04-16,5849.9502,5888.9502,5790.0,5817.9502,5616.166,6403.0
4185,2019-04-15,5750.0,5844.0,5750.0,5798.0498,5596.9561,2762.0
4184,2019-04-12,5803.0,5835.8999,5664.8999,5726.25,5527.6465,32810.0
4183,2019-04-11,5857.0,5857.0,5762.6001,5802.25,5601.0107,7650.0
4182,2019-04-10,5875.0,5877.5498,5763.0,5791.2002,5590.3438,6007.0
4181,2019-04-09,5900.0,5915.5,5830.0498,5854.2998,5651.2554,5671.0
4180,2019-04-08,5866.0,5929.9502,5840.0,5864.75,5661.3428,9591.0
4179,2019-04-05,5861.0,5920.0,5842.9502,5904.6001,5699.8105,4487.0
4178,2019-04-04,5900.0,5933.0,5845.7998,5861.1001,5657.8198,10694.0
4177,2019-04-03,5904.0,5965.5,5853.1001,5904.8501,5700.0518,8589.0
4176,2019-04-02,5832.0,5947.9502,5810.9502,5917.4502,5712.2153,5583.0
4175,2019-04-01,5901.0,5938.8999,5812.6499,5832.0,5629.7285,8094.0
4174,2019-03-28,5770.0,5849.8999,5704.9502,5762.0,5562.1563,31632.0
4173,2019-03-27,5700.0498,5860.0,5666.0,5748.8501,5549.4629,31412.0
4172,2019-03-26,5620.0,5880.0,5561.7998,5712.8501,5514.7109,25028.0
4171,2019-03-25,5555.0,5620.0,5525.0,5585.1001,5391.3921,5507.0
4170,2019-03-22,5649.9502,5649.9502,5510.0,5522.0,5330.4805,9858.0
4169,2019-03-20,5606.7998,5649.1001,5560.0,5599.5,5405.2925,10209.0
4168,2019-03-19,5610.0,5630.0,5505.5,5606.7998,5412.3389,43427.0
4167,2019-03-18,5726.3501,5779.0,5588.0,5610.8999,5416.2969,11768.0
4166,2019-03-15,5800.0,5800.0,5644.25,5719.5,5521.1309,14942.0
4165,2019-03-14,5799.0,5819.8999,5622.0498,5760.1001,5560.3228,7938.0
4164,2019-03-13,5765.3501,5850.0,5690.0,5719.4502,5521.0825,9382.0
4163,2019-03-12,5616.25,5855.0,5616.0498,5729.8501,5531.1221,39354.0
4162,2019-03-11,5592.0,5625.5498,5541.1001,5616.25,5421.4614,11361.0
4161,2019-03-08,5592.6499,5624.7998,5461.5498,5547.2002,5354.8066,33010.0
4160,2019-03-07,5706.3501,5720.0,5553.1001,5593.9502,5399.9351,106777.0
4159,2019-03-06,5790.1001,5848.7998,5680.4502,5706.3501,5508.4365,23066.0
4158,2019-03-05,5870.0,5980.0,5770.0,5788.7998,5588.0264,24312.0
4157,2019-03-01,5991.0,6019.0,5861.1001,5877.25,5673.4092,10222.0
4156,2019-02-28,5999.0,6030.0,5920.1499,5970.1001,5763.0396,23818.0
4155,2019-02-27,6080.0,6189.0,5872.0,5954.8501,5748.3184,27358.0
4154,2019-02-26,6185.1001,6190.0,6032.25,6068.6001,5858.1226,4548.0
4153,2019-02-25,5995.0,6218.0,5979.6499,6176.1001,5961.8945,5985.0
4152,2019-02-22,6029.9502,6040.0,5950.0,5980.1499,5772.7407,10503.0
4151,2019-02-21,5979.0,6074.0,5965.3999,6006.0498,5797.7417,15419.0
4150,2019-02-20,5920.25,5999.0,5880.0498,5979.0,5771.6304,23446.0
4149,2019-02-19,5949.9502,6030.0,5851.5498,5899.9502,5695.3223,3995.0
4148,2019-02-18,6182.0,6266.8501,5940.0,5961.3999,5754.6406,5524.0
4147,2019-02-15,6264.25,6328.6499,6170.0,6195.7998,5980.9106,12115.0
4146,2019-02-14,6310.0,6338.2002,6270.0,6280.1001,6062.2871,5199.0
4145,2019-02-12,6284.7002,6397.7998,6265.0,6311.8999,6092.9844,12801.0
4144,2019-02-11,6533.9502,6555.3999,6270.0,6348.2002,6128.0254,19274.0
4143,2019-02-08,6432.8999,6593.0,6421.25,6555.75,6328.377,2960.0
4142,2019-02-07,6529.0,6549.0,6435.0,6451.25,6227.501,2512.0
4141,2019-02-06,6340.2002,6530.0,6340.2002,6452.2998,6228.5142,3908.0
4140,2019-02-05,6445.0,6460.0,6370.0,6386.3501,6164.8521,1097.0
4139,2019-02-04,6529.0,6547.1001,6400.0,6444.5,6220.9854,1998.0
4138,2019-02-01,6464.0,6599.2998,6382.7998,6533.2002,6306.6094,6523.0
4137,2019-01-31,6400.0,6519.0,6400.0,6464.6499,6240.4365,19493.0
4136,2019-01-30,6371.8501,6530.0,6326.1499,6441.5,6218.0894,28772.0
4135,2019-01-29,6292.0498,6400.0,6278.3999,6350.75,6130.4868,11082.0
4134,2019-01-28,6339.6499,6347.9502,6211.0,6324.6001,6105.2441,3561.0
4133,2019-01-25,6403.1499,6480.0,6231.1001,6277.9502,6060.2114,16531.0
4132,2019-01-24,6399.5,6449.5,6355.1001,6403.4502,6181.3594,729.0
4131,2019-01-23,6410.7002,6452.3501,6375.1499,6403.2998,6181.2144,1218.0
4130,2019-01-22,6440.0,6468.8501,6352.0,6408.5,6186.2339,2692.0
4129,2019-01-21,6388.0,6445.0,6350.0,6430.5498,6207.519,1901.0
4128,2019-01-18,6362.75,6438.0,6326.9502,6389.1499,6167.5552,1891.0
4127,2019-01-17,6399.5,6420.0,6335.0498,6388.25,6166.6865,10102.0
4126,2019-01-16,6261.8999,6413.9502,6261.8999,6383.3501,6161.9561,4904.0
4125,2019-01-15,6264.2002,6327.0,6206.6001,6293.6499,6075.3672,10543.0
4124,2019-01-14,6232.8999,6289.8999,6192.0498,6270.25,6052.7793,1199.0
4123,2019-01-11,6250.0,6299.8501,6201.0,6232.8501,6016.6763,2082.0
4122,2019-01-10,6262.8501,6342.1001,6211.7998,6231.3999,6015.2759,2292.0
4121,2019-01-09,6145.0498,6297.9502,6130.1499,6224.75,6008.8569,20766.0
4120,2019-01-08,6121.0,6217.6001,6090.1001,6191.25,5976.519,2367.0
4119,2019-01-07,6147.0498,6224.7002,6077.0,6105.6001,5893.8398,2042.0
4118,2019-01-04,6200.3501,6270.0,6101.25,6128.25,5915.7041,7096.0
4117,2019-01-03,6235.0,6279.9502,6210.1001,6234.1001,6017.8828,880.0
4116,2019-01-02,6343.2998,6350.0,6216.2998,6234.25,6018.0273,907.0
4115,2019-01-01,6370.0,6380.0,6300.0,6339.9502,6120.0615,1412.0
4114,2018-12-31,6276.1001,6479.9502,6252.6499,6370.5,6149.5522,13500.0
4113,2018-12-28,6230.0,6400.0,6158.0498,6339.3999,6119.5303,5479.0
4112,2018-12-27,6229.0,6283.0,6098.5,6230.0498,6013.9731,2334.0
4111,2018-12-26,6166.5,6166.5,6032.5498,6143.7002,5930.6182,1582.0
4110,2018-12-24,6043.6499,6189.0,6016.0,6132.7002,5920.0,4733.0
4109,2018-12-21,6130.0,6174.8999,6025.75,6064.3501,5854.02,31521.0
4108,2018-12-20,6271.0,6299.9502,6101.0,6130.6001,5917.9727,9438.0
4107,2018-12-19,6235.0,6349.0,6210.0,6294.7002,6076.3813,6088.0
4106,2018-12-18,6254.25,6299.9502,6200.0,6235.6499,6019.3789,3027.0
4105,2018-12-17,6305.5498,6336.8999,6244.0,6260.2998,6043.1733,2912.0
4104,2018-12-14,6284.7002,6340.0,6259.2002,6303.2998,6084.6821,1929.0
4103,2018-12-13,6307.2002,6307.2002,6200.0,6299.3999,6080.918,2687.0
4102,2018-12-12,6128.0,6350.0,6078.0,6260.7998,6043.6567,5559.0
4101,2018-12-11,6005.1499,6258.0,6000.0,6077.25,5866.4727,3651.0
4100,2018-12-10,6072.2998,6144.1499,6000.0,6078.2002,5867.3901,3344.0
4099,2018-12-07,6199.0,6238.0,6077.75,6133.5498,5920.8198,2583.0
4098,2018-12-06,6189.6499,6200.0,6115.2998,6199.5498,5984.5313,10751.0
4097,2018-12-05,6181.7002,6246.9502,6143.9502,6198.6001,5983.6138,4144.0
4096,2018-12-04,6298.0,6298.0,6142.6001,6181.7002,5967.2998,3643.0
4095,2018-12-03,6204.75,6348.0,6175.1001,6249.6001,6032.8452,4718.0
4094,2018-11-30,6066.9502,6253.1001,5998.0,6156.25,5942.7329,9019.0
4093,2018-11-29,5985.0,6155.25,5960.1001,6068.8501,5858.3638,9264.0
4092,2018-11-28,6050.0,6050.0,5964.75,5981.4502,5773.9956,1784.0
4091,2018-11-27,6074.0,6074.0,5975.3501,6002.2998,5794.1221,1972.0
4090,2018-11-26,6017.0498,6093.8501,5983.2002,6005.1001,5796.8252,6388.0
4089,2018-11-22,6115.0,6115.0,5920.2002,6007.8999,5799.5273,3972.0
4088,2018-11-21,6112.5498,6115.0,6052.9502,6065.7002,5855.3232,927.0
4087,2018-11-20,6067.8501,6150.0,6060.25,6119.6499,5907.4023,6763.0
4086,2018-11-19,6099.0498,6150.1499,6055.0,6088.1001,5876.9463,8588.0
4085,2018-11-16,6098.0,6148.0,6040.0,6079.3501,5868.5005,6586.0
4084,2018-11-15,6099.0,6231.2998,6085.0498,6147.5,5934.2861,9267.0
4083,2018-11-14,6075.0,6170.0,6050.25,6099.3999,5887.8545,10864.0
4082,2018-11-13,6081.0,6149.7998,6065.0,6086.3999,5875.3057,5243.0
4081,2018-11-12,6217.0,6247.3501,6116.1001,6145.1499,5932.0176,4412.0
4080,2018-11-09,5999.9502,6200.0,5950.0,6177.7998,5963.5347,20209.0
4079,2018-11-07,5930.0,6000.0,5930.0,5994.4502,5786.5444,489.0
4078,2018-11-06,5939.8501,5990.0498,5860.1001,5934.3999,5728.5771,6414.0
4077,2018-11-05,5856.0,6029.7998,5856.0,5935.5498,5729.687,11003.0
4076,2018-11-02,5940.0,6000.0,5870.0,5910.3999,5705.4092,17046.0
4075,2018-11-01,5800.0,5970.0,5800.0,5892.0,5687.6479,12644.0
4074,2018-10-31,5663.0498,5870.0,5663.0498,5791.2002,5590.3438,10343.0
4073,2018-10-30,5774.7998,5809.1001,5730.0,5764.6499,5564.7144,6934.0
4072,2018-10-29,5751.5,5899.7002,5710.0,5762.9502,5563.0737,4253.0
4071,2018-10-26,5741.0,5837.9502,5651.0498,5784.9502,5584.3105,18211.0
4070,2018-10-25,5797.8999,5797.8999,5600.0,5707.3999,5509.4502,8103.0
4069,2018-10-24,5749.1001,5810.0,5666.5,5702.5,5504.7197,10424.0
4068,2018-10-23,5825.0,5840.0,5699.0,5760.8501,5561.0464,3120.0
4067,2018-10-22,5918.0,5925.75,5800.0498,5829.6499,5627.46,8225.0
4066,2018-10-19,5876.2002,5974.2002,5872.1499,5918.1499,5712.8906,12413.0
4065,2018-10-17,6048.7998,6048.7998,5885.0,5917.3999,5712.167,4313.0
4064,2018-10-16,5993.0,6010.0,5968.9502,5994.6499,5786.7373,6194.0
4063,2018-10-15,5966.0,6039.8501,5871.7998,5992.7998,5784.9517,10685.0
4062,2018-10-12,5953.4502,6045.0,5919.0498,5944.3501,5738.1821,4034.0
4061,2018-10-11,5915.0,5983.8999,5815.25,5947.0,5740.7397,3817.0
4060,2018-10-10,6049.8999,6049.8999,5915.0,5990.5498,5782.7793,6928.0
4059,2018-10-09,5984.9502,6037.7002,5920.0,5988.2002,5780.5112,5671.0
4058,2018-10-08,6070.0,6070.0,5915.6001,5954.7002,5748.1733,4260.0
4057,2018-10-05,6149.9502,6289.0,5960.0,6059.7998,5849.6279,6149.0
4056,2018-10-04,6107.0,6155.5498,5980.0,6054.8501,5844.8496,8909.0
4055,2018-10-03,6241.0,6296.3999,6154.9502,6200.9502,5985.8823,5754.0
4054,2018-10-01,6351.6499,6427.0,6101.0,6223.0498,6007.2158,8273.0
4053,2018-09-28,6260.0,6440.0,6164.2998,6304.3999,6085.7446,15053.0
4052,2018-09-27,6310.0,6540.0,6260.0,6321.4502,6102.2036,5700.0
4051,2018-09-26,6570.0,6599.75,6301.0498,6367.1001,6146.27,4827.0
4050,2018-09-25,6390.0498,6590.0,6225.5,6502.2998,6276.7808,14203.0
4049,2018-09-24,6620.0,6635.7998,6350.0,6410.3501,6188.02,4463.0
4048,2018-09-21,6330.0,6599.0,6060.0,6538.1499,6311.3872,26730.0
4047,2018-09-19,6415.0,6489.75,6257.8999,6303.8999,6085.2617,23409.0
4046,2018-09-18,6552.7002,6592.8501,6383.0,6420.2002,6197.5283,9598.0
4045,2018-09-17,6570.0,6602.7998,6505.1499,6532.8501,6306.2715,2481.0
4044,2018-09-14,6648.7002,6650.0,6534.2998,6583.0498,6354.73,9240.0
4043,2018-09-12,6551.0,6639.75,6489.0,6586.4502,6358.0127,43224.0
4042,2018-09-11,6660.0,6700.0,6600.0,6623.75,6394.0181,15125.0
4041,2018-09-10,6580.0,6774.9502,6577.7998,6649.0,6418.3926,20588.0
4040,2018-09-07,6550.0,6640.0,6525.2998,6577.7002,6349.5659,41901.0
4039,2018-09-06,6586.3999,6619.4502,6490.0,6516.4502,6290.4404,31822.0
4038,2018-09-05,6523.6001,6684.0,6435.0,6537.3999,6310.6631,20042.0
4037,2018-09-04,6500.0,6574.7998,6412.0,6497.6001,6272.2441,22849.0
4036,2018-09-03,6429.0,6525.0,6422.9502,6495.5498,6270.2646,34503.0
4035,2018-08-31,6354.0,6420.0,6265.0,6400.1499,6178.1733,26465.0
4034,2018-08-30,6264.8999,6385.0,6201.0,6320.5,6101.2861,18436.0
4033,2018-08-29,6479.8501,6525.0,6180.0,6217.3501,6001.7134,19458.0
4032,2018-08-28,6181.75,6590.0,6165.0,6442.0,6218.5718,45358.0
4031,2018-08-27,6135.0,6295.5,6085.0,6135.75,5922.9438,74720.0
4030,2018-08-24,6200.0,6200.0,6076.1001,6091.5,5880.2285,14684.0
4029,2018-08-23,6110.0,6225.0,6080.2002,6155.7002,5942.2017,10763.0
4028,2018-08-21,6232.0,6232.0,6050.0,6114.6499,5902.5757,11226.0
4027,2018-08-20,6395.0,6395.0,6162.25,6180.9502,5966.5762,5111.0
4026,2018-08-17,6400.0,6400.0,6289.9502,6331.5498,6111.9521,20064.0
4025,2018-08-16,6374.0,6436.2002,6301.0,6320.6499,6101.4307,9218.0
4024,2018-08-14,6310.0,6417.6499,6310.0,6346.9502,6126.8188,3570.0
4023,2018-08-13,6350.0,6470.7002,6257.1499,6333.2998,6113.6421,6085.0
4022,2018-08-10,6300.0,6420.0,6271.3501,6367.5,6146.6558,15086.0
4021,2018-08-09,6180.0,6279.8501,6130.1001,6246.8501,6030.1904,7503.0
4020,2018-08-08,6214.0,6214.0,6130.1001,6146.1001,5932.9346,6532.0
4019,2018-08-07,6167.3501,6225.0,6120.0,6143.7998,5930.7144,7792.0
4018,2018-08-06,6289.7002,6298.0,6100.0,6121.4502,5909.1401,10867.0
4017,2018-08-03,6003.0,6199.0,5984.1499,6135.8501,5905.665,27760.0
4016,2018-08-02,6036.8999,6036.8999,5930.0,5962.2002,5738.5298,2717.0
4015,2018-08-01,5980.0,6150.0,5929.8999,5992.0,5767.2114,15340.0
4014,2018-07-31,5895.8501,6030.0,5891.25,5958.6001,5735.0645,7072.0
4013,2018-07-30,5848.0,5966.0,5848.0,5895.8501,5674.6685,59921.0
4012,2018-07-27,5713.6001,5865.0,5650.0498,5829.3999,5610.7109,15723.0
4011,2018-07-26,5800.0,5927.9502,5650.0,5673.7998,5460.9478,12545.0
4010,2018-07-25,5580.0,5650.0,5575.2998,5620.2998,5409.4551,5310.0
4009,2018-07-24,5641.9502,5649.8999,5524.1499,5558.5498,5350.0215,4360.0
4008,2018-07-23,5554.8999,5615.9502,5447.1001,5579.8999,5370.5708,8207.0
4007,2018-07-20,5520.0,5540.0,5465.2002,5489.2002,5283.2734,1294.0
4006,2018-07-19,5451.2002,5560.0,5426.1499,5508.8501,5302.1865,21944.0
4005,2018-07-18,5555.0,5598.8501,5475.25,5504.1499,5297.6631,3545.0
