,Date,Open,High,Low,Close,Adj Close,Volume
1160,2019-06-14,365.0,365.0,338.0,342.5,342.5,18810.0
1159,2019-06-13,362.0,362.0,351.15,357.15,357.15,6566.0
1158,2019-06-12,361.8,370.9,358.5,359.35,359.35,3344.0
1157,2019-06-11,354.55,375.05,351.5,369.35,369.35,7468.0
1156,2019-06-10,362.4,366.05,351.0,355.75,355.75,4925.0
1155,2019-06-07,363.0,365.9,358.5,360.65,360.65,3553.0
1154,2019-06-06,362.85,368.65,361.1,362.95,362.95,5268.0
1153,2019-06-04,362.0,364.4,354.0,360.45,360.45,4180.0
1152,2019-06-03,350.0,355.95,328.0,350.55,350.55,3009.0
1151,2019-05-31,352.15,358.0,349.0,353.4,353.4,2981.0
1150,2019-05-30,345.0,354.0,337.05,352.15,352.15,7261.0
1149,2019-05-29,366.75,366.75,336.0,344.95,344.95,33950.0
1148,2019-05-28,359.8,364.4,359.65,361.3,361.3,5484.0
1147,2019-05-27,360.55,368.45,355.5,359.35,359.35,4334.0
1146,2019-05-24,358.45,365.0,357.05,360.55,360.55,1939.0
1145,2019-05-23,353.15,378.1,350.1,358.5,358.5,10046.0
1144,2019-05-22,363.0,363.0,346.55,353.2,353.2,4625.0
1143,2019-05-21,356.85,360.0,350.55,358.2,358.2,2232.0
1142,2019-05-20,342.0,360.5,342.0,356.85,356.85,5877.0
1141,2019-05-17,336.55,346.85,336.05,343.65,343.65,2430.0
1140,2019-05-16,351.15,351.15,337.3,344.2,344.2,12918.0
1139,2019-05-15,363.05,364.5,346.0,347.2,347.2,18647.0
1138,2019-05-14,371.05,385.85,361.25,364.35,364.35,36914.0
1137,2019-05-13,383.45,389.0,371.0,375.05,375.05,4028.0
1136,2019-05-10,382.9,400.05,382.0,387.5,387.5,4950.0
1135,2019-05-09,377.05,386.25,375.3,384.1,384.1,4451.0
1134,2019-05-08,393.7,400.0,378.85,383.8,383.8,7955.0
1133,2019-05-07,394.1,400.0,387.1,399.2,399.2,6196.0
1132,2019-05-06,405.95,405.95,385.3,398.55,398.55,5727.0
1131,2019-05-03,411.5,411.5,392.3,401.5,401.5,22749.0
1130,2019-05-02,360.7,419.2,355.6,412.15,412.15,74798.0
1129,2019-04-30,380.0,380.0,358.4,361.95,361.95,3412.0
1128,2019-04-26,375.6,381.05,370.1,375.55,375.55,3216.0
1127,2019-04-25,384.95,386.95,372.05,377.1,377.1,5241.0
1126,2019-04-24,379.35,391.45,379.25,385.05,385.05,2725.0
1125,2019-04-23,387.9,388.1,373.6,381.95,381.95,3048.0
1124,2019-04-22,386.0,391.8,386.0,387.05,387.05,2765.0
1123,2019-04-18,392.0,398.0,386.0,387.7,387.7,2862.0
1122,2019-04-16,401.6,404.2,395.5,398.7,398.7,4811.0
1121,2019-04-15,392.0,404.0,390.0,400.05,400.05,5212.0
1120,2019-04-12,397.0,402.9,386.55,399.55,399.55,7580.0
1119,2019-04-11,393.1,397.3,386.3,395.15,395.15,4050.0
1118,2019-04-10,392.45,397.95,386.0,393.45,393.45,5778.0
1117,2019-04-09,389.3,391.0,386.0,386.7,386.7,4160.0
1116,2019-04-08,389.45,392.8,378.55,383.55,383.55,5989.0
1115,2019-04-05,388.6,390.0,384.05,386.05,386.05,3329.0
1114,2019-04-04,391.0,397.0,373.9,391.3,391.3,33850.0
1113,2019-04-03,366.25,399.9,355.0,393.6,393.6,51819.0
1112,2019-04-02,366.3,370.0,366.05,369.8,369.8,3307.0
1111,2019-04-01,368.05,370.0,365.0,369.5,369.5,14274.0
1110,2019-03-28,363.1,366.0,358.0,365.1,365.1,6251.0
1109,2019-03-27,360.0,365.5,360.0,364.85,364.85,5018.0
1108,2019-03-26,370.0,370.0,360.0,366.35,366.35,9193.0
1107,2019-03-25,361.15,370.0,360.05,367.55,367.55,37549.0
1106,2019-03-22,352.0,368.0,350.65,360.9,360.9,13326.0
1105,2019-03-20,356.0,363.0,356.0,360.45,360.45,2276.0
1104,2019-03-19,359.9,363.7,355.6,360.0,360.0,6139.0
1103,2019-03-18,359.95,374.9,357.0,358.35,358.35,13661.0
1102,2019-03-15,382.1,383.85,342.45,363.6,363.6,96249.0
1101,2019-03-14,373.8,381.45,373.0,379.65,379.65,5869.0
1100,2019-03-13,387.0,387.0,376.65,380.5,380.5,5433.0
1099,2019-03-12,379.35,386.9,376.3,383.15,383.15,8112.0
1098,2019-03-11,358.65,390.0,358.65,380.5,380.5,18390.0
1097,2019-03-08,363.8,372.95,363.8,370.05,370.05,4390.0
1096,2019-03-07,372.6,375.55,365.5,370.45,370.45,4899.0
1095,2019-03-06,373.7,375.0,362.05,373.4,373.4,5478.0
1094,2019-03-05,356.1,370.0,356.1,368.3,368.3,8954.0
1093,2019-03-01,360.55,367.0,356.05,363.75,363.75,6346.0
1092,2019-02-28,354.6,362.0,351.0,360.1,360.1,7917.0
