,Date,Open,High,Low,Close,Adj Close,Volume
2354,2019-06-14,346.0,346.0,337.6,338.05,338.05,2473.0
2353,2019-06-13,340.3,343.95,338.0,342.7,342.7,4932.0
2352,2019-06-12,351.5,351.5,338.05,340.55,340.55,6745.0
2351,2019-06-11,341.35,345.9,338.0,342.5,342.5,13697.0
2350,2019-06-10,349.95,349.95,339.95,340.7,340.7,3923.0
2349,2019-06-07,343.7,343.9,338.9,342.05,342.05,10628.0
2348,2019-06-06,345.0,348.85,340.0,341.5,341.5,6104.0
2347,2019-06-04,346.1,350.0,346.1,347.65,347.65,5355.0
2346,2019-06-03,345.0,351.8,343.5,346.55,346.55,7491.0
2345,2019-05-31,353.0,356.25,348.3,349.8,349.8,5869.0
2344,2019-05-30,348.0,361.45,348.0,352.95,352.95,8654.0
2343,2019-05-29,355.0,355.5,348.5,352.2,352.2,16556.0
2342,2019-05-28,370.0,370.45,349.9,354.3,354.3,61401.0
2341,2019-05-27,376.65,380.0,375.0,376.0,376.0,8453.0
2340,2019-05-24,374.3,379.2,371.3,377.75,377.75,6559.0
2339,2019-05-23,385.0,385.0,373.0,375.0,375.0,9036.0
2338,2019-05-22,377.1,383.6,377.05,381.55,381.55,10385.0
2337,2019-05-21,382.0,391.9,372.65,376.4,376.4,10518.0
2336,2019-05-20,389.0,390.0,378.0,381.0,381.0,6724.0
2335,2019-05-17,377.0,389.7,372.1,378.35,378.35,25768.0
2334,2019-05-16,370.0,383.1,370.0,375.35,375.35,14549.0
2333,2019-05-15,375.1,385.0,373.3,377.2,377.2,5143.0
2332,2019-05-14,365.5,389.95,362.75,382.3,382.3,10444.0
2331,2019-05-13,379.3,383.7,362.85,369.15,369.15,8689.0
2330,2019-05-10,376.3,386.05,370.6,381.25,381.25,9015.0
2329,2019-05-09,377.25,380.0,371.1,372.7,372.7,9601.0
2328,2019-05-08,384.0,384.0,369.1,380.2,380.2,23506.0
2327,2019-05-07,370.0,385.0,370.0,382.45,382.45,11525.0
2326,2019-05-06,377.3,385.25,370.0,373.35,373.35,8034.0
2325,2019-05-03,380.0,380.7,375.0,378.0,378.0,9529.0
2324,2019-05-02,398.0,398.0,377.25,379.05,379.05,10289.0
2323,2019-04-30,397.0,407.7,388.1,391.65,391.65,15863.0
2322,2019-04-26,398.05,416.0,395.9,401.95,401.95,43871.0
2321,2019-04-25,405.0,408.95,395.0,397.4,397.4,11600.0
2320,2019-04-24,415.8,418.85,403.0,405.05,405.05,24321.0
2319,2019-04-23,400.0,435.05,394.05,413.45,413.45,122304.0
2318,2019-04-22,411.85,414.8,400.05,402.4,402.4,79787.0
