,Date,Open,High,Low,Close,Adj Close,Volume
881,2019-06-14,141.0,142.0,139.5,139.95,139.95,125055.0
880,2019-06-13,141.75,142.7,138.75,140.8,140.8,90434.0
879,2019-06-12,147.0,147.0,140.1,141.2,141.2,1012556.0
878,2019-06-11,147.0,147.9,145.0,145.9,145.9,136223.0
877,2019-06-10,154.25,154.8,145.1,146.05,146.05,362014.0
876,2019-06-07,153.0,155.8,149.15,150.25,150.25,269893.0
875,2019-06-06,154.5,154.55,151.5,151.75,151.75,93904.0
874,2019-06-04,152.9,154.8,151.5,153.75,153.75,58334.0
873,2019-06-03,151.2,153.65,151.2,151.9,151.9,42022.0
872,2019-05-31,154.0,154.7,151.15,151.45,151.45,54519.0
871,2019-05-30,150.2,154.9,150.2,152.45,152.45,23346.0
870,2019-05-29,154.65,154.65,151.6,151.95,151.95,17390.0
869,2019-05-28,156.7,157.05,153.0,154.2,154.2,38388.0
868,2019-05-27,151.15,156.15,151.15,153.65,153.65,77938.0
867,2019-05-24,151.0,153.25,148.05,150.75,150.75,438316.0
866,2019-05-23,153.0,156.85,150.0,150.85,150.85,722366.0
865,2019-05-22,153.0,153.0,149.5,151.8,151.8,34713.0
864,2019-05-21,159.0,159.4,152.45,152.8,152.8,280354.0
863,2019-05-20,147.5,162.0,147.5,157.2,157.2,647937.0
862,2019-05-17,141.65,147.8,141.35,146.3,146.3,37878.0
861,2019-05-16,144.2,145.0,141.5,142.55,142.55,24017.0
860,2019-05-15,143.5,145.65,142.1,143.55,143.55,13311.0
859,2019-05-14,141.5,145.4,141.5,143.5,143.5,15779.0
858,2019-05-13,147.35,147.85,142.0,142.5,142.5,35897.0
857,2019-05-10,147.75,148.9,145.5,146.9,146.9,29268.0
856,2019-05-09,144.15,157.0,144.15,147.75,147.75,39705.0
855,2019-05-08,146.85,147.3,144.8,145.05,145.05,38903.0
854,2019-05-07,146.7,157.0,144.3,147.3,147.3,57511.0
853,2019-05-06,147.25,149.65,145.85,147.45,147.45,32554.0
852,2019-05-03,148.9,149.8,146.85,147.25,147.25,22878.0
851,2019-05-02,151.0,151.8,146.0,147.6,147.6,51846.0
850,2019-04-30,146.85,150.5,145.75,149.7,149.7,62135.0
849,2019-04-26,148.05,149.3,145.0,145.75,145.75,75945.0
848,2019-04-25,150.85,150.95,146.75,148.15,148.15,75351.0
847,2019-04-24,151.3,151.3,148.85,149.6,149.6,45966.0
846,2019-04-23,151.8,151.8,149.1,149.85,149.85,40404.0
845,2019-04-22,153.0,153.2,149.0,150.25,150.25,118358.0
844,2019-04-18,155.5,156.5,151.75,152.85,152.85,138420.0
843,2019-04-16,157.25,158.05,155.35,156.0,156.0,123814.0
842,2019-04-15,156.9,159.8,156.55,158.0,158.0,169531.0
841,2019-04-12,156.5,157.6,155.35,156.15,156.15,138216.0
840,2019-04-11,157.1,159.15,155.35,156.5,156.5,104704.0
839,2019-04-10,160.2,161.7,156.1,156.65,156.65,132220.0
838,2019-04-09,159.45,161.95,156.1,160.2,160.2,149300.0
837,2019-04-08,154.95,161.95,154.5,158.9,158.9,450535.0
836,2019-04-05,153.25,157.5,152.25,154.05,154.05,851712.0
835,2019-04-04,153.0,154.35,151.1,152.9,152.9,234503.0
834,2019-04-03,157.5,158.0,150.55,152.05,152.05,1632173.0
833,2019-04-02,151.5,164.8,150.35,153.6,153.6,4521643.0
832,2019-04-01,154.85,154.9,150.05,150.6,150.6,100918.0
831,2019-03-28,152.8,153.85,146.8,150.85,150.85,269383.0
830,2019-03-27,152.2,154.9,151.95,152.95,152.95,275980.0
829,2019-03-26,152.7,154.65,149.75,152.05,152.05,369041.0
828,2019-03-25,156.4,156.5,152.3,152.9,152.9,118979.0
827,2019-03-22,162.3,163.25,157.05,157.7,157.7,119106.0
826,2019-03-20,158.9,169.0,157.15,161.95,161.95,1259769.0
825,2019-03-19,157.0,161.9,154.2,159.25,159.25,216673.0
824,2019-03-18,150.65,167.5,148.8,155.85,155.85,837731.0
823,2019-03-15,151.15,152.8,150.05,150.65,150.65,130432.0
822,2019-03-14,152.05,154.9,150.05,151.15,151.15,199312.0
821,2019-03-13,154.7,155.5,151.0,152.05,152.05,132472.0
820,2019-03-12,154.65,158.5,153.3,153.95,153.95,342591.0
819,2019-03-11,153.7,159.3,153.1,153.7,153.7,729473.0
818,2019-03-08,149.85,159.9,149.05,153.8,153.8,689330.0
817,2019-03-07,151.7,153.35,148.05,149.85,149.85,489578.0
816,2019-03-06,156.8,164.0,148.75,150.55,150.55,992337.0
815,2019-03-05,150.1,155.2,149.9,154.0,154.0,59464.0
814,2019-03-01,146.1,149.7,146.1,148.5,148.5,56923.0
813,2019-02-28,146.5,148.4,144.8,146.55,146.55,159850.0
812,2019-02-27,144.95,149.5,142.1,149.1,149.1,144372.0
811,2019-02-26,145.05,146.9,140.25,144.95,144.95,52592.0
810,2019-02-25,146.1,149.5,143.95,145.7,145.7,40925.0
809,2019-02-22,155.8,155.8,145.25,148.85,148.85,243369.0
808,2019-02-21,138.1,163.8,137.0,156.65,156.65,315251.0
807,2019-02-20,144.0,147.0,137.8,139.4,139.4,459681.0
806,2019-02-19,153.4,153.4,140.85,143.3,143.3,61981.0
805,2019-02-18,155.0,155.25,150.0,151.85,151.85,17899.0
804,2019-02-15,157.3,159.0,150.5,153.45,153.45,51605.0
803,2019-02-14,159.9,160.0,156.9,157.45,157.45,7150.0
802,2019-02-12,160.1,164.65,160.1,160.8,160.8,4470.0
801,2019-02-11,168.5,168.5,160.25,161.6,161.6,7809.0
800,2019-02-08,163.05,171.9,159.0,166.85,166.85,78551.0
799,2019-02-07,164.1,166.2,161.0,163.05,163.05,19996.0
798,2019-02-06,167.15,170.0,160.85,166.65,166.65,30739.0
797,2019-02-05,163.5,169.0,163.5,166.0,166.0,5578.0
796,2019-02-04,171.5,171.5,161.4,163.45,163.45,7852.0
