,Date,Open,High,Low,Close,Adj Close,Volume
3507,2019-06-14,1472.0,1477.05,1441.1,1449.95,1449.95,1927.0
3506,2019-06-13,1494.95,1497.65,1461.5,1471.85,1471.85,1983.0
3505,2019-06-12,1532.25,1532.25,1485.0,1492.2,1492.2,2846.0
3504,2019-06-11,1544.0,1553.5,1515.8,1536.95,1536.95,3518.0
3503,2019-06-10,1592.0,1595.0,1536.4,1553.65,1553.65,2303.0
3502,2019-06-07,1562.1,1619.85,1560.1,1572.4,1572.4,2206.0
3501,2019-06-06,1609.7,1639.95,1570.0,1589.0,1589.0,6812.0
3500,2019-06-04,1557.7,1635.05,1540.85,1610.6,1610.6,4575.0
3499,2019-06-03,1525.0,1550.05,1496.1,1549.9,1549.9,14032.0
3498,2019-05-31,1540.0,1547.95,1525.0,1533.05,1533.05,1364.0
3497,2019-05-30,1526.65,1530.0,1510.0,1522.6,1522.6,875.0
3496,2019-05-29,1525.8,1535.0,1510.0,1520.35,1520.35,1135.0
3495,2019-05-28,1535.0,1539.0,1516.45,1525.8,1525.8,2331.0
3494,2019-05-27,1500.0,1519.9,1472.1,1510.8,1510.8,55359.0
3493,2019-05-24,1463.75,1475.0,1461.0,1470.4,1470.4,51715.0
3492,2019-05-23,1475.85,1498.9,1450.0,1463.75,1463.75,5503.0
3491,2019-05-22,1460.05,1489.0,1447.05,1452.4,1452.4,3070.0
3490,2019-05-21,1470.25,1489.0,1455.25,1474.3,1474.3,1584.0
3489,2019-05-20,1525.0,1525.0,1432.0,1470.3,1470.3,58199.0
3488,2019-05-17,1431.1,1440.0,1420.6,1431.65,1431.65,1891.0
3487,2019-05-16,1464.9,1464.9,1425.0,1436.55,1436.55,2404.0
3486,2019-05-15,1435.0,1469.9,1411.0,1444.0,1444.0,8437.0
3485,2019-05-14,1463.0,1463.0,1405.0,1415.0,1415.0,9512.0
3484,2019-05-13,1460.7,1470.95,1430.0,1442.5,1442.5,6953.0
3483,2019-05-10,1465.15,1484.45,1421.0,1449.3,1449.3,24452.0
3482,2019-05-09,1510.0,1524.95,1471.15,1484.9,1484.9,12068.0
3481,2019-05-08,1544.0,1563.9,1475.05,1528.1,1528.1,68001.0
3480,2019-05-07,1565.0,1681.0,1520.5,1565.7,1565.7,6313.0
3479,2019-05-06,1600.0,1600.0,1536.0,1556.6,1556.6,32369.0
3478,2019-05-03,1623.8,1623.95,1565.1,1589.75,1589.75,22277.0
3477,2019-05-02,1669.95,1669.95,1620.0,1629.45,1629.45,3695.0
3476,2019-04-30,1719.0,1719.0,1642.6,1652.15,1652.15,3088.0
3475,2019-04-26,1700.0,1725.0,1634.0,1696.45,1696.45,11516.0
3474,2019-04-25,1720.0,1731.95,1691.55,1700.15,1700.15,8190.0
3473,2019-04-24,1678.5,1724.55,1660.1,1677.85,1677.85,2593.0
3472,2019-04-23,1743.0,1751.3,1722.1,1733.6,1733.6,2087.0
3471,2019-04-22,1811.95,1812.5,1740.65,1760.55,1760.55,8409.0
3470,2019-04-18,1771.0,1800.0,1763.25,1788.5,1788.5,75615.0
3469,2019-04-16,1750.0,1774.8,1739.95,1771.8,1771.8,2033.0
3468,2019-04-15,1740.6,1750.0,1721.3,1745.8,1745.8,1265.0
3467,2019-04-12,1740.05,1748.75,1717.0,1741.45,1741.45,1563.0
3466,2019-04-11,1749.8,1749.8,1701.3,1737.9,1737.9,12641.0
3465,2019-04-10,1740.0,1792.75,1725.0,1734.25,1734.25,7529.0
3464,2019-04-09,1736.0,1758.95,1716.0,1728.05,1728.05,4109.0
3463,2019-04-08,1820.0,1820.0,1757.0,1758.9,1758.9,2294.0
3462,2019-04-05,1819.0,1834.9,1778.7,1803.3,1803.3,2237.0
3461,2019-04-04,1819.9,1820.0,1772.05,1819.9,1819.9,73406.0
3460,2019-04-03,1806.85,1810.4,1789.4,1794.95,1794.95,16386.0
3459,2019-04-02,1799.45,1814.25,1790.6,1803.75,1803.75,3733.0
3458,2019-04-01,1860.0,1860.0,1791.3,1799.45,1799.45,6074.0
3457,2019-03-28,1817.1,1817.1,1790.05,1796.35,1796.35,4375.0
3456,2019-03-27,1788.0,1807.15,1787.95,1790.25,1790.25,4974.0
3455,2019-03-26,1800.0,1820.2,1779.0,1787.7,1787.7,2947.0
3454,2019-03-25,1795.05,1810.0,1789.65,1799.2,1799.2,2127.0
3453,2019-03-22,1769.0,1808.0,1769.0,1799.3,1799.3,1565.0
3452,2019-03-20,1789.95,1850.0,1780.6,1795.3,1795.3,20454.0
3451,2019-03-19,1791.25,1799.8,1788.1,1791.3,1791.3,2047.0
3450,2019-03-18,1775.0,1793.05,1761.3,1774.95,1774.95,2912.0
