,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,1266.0,1279.9,1250.0,1253.9,1253.9,187567.0
4873,2019-06-13,1260.0,1275.0,1254.05,1271.0,1271.0,197839.0
4872,2019-06-12,1265.0,1277.9,1250.3,1259.85,1259.85,346075.0
4871,2019-06-11,1270.0,1278.4,1260.85,1270.1,1270.1,177569.0
4870,2019-06-10,1258.1,1283.7,1253.0,1269.95,1269.95,436540.0
4869,2019-06-07,1240.0,1266.9,1229.05,1253.25,1253.25,447581.0
4868,2019-06-06,1262.0,1271.75,1240.0,1241.65,1241.65,273849.0
4867,2019-06-04,1280.0,1280.0,1260.0,1267.25,1267.25,357442.0
4866,2019-06-03,1272.85,1291.35,1257.5,1280.05,1280.05,443021.0
4865,2019-05-31,1303.55,1307.25,1252.0,1271.8,1271.8,784906.0
4864,2019-05-30,1253.8,1310.0,1247.95,1299.15,1299.15,855236.0
4863,2019-05-29,1262.0,1282.0,1246.3,1252.5,1252.5,372030.0
4862,2019-05-28,1272.7,1276.4,1246.0,1262.3,1262.3,317780.0
4861,2019-05-27,1219.0,1285.5,1219.0,1277.65,1277.65,906667.0
4860,2019-05-24,1183.6,1230.8,1183.6,1218.95,1218.95,565916.0
4859,2019-05-23,1188.0,1223.9,1177.25,1184.8,1184.8,564354.0
4858,2019-05-22,1181.1,1189.9,1156.0,1169.0,1169.0,329795.0
4857,2019-05-21,1190.4,1241.7,1170.8,1183.05,1183.05,786730.0
4856,2019-05-20,1140.9,1197.3,1140.9,1192.1,1192.1,411728.0
4855,2019-05-17,1129.15,1138.6,1110.0,1125.95,1125.95,380607.0
4854,2019-05-16,1079.0,1135.0,1075.0,1129.6,1129.6,573002.0
4853,2019-05-15,1098.0,1102.1,1067.35,1073.9,1073.9,424045.0
4852,2019-05-14,1045.0,1103.0,1043.55,1089.65,1089.65,1409041.0
4851,2019-05-13,1067.1,1070.05,1050.0,1050.9,1050.9,436822.0
4850,2019-05-10,1089.85,1104.95,1061.45,1071.05,1071.05,470988.0
4849,2019-05-09,1080.3,1099.45,1076.25,1089.85,1089.85,357531.0
4848,2019-05-08,1111.1,1116.8,1075.55,1089.05,1089.05,883593.0
4847,2019-05-07,1142.85,1147.85,1115.15,1122.0,1122.0,681095.0
4846,2019-05-06,1171.1,1171.1,1134.0,1142.85,1142.85,236532.0
4845,2019-05-03,1153.95,1179.25,1145.0,1175.9,1175.9,271219.0
4844,2019-05-02,1163.2,1188.05,1146.0,1149.6,1149.6,255810.0
4843,2019-04-30,1173.3,1181.55,1162.25,1172.75,1172.75,246538.0
4842,2019-04-26,1195.0,1197.95,1175.5,1179.1,1179.1,544624.0
4841,2019-04-25,1181.95,1201.8,1165.8,1193.75,1193.75,438954.0
4840,2019-04-24,1167.75,1180.0,1157.5,1177.6,1177.6,186709.0
4839,2019-04-23,1166.95,1174.0,1155.0,1168.25,1168.25,213812.0
4838,2019-04-22,1181.1,1183.95,1152.95,1158.3,1158.3,223279.0
4837,2019-04-18,1185.0,1194.6,1171.5,1184.4,1184.4,312973.0
4836,2019-04-16,1188.5,1197.0,1178.65,1190.15,1190.15,229872.0
4835,2019-04-15,1185.25,1191.0,1180.15,1187.65,1187.65,379457.0
4834,2019-04-12,1172.15,1195.0,1167.3,1183.75,1183.75,417083.0
4833,2019-04-11,1166.3,1179.0,1160.45,1174.2,1174.2,844131.0
4832,2019-04-10,1148.25,1168.9,1144.0,1165.65,1165.65,379410.0
4831,2019-04-09,1145.1,1158.0,1134.2,1154.05,1154.05,216836.0
4830,2019-04-08,1151.1,1164.5,1140.55,1145.35,1145.35,395394.0
4829,2019-04-05,1136.5,1160.0,1129.25,1146.9,1146.9,431903.0
4828,2019-04-04,1165.9,1165.9,1136.15,1141.35,1141.35,446671.0
4827,2019-04-03,1130.0,1174.8,1127.55,1160.8,1160.8,1557720.0
4826,2019-04-02,1139.0,1139.0,1118.15,1131.2,1131.2,391757.0
4825,2019-04-01,1132.0,1144.2,1124.55,1131.3,1131.3,574313.0
4824,2019-03-28,1065.3,1094.4,1064.75,1088.05,1088.05,942506.0
4823,2019-03-27,1065.0,1085.65,1058.5,1064.75,1064.75,973202.0
4822,2019-03-26,1043.6,1065.0,1043.6,1057.55,1057.55,322123.0
4821,2019-03-25,1039.1,1057.8,1035.0,1048.85,1048.85,216225.0
4820,2019-03-22,1059.15,1067.7,1043.0,1049.05,1049.05,442438.0
4819,2019-03-20,1054.95,1080.0,1041.65,1061.7,1061.7,963346.0
4818,2019-03-19,1036.0,1057.45,1018.1,1049.3,1049.3,584669.0
4817,2019-03-18,1037.0,1046.85,1025.2,1036.25,1036.25,328403.0
4816,2019-03-15,1035.0,1045.0,1031.45,1035.85,1035.85,245333.0
4815,2019-03-14,1057.0,1062.1,1034.0,1036.85,1036.85,241927.0
4814,2019-03-13,1053.35,1069.0,1045.05,1053.75,1053.75,822845.0
4813,2019-03-12,1064.0,1066.0,1050.4,1053.35,1053.35,524805.0
4812,2019-03-11,1023.0,1062.0,1023.0,1056.35,1056.35,685622.0
4811,2019-03-08,1021.0,1030.0,1010.9,1023.85,1023.85,268068.0
4810,2019-03-07,1019.7,1034.15,1012.4,1021.4,1021.4,492886.0
4809,2019-03-06,1037.0,1048.85,1013.65,1019.2,1019.2,449830.0
4808,2019-03-05,1005.65,1036.4,998.5,1030.5,1030.5,408925.0
4807,2019-03-01,993.0,1019.9,992.25,1009.35,1009.35,529219.0
4806,2019-02-28,984.0,1000.0,967.85,991.95,991.95,608361.0
4805,2019-02-27,988.6,1007.0,973.55,979.05,979.05,267880.0
4804,2019-02-26,979.1,992.0,965.4,987.25,987.25,295070.0
4803,2019-02-25,995.0,1000.7,981.0,988.95,988.95,168772.0
4802,2019-02-22,984.0,999.4,971.65,991.8,991.8,694507.0
4801,2019-02-21,967.0,991.0,944.5,986.45,986.45,911063.0
4800,2019-02-20,950.0,969.7,946.9,966.6,966.6,500969.0
4799,2019-02-19,939.25,959.9,935.7,944.8,944.8,437163.0
4798,2019-02-18,963.8,970.8,941.25,944.1,944.1,407717.0
4797,2019-02-15,983.5,986.05,953.75,962.05,962.05,587397.0
4796,2019-02-14,978.0,991.95,975.55,986.05,986.05,449220.0
4795,2019-02-12,1036.8,1048.6,1005.0,1012.8,1012.8,356646.0
4794,2019-02-11,1025.5,1040.0,991.0,1029.8,1029.8,635815.0
4793,2019-02-08,1052.85,1063.2,1026.8,1030.8,1030.8,398951.0
4792,2019-02-07,1045.0,1098.5,1025.0,1047.6,1047.6,2395193.0
4791,2019-02-06,995.6,1030.85,990.0,1020.55,1020.55,1126560.0
4790,2019-02-05,1024.0,1032.0,990.0,994.6,994.6,525443.0
4789,2019-02-04,1025.0,1037.45,1010.85,1023.3,1023.3,284828.0
4788,2019-02-01,1031.0,1044.4,1020.3,1031.1,1031.1,236484.0
4787,2019-01-31,1016.1,1034.8,1003.75,1030.1,1030.1,281070.0
4786,2019-01-30,1019.0,1020.55,999.0,1013.45,1013.45,191122.0
4785,2019-01-29,982.0,1016.45,982.0,1011.95,1011.95,369442.0
4784,2019-01-28,1025.8,1025.8,977.6,991.45,991.45,319557.0
4783,2019-01-25,1027.0,1045.0,1019.5,1029.75,1022.75,213256.0
4782,2019-01-24,1044.0,1054.15,1017.05,1027.95,1020.9622,361633.0
4781,2019-01-23,1045.15,1053.65,1042.05,1045.0,1037.8964,183900.0
4780,2019-01-22,1040.0,1059.9,1037.0,1049.5,1042.3657,404084.0
4779,2019-01-21,1054.7,1058.7,1040.0,1044.8,1037.6978,172091.0
4778,2019-01-18,1067.95,1067.95,1050.0,1054.75,1047.5801,117785.0
4777,2019-01-17,1060.0,1069.8,1052.0,1064.8,1057.5618,499832.0
4776,2019-01-16,1071.0,1071.0,1050.05,1060.55,1053.3407,240413.0
4775,2019-01-15,1062.5,1072.45,1057.0,1063.05,1055.8236,273505.0
4774,2019-01-14,1052.1,1065.45,1039.8,1054.1,1046.9344,311359.0
4773,2019-01-11,1074.1,1075.0,1051.85,1057.85,1050.6589,310999.0
4772,2019-01-10,1058.0,1075.0,1052.0,1071.05,1063.7693,355342.0
4771,2019-01-09,1053.9,1064.35,1046.5,1053.55,1046.3882,493735.0
4770,2019-01-08,1062.0,1067.0,1050.0,1052.3,1045.1467,234628.0
4769,2019-01-07,1066.0,1073.95,1058.7,1062.05,1054.8304,221617.0
4768,2019-01-04,1045.0,1067.4,1035.2,1062.7,1055.476,664139.0
4767,2019-01-03,1051.25,1074.9,1038.55,1044.9,1037.797,719581.0
4766,2019-01-02,1067.0,1067.6,1049.6,1056.55,1049.3678,581675.0
4765,2019-01-01,1050.0,1065.5,1044.4,1062.65,1055.4264,1089418.0
4764,2018-12-31,1049.5,1056.3,1039.05,1046.9,1039.7834,480175.0
4763,2018-12-28,1030.0,1060.0,1025.0,1043.35,1036.2574,1442146.0
4762,2018-12-27,1044.0,1049.0,1021.0,1032.0,1024.9846,928648.0
4761,2018-12-26,996.9,1045.0,980.6,1036.15,1029.1064,2118562.0
4760,2018-12-24,996.0,1009.95,984.2,995.9,989.1301,564116.0
4759,2018-12-21,1000.0,1014.95,982.05,993.65,986.8954,901069.0
4758,2018-12-20,1014.7,1026.4,990.4,996.65,989.875,692435.0
4757,2018-12-19,986.0,1046.05,983.7,1019.2,1012.2717,1906852.0
4756,2018-12-18,959.95,984.55,959.05,982.0,975.3246,485884.0
4755,2018-12-17,969.2,985.7,953.4,968.2,961.6184,903322.0
4754,2018-12-14,959.0,975.0,952.2,966.9,960.3273,497031.0
4753,2018-12-13,967.2,977.85,952.3,960.05,953.5237,534355.0
4752,2018-12-12,939.4,972.7,939.25,962.4,955.8578,939255.0
4751,2018-12-11,912.0,954.0,910.35,937.6,931.2264,1311804.0
4750,2018-12-10,915.45,948.0,905.15,927.15,920.8475,1158365.0
4749,2018-12-07,927.4,959.7,918.25,948.4,941.953,1188980.0
4748,2018-12-06,912.35,946.55,902.75,923.25,916.9739,1979191.0
4747,2018-12-05,933.0,939.95,901.85,906.35,900.1888,1171008.0
4746,2018-12-04,935.25,947.5,931.1,940.6,934.206,299306.0
4745,2018-12-03,959.5,959.5,931.0,942.2,935.7951,488764.0
4744,2018-11-30,927.5,957.6,910.55,950.65,944.1877,7004519.0
4743,2018-11-29,909.35,930.0,900.1,921.1,914.8385,1187192.0
4742,2018-11-28,909.0,916.6,901.1,909.35,903.1684,565278.0
4741,2018-11-27,914.0,922.5,903.5,905.85,899.6922,632280.0
4740,2018-11-26,918.0,923.2,903.6,913.25,907.0419,1366126.0
4739,2018-11-22,913.0,922.05,907.15,917.25,911.0147,497686.0
4738,2018-11-21,937.0,937.7,910.55,917.25,911.0147,629432.0
4737,2018-11-20,945.8,945.8,925.15,935.25,928.8924,1519385.0
4736,2018-11-19,995.0,995.0,929.0,941.65,935.2489,2733060.0
4735,2018-11-16,936.0,986.2,920.5,981.45,974.7783,1458981.0
4734,2018-11-15,889.75,942.0,869.0,932.85,926.5087,1209692.0
4733,2018-11-14,924.35,924.35,880.0,885.8,879.7785,1244805.0
4732,2018-11-13,908.0,934.65,902.05,913.9,907.6875,355658.0
4731,2018-11-12,951.0,959.5,903.8,911.85,905.6514,362532.0
4730,2018-11-09,939.3,959.0,931.1,949.95,943.4924,237434.0
4729,2018-11-07,942.1,944.95,934.0,941.55,935.1495,32815.0
4728,2018-11-06,979.0,984.8,932.0,938.45,932.0706,191318.0
4727,2018-11-05,959.35,980.0,949.6,975.45,968.8191,267898.0
4726,2018-11-02,953.9,966.35,951.1,960.85,954.3183,244349.0
4725,2018-11-01,943.25,1000.0,937.0,943.5,937.0863,969174.0
4724,2018-10-31,912.1,938.0,892.05,931.7,925.3665,235792.0
4723,2018-10-30,888.4,912.4,876.55,907.45,901.2814,299800.0
4722,2018-10-29,865.55,892.0,857.2,888.4,882.3608,380825.0
4721,2018-10-26,877.2,890.3,860.05,865.75,859.8648,158990.0
4720,2018-10-25,878.0,893.55,862.6,878.8,872.8261,124933.0
4719,2018-10-24,863.0,899.0,860.55,890.55,884.4962,164431.0
4718,2018-10-23,877.8,896.9,852.4,860.3,854.4518,246268.0
4717,2018-10-22,878.1,891.9,861.55,879.7,873.72,307905.0
4716,2018-10-19,929.0,929.0,870.05,874.25,868.307,536284.0
4715,2018-10-17,945.0,946.0,926.35,932.65,926.3101,98692.0
4714,2018-10-16,932.5,944.7,922.35,938.25,931.8719,185111.0
4713,2018-10-15,913.0,938.75,905.8,934.4,928.0482,122351.0
4712,2018-10-12,895.5,918.55,890.55,913.7,907.4889,184583.0
4711,2018-10-11,895.55,899.0,871.1,886.65,880.6227,316978.0
4710,2018-10-10,895.0,924.75,891.7,916.1,909.8725,351046.0
4709,2018-10-09,942.9,942.9,850.25,891.85,885.7874,823436.0
4708,2018-10-08,945.0,948.0,905.0,941.5,935.0999,235671.0
4707,2018-10-05,955.0,964.55,933.5,947.35,940.9101,196498.0
4706,2018-10-04,980.0,980.0,940.55,963.4,956.851,295410.0
4705,2018-10-03,939.0,989.0,935.55,980.3,973.6361,327612.0
4704,2018-10-01,944.9,953.2,924.0,941.85,935.4474,209647.0
4703,2018-09-28,952.0,955.7,905.0,945.15,938.7251,471259.0
4702,2018-09-27,943.7,954.6,921.6,950.55,944.0883,322185.0
