,Date,Open,High,Low,Close,Adj Close,Volume
3079,2019-06-14,569.3,572.45,550.0,553.4,553.4,140294.0
3078,2019-06-13,580.95,586.9,568.0,572.9,572.9,154855.0
3077,2019-06-12,571.5,583.9,564.95,580.8,580.8,354670.0
3076,2019-06-11,549.9,572.0,549.85,570.8,570.8,438433.0
3075,2019-06-10,548.7,557.9,545.15,549.05,549.05,99983.0
3074,2019-06-07,548.5,572.9,545.0,546.65,546.65,304080.0
3073,2019-06-06,554.95,557.65,542.1,545.45,545.45,219373.0
3072,2019-06-04,536.5,573.0,536.5,554.85,554.85,536711.0
3071,2019-06-03,540.3,545.0,533.0,539.4,539.4,92189.0
3070,2019-05-31,545.0,547.15,533.0,544.65,544.65,150050.0
3069,2019-05-30,553.65,553.65,542.95,546.55,546.55,66188.0
3068,2019-05-29,537.1,552.0,530.0,549.95,549.95,271672.0
3067,2019-05-28,538.0,543.65,530.1,537.2,537.2,226846.0
3066,2019-05-27,528.0,554.0,523.85,544.85,544.85,352535.0
3065,2019-05-24,513.0,532.95,507.15,530.9,530.9,219312.0
3064,2019-05-23,514.75,519.0,505.0,506.7,506.7,110569.0
3063,2019-05-22,509.2,515.0,490.25,505.4,505.4,235323.0
3062,2019-05-21,486.3,512.55,482.6,506.35,506.35,505735.0
3061,2019-05-20,497.7,497.7,472.25,482.65,482.65,280094.0
3060,2019-05-17,440.0,451.8,438.2,449.7,449.7,65982.0
3059,2019-05-16,450.95,451.7,436.25,441.35,441.35,63808.0
3058,2019-05-15,449.5,456.95,441.8,448.55,448.55,72693.0
3057,2019-05-14,439.0,448.95,432.25,446.15,446.15,39667.0
3056,2019-05-13,447.0,453.55,435.1,439.1,439.1,65181.0
3055,2019-05-10,452.4,454.65,443.0,445.85,445.85,55947.0
3054,2019-05-09,451.9,452.45,445.0,450.5,450.5,59675.0
3053,2019-05-08,473.0,473.7,447.1,450.05,450.05,203133.0
3052,2019-05-07,486.7,486.7,472.25,473.1,473.1,36540.0
3051,2019-05-06,480.0,493.9,480.0,485.8,485.8,175195.0
3050,2019-05-03,486.85,498.0,479.45,487.9,487.9,170300.0
3049,2019-05-02,477.95,488.35,472.25,483.1,483.1,62052.0
3048,2019-04-30,489.0,489.9,474.4,480.25,480.25,68274.0
3047,2019-04-26,486.2,494.0,486.0,489.95,489.95,57626.0
3046,2019-04-25,486.0,495.25,484.2,486.05,486.05,126610.0
3045,2019-04-24,499.95,499.95,481.0,485.4,485.4,103242.0
3044,2019-04-23,499.85,501.6,492.55,498.35,498.35,89987.0
3043,2019-04-22,506.0,506.0,494.2,496.45,496.45,69535.0
3042,2019-04-18,523.4,523.4,503.0,506.0,506.0,138716.0
3041,2019-04-16,518.0,524.7,515.55,519.85,519.85,280843.0
3040,2019-04-15,496.0,516.95,496.0,513.75,513.75,376182.0
3039,2019-04-12,501.3,507.0,498.55,500.9,500.9,140368.0
3038,2019-04-11,496.8,505.0,494.0,502.15,502.15,172480.0
3037,2019-04-10,494.9,505.75,494.6,496.8,496.8,252438.0
3036,2019-04-09,500.8,512.05,491.05,496.55,496.55,479261.0
3035,2019-04-08,497.95,510.0,494.5,499.1,499.1,562675.0
3034,2019-04-05,487.0,500.1,486.15,493.65,493.65,179213.0
3033,2019-04-04,496.0,496.0,478.0,483.15,483.15,106300.0
3032,2019-04-03,506.6,506.65,488.0,491.15,491.15,277544.0
3031,2019-04-02,513.95,516.7,500.45,503.9,503.9,175008.0
3030,2019-04-01,516.4,522.4,506.8,512.3,512.3,118311.0
3029,2019-03-28,474.1,485.0,472.45,481.1,481.1,135953.0
3028,2019-03-27,463.45,476.0,455.6,473.45,473.45,587497.0
3027,2019-03-26,453.2,468.8,453.05,459.3,459.3,927658.0
3026,2019-03-25,459.35,463.45,448.45,451.9,451.9,145203.0
3025,2019-03-22,461.0,467.4,454.8,461.15,461.15,618538.0
3024,2019-03-20,459.6,462.0,455.0,457.4,457.4,226548.0
3023,2019-03-19,442.9,461.0,441.0,457.85,457.85,464779.0
3022,2019-03-18,430.1,444.8,430.1,438.6,438.6,311601.0
3021,2019-03-15,437.8,437.8,427.15,428.75,428.75,268867.0
3020,2019-03-14,441.0,443.1,428.05,434.9,434.9,372022.0
3019,2019-03-13,451.95,453.0,439.05,440.5,440.5,207965.0
