,Date,Open,High,Low,Close,Adj Close,Volume
4083,2019-06-14,137.35,137.35,132.15,133.4,133.4,280045.0
4082,2019-06-13,137.4,137.95,134.5,136.3,136.3,154674.0
4081,2019-06-12,137.45,142.4,135.6,137.75,137.75,271737.0
4080,2019-06-11,140.0,140.85,135.55,137.55,137.55,331046.0
4079,2019-06-10,136.9,141.7,131.05,138.3,138.3,400689.0
4078,2019-06-07,138.65,139.25,134.25,135.85,135.85,211448.0
4077,2019-06-06,143.0,143.45,138.0,138.65,138.65,220987.0
4076,2019-06-04,142.0,145.45,141.5,142.25,142.25,257289.0
4075,2019-06-03,148.25,148.45,144.0,144.3,144.3,271929.0
4074,2019-05-31,152.85,153.3,146.1,148.25,148.25,193627.0
4073,2019-05-30,151.5,154.45,151.2,151.95,151.95,179839.0
4072,2019-05-29,154.0,157.0,151.4,152.1,152.1,467812.0
4071,2019-05-28,159.05,161.9,155.1,156.45,156.45,804150.0
4070,2019-05-27,148.95,159.3,146.6,158.25,158.25,883224.0
4069,2019-05-24,143.7,147.7,142.75,146.55,146.55,285665.0
4068,2019-05-23,148.0,149.45,142.5,143.35,143.35,214341.0
4067,2019-05-22,146.0,149.0,143.55,146.05,146.05,303406.0
4066,2019-05-21,148.0,151.3,144.15,145.25,145.25,406567.0
4065,2019-05-20,151.9,152.1,145.8,146.3,146.3,326067.0
4064,2019-05-17,148.0,149.6,145.05,148.3,148.3,198485.0
4063,2019-05-16,144.0,148.7,137.95,147.75,147.75,524901.0
4062,2019-05-15,149.9,150.7,142.35,143.8,143.8,210130.0
4061,2019-05-14,147.0,150.85,142.55,148.45,148.45,430920.0
4060,2019-05-13,154.5,154.7,130.0,146.4,146.4,722824.0
4059,2019-05-10,158.1,160.4,153.25,155.85,155.85,214061.0
4058,2019-05-09,153.5,158.0,153.3,157.15,157.15,144511.0
4057,2019-05-08,163.55,163.55,155.4,156.8,156.8,294343.0
4056,2019-05-07,168.45,170.2,159.65,163.55,163.55,1036858.0
4055,2019-05-06,165.5,171.7,165.5,168.3,168.3,180922.0
4054,2019-05-03,168.5,169.45,165.25,168.3,168.3,125024.0
4053,2019-05-02,168.8,171.2,165.1,167.9,167.9,198815.0
4052,2019-04-30,174.25,174.25,164.95,168.2,168.2,210224.0
4051,2019-04-26,175.15,177.5,173.5,174.25,174.25,157808.0
4050,2019-04-25,180.1,180.9,173.95,175.15,175.15,183190.0
4049,2019-04-24,178.8,181.05,178.0,179.1,179.1,151765.0
4048,2019-04-23,175.55,180.45,173.15,178.05,178.05,342240.0
4047,2019-04-22,179.3,179.6,175.0,175.55,175.55,117657.0
4046,2019-04-18,184.1,184.65,178.5,180.0,180.0,252715.0
4045,2019-04-16,184.8,186.75,183.1,183.7,183.7,274314.0
4044,2019-04-15,184.3,186.8,182.05,183.35,183.35,197719.0
4043,2019-04-12,185.3,185.9,182.6,183.45,183.45,108305.0
4042,2019-04-11,185.6,186.05,183.5,184.4,184.4,146642.0
4041,2019-04-10,183.8,189.0,183.05,185.6,185.6,483951.0
4040,2019-04-09,182.5,184.4,180.6,183.65,183.65,283769.0
4039,2019-04-08,184.85,186.95,181.15,182.8,182.8,277987.0
4038,2019-04-05,186.45,187.75,178.95,183.6,183.6,230201.0
4037,2019-04-04,187.45,189.8,182.0,184.75,184.75,306261.0
4036,2019-04-03,189.5,191.75,185.0,186.55,186.55,317390.0
4035,2019-04-02,193.3,197.85,188.0,188.9,188.9,938922.0
4034,2019-04-01,192.95,197.3,192.65,193.9,193.9,300881.0
4033,2019-03-28,194.2,198.5,192.95,194.65,194.65,647260.0
4032,2019-03-27,187.0,196.0,187.0,192.45,192.45,908547.0
4031,2019-03-26,188.0,189.85,185.65,186.7,186.7,320070.0
4030,2019-03-25,190.0,190.75,186.35,188.05,188.05,187833.0
4029,2019-03-22,196.0,197.6,190.1,191.45,191.45,321076.0
4028,2019-03-20,198.0,199.0,194.1,195.3,195.3,347141.0
4027,2019-03-19,200.35,203.8,196.05,196.95,196.95,623702.0
4026,2019-03-18,200.55,203.9,198.05,199.6,199.6,808743.0
4025,2019-03-15,197.7,203.0,196.7,200.35,200.35,1285679.0
4024,2019-03-14,194.0,200.65,194.0,197.35,197.35,1109732.0
4023,2019-03-13,198.0,203.8,191.2,193.2,193.2,1133233.0
4022,2019-03-12,196.0,203.0,194.8,196.7,196.7,1244930.0
4021,2019-03-11,192.8,196.6,191.3,194.7,194.7,597049.0
4020,2019-03-08,188.9,195.5,187.25,191.65,191.65,824857.0
4019,2019-03-07,195.45,198.45,188.05,189.5,189.5,1199028.0
4018,2019-03-06,187.25,199.9,181.35,195.75,195.75,4281105.0
4017,2019-03-05,185.0,192.0,185.0,187.1,187.1,905190.0
4016,2019-03-01,179.0,186.5,177.5,185.45,185.45,735839.0
4015,2019-02-28,173.2,179.8,173.2,178.3,178.3,559242.0
4014,2019-02-27,171.1,179.9,171.1,173.4,173.4,1436965.0
4013,2019-02-26,171.55,173.7,165.7,170.45,170.45,483619.0
4012,2019-02-25,170.0,176.0,168.9,174.0,174.0,586304.0
4011,2019-02-22,162.65,173.8,162.65,168.25,168.25,997258.0
4010,2019-02-21,162.0,166.8,160.0,165.0,165.0,549905.0
4009,2019-02-20,158.0,161.9,157.05,160.85,160.85,301200.0
4008,2019-02-19,158.95,161.7,156.0,156.75,156.75,255864.0
4007,2019-02-18,165.0,165.8,158.15,159.1,159.1,251815.0
4006,2019-02-15,167.2,168.5,160.1,163.45,163.45,505621.0
4005,2019-02-14,159.0,168.4,155.35,167.2,167.2,881113.0
4004,2019-02-12,153.05,157.9,151.15,156.2,156.2,919041.0
4003,2019-02-11,146.0,154.8,144.0,152.1,152.1,1180587.0
4002,2019-02-08,144.2,147.85,143.0,145.2,145.2,570893.0
4001,2019-02-07,144.0,154.9,144.0,147.85,147.85,2153153.0
4000,2019-02-06,149.0,149.9,140.7,142.95,142.95,544306.0
3999,2019-02-05,149.55,151.85,143.0,147.4,147.4,749601.0
