,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,2933.0,2943.0,2853.45,2885.7,2885.7,280472.0
4223,2019-06-13,2901.1499,2930.0,2862.25,2919.5,2919.5,160465.0
4222,2019-06-12,2893.0,2920.0,2877.3,2889.5,2889.5,168226.0
4221,2019-06-11,2925.0,2927.8,2880.1001,2890.6001,2890.6001,182310.0
4220,2019-06-10,2876.0,2953.6001,2876.0,2909.6499,2909.6499,352424.0
4219,2019-06-07,2857.0,2896.05,2822.1001,2875.3999,2875.3999,209193.0
4218,2019-06-06,2900.0,2920.3999,2825.8999,2841.55,2841.55,239173.0
4217,2019-06-04,2842.0,2919.5,2834.0,2896.0,2896.0,344046.0
4216,2019-06-03,2845.55,2867.6499,2774.1499,2858.6499,2858.6499,359700.0
4215,2019-05-31,2908.75,2926.8,2836.0,2846.8501,2846.8501,281986.0
4214,2019-05-30,2906.55,2910.0,2876.8,2899.2,2899.2,249659.0
4213,2019-05-29,2885.0,2926.0,2865.45,2912.7,2912.7,251278.0
4212,2019-05-28,2964.0,2974.8999,2882.0,2889.8999,2889.8999,270369.0
4211,2019-05-27,2884.0,2982.8999,2860.5,2958.3,2958.3,315612.0
4210,2019-05-24,2872.1499,2920.25,2847.2,2867.0,2867.0,293483.0
4209,2019-05-23,2945.0,2979.45,2859.05,2892.6499,2892.6499,348635.0
4208,2019-05-22,2955.0,2965.8,2922.5,2931.95,2931.95,202914.0
4207,2019-05-21,2918.25,2978.3999,2895.1499,2960.1499,2960.1499,498739.0
4206,2019-05-20,2860.0,2938.0,2827.75,2918.3,2918.3,355828.0
4205,2019-05-17,2741.1001,2822.3999,2740.25,2798.45,2798.45,457088.0
4204,2019-05-16,2770.0,2790.0,2711.25,2765.1001,2765.1001,720480.0
4203,2019-05-15,2590.0,2815.0,2581.25,2757.45,2757.45,2525817.0
4202,2019-05-14,2499.0,2625.5,2335.0,2600.1001,2600.1001,2004741.0
4201,2019-05-13,2449.6499,2483.0,2430.5,2466.6001,2466.6001,281403.0
4200,2019-05-10,2435.8,2470.5,2410.5,2445.95,2445.95,227115.0
4199,2019-05-09,2442.0,2467.0,2412.5,2423.6499,2423.6499,220346.0
4198,2019-05-08,2508.0,2518.0,2425.6499,2444.3999,2444.3999,268042.0
4197,2019-05-07,2569.6499,2577.3999,2499.6001,2504.5,2504.5,151194.0
4196,2019-05-06,2535.0,2576.6001,2535.0,2555.8501,2555.8501,120761.0
4195,2019-05-03,2585.0,2593.75,2561.5,2580.8,2580.8,108615.0
4194,2019-05-02,2560.0,2617.95,2560.0,2597.3,2597.3,316933.0
4193,2019-04-30,2534.55,2582.45,2534.55,2567.6499,2567.6499,226182.0
4192,2019-04-26,2526.5,2566.1001,2511.2,2557.3,2557.3,184195.0
4191,2019-04-25,2519.0,2539.8,2499.6001,2525.05,2525.05,257235.0
4190,2019-04-24,2459.0,2521.0,2454.1499,2513.45,2513.45,232327.0
4189,2019-04-23,2438.0,2468.6499,2421.5,2458.45,2458.45,213399.0
4188,2019-04-22,2435.1001,2456.55,2417.45,2424.55,2424.55,93410.0
4187,2019-04-18,2486.0,2511.0,2444.0,2452.8,2452.8,186434.0
4186,2019-04-16,2461.1001,2496.5,2454.6001,2487.2,2487.2,155465.0
4185,2019-04-15,2442.0,2469.8999,2442.0,2460.7,2460.7,98003.0
4184,2019-04-12,2465.75,2478.2,2431.0,2443.6001,2443.6001,172757.0
4183,2019-04-11,2454.7,2479.1001,2450.05,2466.1001,2466.1001,140529.0
4182,2019-04-10,2461.0,2487.25,2445.6499,2451.8999,2451.8999,150952.0
4181,2019-04-09,2475.05,2476.6499,2450.1001,2464.8501,2464.8501,182814.0
4180,2019-04-08,2485.5,2512.75,2465.55,2478.25,2478.25,387177.0
4179,2019-04-05,2500.0,2500.0,2452.0,2491.1001,2491.1001,460009.0
4178,2019-04-04,2430.0,2496.2,2408.1001,2484.8999,2484.8999,1058898.0
4177,2019-04-03,2389.8999,2418.95,2372.0,2384.3999,2384.3999,282995.0
4176,2019-04-02,2350.2,2396.7,2338.8,2389.1499,2389.1499,504710.0
4175,2019-04-01,2300.0,2434.0,2172.6001,2360.6001,2360.6001,2412126.0
4174,2019-03-28,2448.5,2463.7,2384.3999,2451.1001,2451.1001,151065.0
4173,2019-03-27,2465.0,2465.0,2417.0,2434.95,2434.95,311373.0
4172,2019-03-26,2432.1001,2478.0,2406.0,2465.1499,2465.1499,274066.0
4171,2019-03-25,2450.0,2478.0,2420.1499,2432.1001,2432.1001,516989.0
4170,2019-03-22,2404.8,2465.8501,2395.0,2454.5,2454.5,498231.0
4169,2019-03-20,2405.8999,2415.0,2374.8501,2401.8999,2401.8999,250190.0
4168,2019-03-19,2411.0,2418.0,2386.3999,2396.3999,2396.3999,212644.0
4167,2019-03-18,2433.2,2449.5,2398.0,2407.75,2407.75,255177.0
4166,2019-03-15,2369.95,2435.0,2358.6001,2418.1001,2418.1001,890492.0
4165,2019-03-14,2417.75,2430.0,2352.5,2361.25,2361.25,323014.0
4164,2019-03-13,2346.0,2425.0,2346.0,2403.3501,2403.3501,183617.0
4163,2019-03-12,2377.05,2405.55,2358.05,2374.1001,2374.1001,180349.0
4162,2019-03-11,2345.0,2384.7,2341.3999,2375.45,2375.45,182008.0
4161,2019-03-08,2344.0,2364.2,2331.8,2353.6499,2353.6499,178890.0
4160,2019-03-07,2360.0,2378.0,2342.1001,2350.6499,2350.6499,191534.0
4159,2019-03-06,2319.0,2375.3,2310.3,2360.8,2360.8,394188.0
4158,2019-03-05,2281.0,2324.1001,2281.0,2318.7,2318.7,308035.0
4157,2019-03-01,2300.0,2338.8999,2270.5,2285.8,2285.8,434985.0
4156,2019-02-28,2235.5,2308.0,2235.5,2295.1499,2295.1499,584319.0
4155,2019-02-27,2229.5,2262.3999,2223.0,2252.8501,2252.8501,489130.0
4154,2019-02-26,2225.0,2231.5,2205.25,2218.55,2218.55,314319.0
4153,2019-02-25,2192.0,2254.0,2188.8501,2237.6001,2237.6001,542138.0
4152,2019-02-22,2195.0,2208.6001,2176.7,2200.1499,2200.1499,264848.0
4151,2019-02-21,2207.0,2236.0,2192.2,2205.3501,2205.3501,249930.0
4150,2019-02-20,2180.3,2215.1001,2180.3,2208.6001,2208.6001,204543.0
4149,2019-02-19,2183.0,2223.55,2172.0,2180.8501,2180.8501,257288.0
4148,2019-02-18,2196.0,2200.0,2163.0,2183.1499,2183.1499,214022.0
4147,2019-02-15,2241.1001,2246.2,2165.5,2201.3999,2201.3999,373814.0
4146,2019-02-14,2195.0,2282.0,2166.0,2246.2,2246.2,533530.0
4145,2019-02-12,2223.8999,2235.8501,2186.6499,2196.5,2196.5,207479.0
4144,2019-02-11,2218.25,2229.0,2156.7,2209.05,2209.05,308214.0
4143,2019-02-08,2210.0,2245.0,2205.0,2218.25,2212.25,276851.0
4142,2019-02-07,2235.0,2255.25,2202.1001,2226.0,2219.979,559036.0
4141,2019-02-06,2035.9,2240.0,2035.9,2223.25,2217.2363,1690157.0
4140,2019-02-05,2030.0,2042.8,1958.2,2023.3,2017.8273,1662762.0
