,Date,Open,High,Low,Close,Adj Close,Volume
4227,2019-06-14,431.05,435.45,425.0,428.2,428.2,644027.0
4226,2019-06-13,429.0,439.0,417.85,436.0,436.0,865447.0
4225,2019-06-12,427.0,434.5,424.5,432.5,432.5,681636.0
4224,2019-06-11,427.0,432.4,422.5,430.85,430.85,524978.0
4223,2019-06-10,415.0,431.55,414.5,429.1,429.1,1023746.0
4222,2019-06-07,410.0,419.8,405.35,413.85,413.85,1022384.0
4221,2019-06-06,434.4,434.4,408.8,411.8,411.8,1108775.0
4220,2019-06-04,435.8,436.85,424.5,433.3,433.3,627923.0
4219,2019-06-03,424.0,437.4,418.55,434.95,434.95,917422.0
4218,2019-05-31,432.0,434.0,418.6,422.4,422.4,598766.0
4217,2019-05-30,430.0,434.7,424.35,429.0,429.0,546022.0
4216,2019-05-29,431.0,435.5,422.25,428.0,428.0,970634.0
4215,2019-05-28,427.3,431.9,421.25,428.85,428.85,675295.0
4214,2019-05-27,424.0,428.35,417.5,423.85,423.85,678567.0
4213,2019-05-24,416.75,423.6,411.65,421.45,421.45,603250.0
4212,2019-05-23,420.0,426.4,410.55,415.1,415.1,842952.0
4211,2019-05-22,411.0,417.95,403.05,414.25,414.25,1127302.0
4210,2019-05-21,426.0,436.95,408.5,411.75,411.75,1780909.0
4209,2019-05-20,424.0,426.95,416.5,422.25,422.25,658732.0
4208,2019-05-17,416.4,423.55,411.0,414.1,414.1,1061216.0
4207,2019-05-16,421.5,423.55,408.65,417.0,417.0,1250290.0
4206,2019-05-15,442.3,446.0,413.9,419.05,419.05,1437405.0
4205,2019-05-14,437.0,444.35,431.0,438.8,438.8,1477907.0
4204,2019-05-13,482.0,482.15,429.65,435.5,435.5,5098364.0
4203,2019-05-10,484.45,506.55,478.55,484.45,484.45,2943603.0
4202,2019-05-09,486.4,488.95,481.05,484.45,484.45,681193.0
4201,2019-05-08,485.0,498.7,480.7,489.1,489.1,2567139.0
4200,2019-05-07,459.5,493.9,453.5,489.5,489.5,4227519.0
4199,2019-05-06,476.0,487.3,451.65,456.45,456.45,2561117.0
4198,2019-05-03,484.1,486.3,476.05,483.35,483.35,619728.0
4197,2019-05-02,479.9,487.8,477.0,484.05,484.05,795059.0
4196,2019-04-30,480.6,484.2,466.3,479.6,479.6,753958.0
4195,2019-04-26,479.05,491.3,477.4,479.6,479.6,1086569.0
4194,2019-04-25,475.0,484.5,474.0,477.15,477.15,607507.0
4193,2019-04-24,477.85,479.05,465.25,474.75,474.75,680596.0
4192,2019-04-23,479.65,486.85,474.0,475.75,475.75,642754.0
4191,2019-04-22,485.0,492.0,472.5,477.7,477.7,906536.0
4190,2019-04-18,495.8,497.5,482.85,487.65,487.65,446536.0
4189,2019-04-16,502.5,502.5,492.85,495.15,495.15,608113.0
4188,2019-04-15,497.95,501.95,490.35,498.7,498.7,652055.0
4187,2019-04-12,498.65,498.65,488.5,494.45,494.45,805335.0
4186,2019-04-11,496.0,503.0,489.1,497.05,497.05,1291453.0
4185,2019-04-10,491.0,508.05,488.1,495.9,495.9,2036281.0
4184,2019-04-09,492.0,492.95,482.5,489.9,489.9,817192.0
4183,2019-04-08,498.0,499.35,489.5,492.0,492.0,575372.0
4182,2019-04-05,502.0,505.8,490.05,494.85,494.85,1450202.0
4181,2019-04-04,478.0,504.0,471.2,496.1,496.1,2063348.0
4180,2019-04-03,476.65,481.5,470.75,474.5,474.5,706217.0
4179,2019-04-02,480.0,482.7,470.05,474.25,474.25,1082823.0
4178,2019-04-01,476.9,484.45,470.0,476.15,476.15,1030603.0
4177,2019-03-28,462.0,469.7,458.2,465.75,465.75,1134863.0
4176,2019-03-27,452.0,469.35,448.55,459.65,459.65,3637869.0
4175,2019-03-26,438.95,447.65,437.45,445.85,445.85,876769.0
4174,2019-03-25,439.85,441.35,434.45,436.7,436.7,564801.0
4173,2019-03-22,443.9,449.75,436.25,442.15,442.15,1494843.0
4172,2019-03-20,450.0,452.7,438.5,441.95,441.95,1199211.0
4171,2019-03-19,442.0,455.95,439.2,448.5,448.5,2172762.0
4170,2019-03-18,440.3,442.85,434.0,436.95,436.95,1050444.0
4169,2019-03-15,446.55,449.9,434.9,437.35,437.35,1974699.0
4168,2019-03-14,440.9,456.95,438.3,449.25,449.25,1379460.0
4167,2019-03-13,448.0,449.4,436.5,439.5,439.5,966230.0
4166,2019-03-12,447.0,452.9,441.85,447.6,447.6,1416662.0
4165,2019-03-11,432.9,446.8,432.9,443.95,443.95,928630.0
4164,2019-03-08,441.4,442.7,430.7,432.65,432.65,900847.0
4163,2019-03-07,441.35,451.45,436.05,439.0,439.0,1708452.0
4162,2019-03-06,439.85,444.8,430.2,438.2,438.2,1477102.0
4161,2019-03-05,433.0,439.55,431.25,436.7,436.7,1114888.0
4160,2019-03-01,422.1,437.0,422.1,433.75,433.75,1366454.0
4159,2019-02-28,419.3,423.8,416.05,420.9,420.9,1002531.0
4158,2019-02-27,420.5,424.0,408.65,414.5,414.5,1127391.0
4157,2019-02-26,412.0,421.1,405.25,416.55,416.55,1269643.0
4156,2019-02-25,421.5,427.7,417.0,419.05,419.05,990223.0
4155,2019-02-22,425.1,426.2,416.7,419.4,419.4,1482759.0
4154,2019-02-21,409.5,424.7,408.65,419.4,419.4,1686624.0
4153,2019-02-20,408.0,411.95,404.0,409.45,409.45,1426368.0
4152,2019-02-19,410.5,413.0,402.85,404.1,404.1,1262469.0
4151,2019-02-18,401.5,416.9,398.45,408.35,408.35,2126026.0
4150,2019-02-15,409.45,409.7,392.2,402.15,402.15,1878358.0
4149,2019-02-14,403.0,414.15,400.1,409.0,409.0,1363358.0
4148,2019-02-12,401.8,417.85,400.0,412.25,412.25,1485899.0
4147,2019-02-11,419.0,419.0,397.2,402.05,402.05,1741696.0
4146,2019-02-08,428.7,430.1,415.45,419.9,419.9,1619130.0
4145,2019-02-07,417.05,432.0,413.3,429.2,429.2,2331015.0
4144,2019-02-06,427.9,433.45,402.5,416.85,416.85,3901870.0
4143,2019-02-05,436.0,438.85,406.7,421.75,421.75,2511964.0
4142,2019-02-04,443.05,455.9,431.3,436.25,436.25,1841977.0
4141,2019-02-01,463.7,465.0,439.2,445.8,445.8,2506519.0
4140,2019-01-31,482.75,484.9,456.5,461.35,461.35,2492391.0
4139,2019-01-30,492.8,512.1,471.2,476.8,476.8,4188404.0
4138,2019-01-29,504.5,543.0,480.0,490.6,490.6,10993126.0
4137,2019-01-28,511.0,516.8,492.35,504.5,504.5,1189348.0
4136,2019-01-25,532.0,537.3,510.4,518.6,518.6,1048270.0
4135,2019-01-24,531.0,544.1,523.5,530.85,530.85,1859191.0
4134,2019-01-23,546.0,548.5,520.5,531.5,531.5,2603393.0
4133,2019-01-22,512.0,551.4,508.45,548.3,548.3,3120508.0
4132,2019-01-21,519.5,526.75,512.0,514.75,514.75,929532.0
4131,2019-01-18,527.3,529.4,504.5,517.25,517.25,1678240.0
4130,2019-01-17,525.0,531.0,521.45,528.4,528.4,1131121.0
4129,2019-01-16,518.0,532.55,514.6,525.25,525.25,2111625.0
4128,2019-01-15,519.55,528.5,511.35,514.45,514.45,3559117.0
4127,2019-01-14,480.4,522.35,480.4,520.0,520.0,7452650.0
4126,2019-01-11,480.0,482.35,473.0,480.7,480.7,643711.0
4125,2019-01-10,479.8,483.0,470.2,480.05,480.05,1478612.0
4124,2019-01-09,466.15,481.0,464.15,476.3,476.3,1496974.0
4123,2019-01-08,455.0,468.8,453.95,465.85,465.85,1004187.0
4122,2019-01-07,461.0,465.9,450.5,454.35,454.35,673778.0
4121,2019-01-04,458.0,460.2,448.25,457.3,457.3,890774.0
4120,2019-01-03,460.0,462.9,455.0,456.3,456.3,706431.0
4119,2019-01-02,465.1,469.95,453.65,458.4,458.4,727613.0
4118,2019-01-01,463.3,471.6,460.9,466.15,466.15,709205.0
4117,2018-12-31,464.9,468.7,457.15,461.0,461.0,522917.0
4116,2018-12-28,457.05,469.65,457.05,464.55,464.55,664967.0
4115,2018-12-27,463.3,464.15,455.25,456.5,456.5,820275.0
4114,2018-12-26,454.7,463.0,446.5,459.55,459.55,877546.0
4113,2018-12-24,461.0,468.65,452.5,457.15,457.15,994886.0
4112,2018-12-21,470.5,473.45,458.3,460.7,460.7,686174.0
4111,2018-12-20,465.6,474.5,463.25,470.45,470.45,874763.0
4110,2018-12-19,477.7,488.0,465.5,468.75,468.75,1948152.0
4109,2018-12-18,464.5,474.3,462.65,472.6,472.6,613593.0
4108,2018-12-17,463.05,475.9,461.8,467.4,467.4,1030331.0
4107,2018-12-14,461.0,471.0,456.6,464.35,464.35,1012492.0
4106,2018-12-13,479.0,479.0,454.4,462.35,462.35,1897885.0
4105,2018-12-12,459.5,473.65,453.4,462.95,462.95,1672463.0
4104,2018-12-11,418.0,463.35,418.0,459.3,459.3,2332725.0
4103,2018-12-10,439.0,443.0,428.35,430.9,430.9,693453.0
4102,2018-12-07,451.7,459.6,437.0,447.3,447.3,1227858.0
4101,2018-12-06,464.8,466.8,446.2,449.85,449.85,1160512.0
4100,2018-12-05,459.0,471.5,449.05,469.75,469.75,2217388.0
4099,2018-12-04,472.5,488.8,458.0,460.25,460.25,2511074.0
4098,2018-12-03,488.0,489.0,471.4,475.45,475.45,1291044.0
4097,2018-11-30,453.9,490.9,453.85,485.65,485.65,3366756.0
4096,2018-11-29,444.0,455.95,441.0,453.85,453.85,767926.0
4095,2018-11-28,448.0,452.5,437.65,443.8,443.8,849075.0
4094,2018-11-27,453.45,461.0,441.3,447.05,447.05,1341030.0
4093,2018-11-26,452.55,456.4,436.05,453.45,453.45,979739.0
4092,2018-11-22,459.85,463.0,447.95,449.45,449.45,584652.0
4091,2018-11-21,464.7,473.6,455.5,458.65,458.65,1285939.0
4090,2018-11-20,456.5,465.5,454.0,459.1,459.1,516275.0
4089,2018-11-19,465.0,471.1,453.4,460.9,460.9,1059377.0
4088,2018-11-16,459.45,476.8,458.65,464.65,464.65,1411718.0
4087,2018-11-15,459.0,466.4,454.1,457.75,457.75,766742.0
4086,2018-11-14,458.0,473.7,453.05,458.1,458.1,1299552.0
4085,2018-11-13,459.0,469.3,445.5,461.0,461.0,1044799.0
4084,2018-11-12,481.0,482.4,459.35,462.6,462.6,1160404.0
4083,2018-11-09,429.0,482.0,429.0,476.8,476.8,4367046.0
4082,2018-11-07,431.0,432.0,426.5,428.2,428.2,88147.0
4081,2018-11-06,429.9,434.8,423.3,429.8,429.8,890890.0
4080,2018-11-05,422.0,438.25,422.0,428.5,428.5,1500704.0
4079,2018-11-02,429.8,434.4,417.5,419.85,419.85,1168759.0
4078,2018-11-01,424.1,432.75,422.5,425.45,425.45,933877.0
4077,2018-10-31,415.55,431.5,393.0,424.3,424.3,5054793.0
4076,2018-10-30,423.15,423.2,409.25,413.35,413.35,664542.0
4075,2018-10-29,402.0,423.2,399.6,421.05,421.05,1077882.0
4074,2018-10-26,394.45,406.95,390.15,399.6,399.6,993587.0
4073,2018-10-25,404.8,407.95,391.2,394.45,394.45,1103602.0
4072,2018-10-24,409.0,417.9,402.1,409.2,409.2,832879.0
4071,2018-10-23,416.1,423.6,402.55,406.35,406.35,849251.0
4070,2018-10-22,428.7,431.7,418.65,420.6,420.6,633101.0
4069,2018-10-19,427.0,437.75,416.25,423.6,423.6,720424.0
4068,2018-10-17,442.0,447.6,430.4,433.7,433.7,1050307.0
4067,2018-10-16,440.35,443.7,432.3,438.85,438.85,591951.0
4066,2018-10-15,430.0,440.0,428.75,435.6,435.6,844899.0
4065,2018-10-12,428.55,435.0,420.1,429.4,429.4,1102823.0
4064,2018-10-11,420.0,443.4,413.55,426.55,426.55,1073017.0
4063,2018-10-10,426.6,436.35,423.9,433.05,433.05,1353927.0
4062,2018-10-09,407.0,431.8,406.0,428.35,428.35,1899486.0
4061,2018-10-08,421.75,428.85,395.7,407.8,407.8,1679009.0
4060,2018-10-05,417.35,431.7,410.0,421.35,421.35,1439744.0
4059,2018-10-04,443.0,447.3,419.5,424.15,424.15,1861654.0
4058,2018-10-03,441.0,461.75,435.5,447.2,447.2,1631978.0
4057,2018-10-01,432.0,446.25,414.05,444.35,444.35,1878053.0
4056,2018-09-28,463.9,467.5,431.2,434.9,434.9,1914421.0
4055,2018-09-27,479.0,479.5,456.9,462.15,462.15,2032169.0
4054,2018-09-26,467.0,483.5,466.5,480.9,480.9,1472944.0
4053,2018-09-25,464.6,478.5,446.0,464.65,464.65,2246865.0
4052,2018-09-24,500.0,501.6,462.5,467.75,467.75,1640371.0
4051,2018-09-21,499.0,510.9,442.5,497.8,497.8,3991890.0
4050,2018-09-19,492.0,502.0,472.35,489.8,489.8,4293108.0
4049,2018-09-18,510.75,516.55,493.95,498.2,498.2,1654695.0
4048,2018-09-17,496.9,517.0,491.2,508.65,508.65,3494477.0
4047,2018-09-14,500.5,505.0,495.15,498.35,498.35,1282062.0
4046,2018-09-12,490.7,502.0,479.5,497.25,497.25,1875294.0
4045,2018-09-11,495.95,504.8,487.0,490.65,488.65,1683307.0
4044,2018-09-10,502.0,512.2,487.6,491.7,489.6957,1528961.0
4043,2018-09-07,500.25,511.0,492.6,506.9,504.8337,2003835.0
4042,2018-09-06,490.85,504.4,489.15,501.1,499.0574,1946585.0
4041,2018-09-05,475.7,494.5,475.7,489.1,487.1063,2398043.0
4040,2018-09-04,500.8,501.6,476.45,479.9,477.9438,1855637.0
4039,2018-09-03,498.0,512.95,495.0,499.25,497.2149,3130325.0
4038,2018-08-31,491.05,499.4,488.0,496.6,494.5757,2501696.0
4037,2018-08-30,481.5,495.0,481.5,490.0,488.0027,2101184.0
4036,2018-08-29,477.7,489.0,472.8,480.5,478.5414,1657218.0
4035,2018-08-28,483.6,486.5,474.05,477.95,476.0018,1835073.0
4034,2018-08-27,487.0,487.0,472.75,481.2,479.2385,1963943.0
4033,2018-08-24,478.0,483.5,463.0,481.9,479.9356,2764725.0
